,Date,Reviews,Ratings
0,"May 20, 2020",I had a superb experience at Walter's! I was a first time buyer and everyone treated me so well. I worked with David Le from the moment I walked in the dealership. He was friendly and welcoming. He is down to earth and he worked very hard to get me what I wanted. He wasn't pushy and that's what I loved the most. I was treated as if I was already a loyal customer. Thank you so much David Le and the team at Walter's Audi.Dreams really do come true. ,5.0
1,"May 19, 2020",Walter’s was very efficient. I traveled from out of town and was in and out quickly. Both sales and finance were good to work with.,5.0
2,"May 19, 2020","Wanted to take time and give a shout out to Ryan Gonzalez Walter's Audi. Great Salesman made it happen. For me a 2% rate which helped my payments tremendously. Drive off in a 2019 Audi Q7
I recommend Ryan to anyone seeking to purchase A Audi. Top dollar for my trade. I was surprised. All around wonderful experience. Also shout out to the sales Managers.
",5.0
3,"May 19, 2020",Alex Wong made sure to take care of me as a customer of Audi and i appreciate the help he has given me. i will definitely come back and ask for Alex the next time i come in if i need to get my car services again.,5.0
4,"May 18, 2020",Very smooth transaction. In & out of the dealership in under 2 hours.  Thank you again to Brett Mc Kinley for understanding my situation & making it happen. ,5.0
5,"May 18, 2020",My first experience in buying a brand new car/Audi  I’ve never experience such smooth hassle fee purchase! Bret was amazingly patient and helpful . I was a little disappointed the car I wanted sold but Bret made sure He directed me to a better and newer model I am so in love with my new car! again Bret for all your help I truly appreciate you . ,5.0
6,"May 15, 2020","Very pleasant experience as far as car buying go's.  Had the car I was initially interested in up front but I decided to look at another of the same model with lower mileage and Joshua Rambow went out of his way to accommodate me. Ended up purchasing the lower mileage vehicle. Guess the only regret is they wouldn't let me test drive the $200K+ sports car, understandably.  ",5.0
7,"May 14, 2020",Wonderful experience at Walter's Audi.  Dennon was very attentive to details and extremely knowledgeable regarding the vehicle we chose.  Would highly recommend seeing Dennon! ,5.0
8,"May 12, 2020",Brett was great from the start and got straight to the point and gave me an amazing deal on my new A6! Will definitely come back next time and recommend anyone to Brett! ,5.0
9,"May 12, 2020",Awesome experience! Everyone we worked with was professional and polite along with the other staff members there. We got the car that we wanted and would definitely go back for future purchase. Thank you !,5.0
10,"May 12, 2020",Dennon Whaples and the Staff at Walter's Audi of Riverside were kind and understanding.  This is our first Audi and we absolutely love it.  Dennon has continued to help me with all of my questions and concerns post purchase!!! Thank you Dennon!,5.0
11,"May 11, 2020","The odds were stacked against this being a good car buying experience:
100+ mile drive to the dealership
COVID-19
A reluctant car buyer on crutches worried about test driving a vehicle

Actual experience:
Super friendly Dennon Whaples who greeted us at the door at the time of our appointment, offering water and individually wrapped snacks. Everyone wearing masks to make us feel comfortable and a spotless showroom and restrooms. Every detail handled with ease, professionalism and lighthearted conversation. Andy Bartoli actually made signing up for car payments fun with some great stories. The delightful afternoon ended by riding off into the sunset with the top down on my new (to me) convertible. I don't buy cars often, but this team beat the odds and made my car buying experience worth the hurdles to make it happen. Thank you!
",5.0
12,"May 11, 2020","Take my car for service, the people there are very friendly and courteous. The service was performed on time and done correctly. Will continue to use this dealer with my service guy Alex Wong. ",5.0
13,"May 11, 2020","We were concerned about COVID 19 and how to safely turn in our lease car and purchase another; but Brett McKinley made the entire process seamless and easy. Brett found the car we were looking for, put together the paperwork, and delivered the new car to our driveway. All we had to do was drop off our lease car, and select the color we wanted. Since we are ""social-distancing"" and so is Brett, we never got to shake hands but want to say ""Job well done and Thank You""",4.6
14,"May 11, 2020","We recently purchased our A3 at Walter's Audi and I have to say that it was honestly the easiest/fastest/smoothest car buying experiencing my fiance and myself have ever had. To start with, they actually honored the price the car was listed for that was originally a mistake. Todd Bellis and Josh Rambow were GREAT to work with and were attentive to our needs. Andy B. in finance was also great to work with and even added in some ""extras"" for a seriously amazing price. I can't say enough great things about Walter's Audi. ",5.0
15,"May 11, 2020",The Dealership was very clean and inviting. Chandler Mcgensy was our Sales Rep and he did a great job. Gave us all the information I needed and the Test drive was great.,5.0
16,"May 10, 2020",I purchased my Audi on 5/8 and Todd Bellis was a huge help. Patient and thoughtful throughout the whole process. Amidst the pandemic we made a deal we felt comfortable with and I couldn’t be happier to be the proud owner of my first Audi.,5.0
17,"May 08, 2020","I was scheduled for an appointment and before my car wouldn’t start. The audi dealership was very helpful. They got me the # for the tow and followed-up when my car arrived. Stacy Samuel helped me and she was wonderful. Excellent customer service. I am sad I do not live in the area to make this my go-to Audi dealership. Thanks, Stacy! ",5.0
18,"May 05, 2020","I was there for regular maintenance work.
Alex was very courteous and helpful .
Work was done as promised .
He explained me everything after work was done .",5.0
19,"April 30, 2020","Service Advisor Alex Ortiz has continued to provide the level of service you expect from a luxury car brand.  Red carpet service actually.  We brought our Q7 in for a strange noise and unbeknownst had run over something in the road.  The technician took a video of the damage and Alex sent it to me for review.  I contacted our insurance carrier and Alex took care of it from there.

We have and will continue to be a patron of this dealership 

",5.0
20,"April 22, 2020","Josh Rambow went way out of his way to not only to deliver a car to me 80 miles away, but took the time to go over and respond back to questions regarding my new purchase with complete and detailed answers. I know these are different times and I appreciated his ability to close the deal despite difficult circumstances.I love the car and was grateful that he brought the closing to me! James Ellwanger",5.0
21,"April 20, 2020","Alex Wong was very friendly and helped make the process of getting my A3 serviced as simple as can be. It was a quick process without any hassle and I was able to get back on the road quicker than expected, which is exactly what anyone wants.",5.0
22,"April 14, 2020","Alex Wong is the best guy in Walter Audi!
I was very impressed!
Walter Audi Excellent Service and Experience! 
I will definitely be back, to see Alex Wong next service.",5.0
