,Date,Reviews,Ratings
27,23-Aug-19,Michael Harris should be fired from his job immediately after his rude and racist behavior with me I went to just check out the car at this dealership while he was just sitting in his chair eating a tray load of cookies in front of him and one of the guys told me Michael can help you with something with my car and he just got all crazy and loud wasted all my time and I just came back home picked up my car from their driveway and left their dealership very angrily I don't know who the manager is at their location but he should definitely fire him for the extensive rude behavior and racist comments on me I should definitely report him...,1
256,28-Sep-18,The customer service here is really bad no one here to talk to everyone is having their own fun no greetings salesman are thieves here and on top of that Mr. Mark Johnson is their leader he is the GM there who does not I mean does not care about his customers and the employees are very smart they are writing fake reviews I'm pretty sure otherwise this dealership would not have these ratings please someone should go and check their after sales service and try to get a loaner here all the amenities they say they have is fake plus they will sell you the most expensive deal I wanted more than 10 grand in 3 months on this cheap car they sold me I wish I could lawsuit this whole dealership... Won't recommend wasting money at this dealership and get Thugged by these people...,1
318,14-Jul-18,"I have been trying to get some resolution on my RS4 's service contract that I bought from this dealer and so far nothing positive has been happening. I spoke to Mike Moye who sold me the contract and Thomas who is a Finance Manager. I emailed Marin Delgado who is the GM and there was no response for several days so decided to call him. Luckily, I was able to have a brief conversation with him because he was busy I guess. He said somebody would call me later in the afternoon to help me out. Unfortunately, nobody called. I wonder what kind of CORE VALUES this dealership has. I guess it all starts from the TOP. If the main man cannot follow thru what he says then so as the followers. I work for a fortune 500 company as well and I know for a fact we take care of our customers to be in business. I'm surprised how this dealer stay competitive with the rest of the other dealers.  I hope these guys realize what they are doing and standby their products that they sell.",1
451,31-Dec-17,"I brought my Audi Q7 for a fuel flange recall repair. 3 days later. I went to pick up my car and the driver seat and the side mirrors were adjusted from my usual settings. I went ahead and tried to adjust it back and the driver's side won't budge. It was around 630PM and Natalie, my service advisor was no longer around so I left my SUV for them to check it. Same thing happened about 4 years ago while I was picking up my vehicle. The passenger side mirror had the same issue when I was picking it up. I was told to come back the next day since the advisor had gone home. When I came back the next day, I was told that they won't cover repairs since I took it out from the lot. They said they spoke to Brock Temple(Manager) and there's is nothing that they can do. Ever since then, I had been bringing my car to Audi Circle and for every service, I started a habit of checking my mirrors during pick-up. I never had a problem so far until I had this last service with Audi Pacific. 

I came in the next day and I was let in at the manager's office. I spoke to Brock and Natalie and told them that I brought it in working. The fact that somebody adjusted it means that it was working when the car was in their lot. I was told excuses, susch as “car can break at anytime” and was even told to wait while they check with Audi Circle. Brock made a sarcastic comment ""I hope you're not going to blame me about your battery too!"" Since they were suggesting to replace my battery. Since I need to leave because I still have business appointments, I asked them if they will cover the repair. I was told by Brock ""I'm simply not buying your story"". I don't know why they held me to stay if this was the case. He told me that I can pay for the part and they will install it for me as suggested by the Service Foreman.  I told him that I am really frustrated  since this was the second time that it happened and left the dealership. I left a message with Natalie to call me when the part comes in. It's been more than a week and I still have not received any call back.  I expected a better customer service from this dealership. I thought Audi will have a higher standard compared to other Automakers. So far, I had better customer service at South Bay BMW.",1
594,07-Dec-15,"Not worth your time. 
The sales person not only once, but twice went back on her words. Its not unusual for car sales person to haggle on the price however what made me feel so bad was she quoted on a price twice and went back each time with some lame excuse ""Oh! I meant that"", ""No, I included that"". How can someone make some unprofessional remarks when we are talking about out-of-the-door pricing?",1
674,23-Jul-06,"July 15 and 16, 2006: Went to buy a wagon and our salesman (very friendly) showed us an 2006 A4 Avant that had a sticker on the front indicating ""8000 off.""  He indicated that this was a great deal, so after thinking about the car overnight, we went back to Pacific Audi to start the purchase process.  After discussing the payments three times, the sales manager came out and told us that the sticker was a mistake and they would not honor the price.  I called the general manager the next day and he apologized, but reiterated the fact that car dealers are allowed to make mistakes and the price would not be honored.  To the GM's credit he did try to say he'd cut me a deal in the future, but that was after insinuating that I was trying to take advantage of them.  They've lost a customer and I would not recommend shopping there for a new or used Audi.",1.5
338,15-Jun-18,"Biggest thieves...
Brought our Audi in for the 1st service and they had to fix a whole list of items (which in itself is ridiculous since it is a new car).  They gave me a loaner for 5 days (took all week just fix everything).  I parked the car out on the street one evening and it got dirty along with some palm tree sap.  I returned the loaner and picked up my Audi and they charged me $160 because the loaner was returned dirty!!!!  They claim that they now have to detail the car which is a crock of xxxx since I had 2 other cars on the street that night as well with tree sap and I washed both the cars today and they came completely clean with no marks or blemishes.  Stay away from this dealership....they are dishonest and will rip you off.",1.6
551,18-Mar-17,"It takes me a lot to get my xxx together to write a bad review about a product or service! But.. man ... This place is horrible! 

I sent a request to test drive a car (Mid December 2016) and they called me the next day and I purchased the car on the same day! Everything was nice, smooth, and friendly as long as they want to take your money! So what was the problem? ....

Episode 0: Finance Rate
I had two options to purchase the car! Cash out or finance! Since I have a good credit score, I decided to finance my car. They offered me 3.9% which was surprisingly high! I asked them to check with CRB or BoA and as I was expecting, the rate was dropped to 2.39%!
At the end of the day, the difference between 2.39% or 3.9% would not hurt me financially and I am pretty sure would not make any difference for the dealership... BUT they did not do their best to find me the best deal and it should have triggered an alarm for me!

Episode 1: License Plate
The previous owner had a customized license plate which he/she took it with himself/herself and the dealer put a placard inside the frame. Since the car did not have a license plate the dealer is supposed to submit all the necessary documents to DMV within 48 hours for permanent license plate and registration! About two months after I purchased the car, I called DMV and they said they have not submitted anything for my license plate! I contacted the dealer and they said that they thought that the license is under the dealer's placard!!!!!!!! That was funny for me because they were the ones who explained me about the customized license plate and all the related fees! They emailed me the ""Application for license plate"" on February 20th, to complete my application process .... As of now, the registration is voided as it is only valid for 90 days and I have to rent a car to go to work!!!!!

Episode 2: Extended Warranty
I paid for the ""Platinum Coverage"", the only extended warranty that they offered to me. About two weeks later I figured out that there are better warranties available in the market. Therefore, I called them and canceled the warranty as it had 1 month free cancellation period! At the time, they told me that it would take 6-8 weeks for the money to hit my account! 12 weeks after ... neither I nor my bank has not received the money yet!

Episode 3: Customer Service
Someone called me from the dealership today (March 18th, 2017) to HELP ME, with all the problems .... BUT he dropped the call in the middle of our conversation! This is indeed what made me to write this long review about my experience! All the money related issues can be fixed, but you cannot disrespect someone and just drop the call! 

Episode 4: Legal Action
I am going to open a legal case against this dealership and I will update you onits status.",1.6
631,18-Oct-11,"Purchased a so-called NEW 2012 Audi Q5, it has 2 dents caused by the dealership that I didn't notice until 3 weeks later. They did not perform a walkthrough of the car and because it was night time it would not have been spotted due to the location. Spoke to Fred and Bernie about it, very nice guys but they and the dealership refuse to assume any responsibility. Even after submitting solid evidence that it occurred on their premises. Spoke to Audi corporate and they don't want to do anything because it's a dealership issue. I paid for a new pristine vehicle received damage goods. Shop elsewhere where sales and ownership walk the walk and not just talk the talk. This was my first and last Audi I ever purchase.",2.3
637,02-May-11,"BEWARE OF....I purchased (with confidence, I thought)a Certified used 2008 Q7 from Pacific Audi (Torrance)in June of 2010, the car was nice, sales and financing was OK. BUT when I wanted to trade the vehicle in March of 2011 somewhere else, I was shocked to find out that the vehicle had been painted on the right front fender and door,hence being worth $2000 less vs the no paint work value. In disbilief,I went back to Pacific to ask for an explanation. There, the salesman and his manager, without skipping a beat said that ""the car probably had some scratch or something, needing touching up""! followed by presenting a Carfax report that did not show any damage report. This was supposed to make this a non issue, even though they had previous knowledge of it and chose not to disclose it at the time of sale. To make matters worse I had them appraise the vehicle themselves and their figure of $26000, was $3000 less than CARMAX offered me on an outright purchase, just 1/2 mile down the road. I contacted Audi customer relations for assistance and after a week of ""investigation"" all they had to say was that as long as the Carfax is OK and there is no major structural damage, this would not be a disclosure item. Here I am, having paid good money for damaged goods which I cannot re-sell or trade in without taking a beating for what I had no knowledge of. If I had my guards up as if I was buying from any corner car lot then I would have had it checked by a third party but the ""Audi Certified"" thing, ended up to be the catch.
Also just a word of advice for the dealership management;

""There is a difference between what is legal and what is moral"". We'll see how the court rules.",2.3
644,17-Jan-11,"I bought my car on 7/23/10 and today is 1/16/11.  I am still waiting for my registration.  If I knew it would take this long, I would have never signed the DMV power of attorney.  This delay is unnacceptable.  I have been working with Finance to get this resolved as soon as possible, but it has taken too long.  I'm very frustrated and disappointed with the overall service.   ",2.4
244,19-Oct-18,"When dropping my car off for service, I’m usually greeted/escorted in once I pull my car up to the service bay. This didn’t happen on this occasion. I had an appointment for weeks, yet when I walked in to the service department, I was told to wait in the waiting area by one employee. 10-15 minutes go by and another employee asks me if I’ve been helped to which I say I have not. I finally get help and get my car serviced. One of the issues I wanted addressed was the squeaking of my brakes. When I returned to pick up my car I was told that there was a little rust that they cleaned and my brakes should not be squeaking. Well, my brakes are still squeaking today.",3.4
617,11-Oct-12,"I had mixed experience with this dealership. I think this is as good a dealership as any other. Just make sure that you know your facts about the car & its service package you want before your visit; otherwise, I have a feeling that you'll miss something and they'll miss some important details. The interesting part is that they didn't seem to miss them on purpose.

I went there shopping for an A6 CPO because it had all the features that I wanted and it was close the my target price range. I was greeted by Rick and he was an ernest sales person. The test drive process was smooth and he didn't give me pressure. The offer process was slightly long but the deal eventually came through. Making it through the sales process was just half of it though.

Two curious items were later discovered and eventually fixed by their sales and service departments: i) keys were missing and ii) tire size was wrong for the wheels. You'd have thought that when they checked their CPO inspection list, they would have discovered the problems. If I hadn't read the list myself, then I would have not been offered the replacements.

The service staff and the finance lady are highly commendable. I think they kept the cars of their customers really well. The service manager was fast and direct in responding to problems. The finance lady Rosa knew exactly what she's talking about.

Overall, it was a good purchasing experience. I recommend shopping here after doing some homework on the car you want.",3.6
9,18-Sep-19,"When we finally found a suitable car that met the agreed upon price, everything went well.  The problem was finding a car, but you eventually did and we like it very much. ",3.8
22,02-Sep-19,"Sales staff met with seemed inexperienced, not as knowledgeable of product.  Chris got  the job done, but was seemingly not as people comfortable.  Did not see we needed more interaction, info of process and vehicle technical assistance. Though pleased with the deal we were very frustrated with the sales support.",3.8
673,13-Dec-06,"I love that this dealer offers loaner Audis as opposed to the Fords/Nissans you get from Enterprise/Hertz from other dealers.  I did have a problem with the lack of customer service when I called.  I would frequently get recorded messages stating no one was available when I called.  Colin was very on top of things though.  He wasn't exactly what I'd call ""super friendly,"" but he'd call to update me on what was going on.  The service itself wasn't always done completely, but I believe that was due to Audi's lack of knowledge of what was wrong with the car, as opposed to that of this specific dealer's.",3.8
12,13-Sep-19,"My only pain point was the car wash I received after my service. They did not bother to wipe down the dashboard, vacuum sand off my seats, or adequately degrease/clean my rims. It looked lazy. The video service rundown that my tech included was a nice touch - very thorough! ",4
54,20-Jul-19,"They performed an excellent cleaning and mechanical prep of the used car I purchased.  The sales people, finance people, and used car manager were very pleasant.",4
66,30-Jun-19,"Low key, didn’t oversell and push. Quick and fair. Great salesman and sales manager. Weak finance guy. Great prep of the car. Quick and detailed very nicely. No explanation of how anything worked- because you are an Audi shop, not a Porsche shop. 
I had a very positive experience and would recommend Gino to anyone. ",4
112,23-Apr-19,Took longer than expected for regular service  but otherwise a good experience . Was checked in promptly and updated from time to time about progress on service. ,4
234,03-Nov-18,Service experience was very efficient. Drop off and pick up occurred quickly and without any delay. However there was absolutely no explanation of what would be done to my vehicle or what was done during the service. I have the prepaid maintenance plan so I figure everything required was done but the last time they sent me a full inspection video of my vehicle on the lift (same dealership) so this visit fell short for sure by that standard. ,4
410,15-Mar-18,"Service Adviser Natalie is exceptionally friendly, responsive, and appears to be technically competent as well. Making the appointment was easy.  One star off for: 1. Told Service was ""unusually busy and backed up"" - ergo car would not be ready on the day brought in (extra day required).  2. Scheduled Audi loaner not available (same reason); provided with Enterprise car instead - required extra ""process"" and an additional one hour. 3. Most important, Service was unable to determine cause of repeated left rear TPMS light - tires rotated and I'm to drive it to see which, if any, tire/wheel caused TPMS light to come on yet again.   ",4
64,09-Jul-19,Michael was very pleasant and helpful.  He was patient as I called other mechanics to compare service prices and make a decision.  He even expedited the servicing of my vehicle and managed to fit in a car wash.  Extremely professional. ,4.2
108,27-Apr-19,"great customer service.  The 2,000.00 price however for light bulb exchange was ridiculous.  Everyone I told this too thought the same.. the only issue was the price for service  ",4.2
147,10-Mar-19,"Took my car in for the second time for an oul change.  Firts oil change experience was awsome.   Second oil change was awsome as well.  They also provides me with a loaner car.  Thinking about buying the Q5 in the future.   Also, had my bumber fixed and did an excellent job with the repair.  Thank you Audi Torrance.   keep up the great work and service",4.2
159,19-Feb-19,"Anel is very friendly and gave us proper explanations. I was very satisfied with her support and put faith in her great work. Thank you, Anel!!!",4.2
174,25-Jan-19,I was quite pleased that the work done on my car took less time than estimated. The staff was extremely friendly.  Hopefully all future services will goes as well.,4.2
305,01-Aug-18,"I had such a great experience with my previous A3 thought I'd try it again. Loving the design enhancements to this years A3 with the exception of two main items. First; the idiotic start stop function deserves an award for the year's most annoying feature. Second; the keyless entry also feels gimmicky. It's not like a finger print reader that would truly improve security. You still need a fob for entry/startup and this feature feels like an after thought because there's still a useless physical metal key on the fob. A minor note, the trunk space feels a little smaller than my 2016 but despite these issues I still believe the brand continues to lead the market in engineering, design and value. Solid dealer location and felt taken care of by the sales team. ",4.2
530,10-Oct-17,My car was being tested for possible excess oil consumption as I had at one point adding oil every 800-900 miles.  This test showed my A4 was within spec.,4.2
17,05-Sep-19,"Slightly disappointed.  Agreed to purchase the car on Saturday and gave a deposit.  Came back on Tuesday and none of the paperwork had been completed and the finance manager handling my matter was out for the day.  The other finance manager was busy, so I told my salesman, Gino, that I would be back on Tuesday.  Just after I left I got a call from the finance person that they could help me now.  Came back, and felt extremely rushed with the paperwork and especially the extended warranties.  I left the car there and called Wednesday and wanted to go over the warranties I purchased and the finance manager sat down with me and deleted those that I would not likely use.  Went to take the car home and even those this was a CPO car, the sim card was missing.  I was told they would take care of it.  Received a call today from the first finance guy to assure everything was fine and when I mentioned the SIM card they knew nothing about it.  Hopefully they will resolve this issue shortly. The Best part is I owned an S6, and I am glad to know that Broc is still with this dealer.",4.4
143,16-Mar-19,"Work was completed in 2 days but no issues with a loaner car until recall issue was fixed. Great service. Oscar (don’t remember his last name) the service associate, was very nice and helpful.",4.4
146,12-Mar-19,"Was in and out fairly fast for a 25K checkup.  Worked with Henry Esqueda.  Worked with him before.  Always professional and courteous.  In fact, all the personnel I've dealt with have been friendly and courteous.



",4.4
154,03-Mar-19,Having a service contact as reliable and competent as Natalie makes all the difference.   she made the last visit seamless. Thank you and see you when I check out the new electric car!,4.4
217,20-Nov-18,"The service center experience is always a great one. They go above and beyond to make you feel comfortable while you wait for your car, and if you can’t wait because of previous engagements, they make sure to have you covered with a ride or a loner. And to top it off, the staff is friendly and attentive! ",4.4
263,25-Sep-18,"staff very helpful, but missed opportunity to do smog when I purchased car 4 mos ago and thus needed to return to dealer for smog certificate so car could be registered with DMV. Was time consuming for me and for dealer. But the car was smogged and washed, so not all time was wasted!",4.4
