,Date,Reviews,Ratings
0,"April 07, 2020","I have worked with Willie for five years and wouldn't consider working with anyone else. He is a straight-shooter, polite, helpful and very respectful. ",5.0
1,"March 09, 2020","First, let me take full responsibility as to what happened to me.  I knew what to look out for and it was my own fault.  I am not going to name the sales people but I have nothing against the trainee as he had nothing to do with the beating I took.

Leasing a new BMW was a 5 hour ordeal with high-pressure sales tactics and expert manipulation on their part.  My head was starting to pound and I fell for it.  I got a bad price on the car under the guise of it being the ""Costco"" price, was ""mislead"" (I won't say they outright lied but knew how to dance around my question), and then padded BMW's money factor by about 20%, which I only discovered after the papers were signed.

I have had experience with other BMW dealerships and was never treated this poorly.  Whether or not you are able to catch every move they make, dealing with a company like this is unpleasant at best.

Leasing a $50,000 car should not make one resent the xxxx thing and I look forward to my 3 year sentence being over.  I will definitely never deal with McKenna again and, depending on my resentment of the stupid car over the next 3 years, will likely never purchase another BMW.

It's your money; give it to a dealership who earns it.",1.8
2,"February 24, 2020","To whom it may concern,

I'll start off by saying I have been a customer of South Bay BMW for more than 5 years. I never had an issue with any advisor until 2 weeks ago when I took my car there for service. I had a horrible experience with Jorge Gonzalez. When I was asking him questions, he was giving me 1-word answers, he was not very helpful, he was unprofessional and very rude. 

On 02/11, I took my car in to get checked out for a few things: my car was making noise from under the vehicle on acceleration while while driving, Jorge said it would cost $215 to do the diagnostic and I agreed. Then, the backlight of the odometer was out, he said it would cost another $215 to find out what's wrong with the backlight because it's a separate issue. At first I didn't want to do it because it's a little pricy, but I eventually agreed to get it checked out. Lastly, my left brake lamp was out. I had changed the bulb a month prior but it still wasn't working, so I asked Jorge to check it out as well. Then, we sat down and he had me sign some papers. I agreed on the $430 to diagnose 2 things on the car, then I asked him to call me if we need to change some parts to discuss pricing because I'm a little bit tight financially right now. He said OK, and he also said ""it would take ONE DAY.""

The following day, 02/12, I was waiting for him to give me an update, either a call or text message, but I wasn't getting anything. At around 1:30pm I called him a couple of times but he wasn't answering. I figured he might be busy or having lunch. So I just sent him a text message. He didn't respond until 3:00pm and all he texted was ""vehicle is waiting to be diagnosed."" Then, I asked him when does he think it will be done. He responded with ""looking at tomorrow"" I still have the text messages to prove this. At this point, I started to get upset because of poor communication that was being displayed by Jorge. He also promised one day, but that was not the case. I understand the shop can get busy but if you're not certain, please don't give false promises. 

On 02/13, he called me at around 4:00pm advising me of what's wrong with the car. He said the noise that the car was making was caused by emergency brake line rubbing on drive shaft and it would cost around $1,600 but I declined. He said I also need to change the carrier and the socket for the left brake light and it would cost $400, but I also declined.. I'll be honest I'm not really a car person, so most of the things he said to me on the phone seemed indefinite and unclear to me, so I asked him if I could come and meet him so I can get a better explanation. I live near South Bay BWM, I told him I can be there by 4:15pm, but he said he was leaving soon, and that it would have to be the following day.

Friday, 02/14 (3rd day), Jorge texted me at 8:06am saying that the car was ready. I got there at around noon. He knew I was going to ask him some questions, but as soon as I got there, the very first thing he told me was ""just go to the cashier and pay"" and he points towards the cashier's direction. Now, I want you to please understand how RUDE and UNPROFESSIONAL that was. Then, I told him I needed to ask him some questions but before I get to finish my sentence, he gave me the ""give me 1 sec"" finger and picked up the phone and made a phone call (or maybe pretended to call someone to avoid me). I waited about 8 minutes until he hung up, then I sat in front of him and I started asking him questions. Just by watching his body language and hearing the tone of his voice as he was giving me 1-word answers, I could tell he didn't want to talk to me at all. Then, I asked him if you provide a copy of the diagnostics and he said ""whatever paper the cashier gives you, that's the only paper you're going to get. What I told you is what's wrong with your car."" At this point, I didn't see any point of talking to Jorge anymore. I just went to the cashier and paid $430. Then, I asked the young lady from the cashiers if I could speak to the service manager and she introduced me to Charlie Kim. I explained to Charlie the situation and I told him I was really upset and disappointed, and he patiently listened and apologized. Then, I asked him the same questions and I asked Jorge and Charlie patiently answered all of them, then he gave me his business card afterwards. I was impressed with the way Charlie handled the situation. 

Overall, it was a very bad experience. Jorge Gonzalez was rude and unprofessional and I had never seen or experienced anything like that at South Bay BMW.

Sincerely,
Roy D.",1.0
3,"February 22, 2020","Since adding Volvo to the Mini building the customer service has depleted horribly.
I used to live bringing my mini to wash every Saturday and now it is a nightmare.
There are too many customers to handle at BMW.
Looks nice with a Starbucks but is closed on Saturday.
Missing the personal touch. Some valet personnel smell like smokers.",2.0
4,"February 13, 2020","I’d like to bring my worst experience I had from your service team to your attention. The incident just happened today during receiving service from your dealership. 

I made a service appointment a week before and my appointment was at 9 am today. I showed up in your dealership’s driveway on time. However, my service advisor didn’t even come out until 30 mins later. In fact, he sent someone else to check me in. I finally got checked in around 9:30. 

Your team made me wait in the car for 30 mins while other people who came after me got checked in as soon as they arrived or no longer than 5 mins. Once the service was completed, I was advised to go to the cashier to sign the paperwork. I got to share my worst experience with the service manager, Charlie, as he happened to stand there chatting with the staff. 

When I was ready to give the paperwork to get the car pulled out in the driveway, I was asked if the car hadn’t been washed, would I still take it as is. Don’t you think the car should be ready before the customer was advised to go to the cashier and signed off the paperwork? Also, I was asked when I checked in if I wanted the car to be washed and I said yes to the service advisor. 

So I went back inside to speak to Charlie again and explain my frustrations and all of a sudden, one of the cashier staff wanted to join the conversation between me and the service manager. Once I responded to her comment, she got mad and asked me not to talk to her since she wasn’t the one who serviced the car with a rude tone. The service manager had to stop her from misbehaving to me. I didn’t remember her name otherwise I would let you know her name as well but I’m sure you can find out from Charlie.  

This was the worst experience I’d ever had but most importantly I didn’t expect this type of experience from a BMW dealership. This was also my first time getting my BMW serviced at your dealership and your team couldn’t even give me a good first impression. 

I’d had BMW for the past 4 years and I’ve never had to write any complaints to Long Beach BMW. They were always fast and treated customers with respect. Clearly, some of your staff haven’t been trained to meet BMW’s standard. Sadly, I decided I will not go back to your dealership again. 

Thank you for your attention. I hope you understand my frustrations from the experience I had today and I hope you will address this with your staff.   
",1.0
5,"January 30, 2020",I've always been happy with South Bay BMW. especially my service advisor Anderson Chowchilla. You can't imagine how resourceful and how comforting it is to know that your vehicle is being maintained strictly. I have all 3 BMWs in my lifetime and South Bay BMW has been the best for me I appreciate everything Anderson and the dealership has done for me. And yes I would recommend any of my friends or family to consider South Bay BMW when purchasing a new BMW or servicing their current BMW it is a 10 for me. Thank you I appreciate you all,5.0
6,"January 29, 2020",My service advisor Anderson Chinchilla is great to work with. Everyone at the service facility is friendly and good to work with and very attentive.,4.6
7,"December 26, 2019",Steve Marx! Steve Marx! Steve Marx!  He is the driving force behind this dealership and always has been!  I would buy from nobody else!  Thank you Steve!,5.0
8,"December 20, 2019",I brought in my BMW 535i for service to this dealership and they damaged a door. I did not notice the damage when I picked up the vehicle and when I informed my service coordinator Jorge Gonzalez a couple of days later he refused to take responsibility. I tried speaking to his manager and others but they all kept lying. They kept saying that the damage did not occur with them. Multiple body shops told me that this sort of damage occurs when a door is kept open while bringing down a car on a service lift.,1.0
9,"December 14, 2019","South Bay BMW’s Steven Marx is why I keep coming back to the dealership.  He is a trustworthy, professional expert and always works to ensure that my customer experience is exceptional.  ",5.0
