,Date,Reviews,Ratings
0,29-Apr-20,"Kevin Lam, my salesperson at McKenna and his Manager Steve Majick worked together to help me find and order my new BMW. I take my current BMW there for service and always had an excellent experience so when it became time to get a new one, I reached out. I went with Kevin because after visiting several other dealerships, I found him to be extremely knowledgeable about the vehicle I was interested in, he listened to me, he indulged my need for detailed information and he worked with me on a way to get exactly what I wanted at a price that no other dealer came close to. I am very impressed with Kevin and Steve. I greatly appreciate their demeanor, attention to what I wanted, and their responsiveness to my endless questions. I will update this review after my vehicle arrives (hopefully in a few weeks now that the plant is reopening next week) and I take delivery. Thank you guys! I think you are great! Shout out to Lina in service too! She has always been wonderful when I was in for service!",5
1,26-Dec-19,"Kevin Lam salesman has screwed up our BMW experience as we’ve been BMW loyalists for a decade. What a way to represent BMW! Shame on him! Kevin Lam is the worst, rudest, unprofessional staff we've ever encountered in BMW history, period. He himself doesn't even know the price and the worth of the cars yet is there sitting there trying to JUDGE our knowledge. We've done research before coming in so we know what we want and what we're looking for. And please, don't be picking up calls in front of us and taking ur sweet time to talk to them on the phone, then proceeding to use the computer in front of us, as if we don't exist. xxx???? this dude is a JOKE! At least have the decency to step away and do what u gotta do away from our sight. We left right away and the next day got the car at another dealership. Glad we took our money and time elsewhere. Ain't got time to waste it with useless rude people.",1
2,30-Sep-19,"I wanted to write a complaint to BMW North America and wherever I can write complaint to correct how Mckenna treat customers, but I decided to start from here.

I made an appt for Friday(9/27) for my fog light malfunction notice. One of the representative checked the vehicle and let us know the detail of our warranty. Maintenance warranty expired at 36k mileage, but the fog light might be under the regular warranty 50k mileage as long as it wasn't due to any damage. I completely understand how the warranty works so I let him know it's fine.
He let me know that I can pick up the car the next day (Saturday) and offered to provide UBER ride.
I unfortunately needed to get the car back on Friday, so decided to reschedule for Saturday morning.

Something came up and I couldn't go on Saturday, but rescheduled for Monday(9/30).
When I got there, Claudia helped me and she checked the vehicle and let me know the same warranty detail other representative told me, so I let her know that I understand the coverage.

The main difference was that she went to check with the Service Manager Armando and told me due to some damage under the fog light, in order to run the diagnostic I would have to pay $95, and if the malfunction was not due to damage, I wouldn't have to pay. When I let Claudia know that previous representative didn't need me to pay that $95 to run diagnostic and the only reason I didn't leave the car was due to needing the vehicle on the same day. She then tells me that he might haven't seen the damage, and that diagnostics are usually $180 but I'm only doing it for $95 in case it was due to damage.

I was so upset with their service and asked for the manager's business card, and he didn't even come out to explain or give the card himself. There are closer BMW around where I live, but I went to Mckenna, because that's where I purchased my vehicle, but this service made me realize they are not consistent with their service, and seems like they try to charge customers every penny they can.

The scratch below the fog light is noticeable, but the first representative was willing to do the checkup and let me know if it's covered under the warranty, but Claudia / Armando wanted to charge $95 for just doing the checkup before even finding out if it was covered under the warranty or not.

Funny thing is I just came to BMW in Buena Park where it's closer to my house, and they are checking my car as well as fixing the fog light. Much more friendly service, and the manager is actually on the floor checking with his employees and customers to make sure they are getting treated right. Much different environment then Mckenna where the manager is just in his office.

Hope this review helps Mckenna give better service to other customers moving forward.",1
3,16-Sep-19,"I bought a 428 from Mckenna about 5 years ago.  I was given inaccurate information from Mckenna's staff which led me to purchase a useless warranty that frankly I am shocked they would even offer to see in the first place!  This 'extended warranty' would add basically zero value or benefit beyond the CPO warranty.  So why would a reputable dealer even offer this to a customer if they're seeking to treat a customer right and create a long term relationship?  Wouldn't a reputable dealer recommend Against a customer paying for a warranty of such little value?!  

Recently I've come to learn that the extended warranty they sold me did not extend the CPO  warranty even though I specifically discussed that point with their staff, who confirmed it would be an extended warranty above and beyond the CPO warranty.  They also confirmed I could transfer it with the car when selling it to another.  I purchased it There would have been zero value in purchasing it otherwise.  

I've attempted to address this issue with McKenna believing it was possibly an errant mistake by their staff who didn't understand what they were selling.  In response to my query, McKenna replied they could sell me an additional extended warranty!  How exactly is this treating a customer properly?  A business gives inaccurate information, and then expect the customer to pay more?!    Incredibly disappointing!  

Maybe I should have scoured the paperwork me intently, but when working with a reputable group you hope to have some reliability in their guiding you with accurate information through the dozens and dozens of pages being signed.  Be wary!",1
4,27-Aug-19,"I would like to start the review by saying our sales agent was great (Thanks Omar). The finance department (Markus Jahr) leaves a lot to be desired. We had arranged financing with our Credit Union prior to our purchase, and let them know of that fact. We filled out an Option Contract, and figured the Credit Union and the Dealership would get everything handled. One week later, and my Credit Union has been leaving messages, and not a single reply from McKenna BMW. The Credit Union knew of the timing of the Option Contract, and Certified mailed the check out. Still no call back from them. For comparison, our last purchase at Porsche Irvine was set up the same way, and went with out a hitch, Dealership and Credit Union worked everything out, and I did not have to lift a finger. Maybe due to the Porsche being a new car and this purchase being a used car? Does not seem like good business to me.",1
5,12-Aug-19,Once  we found the exact car we wanted we were lead to McKenna BMW and it couldn’t have been a more positive experience. This is my third BMW and McKenna has provided the best service I’ve had at any BMW dealership!,5
6,25-Jul-19,"I recently brought my vehicle in to have the BMW connected app looked at per BMW North America/BMW Genius. Service manager Daniel Saldana met with me and as I was showing him the problem on my phone and in the car he notice a smell of oil coming from the engine area. He immediately advised me that they will take a look at it and also since I was close to my next oil change he advised to get that done as well since they were going to have the vehicle. The way he handled the situation was as if it was his vehicle and it made all the difference. He advised me of a loaner vehicle(BMW 👍)and told me he will contact me once they're done with my car. He was very professional and provided excellent customer service.  Most people take time to complain about an issue or a problem but in this case I want to take time out to recognize Daniel Saldana and his wonderful customer service.  As I mentioned to him even though I purchased my vehicle at Beverly Hills BMW,  Mckenna BMW of Norwalk will be my dealer of choice for all of my service needs and any future BMW purchase in the future due to Daniel's outstanding customer service. Kudos to you Daniel and thanks. ",5
7,21-Jul-19,"Lina @ mckenna is the best, took all our vehicle for service, she took care all my vehicles. Great communication! Would recommend to everyone in need to get their service done at mckenna",5
8,18-Jul-19,"     This has been my luxury dealer from 2011.never failed me.i always bring family .i bring family so they can experience luxury .This luxury experience teaches them what it is like to live the good life thanks to Omar zyout , ms Macias ,Robert tharkanyan . You guys always made feel important",5
9,26-Jun-19,"Took it for a airbag recall, which they didn’t fix, the airbag still shoes on the dashboard. They ended up messing up my navigation system once heading out the dealer. They said it was something else.. took it back for airbag recall to know why it shows on my dashboard it had several other recalls. I hade to take it 3rd time and they charge me diagnosis which all this time is recall.. I will never ever take my vehicle this place especially with the liar of service representative Lina!!! She knew all this time my car was recalls problems and still charge diagnosis...",1
