,Date,Reviews,Ratings
0,"May 02, 2020","I don’t know if it’s as much of the dealership as it is about the people who work there, daphne was absolutely great to work with she answered all my questions and even though I had to go back for a separate issue she was very on top of everything and kept me informed the whole way. It is because of her my experience was great.",5.0
1,"April 30, 2020",Excellent service provided by Robert Rosas. He found the car we needed in no time and all paperwork was ready once we arrived at dealership. Very smooth car buying experience . Thank you. ,5.0
2,"April 29, 2020","Excellent customer service and great deal on certified preowned BMW. Mickey was very helpful with trade-in and financing process. If you are looking for new or used BMW in SoCal, RUSHNAK is highly recommend. ",5.0
3,"April 29, 2020","The process was very smooth and easy for me. My service advisor, Bob Martin, was very responsive and gave me good detail on my service.",5.0
4,"April 29, 2020",This was excellent service. I am very happy with the dealership. They always go above and beyond in service and sales. I highly recommend everyone use it.,5.0
5,"April 28, 2020","Great service.  My typical service advisor Bob (who is great) didn’t help me this appointment though, Zach did, who i guess is news.  No car wash was done but that is the policy during this quarantine.  ",5.0
6,"April 27, 2020",Great and wonderful experience! I got my pre certified car during the unusual time if a pandemic and it was one of the best experience of buying a car for me. Mickey was very knowledgeable and made this purchase process very straightforward and pleasant. Very highly recommend and made the long drive well worthwhile. Also the dealership precautions during these times were fantastic. I felt very safe and everything was sanitized and respectful of the social distancing rules.,5.0
7,"April 26, 2020","Very accommodating. Walked right in got help right away very friendly service rep.
My car was done within the time they said, and everything done perfectly. With the current situation there did a great job in protecting my inside areas with plastic protectors. Very friendly and professional. ",5.0
8,"April 25, 2020","Mike Powell is a good listener and always helpful. We love working with him. 

Buying a car from Mickey Bell is such a wonderful experience.",5.0
9,"April 25, 2020","Rusnak BMW has been outstanding in every way. Recently I had to have a regular service & they were Easy to work with, very accommodating and efficient , ",5.0
10,"April 24, 2020","Mike is always helpful and provide genuine care. He always goes above and beyond. Mike always makes the experience and process very efficient. Thank you Mike. 

Evan Razzaque. ",5.0
11,"April 23, 2020","Service was great quality by Jasmin Mojica. I did my oil change with her. It was very fast, and she was kind and very professional in her work.",5.0
12,"April 20, 2020","I have my BMW serviced here several times. Outstanding service. Great communication on what was found during the maintenance, and the cost to fix it. Thank you for the military discount. Overall GREAT CUSTOMER service.",5.0
13,"April 17, 2020","Great idea to come out and pick up my car for service, really appreciate the effort and service was excellent! Thank you for your help!",5.0
14,"April 16, 2020",Prompt scheduling for recall work on new  330i  and my car was picked up and delivered back at the end of the day.  Excellent customer service.d,5.0
15,"April 16, 2020","During the Covid-19 pandemic, I was relieved to know that Rusnak took safety and precautionary measures by picking up my car and leaving a loaner (2020 530e) for my use. My service advisor, Renee Norris is AMAZING! I've purchased two BMWs from Rusnak from Scott Smith, who's also awesome. My overall experience at Rusnak has been easy, accommodating and very satisfying from sales to service. I live closer to another BMW dealership along the 101 FWY, but I prefer Rusnak because the relationship and their customer service. ",5.0
