,Date,Reviews,Ratings
5,18-Sep-18,Helen at Penske keep telling me my check is in the mail all Helen keep telling me lies. I will never sent anyone to that dealer for a car and this will be my last Chevy I purchase I will be going to channel 4 to expose what they are doing to me and also a lawyer ,1
22,07-Dec-17,"Bought a 2016 Malibu and in less than 18 months, I've had four major issues with the electrical system.  Took it in yesterday due to an issue with the Stable-Track system.  They ""replaced"" two sensors.  Today, the car died on the road and they claimed that the battery (not under warranty) somehow went bad in the 12 hours it was out of the shop.  They tried to get $353 for a new one but ""settled"" for a $100 ""deductible""/ransom

Crooks and liars.  Stay away!!!!",1
153,11-Feb-17,"I went in to get my engine light checked in. After two hours of waiting they tell me the problem my vehicle has and that luckily it's covered by my warranty. I leave my car for a day, come back the following evening to pick up my car. As I leaving the lot, my engine light is still on! I go back and tell the porter and he said they must of forgot to reset it, so there goes my car for another 30mins or so. Later that evening around 11pm, my engine light comes back on.
I went 3 times to this dealer in one week and now they found something else wrong and unfortunately warranty doesn't cover it. Doesn't it really take 3 xxxx times to find that problem!? why couldn't they find that out the first time I brought it in!!! Lazy to do your job complete or what?
On top of that, all those times I never received a call from the dealer about the status of my car. I always called and the person that helped me would never answer. I left about 3 voicemails until I had to leave early to work and drive down there.
Very unprofessional. If it's suppose to be good service, why not call instead of sending a text!
First and last time I ever go here!
Should of gone to Lakewood Chevrolet like I always do!!!",1
179,06-Dec-16,"Car Purchased: 11/10/16 

I called at 9am to let Art know we needed to move our appointment from 11am to 12pm. Art ended the conversation by stating the vehicle would be pulled up front before we arrived so it was ready. We arrived at 12:15pm (after a 2+ hour drive with an infant). The car was not pulled up and the search for the car began. Two or three employees were ""trying to locate the vehicle"". I over heard Art (in a slightly belittling tone) ask the search committee if he needed to go find it himself, because he would find it quickly if he needed to. Looking back now, I wish he would have helped. One hour later the vehicle was finally pulled up. The car battery was dead and it looked like the car had been sitting in a far off corner for months. The car was covered in dirt, cobwebs, hard water stains, etc. Fortunately we had test driven the car at another dealership and we knew what we wanted so we could look past the dirt. But we were embarrassed for the dealership, although it didn't seem to matter to them.

The one good thing, the negotiation and paperwork with Steven went reasonably fast once we said we had to leave. We had a commitment in the afternoon at 2:30, which is why we arrived at 12:15. Since we waited for an hour, Steven helped rush us through the paperwork. We were 30 minutes late to our previously scheduled commitment. As we signed the $10k check and walked away from our $65k purchase, we were assured the vehicle would receive a ""full detail"" and be delivered the following day. 

Christian - the ""sales guy"" - was really nice. Didn't interact with him much, but he answered our questions and seemed the most attentive. He was great going over the features of the car upon delivery.

At 1pm the following day we decided to contact the dealership about the delivery time because no one had called us with an update. We were told the vehicle was ready, was leaving the lot shortly, and would arrive in one hour. Two and half hours later the vehicle arrived. Apparently when this dealership performs a ""full-detail"", it means a wipe down with a dust cloth. There was dirt all over the car, the paint they use to write numbers on the windshield was still on the glass, the tires still had chalk/paint markings on them, and there were numerous spots inside the vehicle that were left dirty. It's quite shocking actually. 

I suppose our standards have been set too high having dealt with Lexus and Infiniti dealerships in the past, but we really only seemed to matter from the time we agreed to a price to the time we walk off the lot. We live 2+ hours from the dealership, so we'll obviously never go back, but even if we lived across the street, I'd have a hard time revisiting this dealership. 

Steven did offer to detail the car if we brought it back, which is an easy offer when he know's we live 2+ hours away. The better offer would have been to contact a partnering dealership near our home town and arrange to have the car detailed at Penske's expense. 

Overall, we had a pretty rough and underwhelming experience with Penske. Doesn't feel good to leave disappointed after you just spent $65k. At least we love the car.

*****UPDATE #1*****11/29/16:

Penske has contacted me in an effort to improve my experience, and I appreciate their effort. I respect the effort they made to provide detailing services and letters acknowledging their missteps. They recovered well.

*****UPDATE #2*****12/05/16:

We were fooled. We were contacted by Sabrina at Penske, and she offered to reimburse the cost of detailing up to $200 (we live 2 hours from dealer, so they said have it done locally and they will reimburse). We had the car detailed and sent the invoice. We received a call on 12/05/16 from Harout who shared that they were no longer going to reimburse us for the detailing because of the review we gave them. It's fairly evident the poor services trickles down from the top, which is unfortunate for the good guys like our salesmen Christian, who was great, but he is being lead by poor managers. Multiple times, and multiple employees at Penske, we were asked to give a review of our experience, so we did. And our experience was not good. Penske attempted to recover, but they failed again to provide a great experience because they were unhappy with our review. They must cover up a lot of bad experiences and reviews by attempting to intimidate you in to giving a good review. And clearly they have a cooperate office monitoring their reviews, so I look forward to continuing to share how poorly managed our experience was.",1
202,29-Sep-16,"This place is awful! They charged me $125 just to blow smoke thru my emissions system then quoted me $900 or possibly more for a repair I had done for $200 elsewhere. Came back for a recal issue, the appointment scheduler had me come in at 7 AM and it's now 915am they haven't even started working on my rig and I got up at 5 am for no reason! NEVER coming here again!",1
414,15-Aug-15,"I was told after 7 days of my truck being in their shop that the noise I heard was standard wear and tear, my truck broke down two days later with broken leaf springs, needless to say this dealership is now under investigation by General Motors for negligence and safety. Oh did I mention it's a 2014 Silverado with 9k miles ""standard wear a tear"" good luck with that see you court",1
418,23-Jun-15,Very rude...horrible experience not profesional at all... I felt discriminated and will take action on this matter everyone there acted poorly I can not accept this kind of behavior and mainly disrespecting us as buyers I will make sure this doesn't happen to anyone again.,1
438,02-Jan-15,Heating does not work and in talking to a service advisor they have had to suffer for months. Internet does not work. No complimentary coffee or anything.,1
439,29-Dec-14,"i took my truck in to have the door repaired and they broke off my door handle . they had my truck 2 weeks and I complained to the manager, Inez. She said they were having problems ordering the handle THEY BROKE!!! So I took my truck back and they were going to call me when they got the handle in>>>>3 weeks later and no call from them....

THEIR SERVICE AND THE WAY THEY TREAT CUSTOMERS STINKS",1
441,06-Oct-14,"this place is out of any type of customer service . no even the general manger can take any decision . this place is trustnessless i dont recommend anyone to go there  and im responsible of what im saying and here is my name and my phone number 
main elqasass
562-303-4977  ",1
455,13-Jun-13,"I bought a new Cruze from this dealer, which was by the way a pleasant experience. But after 3 weeks I noticed my car makes strange noise, so I called them and set up an appointment, with their manager Micheal Carter. When I drove there on time, Micheal wasn't there. A girl called him and apparently he couldn't come, and she told me anyone at the service office can help me. I ended up ""helped"" by a young man whose name I didn't even get. I showed him the noise from my car, he listened for 1 second and told me that's normal, all Cruzes make that noise. Obviously not! I drove another Cruze before, which was perfectly fine. Then he changed his words and told me different Cruze makes different noise, but still the noise from my car is normal. He didn't even bother to open the hood and check where the noise was coming from. He saw me not satisfied and said ""Your car is completely normal, OK!"" and went back to his office, leaving me out there! All he was trying to do is to get rid of me.

CHERISH LIFE, STAY AWAY FROM THEIR SERVICE OFFICE!",1
472,29-Aug-12,"I went in to buy a brand new Camaro, everything went well...and drove her home that day.  Two days later, I get a call from finance saying that the financing fell through.  They wanted more cash from me and said that my interest rate was going to increase.  If I did not agree to these terms, they were going to take the car back from me.  Freaked out, I start looking for help.  I decided to post on Camaro fan forums, figured the guys on there would be experienced car buyers and know the pricing of a Camaro.  Come to find out, not only am I involved in whats called a spot delivery scam, I over paid for the car by a landslide.  Jilma in finance, told me that I was paying hundreds under factory invoice and 29,650 was a steal for a BASE 1LT (only option added: automatic transmission).  The finance director Omar, kills me kindness on the phone and talks to me like I'm an idiot.  I am told,  what I'm going through happens a lot at sleazy dealerships.  If I were you, I would take your business elsewhere...there are plenty of dealerships around

I am now being advised to seek legal council and contact the consumer protection agency.",1
473,13-Aug-12,"The vehicle was driven in for a ABS light and Passenger side Diff gasket leak. The vehicle was towed out with the entire front diff in the trunk and a damaged wheel brake line and other components.  The Adviser never calls back, performs work without authorization and when you call him, he has a don't bother me attitude on the phone.  when the manager was contacted he states its not his problem.........i really do not recommend this dealer, the other advisers seem really sharp, i noticed well sitting for hours in the service drive. they call customers and explein in depth whats going on. so i am sure they have some great employees there, i just got mixed up with the bad bunch. ",1
612,11-Nov-10,"I did all of my research for our new Traverse online, so as to ensure the most competitive pricing.  Many of the dealers kept forcefully encouraging me to come in before they would negotiate.  Edwin, on the other hand, was always open to hearing the lowest bid I had received and able to beat it!  We were on a time crunch to buy the vehicle and, though he was out sick for the day, he still came in to the dealership late at night to meet us and close the deal.  GREAT experience and I would definitely recommend going to see Edwin if you are in the market for a new car.",1
276,22-Apr-16,"Worst experience with a service center. Done regular maintenance in warranty they took 4hrs to do, and haven't done multi point inspection. Because of there negligence It cost me 500$ for my next service for misfired engine. Thanks GM for having a this type of service centers and GM did not help me for the out of pocket maintenance.  ",1.2
452,06-Aug-13,"We bought our first truck here, and went back wanting to trade in our truck for a Tahoe. I was very disappointed with the customer service given. Thomas never gave us a call back when he said he would. He didn't show any interest in working with us or helping us get into another vehicle. They also offered us $7,000 lower than George Chevrolet for our trade in. Thomas said he would try to get us a better deal, but never called back.",1.2
