,Date,Reviews,Ratings
0,17-Apr-20,"We were treated with respect and care by Johnny Lemuz . He provided us with a loner and called
often with updates. All in all, very good service!Thank you, Kathleen Tepper",4.8
1,16-Apr-20,Very friendly staff. Good service! A little Pricey for the service. But good after all. Erick helped me with my service. He did a great job. ,5
2,08-Apr-20,"Extreme professionalism.  Kelsey Moran is extremely professional, courteous, and very organized.  She made my entire service issue a breeze.  Johnny in service as well. Great staff effort.",5
3,30-Mar-20,"Great service especially with everything going on with social distancing!  My service was very informative, respectful of distance, and kept me up to date about vehicle.  I recommend this service department to all my friends.",5
4,27-Mar-20,"Service was standard..  Communication by Brian was Terrible .  Vehicle not ready as promised..  Service Dept lost my Lock Key To my Rims...  
Very Disappointed!! 
Got home in Ojai, Ca and had to turnaround and drive back to dealer..  No follow through..",1
5,20-Mar-20,Great. Mostly worked with darrren Stewart. He was knowledgeable and helpful. My one wish is that I could have gotten more for my trade in.,5
6,20-Mar-20,Cliff is super- service advisor.. very helpful and cashiering staff as well!! Good job everyone!!look forward to using you for years to come🌻 very polite staff!!,5
7,16-Mar-20,"Overall a pleasant and ethical experience. My salesperson was Maximus. He was great, very easy going and didn't waste time. His managers and finance officer were equally great to work with, they definitely have some options for the credit challenged individuals like myself. I didn't have to drive far for the van I bought and now I have a dealership close by that I'll be going to for service for the years to come due to there great customer service. Thanks Crown 👍. ",5
8,12-Mar-20,"I feel like I can trust them, they are gentle ,big inventory to chose from and good prices, they make this purchase to easy, thank you. ",4
9,12-Mar-20,Took my 2500 Laramie in for recall work. Dealt  with Cliff in Service who took care of ordering parts and scheduling my appoint. Said the work would take one day and and true to his word the truck was ready at the end of the day.  I’ve purchased 4 vehicles from Crown Dodge and with every vehicle I’ve been professionally and efficiently taken car of.  Thanks Cliff for a amazing job!,5
10,11-Mar-20,Totally satisfied with everybody from sales the finance to all service advisors almost like everybody’s family I even bring the guys lunch when I come,5
11,04-Mar-20,"Everything was great! In and out in less than an hour . 
I was told that the recall fix would take all day and I would need a rental car. Might tighten up on accuracy. ",5
12,02-Mar-20,Everyone is always so attentive and helpful! All questions answered! Went above and beyond to accommodate my budget and get me exactly what i needed! Second time visiting and purchasing a vehicle from them and it was everything i expected and more! Thank you! ,5
13,27-Feb-20,My 2015 grand caravan needed an hvac motor and diagnostic of suspension. I was not able to get a service appointment by phone so I drove in and waited in line and got an appointment for the following week. I dropped off the car Monday and it was finished the following Wednesday. They replaced the hvac fan motor and the rear shocks. ,4
14,27-Feb-20,"Overall, I had a good experience working with Aaron Lane in purchasing my 2019 Dodge Challenger GT. He is very friendly person and supportive even after I bought the car, a couple of days later I realized one of the key is not for my car and informed Aaron, he tried to find my keys and when he couldn't he ordered for a new keyfob and he told me that he can mail it to me so that I don't need to drive back to them. I highly recommend him and definitely I will buy my next car from him.
",4.8
15,24-Feb-20,"Great selection of trucks as well as cars which is close to my Ventura County home and work location. 
CROWN DODGE has a great selection.....",5
16,22-Feb-20,"Cliff is always great.  He explains and recommends additional service.  Thanks
He should get a 10 for his service. He is the best I ever had there.",5
17,21-Feb-20,I had a very good experience at Crown Dodge. I was able to get the car I wanted at a great price. Good experience thanks ,5
18,16-Feb-20,John worked with me and was able to meet at a price we both agreed upon. Happy with my purchase and will recommend to anyone,5
19,13-Feb-20,"Someone made a mistake with our paperwork. Mistakes happen, it's how you fix them. It took us 20 plus phone calls and hours of our time before someone took us seriously enough to look into our issue. If you work with Sammy, run. They could care less about their customers post sale.",1
20,07-Feb-20,Appointments for oil changes would be nice otherwise work was done within Two hours.  I was well informed by text messages about the progress of the work.,5
21,04-Feb-20,Terrible having to wait 1 hour before you have a scheduled appointment! Totally poor business! Apologies after apologies doesn’t help! Bad service for me,1
22,03-Feb-20,"Excellent customer service by Johnny and the cashiers when picking up my car per Johnny was clear and called
Me with updates on my service ",5
23,03-Feb-20,Took in my Jeep Wrangler 2018 for service and another issue. Taken care of quick and was set up with a rental. Issue was solved with In two days. When I came back to pick up my Jeep service was great and my Jeep was washed and is driving great. Brian and Robert were on it. ,5
24,01-Feb-20,"I am so pleased with this recent experience. My daughter had previously purchased a used car from Crown and was really taken advantage of. And while I understand that salesman are in this business to make money, this was way beyond that. And besides paying way too much for her car, she didn’t like it! I came back into the dealership with her and we met with Darren Stewart. He was just great! He helped my daughter get into a car she really loves at a price that was much more than just fair. For this we are very grateful. After a really great interaction with Darren and getting my daughter a great car, we were helped by George in finance. He is great, too!  Honest and  patient. And really fun to talk to! These two men changed my entire opinion of this dealership. Thank you!",5
25,01-Feb-20,"Again, as with other times, I have had a good experience at this dealership service center.  Johnny Lemuz who helped me, with arranging the service for my grand cherokee,  was exceptional.  Explained everything and answered all the questions, gave me updates and followed up. Great customer service.  Everyone I spoke to, were helpful.  Even though I do not live close, I would come back.",5
26,01-Feb-20,Fast and easy. Aaron was great to work with. I told him my needs and he delivered without the back and forth. They say the key to success is to deliver more than what the customer paid for and I got that from Aaron. He will be very successful.,5
27,31-Jan-20,The Service Management has a bad attitude and blames computers and an out dated shop for why they couldn’t fix my car. Will not use this repair shop again. ,1
28,31-Jan-20,"This review is a little late.  Several months ago I went to Crown Dodge for an Oil Change.  When I purchased my Dodge Durango, X amount of Oil Changes were included. The Service Guy that checked me in stated that the amount of Oil Changes have expired and I would have to pay for  all future Oil Changes.  I was not happy. This was not explained to me when I purchased my vehicle.  I went to find my Sales Person.  He  stated he couldn't do anything and brought me over to see Mr. Dave Weber.  Dave was amazing.  He took his time, allowed me to explain everything that happened, and understood my situation.  He had a few words with my Sales Person, then stated to me that he would make things right.  I thanked him for being so fair and empathetic and he said...""I BELIEVE THAT YOU SHOULD TREAT OTHERS THE WAY YOU WOULD LIKE TO BE TREATED.""  Thank you Mr. Weber for taking a horrible experience and turning it into a testimony in restoring my faith in Humanity.",5
29,29-Jan-20,It was a straightforward deal with no pressure.  My only concern was buying a truck at my age. That was the fault of whoever stoled my truck. The staff was very cooperative and made it a good experience. Thanks  ,5
30,28-Jan-20,"I bought my car on Jan 2 and I was told I would have 45 days until my first payment was due. I got a letter saying my first payment is due on Feb 1. I called the salesman that helped me with the car and he said just come in and we’ll fix it. I came in and talked to a finance officer and she told me it can’t be changed and I should have read my contract and it stated Feb 1st. 

I’ve now had this car for almost a month and still haven’t gotten a call for when I can get the tint put on. I could have saved money and went to a tint shop and gotten it done on the same day. The only reason I did it here is because I was told I would get a loaner car while they do the work, which after reading my contract I see also is not true. 

Now do I love the car, yes. Do I feel like I got cheated, not really.  It’s the inconvenience of it all. I shouldn’t be told one thing and not get it. That’s a real bad sales tactic. 

Moral of the story, don’t believe what they say. Believe what’s on your contract and read every single page before signing it. I will definitely not buy another car from here, nor will I recommend anyone else too.",1
31,25-Jan-20,"Jorge schweizer was very helpful to get a car thanks so much we live our new jeep Parriot, highly recommended him whe you look for your new car",5
32,23-Jan-20,Had an oil change and tire rotation today  and I was very pleased with the courteous and efficient staff who handled my service today. I would recommend the service Dept. ,5
33,19-Jan-20,"Beware of this dealership, You'd better know the ins & outs of car buying and financing.  Be prepared to challenge the employees. I've purchased 13-15 cars over the last 20 years & this was by far the worst experience. .  ",1
34,17-Jan-20,Went in to trade our car and got the best deal possible!! Thanks @Max for all your help! And Jordan! You guys were awesome!! Second purchase from them. ,4
35,15-Jan-20,"Took my jeep for oil change at 8am , no appointment needed . Express  oil change ! I was there for 3 hours ! I not sure the definition of express but Crown jeep in oxnard ca im sure is not at any point a express service ! I would lake a look  at renaming it to something more true . Besides that the year 2020 and customer service is non existent so i will not comment. . ",3
36,14-Jan-20,If you want to buy a car..go see Jesse or Jordan. They will find you the right car with the best price within your budget with little money down. When I bought my Chrysler I was making $8 an hour. I'm about to trade it in and buy 2 more. ,5
