,Date,Reviews,Ratings
0,"May 19, 2020",Service advisor Lonna did a great job of calling me to keep me up dated on my vehicle ..she was very professional with her work.,5.0
1,"May 18, 2020","Great customer service, Jose kept me updated on my repair. The repair was done right and in a timely manner. I would definitely recommend to my friends and family. ",5.0
2,"May 16, 2020",Was worried about taking my car in for service after a horrible experience I had the first time but glad things turned around this time seems like the mechanic new what he was doing unlike the first one that serviced my jeep,4.0
3,"May 15, 2020","Just ok
very average, nothing special that you couldn’t find anywhere else at a much lower price, the labor per hour is stupid expensive and the parts are marked up some
Only use them for my warranty/recall issues and oil changes which comes with detailed inspection and suggestion report which I take to another place that costs a lot less to repair 
Staff are ok, they’re just trying to do their jobs 
Overall you can find more economical spot that will give your same results ",2.0
4,"May 07, 2020",Friendly service. Found problem quickly. Repairs were done efficiently. Tony was very polite. Only complaint is They told me I made need new battery. Needed to jump start when I arrived to pick up. After getting home I realized they left the headlights on. Minor oversight. All in all great service. ,4.0
5,"May 04, 2020","When it comes to proper customer care and the best service around, I trust Paul Gordon and the team at Orange Coast to get the job done !",5.0
6,"May 02, 2020","I was surprised, gladly, my last experience with this dealer was a disaster i was frustrated and  i was angry, the new personal or at least the guy that helped me this time was nice and helpful , he delivered the my car the day he promised and he kept me informed.
Thank you. Jose",4.0
7,"April 26, 2020","Although very busy, I recieved Great service, friendly, and good time. Always kept informed on the process . Plan to return for service on my jeep
",4.0
8,"April 26, 2020","This is the best Jeep dealership I've found. They've provided the BEST service to me for many, many, many years. And their workers are extremely friendly to me. The service timing is always proper and fast. ",5.0
9,"April 23, 2020","Service was inadequate. Truck returned dirtier. No phone call returned when service was to be discussed. Disappointed and will probably change dealerships.  Purchased 3 vehicles in the past. Not likely to be a repeat customer. 

",1.0
10,"April 23, 2020","Orange Coast Chrysler Jeep Dealership in Costa Mesa is the most responsive, courteous, organized, straight forward dealership that I have ever experienced!  Boy, all the other car dealerships owners should have their employees go visit this dealership as a training ground for how to conduct themselves and serve the customer!  In all my years of buying cars (and I am 60 years old😬) I have not had a better experience than here!! Thank you Orange Coast for my beautiful Jeep Wrangler Sahara in Ocean Blue!  It’s gorgeous and soooo fun!  Let the adventures begin!  Great job!!!",5.0
11,"April 22, 2020",Really great team who all work together to make me very happy with my purchase. Definitely going back for my next jeep. They got me a great price on a great car.,5.0
12,"April 22, 2020","We were pleased with the ease of the entire process. EZ Lopez was knowable about the Jeep, and we drove out satisfied customers. We were also pleased with the price we negotiated!",5.0
13,"April 22, 2020",All great and accommodating during these troubled times! Had service and got a loaner all very timely and safe. Paul is always good to deal with!,5.0
14,"April 16, 2020"," Very professional, they did the work quickly, I’m very happy with the work they did.  They accomplish the recall work in a timely manner.  ",5.0
15,"April 16, 2020",From drop off to pick up...we were given the best service ever.  Always share with friends family and strangers how happy we are with our jeep and service!,5.0
16,"April 13, 2020","Excellent service 
German is amazing 
I m very satisfied 
Other times I went to fiat and had a bad experience with the girls. 
Bad prices, never help me.
But German is a excellent employer. ",5.0
17,"April 10, 2020","The best service experience I’ve had in my 70 plus years on this planet! Paul Gordon, the Assistant Service Manager, did everything he said he would do, keeping me informed all the time. I’ll be bringing my Jeep back to Paul and Orange Coast Jeep for all future service calls. They deliver with a smile, making for a very pleasant experience. Thank-you Paul and Orange Coast Jeep. You guys rock!! Jim Holden. ",5.0
18,"April 07, 2020","I didn’t have an appointment for my service. I called, they said bring it in. A few hours later went to pick up my Jeep with fresh front and rear Diff Service & Tire Rotation.",5.0
19,"March 30, 2020","They are, always very good but the waiting area or lack of one was little annoying was not thought thru ,was a little cold that morning ",3.0
20,"March 25, 2020",I purchased the extended warranty on 2017 Ram X-Cab. He explained everything in detail. In a way I could understand the whole warranty. I also enjoyed and felt comfortable taking with him. ,5.0
21,"March 20, 2020","Very efficient, professional, caring and fast service.  I recommend it to everybody I  know and will definitely keep buying my future new cars with you guys.

Thank You Very Much!


















",5.0
22,"March 19, 2020","Orange Coast Dodge and their Service Department has always been good to me and my truck. I’ve had my Ram 1500 Laramie there several times for either warranty work or other stuff I need dealt with and the service crew has always been great.
Gary L.
Costa Mesa",5.0
23,"March 11, 2020",Always efficient never have to wait to be helped vehicle is always returned clean billing anyways explained in detail everyone very nice and helpful anyways,5.0
24,"March 10, 2020",Staff Was very helpful from the start to finish. Very satisfied with my new truck. Will highly recommend friends and family here in the future. ,5.0
25,"March 10, 2020",Paul has been my service manager for many years. He always takes very good care of me and I really appreciate his time and willingness to give me explanations to be honest And I feel he is trustworthy and that he will do the very best for me recently I had a problem with being unable to fill my gas tank without the clicking off clicking off clicking off he didn’t make fun of me he understood he put a replacement in the car which has made a real difference still in occasional problem but overall such a big improvement. I would not go anywhere as long as Paul is there to take care of me because I do feel very comfortable working with him he has the best,5.0
26,"March 07, 2020","German in Fiat Service was outstanding in assisting me with my recall repair. Accommodating, professional, friendly, & competent! So happy to give him a good recommendation!",5.0
27,"March 07, 2020",Friendly non pressure staff. Salesman Devan was polite and friendly. Test drive of the Wrangler was offered and completed. I did not buy now at this time,5.0
28,"March 07, 2020","German and the gentleman who checked us in were great!!  Our check in was fast and efficient and German was very helpful, explaining the entire process.  ",5.0
29,"March 05, 2020",The service always gets you in and out. They are nice and make sure your doing good. Even if busy the lounge is a great spot to wait. ,5.0
30,"March 02, 2020","Amazing customer service, Tony made sure every question I had was answered, every concerned I had was looked at, an above and beyond attitude he has",5.0
31,"February 29, 2020","Thanks for the wonderful care and Service.    German, our Advisor took great care of our Fiat warranty service. Sam
at Parts Dept. Is also wonderful.
",5.0
32,"February 29, 2020",Great service great communication from service advisors along with Great customer service. I look forward in continuing to do service/preventative maintenance service to my vehicle at this facility,5.0
33,"February 28, 2020",Excellent customer service. Deal was done in under and hour and I drove away with my vehicle.  Friendly and accommodating service.  I would highly recommend ,5.0
34,"February 26, 2020","This dealership always takes care of the customer,been going there since I bought my Jeep from them, have had them do all my serviceing.",5.0
35,"February 26, 2020","I purchased my Town and Country about 12 years ago from you folks, and your staff has taken excellent care of my vehicle at reasonable repair and service costs.
Regards,
Curtis Ratzlaff",5.0
36,"February 25, 2020","Jose Torres has helped me with any problems that I needed fixed with my Jeep. Though I have only met him a handful of times, I know he definitely puts customer satisfaction and trust first. Very rare to find in the car industry. Thanks Orange Coast!",5.0
37,"February 25, 2020","Jeff was a great sales person. He was very responsive, knew the vehicle and went above and beyond to help me get into my new vehicle. I am already referring family members to him because of his great customer service!!!",5.0
