,Date,Reviews,Ratings
0,"March 30, 2020",I went in for a recall on my scat pack challenger and ended up walking out with a 2019 Hellcat charger. Everything seemed ok like a normal trade in transaction and I was happy with the purchase. Up until recently that I discovered that the financing dept never paid off my trade in and now I’m getting phone calls from my previous lienholder demanding I pay my now late car loan. Threatening me with damage to my credit score. I’ve never experienced anything like this before and with the “shelter in place” I’m caught between a rock and hard place not able to contact the dealer because they are closed. I’ve had to contact Dodge directly for help with this matter. ,1.0
1,"February 25, 2020","My husband and I just purchased a Durango SRT and Desan was with us every step of the way. From the moment we test drove it, to the day we decided to purchase, Desan answered every question we had. Desan made sure we understood the type of car, knew what it was equipped with, and how to navigate the car.  Desan was quick to respond to any questions we had and made the process much easier. He was very professional and passionate about his job. We enjoyed having him as our salesman and would definitely recommend him to others. ",5.0
2,"January 27, 2020","I was in the market for a commuter vehicle and came across South County Dodge. I put in a request for a quote on a specific vehicle and ADAM WARDAK contacted me. I reiterated that I was interested in the red vehicle specified in my online inquiry and asked Adam to send me the exact out the door price, as I intended to purchase the vehicle using cash. Adam texted me the cost breakdown and I called him to confirm, as I would need to drive approximately three hours to get to Gilroy, CA.

When I arrived, Adam did not make any attempt to come out and introduce himself. Shortly after driving the vehicle, I was told that my vehicle is more expensive than what I’d been quoted, and that the quote I was given was for a grey vehicle. I had fallen victim to a bait-and-switch and ended up driving over three hours for no reason.

I would also like to add that I have never purchased a vehicle at this low of a price point. I’ve negotiated deals with BMW, Porsche, Lamborghini, Rolls Royce and have never been treated this way. I don’t have much experience working with the lower end dealers and find it disgusting that they treat their customers the way I have been treated. I feel that a good business should treat all customers who are willing to give them their hard-earned money in a consistent and respectful way, regardless of the customer’s financial means.",1.0
3,"January 16, 2020","was suppose to send me a price on a  Ram truck and give me a price on a trade,never called or wrote back .insane",1.0
4,"December 30, 2019","They management and sales department here at south county jeep dodge Chrysler held up high standards and delivered excellent customer in making my decision in purchasing my new jeep. Thank you Adam and Abdul again, will be back!",5.0
5,"December 11, 2019","Thank you to John Samra for making my car buying experience easy and as expedient as possible. He was very easy to work with and straight forward with me throughout the entire process, and we were able to come to a deal much quicker than any other dealership I have ever been to.  ",4.8
6,"December 05, 2019","Getting a new car was easy and far past enjoyable, Brandon did an excellent job with helping me find the exact car I wanted and brought out the best deals! Extremely grateful and very excited!! :) ",5.0
7,"December 04, 2019",It was a great experience working with this team made the process smooth from sales to financing with my 2019 Ram I recommend everyone that’s looking for a deal here ,5.0
8,"December 01, 2019",James And Baxter are top notch sales associates that I have ever experienced. Their down to earth attitude and professionalism made the experience welcoming and easy. ,5.0
9,"December 01, 2019","Alex was very helpful and knowledgeable, and made our buying experience as easy as possible, without pressure.
Combined with a manufacturer and dealer discounts, the price was competitive.
Till, our sales representative listened to our concerns and suggestions.
Overall, the sales and finance staff were professional and friendly.
We recommend South County Chrysler Dodge Jeep Ram, and Alex A. when hunting for a vehicle. ",5.0
10,"November 28, 2019",James and Baxter was really good helpful and informative. Adam made sure they were a available to help me out no matter the circumstances thanks to everyone,5.0
11,"November 25, 2019",Brandon was an absolute pro to work with.   No pressure and made the experience of buying a car pleasurable. He is the epitome of a salesmen and I’d recommend him to anyone who goes to south county CDJR to buy a car.  ,4.0
