,Date,Reviews,Ratings
0,"May 02, 2020","I brought my 2017 certified pre-owned Ford Escape in the day after I bought it used from a dealership farther away to ask a question about the car.  I spoke to Steve in the service center.  He was rude and condescending.  He told me that if I didn’t like the car I had two days to return it and even if I had an extended warranty they weren’t going to fix anything anyway.  I did eventually get an answer to my question that I was able to verify but not before he had thoroughly disparaged me with his attitude.  Actually, I love the car and didn’t want to return it.  I just asked if he could explain something to me that I didn’t understand.  Too bad I can’t love the service department at Ford Lincoln of Fairfield too.  ",1.0
1,"June 02, 2019",Was dealing with them for a ford mustang convertible. After giving a written offer on email and making me travel 100miles one side. They refused and said that was not the offer on convertible. Said some other person wrote that price on his name and he didn't knew. When on successive emails he was talking about same. Such a cheaters and liars. Definitely no one should go to buy vehicles from them. They will just waste your time and they don't care. Travelled 2hours to come back without a car. Atleast be genuine in the starting and say the truth . Why wasting customers precious time,1.0
2,"April 26, 2019","Matt is awesome. Very knowledgeable, and friendly. The process was smooth and took less time than expected. The general manager greeted me and my brother and made sure everything was taken care of properly. Do you need a vehicle? Go, visit Matt and everybody else in there. ",5.0
3,"February 15, 2018","Our salesman, Marvin Sexton, worked to ensure we had the deal we were looking for. We conducted all our business by phone. There were no surprises when we completed the deal. Everything was as promised even the great gently used vehicle. The purchase process was effortless. ",5.0
4,"July 24, 2017",I bought my Escape over a year ago and every time I bring the car in for an oil change they treat me like a VIP. It is easy to come in using the Quick Lane and Megan took care of me right away last week. She even remembered me from my last visit. It took very little time and I was back on the road. I didn't mind waiting because I enjoy looking at the cars in the showroom while my car is being serviced. ,5.0
5,"July 17, 2017","We stopped in at our local Fairfield Ford Dealership thinking about trading in our Edge. When we walked in, we were immediately greeted by a friendly sales manager, Bryan Rice. Bryan took his time showing us different models on the lot and listened to what we wanted and needed in a next vehicle. He answered all of our questions and made the buying process smooth and easy. No matter what question or scenario we threw at him, Bryan always had an option for us to consider. Having a selection of options made our final decision easy and clear. He is knowledgeable, trustworthy, and has a great sense of humor. He went above and beyond during our time at the dealership and we will always go back to Bryan Rice in the future. ",5.0
6,"June 20, 2017","Awesome crew there, great sales lady Ann.. felt at home and best deal around.I looked within a 100 miles and this deal wad the best of them all.",5.0
7,"April 14, 2017","Had electrical issues where all in cab controls froze up.  Couldn't even adjust volume of radio or turn on headlights gauges didn't register at all.  Radio stayed on after truck was shut off, so I disconnected power from the battery to reset the computer.  Truck controls came back up fine, but the re was a check engine light on.  I read the code (with my own handheld code reader) but didn't clear it so the service department could advise me, code was P2560, which I believe translates to ""low coolant level"", I checked the coolant level and it was right in the middle between max and min.  So I drove it in to get advise as to whether it was a glitch or actually valid, what should be a 5-15 minute assessment.  The service writer asked if I wanted to leave it or schedule an appointment, I said I wanted an answer as to whether it was an issue or not, the service writer then stated they were really backed up and wouldn't be able to get to it for 4 days, do I want to leave it or schedule an appointment?  Wrong answer.  These guys are clueless and aren't even willing to check with a tech for a simple answer and to reset a code.",1.5
8,"April 02, 2017",My wife and I had been in the market for a used F -250.  I made a call to Fairfield Ford and Brittany answered.   She let me know what she had and we came down.  She had the truck ready for us to take on a test drive.   She was extremely helpful and had a no pressure positive attitude.   After the test drive we sat down and talked price.   She showed us everything and made the experience simple and easy to say yes.   My wife forgot the check book so Brittany followed us home so we didn't have to drive back.   Amazing service and I will absolutely reach out to her for our next need. ,5.0
9,"April 02, 2017","Excellent service writer, car was ready as promised. the only issue was no loaner car available and as a Lincoln owner no car was available while car was in for service.",5.0
10,"April 01, 2017"," Recently I was in looking at a new Lincoln MKZ, Brittany was my sales person and she made the process simple and easy. I ordered my  New Lincoln and was given an expectation of three months for delivery, no big deal. To my surprise my car was delivered in a little over 30 days. This was not only extraordinary, but Brittany made sure to keep me in the loop on where my vehicle was in the process and when it would be available to purchase. Very happy Lincoln custimer!!!! Will purchase from her again. ",5.0
11,"April 01, 2017","Brittney has given me the best experience at this dealership. There isn't anyone else I would ask for other than her. I will be sure to refer my friends, family, colleagues to her for sure. She took the time to help me build the perfect Lincoln I wanted! Thank you!",4.8
12,"March 31, 2017","Time and time again, Benny has come through for me and my loved ones.  I have bought numerous vehicles from Benny and each and the personal service has been top notch.  No hassle, no pressure, all pleasant car buying experiences.  I cannot speak for all salespersons at this dealership, but Benny is top tier.  Ask for him by name, you will not be disappointed.  Thank you once again Benny, I will be back for my next vehicle.",5.0
13,"March 30, 2017","My big thing whenever I'm buying something is how I'm treated. Whether it's a big screen TV at Best Buy, food from a restaurant, or a car from a dealership. Customer service is very important. And Benny M makes my family feel like family. Even my two year old likes seeing Benny. 

That being said, we bought a used Ford Explorer, payments less than $200. Couldn't have been happier. We'll see you for the next car.",5.0
14,"March 29, 2017","Our salesperson Sunny was great,  however the dealership did not place our order for 2 weeks.  Car did come in under the 16 week time frame.",4.4
15,"March 26, 2017",Bryan Rice is amazing! I was buying a car for the first time and he helped me in every way imaginable. Answered all of my questions and he wouldn't stop until every detail was complete. He had honesty and integrity while helping me buy the car and go through all of the tidious paper work. I would recommend him to anyone buying a car!,5.0
16,"March 25, 2017","Mark was very nice and professional. He made us feel like we were the only customers there, and made sure we left with the SUV we came to purchase.   ",4.8
