,Date,Reviews,Ratings
0,"May 20, 2020","Best service I’ve ever gotten. Went to Toyota down the street and they were unwilling to work with me, but not Honda! Thanks Gina!!
",5.0
1,"May 19, 2020","I’m satisfied with the service, service advisor are good and most of it I’m happy with the services rendered. I will recommend this my other friend ",5.0
2,"May 19, 2020","Buena  Park service dept. advisors are consistently helpful, polite, and professional.  With new covid-19 protocols in place my recent experience went smoothly and efficiently.  Kurtis was very helpful  and efficient.  He explained the possible costs and diagnostic steps to repair my car's issues.  Thankfully turned out to be the least expensive and easy fixes.",4.8
3,"May 19, 2020","I stopped by just to see how I can get rid/out of my currently leased Accord, and drove off with a brand new Odyssey.  Very easy smooth transaction from beginning to the end.  And the staff were all very friendly and dedicated and knowledgeable.  Overall very pleasant experience. ",5.0
4,"May 19, 2020","Go here, look around for a car you like, test drive the one you like and lastly, if you love the car you drove, let the helpful Honda guys help you acquire that car. These folks gave me some words that I took in and it inspired me so much. Listen very closely when you get told, “you have to start somewhere”. Negotiating was very painless and there was no pressure from the start. I will highly recommend the guys at Buena Park Honda because they deserve it! Start somewhere, start here! Many thanks again Honda! ",5.0
5,"May 19, 2020","Everybody was really helpful and friendly. I will definitely recommend my family and friends.
I had a very good experience they answered all my questions. ",5.0
6,"May 18, 2020","The sales and finance team at Buena Park Honda were personable, courteous and upbeat. Best of all, they were honest and ethical in keeping their word about not adding on dealer fees to the advertised price. It made the purchasing experience a pleasurable one.",5.0
7,"May 18, 2020","I had a great experience, everyone was extremely helpful and were able to get me the deal I was looking for. I will definitely recommend. ",5.0
8,"May 15, 2020","2nd time I’ve least with this dealer and I always recommend him to friends in the market for a new car. They’re helpful, convenient, and pleasant to work with.",5.0
9,"May 14, 2020","Buena Park Honda is the best Honda dealership to purchase a Honda. They have several great deals on many quality Honda's. I purchased a 2020 Accord and was blown away by the service they provided. Salesman Alex Lemus was very attentive to all my questions and requests. He suggested I test drive the vehicles of my interest, to get a feel of what I would like. In the end, we selected the Accord thanks to Alex, and his expertise. Good job Alex, I recommend him if your in search for a Honda. Also, their financial department is the best! We worked with Michelle Padilla and she gave us great advice on choosing the best added services on our Accord. She's very knowledgeable, and out going. Thanks you Michelle! Thanks Honda Buena Park! See you again! ",5.0
10,"May 14, 2020","Dealership just getting restarted after virus shutdown, so there was a little more wait in line to get in, but everything went well afterward. People were courteous and helpful and completed everything I requested. ",4.6
11,"May 11, 2020","Great customer service as always, even during a pandemic. All the staff members were extremely helpful and attentive. Again, Tony did an excellent job with my Honda Civic and I will continue coming back.",5.0
12,"May 10, 2020","I love my new Honda CR-V. 
Buena Park Honda they are very kind and professional. 
I recommend Honda for my friends and family.
Very good! ",5.0
13,"May 09, 2020",Peter was super helpful! He was able to answer all my questions and provide great service! Elisa was always great at walking me through the financing process. ,5.0
14,"May 08, 2020","Attended very good on my car while waiting at the lobby . Cannot go home?
 No shuttle because of the situation.
Thanks Alex for taking care  ",5.0
15,"May 08, 2020","Great Customer Service! Very Satisfied, They Got Us Into What We Wanted, They Worked With Us And Our Budget, And Not To Mention We Have Bad Credit, They Didnt Pressure Us, Nor Push Us To Try And Get Just Anything! Really Recommend Them! Will Be Returning In The Future! 
Thank You",5.0
16,"May 07, 2020",I'm not going to think twice to get service at Buena Park Honda I trust all staff take care my cars Really very happy thanks 😃😎,5.0
