,Date,Reviews,Ratings
0,"May 15, 2020",I had a great experience with my recent lease of a 2020 Honda Accord. Mike and Tamim were extremely professional and courteous throughout the process. There customer service was first class.,5.0
1,"May 09, 2020",I had a great experience at Honda!!! The people were very helpful and made everything super easy. Would definitely recommend to anyone needing a new car.,5.0
2,"May 03, 2020",My boyfriend and I had super fast service. GREAT customer service. Gave us the best possible deals. Everyone was very nice. Thank you Victor and everyone else who helped me with my first purchase. HIGHLY recommend to anyone.,5.0
3,"May 03, 2020",Great service and super fast!! I arrived and was greeted with a friendly employee. He informed me what would be happening and instructed where I can wait. The service was performed in a timely manner. The employees are so friendly and the facility is clean.,5.0
4,"May 01, 2020","Their Concierge Service provides touchless pick up & delivery for no charge. Honda Odyssey in for two recalls and 25,000 mi service. Pay online. They use a spray disinfectant to sanitize. ",5.0
5,"May 01, 2020",Daniel was very responsive to all my questions and worked fast for me as I wanted to be in and out during a pandemic. he was very accommodating to all my request.,5.0
6,"April 26, 2020","Service Rep, Johnny Lam, was very accommodating and patient in explaining what service was needed. I have brought my Hondas for servicing to Stevens Creek Honda (this is my 6th Honda) over the years and have always been very satisfied.",5.0
7,"April 26, 2020","Honda of Stevens Creek offered an inspired service choice, during the shelter in place order for Santa Clara County.  They arranged for concierge service, picking up my vehicle, performing a recall, and returing my vehicle the same day.  I was able to stay home, and work remotely during this time.  This was a brilliant idea.  Good job.",5.0
8,"April 24, 2020","I had the BEST experience at Honda ! Daniel L was so so nice and efficient! He is one of the best service reps I’ve ever had !:)
THank u 
",5.0
9,"April 24, 2020","Jeffrey barats is very nice five stars for him and good customer service and also answers every call and he try's to anderstan,bye",5.0
10,"April 17, 2020","I took my car in for an airbag recall. They pointed out that there was also a problem with the driver's safety belt buckle. They changed both items under warrantee, and I got my car back the next day.",5.0
11,"April 14, 2020",I came in for a recent P201 error code that needed programing and replacement for my electronic throttle control. I also needed to change out my brake and CVT fluid as well. My adviser Johnny Lam came out masked up but with a friendly greet! I explained to him the situation and he listened to what I had to say. I always do my own research before coming to see a mechanic shop and I appreciate advisers who have real technical knowledge rather than sales first mentality. He even insisted I did not need to replace my ECT but I wanted a peace of mind so I asked for it done anyways since I already bought the parts. I appreciated Johnny's honest feedback and did not try to up-sell me additional services. Overall this was my first time at Steven Creeks Honda; I like the atmosphere and customer service so far. I would definitely considered my next service here.,5.0
12,"April 13, 2020",They did great on my oil change & giving me a new battery for my car!!!  I was satisfied with the service & they even gave me a ride home & picked me up after service was done.  ,5.0
13,"April 13, 2020","Johnny did an excellent job. Because online scheduling site didn't have any spot available, I talked with Johnny over the phone and he helped me enable it. Johnny customized the type of service which were crucial for my car. Within two-three hours, car was ready. Johnny's team is really customer driven and paid attention to details. Will come back next time.",5.0
14,"April 13, 2020","We were extremely happy with the service that we received. We started by emailing multiple dealerships and Honda of Stevens Creek responded almost immediately and was very responsive. With a couple emails and a quick phone call we agreed to purchase a new Honda. When we arrived at the dealership all the paper work and vehicle was awaiting us and after a test drive the car was sent for detailing. With in a couple hours from the initial email we were driving off the lot in our new vehicle. 
The salesman was great, very responsive, no nonsense and straight to the point. Buying a new car is usually stressful but this was not, would absolutely recommend buy from Honda of Stevens Creek looking for a Honda. ",5.0
15,"April 07, 2020","On a previous repair visit, my wife did have not a great experience and Rick reached out to us. when i brought my CRV in again, Rick and Jeff helped me out and were friendly and efficient. ",5.0
