,Date,Reviews,Ratings
0,"May 01, 2020","STAY AWAY!!!! I leased a Sonata giving my leased VW as part of payment. They were supposed to pay off my old lease but it never happened. May is the third month I’m paying for both cars. They don’t return my calls and emails and I already went over there twice to try to fix it. They don’t honor their word and they don’t care about customers after the purchase. I am going to see a lawyer to make them do it right. If you are looking for a Hyundai or Chevrolet, don’t waste your time and health going there.",1.0
1,"March 11, 2020","David who'd helped me w test drive was very knowledgeable, patient, and laid back. I think he's the best car sales person I had ever worked with. I highly recommend him and would have given 5 stars but since it's dealer rating not a sales person I took one star off. Because when it came to financing portion there was some miscalculations, change of APR without pointed out to me. Overall a great dealership w helpful, friendly staffs. ",4.0
2,"March 06, 2020","Nothing but good things to say about Win Hyundai. Everyone from start to finish was incredibly kind and helpful! Our sales person, Dave, was super helpful in the buying process. Would definitely recommend them if you’re looking for a new car!!",5.0
3,"February 20, 2020","This is my third time returning to this dealership and each time we are welcomed, accommodated and heard. David was able to get me the car I wanted at the price I requested. We spent a good amount of time here, but the process was seamless. Thank you! I drove back down from Pismo Beach, CA to lease my vehicle at this WIN location. ",5.0
4,"February 03, 2020","We had an absolutely wonderful experience here!! Fantastic customer service! I was initially assisted by a young man Alex. Very polite and well knowledgeable!  David assisted in the financial portion and gave us a great deal!  The general manager Nima stopped by multiple times to confirm everything was going smoothly. They were all very honest and we walked away with a great car, a great deal, and a great experience! This dealership came highly recommended by a friend and we will be back next time our family needs a car!! ",5.0
5,"January 04, 2020","My decision to purchase the Hyundai Kona EV Limited was largely due to David Aguilar. 

David was super nice and made us feel so welcome. As a woman trying to shop for a car, I have gone into many dealerships where the salesperson ignores me completely or gets irritated with my questions and answers them with short responses. David treated me with respect, taught me a lot more about the future car I was going to buy, and answered ALL my questions with a smile on his face. He really knows his vehicles and does not try to pressure you into buying a car that you do not want. He is open with prices and doesn't try to hide them from you or add unnecessary charges. I was still supposed to check out the Kia Niro but because of David's AWESOME customer service, I WANTED to buy the car from him and we did that same day!

Thank you David for making this car buying experience so fun and actually enjoyable! 

TIP: If you know you want a hyundai, skip the chevy side and go directly to hyundai. The chevy people don't know anything about Hyundai's. ",5.0
6,"December 31, 2019","While in the market for a new vehicle, David Aguilar assisted me on arrival. He was very knowledgeable and allowed me time to ask many questions. I ultimately purchased a new Santa Fe from him and would do it again next time I’m in the market. Over the years I’ve seen different levels of service, but David Aguilar is a seasoned professional at all phases of the deal. Thank you David for making my experience both informative and affordable.",5.0
7,"December 27, 2019",The entire process was very pleasant and quick which I appreciate. No BS. David Aguilar was great and provided Awesome service. He answered every single question we had and he was very thorough in explaining the contract and the car itself before I drove off the lot. Would definitely recommend him to friends & family. ,5.0
8,"November 30, 2019","First let me say that David is the absolute best! We went to approximately 4 different Hyundai dealerships over the course of a month looking for a new Tucson and my husband hated every single one except David at Win Carson. He despises the whole ""car dealership"" experience and detests the typical salesman pressure that they give you as soon as you walk in the door. However, that wasn't the experience when we walked in to Win Carson. David was so helpful, patient with absolutely NO pressure at all. After we met David, we took a test drive and decided to put a deposit down to hold the car. After a couple days, we called David and had him cancel the deposit since we were having second thoughts. However, after thinking even more about the amazing customer service we experienced with David and his very calm and no pressure demeanor, we knew that we had to come back - and called the next day to have him hold the car until the weekend. The rest is history as they say - thank you again David for all of your help! We love our new 2020 Hyundai Tucson! (aka ""future car"") :)",5.0
9,"October 30, 2019","David was THE best! I didn’t have the best experience with this dealer previously, but David made all the difference. He was super easy to work with, flexible with options, and very transparent. He even went over each booklet with me and sent me additional car info online as well. He is like the perfect anti-sleaze sales guy! Thank you again, David! I couldn’t be happier with my car and my purchase experience with you and Ivan. :)",4.8
