,Date,Reviews,Ratings
0,"January 01, 2020","Brook Govan the IT sales manager was great to deal with. We had been let down twice by our local dealership in Orange County and close to giving up on buying a car. Thankfully we reached out to Kearny Mesa and was introduced to Brook. He listened to our concerns and wishes and went above and beyond to make sure we got everything we needed. It was because of Brook we drove all the way from Orange County to San Diego at 6pm to get our car. Well worth the drive.

What sets Brook apart is that he's not a pushy sales guy, he wasn't trying to force us into buy add-ons or take something we didn't need. He is very knowledgeable. He comes across as your best friend's dad, who is super nice and caring. He even messaged us the next day to ask how our journey home was. 

We will definitely return for our next purchase and highly recommend Brook. ",5.0
1,"July 12, 2019","Well, I could write for days on the poor service.  But recently my wife scheduled an oil change.  They are so proud that the wait time for a simple oil change is 2-5 hours.  
Well in addition to growing old waiting for our car to be done.  They got the wrong date and wrong phone number.  They refuse to call my wife and will only call me.  We put my number on their do no call list and they continue to call.  They said it must be a scam, but I could hear other Kearny Mesa Hyundai reps talking in the background when I answered.  They continue to call me.  Over 6 in 6 hours today.  And they still have the wrong service date, even though we called and made sure they had the right date.  Now thwy want to know why I did not show for the appointment that we never made.",1.0
2,"April 20, 2018","I've been coming to this location since I moved to San Diego but today I had a HORRIBLE experience and don't want others to go through anything similar. I came in for a simple oil change and after the man helping me checked the mileage on my car he proceeded to tell me about a 30,000 mile inspection. He made it seem like an included service. He then wrote up some paperwork and when I asked about the estimated charge he said I would not be charged that. I signed the paper and waited about two hours for my car to be ready. Then, I got screwed with essentially $300 in labor cost for the service I specifically confirmed I wasn't being charged for and I got zero benefit from the unnecessary service inspection they preformed. Biggest rip off EVER! I won't be back....",1.0
3,"December 23, 2017","The General Manager, Dave, and sales person, Suzette, were both amazing.  We needed to buy a car to transport my recently paralyzed son and they were both warm, welcoming, and made it fast and easy to buy the car we needed.  I appreciate their caring professionalism in a very stressful time.  I will definitely go back to this dealership!",5.0
4,"December 23, 2017","This is my 3rd lease from Kearny Mesa Hyundai.  Anit helped me this time and was very professional, thorough, and enjoyable.  I appreciated his approach very much and will be back again.  Thank you!",5.0
5,"December 21, 2017",Everything was done in a timely manner except the insurance policy but that was solely my fault and the time it took when I signed off for the car to when it was brought out to me...took about 45-60 mins,4.4
6,"December 20, 2017",Satisfied with sales person and finance dept.  Leasing car was a good experience and would return   Would recommend dealer for anyone looking to buy car.,5.0
7,"December 18, 2017",The whole process was overall pleasant. We came on Black Friday so the wait was a bit longer than normal but understable. Joe was very helpful thorough and easy to work with.,3.8
8,"December 17, 2017","If you're looking for a small, stylish car you will love it!!  thank you so much hyunda i love my hyundai elantra 2018. Its an amazing car.",4.8
9,"December 16, 2017","Buying a new car can be stressful for me but Joe Dolin was exceptionally helpful, experienced in all areas of my buying experience and I felt completely at ease w how he took care of my every need. This is my second Hyundai and I had a completely positive experience w every detail. Thank you again Joe and Hyundai team. I love my new Santa Fe!! Happy Holidays! Marjorie MacKenzie",5.0
10,"December 14, 2017",This purchase was made for us easy and painless as much as possible. We were very satisfied of the work of the sales person Tom and finance personal. Thank you,5.0
11,"December 14, 2017",Christian helped me with my new car purchase after a recommendation from Bryan. He was very knowledgeable about Hyundai vehicles and answered all my questions. I was dreading purchasing a new car but Christian was so kind and made the process easy. I will definitely recommend Kearny Mesa Hyundai to everyone I’ll  know (this dealership has the nicest staff out of all the dealerships I went to and I went to every Hyundai dealership in San Diego County).,5.0
12,"December 14, 2017","My salesperson was very helpful,  I am satisfied with my purchase. I would recommend this dealership to others. My review is completed, thank you very much.",4.8
13,"December 14, 2017","I had a great car buying experience,  it was quick and the process was smooth. I'm very happy with my new car and that I chose this dealership.",5.0
14,"December 12, 2017","Purchased a new 2018 Hyundai Sonata I had seen online for a really low price. Deal went smoothly, test drove the car, and came out with a car valued at 23k MSRP for 20k after taxes. Definitely recommend the dealer to anyone seeking to buy something new.",5.0
15,"December 11, 2017","My mother and I saw an ad for a 2018 Elantra, and no other cars could beat the package that was delivered with the vehicle. The sales process was simple and our salesman was not hesitant to answer any of our questions and was extremely patient. Was not aggressive like the other salesman we saw at 2 other dealerships that day.",5.0
16,"December 09, 2017","Service was great, it was handled in a timely matter and made sure I understood the basic ins and outs of the vehicle. Great place",4.8
17,"December 08, 2017",Very satisfied great stuff and customer service Brian the sales person was very nice and very professional  Will definitely recommend Kearny Mesa Hyundai  I'm already an a returning customer and being with them for the last 6 years and just lease a new car for the next 3 years,4.8
18,"December 07, 2017",Sales pressure is the worst part of any major purchase.  Brian only gave information and support.  He is the reason I came back to buy at this dealership.,5.0
19,"December 05, 2017",Kearny Mesa Hyundai was amazing in catering to my needs and is a very professional establishment. Thank you for such great service and I enjoy my new car!,4.8
20,"December 02, 2017",the whole process was great and fast and will recommend Kearny Mesa Hyundai and Tim the internet Manager to other people for sure. thanks Alan Zade,5.0
21,"November 30, 2017","Buying my vehicle at Kearny Mesa Hyundai was a great experience for me as a first time buyer. Dan was extremely helpful, knowledgeable, and professional.",5.0
22,"November 30, 2017",I could not have been happier with the leasing of a new car. Tom is an excellent salesman and I totally trust him. He made me feel so comfortable every step of the way. I couldn’t be happier or more thankful!!!,5.0
23,"November 28, 2017",Joe is the best in the business. The service was great. Easy to work with and they work with you as best as possible. I look forward to my next purchase.,5.0
24,"November 25, 2017",Tom Hornsby was an exceptional salesman. He took the time to go over every option and pricing plan with us. We ended up buying two cars from Tom that very day.,5.0
25,"November 24, 2017",The whole transaction was very smooth.  I was given a very good price on the car I purchased and a very high offer for the vehicle I traded.,5.0
26,"November 23, 2017",Overall it was good experience business with Kearny mesa Hyundai . Salesmans were so nice and ploite . It did not take that so much time to make a deal. Hope that I can come back again.,5.0
27,"November 23, 2017","Purchase of the car was good. Took a while to  finalize the purchase of the car, waited for the finance folks for quite some time and to get the car ready.",3.8
28,"November 21, 2017","Anit, just wow. I went into the dealership broken and out of hope. Owing 16,000 on an 03 tacoma trying to get into a family vehicle. Every other dealer had told me they cant help me. But Anit bent over backwards for me. He showed me all my options, and talked with me about rebates that could help my equity problem. He got me in a 2017 tuscon brand new, with almost all my negative equity absorbed. He stayed late to make sure the vehicle was squared away and did everything possible to get me the best deal available. As an active duty sailor i really appreciate his honesty, and non-bs approach. Just an amazing salesmen.",5.0
29,"November 19, 2017",Very transparent and straightforward. The dealer was easy to work with. Willing to negotiate and very friendly. There was a wait and we were not greeted right away but all was forgiven after the transaction. Theu provided a car wash and full gas tank. Anit catered to our needs.,4.0
30,"November 19, 2017",Car searching can be so hard! Joe helped me pick the perfect fit. I enjoy my 2018 Hyundai Elantra and Joe helped make it possible with Hyundai's financing. Thank you!,5.0
31,"November 18, 2017",Great experience as always. This is my third lease with them. I would recommend them to anyone . I will me telling my friends about them,5.0
32,"November 15, 2017",The process online and the follow up at the dealership was excellent. The salesperson was friendly and very knowledgeable. The overall quality of the vehicle is excellent as well as the price.,5.0
