,Date,Reviews,Ratings
0,"January 06, 2020","Work with DEVON Overhuel. Devon took most of the stress and complication our of car purchase. Very grateful for his patience, albility to listen and consult. Excellent follow-up.",4.8
1,"August 20, 2019","We have purchased other cars at this dealership so went back because of past experience. We had the extreme pleasure of working with Aaron Vega. Aaron is a very knowledgeable, friendly, and customer driven sales person. He helped us narrow our search and spent so much time with us as we constantly had questions to be answered. We went back over a few days as we eliminated other dealerships and cars. Aaron never once bombarded us with calls or texts or emails, he was not a hard pressure sales man and that was why he was such a pleasure to work with in our search. 
Aaron is the guy to go to for your Hyundai or Genesis needs! I'd give him more than 5 stars if I could!",5.0
2,"June 15, 2019","Working with me from day one on getting my new Ioniq, Keyvan Bigharaz was awesome. I really don't enjoy high-pressure sales guys at dealerships, and Keyvan never made me feel pressured at all. I initially went in for a test drive and explained that I would be ready to purchase in a couple of months... and surprisingly, he simply asked me to let him know when I was ready to buy. He was very considerate of my time and my needs, and when I came in to purchase he made it happen flawlessly. From getting me the right price to having most of the paperwork completed before I arrived, he had me out the door with my new car in just about an hour.",5.0
3,"April 28, 2019","I was there yesterday to buy a car, our salesman Sean was good and professional, but very unhappy with Alex Marouf, the financial manager, who was so annoying and rude and didn't want to stop trying to sell us additional warranties, only for this reason I'm giving only 3 stars rating.",4.0
4,"April 12, 2019","They are a bunch of unprofessional who don't care about theirs customers. They mislead me into leasing a car. I have tried to book a service which is included in my payment, they never replied. Tried to complain, just once they contacted me and they said they get back to me, they did not. I sent a text message to the manager, it showed ""Read"" but he did not even bother to respond. 
I am so disappointed and nobody is there to help me out. I tried to complain to Hyundai, they said if there was a mechanical or technical issues they could get involve but I have to sort it out with the those crooks directly which is impossible.",1.0
5,"April 10, 2019","I would strongly recommend that you get an estimate from another dealership before you get your vehicle serviced at Allen. What I was quoted for a major tuneup was several hundred dollars more than Tustin Hyundai. I was so stunned and upset because I had been using Allen for several months. That's a big gap. I will no longer take my vehicle to Allen.
Consumers be ware!",2.4
6,"March 29, 2019","When I got into the dealership Kevyan was the first person that walked up to me. It was straight business, I told him what car and price I wanted and he made it happen. I didn't have to hassle or bargain too much and I got a great deal on a new Genesis g70.",5.0
7,"February 23, 2019",Just be sure to get it is writing what they are to do and do NOT authorize anything without your approval.  They will find ways to charge for things and they have no real explanation why it takes so very long to do a simple task.  Does anyone think it should take an hour to change a defective light bulb in the trunk?  Wal-Mart does it complimentary.  Hyundai Laguna is certainly trying to maximize its profits at the service counter.,1.6
8,"February 18, 2019","
Aldo is fantastic! He is truly a superstar!
He was professional, knowledgeable and honest. He treated us like close family member. His approach was not pushy and made us feel like we could trust him which led us to come to this dealership. I have brought many cars over the past 35 years and this was one of the best experiences ever. 
Thank you!",5.0
9,"February 10, 2019","I have seen a second hand car online and it was exactly what I was looking for.

The salesman greeted me with a smile and he said Welcome To Allen Hyundai, how can I help. He went inside as I was looking at the car  ( which looks great) and came back with the keys.

The best part is when the Sales Manager Blair intervened and said are you being taken care of, which was very considerate of him.
I ended up talking with Bessai and Blair about my deal,  talking to both of them I felt like they were old friends,
At Allen Hyundai the customer is king and both of these managers proofed it,
the Allen family should be very proud to have Blair and Bessai on your team
Thank you again for caring and making your customers happy!",5.0
