,Date,Reviews,Ratings
0,"December 31, 2018",Had massive mistakes with my paperwork when I addressed it I was told I would be taken care of. When I emailed the GM he said yes we made mistakes but we don’t give away free stuff. So DMV paperwork wrong twice. Wrong VIn given to me for a quote. Salesman argued with me that he didn’t sent wrong VIN then harassed me about a bad survey number. A small compromise instead go ahead and blast social media would have been smart. ,1.2
1,"April 02, 2018","Bought a certified pre-owned sonata from them. They didn't smog the car (its part of the certification process), trunk latch failed in three days, strange rattle started a few weeks after purchase, when I changed the oil the air filter looked like it hadn't been replaced once in the 40K mile life of the car (how do you certify a car and not check the air filter?). All this leads me to think they didn't even change the oil. This place is a total joke. Never again. I will be complaining to Hyundai directly.",1.2
2,"December 23, 2017",I felt that the purchase experience at Alexander Hyundai was great and I enjoyed working with the sales person and sales manager. We love our new Hyundai and it is a very good product.,5.0
3,"December 19, 2017",We had a very positive experience with this dealership. Our sales person was very personable and professional. He worked very hard at crunching numbers and getting us our car!,4.8
4,"December 10, 2017",Everybody at Hyundai seemed to be kind and ready to help me find a new car. They answered all questions and helped me through the purchase. Highly recommend!,5.0
5,"December 08, 2017","Very helpful team of people who work efficiently & fast to get the job done. My first car & I was scared of feeling pressured, instead I left happy & confident with my decision.",5.0
6,"December 08, 2017","Buying a new car at Alexander Hyundai in Oxnard was the best experience I've ever had.  I dreaded buying a new car because the last few experiences I've had buying new cars in another state were just awful.  Mike and Bill were just great!  So was Alex!  They were very knowledgeable, friendly, professional and helpful.  There was no stress or long waiting periods; it was a relaxed buying experience.  The cars sell themselves, and with the manufacturer and dealer incentives combined with my trade-in and some money down, I got a very, very good deal on my new car.  I highly recommend Alexander Hyundai in Oxnard and would definitely buy from them again!",5.0
7,"December 08, 2017","I just wrecked my car, a 20 years old Jeep Grand Cherokee which I bought brand new. Sadness aside, now I am in need of a AWD SUV.  The problem was, even with a great credit history, I can't spent a great deal of money with three kids in college.  Alexander Hyundai came to the rescue, not only they found me the right choice, a gorgeous brand new AWD Tucson, they provided a great financing term you just can't say no to.  Korean auto industry really has come to its own, not only their cars are just as reliable as any other makers IMO, they have the same advanced safety features you can only find on other brands' high end cars. I bought my daughter a KIA Sorrento and have been amazed at its economy and reliability.  So when I need a new car, I did not hesitate for a moment to buy a Korean car.  Car's performance, features, and reliability aside, the dealership can be the difference of smile on your face or the nagging feeling of bad experience and bad terms.  Alexander Hyundai is one place I shopped (and I have been to many dealerships) where they truly want to make a deal you cannot refuse, and doing so without any pressure. They even make customer feel fun and comfortable while do so.  In the end, I drove away with a brand new Tucson AWD loaded with features while  saved about $7,000 compared to my daughter's KIA Sorrento (base model with front wheel drive only) with zero percent financing",5.0
8,"December 08, 2017",Listened. Contemplated researched communicated explored shared all behaviors that made Mr bill Canavan a professional.  We will buy more cars from bill and teal others to do same A great experience got the exact car we wanted at the best value,5.0
9,"December 07, 2017","I was greeted right away by Daniel who helped me find the exact vehicle I was looking for. He was friendly and helpful, not pushy at all. The experience was simple and easy.",4.6
10,"December 07, 2017",The staff was more than supportive and accommodating. I had the pleasure of sitting down with Feliz and Lisa who were truly great. I was already a Hyundai returning customer and now I’m an Alexander at Oxnard customer as well. Definitely coming back and recommending,5.0
11,"November 29, 2017","Everything was great (product, professionalism, price) but doing this minimum length text on a cellphone has been the worst part of the process. Some more words to reach minimum length.",5.0
12,"November 28, 2017",I was happy with the professionalism of the staff at Alexander Hyundai. Online Sales was consistent in keeping in touch while we were exploring our options. Sales Consultant and Finance made the purchase go quickly and smoothly. I loved how the Sales Consultant had the car washed and gassed up before we had arrived. We love our new red Santa Fe.,4.8
13,"November 26, 2017",This is my second vehicle leasing from them and I'm very satisfied with the car and the service.  I will go back again when my lease is up.,5.0
14,"November 25, 2017",I would like to thank Alexander Hyundai for a smooth trade-in and purchase of my new Santa Fe! Thank you to Carlos and Alex for assisting in the purchase.,5.0
15,"November 19, 2017","My experience with Alexander Hyundai was very relaxed and comforting, I didn't feel they were taking advantage of me and the deal went super smooth. Nobody was aggressive and I felt like I was given a great opportunity to drive the car I've been wanting.",5.0
16,"November 16, 2017","We were very happy with the purchase of our car through Alexandar Hyundai and even turned down another deal from Keyes Van Nuys because Alexander Hyundai had a much better deal and got us the car we wanted.  Additionally, our salesperson  Fernando Armador was so helpful and did everything he said he was going to do and was extremely knowledgeable about the car. WE are very very appy!",5.0
17,"November 16, 2017",Our experience with purchasing this vehicle went very well.  But we had done our research and knew what type of vehicle and what extras we were looking for.  Bill was very experience and knew the cars very well and was able to give us the details we needed to make our final decision.,5.0
18,"November 14, 2017",Felix and Carlos were great! I bought a car a great price and was treated like a King! I was given a great deal and staff were very professional.,5.0
19,"November 10, 2017",Alexander dealership is a comfortable place to buy a car.  The sales team answers all your questions and is not pushy.  We actually enjoyed our car purchase this time.  We got a good deal and will come back when we need to buy a car again.,4.4
20,"November 09, 2017",Recommend Alexander Hyundai for a quality buying experience. This is my first new vehicle in 22 years. Pleasant and professional. Please go visit Fernando and have Lisa help you sign the contract. Thank you.,5.0
21,"November 09, 2017","I have been pleased with my car cthis is the third one. Each time there has been one or two items in the car that I was unhappy with, Andy in the next model it was corrected.  I love the quietness of the car and the smoothness of the drive",5.0
22,"November 02, 2017","Bill sold my family two cars and we plan to come back to see him for our third. Great customer service, no pressure and knows exactly what will work with your budget.",4.6
23,"November 02, 2017",I love my new 2018 Hyundai Elentra sport. it was my first time purchasing and it was incredibly easy and all of my questions were answered with precise detail.,5.0
24,"November 02, 2017",Customer service is awesome they pay attention to the customers needs and wants and gets the best deal for you!!! Thank you Alexander Hyundai I will tell all my friends and family about Purchasing a vehicle from there! Thank you again,5.0
25,"November 01, 2017","Great, quick and honest experience working with Bill Canavan. I got a great new car that is up to date and should last me a while. Very happy with my experience!",5.0
26,"November 01, 2017",Super great car!  I’ll drive around town just so I can be in the car longer!  The stereo is my absolute FAVORITE thing oh and I love the ensignia on the ground when I approach and unlock the doors!!!  So happy!!,5.0
27,"November 01, 2017",I love my hyundai and my sales person Bill Canavan was awesome! My sister will be back to Bill to buy one more hyundai later this year. It was my first time buying a car under my name and I will always remember this experience. Thanks Bill!,5.0
28,"November 01, 2017",Second car purchased at this dealership plus various other visits to look at cars and for maintenance and always had a good communication  and understanding with everyone.,5.0
29,"October 30, 2017","Great service, easy process & great understanding of the financing. Got the car I wanted for a great price & couldn't be happier with the whole process.",4.6
30,"October 28, 2017","Every car buying experience should be this great!  When I stopped in at Alexander Hyundai I was exhausted by the process and was even burnt by the dealership in Glendale that resulted in canceling the purchase of a Santa Fe Sport 2.0T Ultimate.    I met Adel who stayed late to meet with me to discuss the potential purchase of 2018 Santa Fe Sport.  I made the meet short and threw the number out I wanted to pay.  He was diligent, patient, and did not inhabit any of the characteristics we have all come to know from dealerships.  He was communicative without being overbearing, he listened to me and made some recommendations which resulted in the best outcome possible.    He made the experience THE BEST car purchase I've made.  Ever.  I couldn't believe it.  It was the whole team- his sales manager, the general manager, and the finance dept that made it happen in the most simple way. These guys really work with you in a fair and honest manner.",5.0
31,"October 27, 2017","I bought my new Elantra from Alexander Hyundai in Oxnard.  I am happy with my new vehicle.  It drives well, and has some nice features.  Adel Khoudari was knowledgeable, helpful, and polite.  Thank you, Adel and Alexander Hyundai!",5.0
32,"October 25, 2017",Got a great lease deal from Alexander of Oxnard. Negotiated price with Felix on the phone and took delivery of the car on the same evening. Friendly customer service.,5.0
33,"October 25, 2017",Salvador took great care of me and I was more than pleased with hos service. When it is time for me to get a new car again I will look to hyundai.,4.6
34,"October 21, 2017","I got there at 8 pm on Tuesday the young man, was swift and I was able to leave with a car in  a timely matter. very glad because I work in the valley and family members had to get up and drive me so I was very glad to have a car again.",5.0
35,"October 20, 2017",Service department was overpriced for parts/labor. I recieved my vehicle back worse than when I dropped it off. Would not find solution to fix.,1.2
36,"October 17, 2017","I went to the dealership with a list of things I need to meet. I received help from a gentleman named Carlos & he was VERY helpful.. answered all my questions, made sure I felt comfortable & was educated on everything pertaining to my car. The only downfall for me was the finance gentleman I had to deal with to close the deal. He made me very uncomfortable, he came across rude & constantly tried adding more money to my car and payments. If I didn't truly like the car itself, I would have got up and walked out. Other than that, I love my car.",4.2
37,"October 14, 2017",My first time buying a car overall a great experience most importantly the price was great and a great looking car. I would definitely go back and refer my family and friends,4.0
38,"October 13, 2017","I'm very happy I decided to go to Oxnard for my new lease. Salesman was kind caring explained everything to me and if I had any  more questions , made me very comfortable ,it's a big deal to get a car. I will be back next time around.",5.0
39,"October 13, 2017","I was promised a 45 day to my first payment and I was lied about it, I also had to buy extended warranty without being asked if I wanted it.",2.8
40,"October 12, 2017",Alexander was Excellent!! Provided great service. Explained any question we had. He was Very friendly. We came out of there satisfied. I would recommend Hyundai to my friends and family.,5.0
41,"October 12, 2017","Very helpful in finding the right vehicle for us. Straightforward with pricing. I did not feel like we were getting ""tricked"" into something like I have felt at other dealerships. Very happy with my vehicle.",5.0
42,"October 10, 2017",This was by far the best experience I've had with a dealership. I would recommend this to anyone looking to get a vehicle that works for them.,5.0
43,"October 09, 2017",We went to Alexander Hyundai to test drive the Elantra to see how I like it. We ended up driving home in one and the best part is trading in our Nissan Rogue which we thought was next to impossible.,5.0
44,"October 08, 2017",i have been using Hyundai service department for my car service on my Hyundai and Adel in sales was helpful in answering my questions during an oil change and decide to lease a Santa Fe,5.0
45,"October 07, 2017","Adel was a consummate professional and introduced me to leasing a vehicle. After discussions about leasing a vehicle I felt comfortable with the process. Dealership was clean and respectable, as was the staff.",5.0
46,"October 07, 2017",90% enjoyable. 10% frustration. over all I am proud to be the owner of this car. My salesman was helpful but not intrusive. I walked away knowing I made the right choice.,4.2
47,"October 05, 2017","I couldn't ask for a more relaxed and professional negotiation or experience. The whole sales staff were great as always, I believe this is my 6th or 7th lease.",5.0
48,"September 29, 2017","Alexander Management needs to install at least one  FAST CHARGE station, available free to customers 24/7.   Nissan, BMW, and Tesla all provide such service. As a new entrant in the EV category, especially here in California, Hyundai needs to perform ABOVE and BEYOND the ccompetition.",3.0
49,"September 29, 2017",Excellent staff that treated us very well... will definitely return! Carlos and the team was very respectful of our time and worked on our deal and had us on our way within 90 minutes... great job showing us all the Blue Link features ...,5.0
50,"September 28, 2017",The dealership was good.  I enjoyed the experience.  Bill made me want to come back if I were to buy a car again.  I would recommend this dealership to a friend looking for a Hyundai.,4.8
51,"September 25, 2017",First time i buy a Hyundai and I'm happy. Carlos was very helpful. He showed me the ins and outs of the car and how everything works,4.8
52,"September 23, 2017",I would like to compliment Bill Canavan for the ease and professionalism while making a deal to purchase my Hyundai Tucson. This is the first dealership that I did not feel pressured in and was able to make a long thought out decision to purchase the vehicle I wanted.,5.0
