,Date,Reviews,Ratings
0,"March 24, 2020","We recently purchased a Hyundai Palisade Limited from Patricia Esqueda at Frank Hyundai. She was very friendly and offered us a fair price on the hard to find SUV, below sticker pricing. She made the transaction very easy and didn't try to force a bunch of stuff on us we didn't want. She showed us the features of the car and helped us setup the account and car technology before we left. It was a pleasure working with her. We did find the back shade was not included, but Patricia quickly ordered one for us at no cost. 

We were at another dealership that same day who marked up the SUV $5K over sticker and forced added things like $1k sealant! We walked away from that dealer and luckily found Frank Hyundai. Thank you For a great experience!",5.0
1,"February 07, 2020","Purchased my 2020 Hyundai palisade in august of 2019. Upon walking into the car dealership, my husband and i were the only customers of color. No one came to help us or check what we needed for at least 30 min. Plenty reps were available but too busy helping those that came and didn’t look like us. I had an appointment but they didn’t come to work. I was assigned an internet rep who’d been there over 6 months and never sold a car, likely cause they assumed we wouldn’t purchase. Rep could barely tell me anything about my car or tell me important details about the veh I’d need after purchase like how to let my seats down or open gas tank or that my purchase included warranty/roadside..found that out on my own. They tried to force me to do in house financing with higher APR than my CU that i already told them i knew i was going with. After my purchase i found out i got a “protective coating” that was basically a scam and the next week i wanted it cancelled i never got it applied and it was over $700 in my loan! They refused to work with my schedule to apply it or remove the service from my contract and the service during the time was insulting from the agents there. I was lied to saying if you don’t want it we’ll refund you then they’d say they never said that. Fast forward to my first routine service, due to my complaints at purchase manager said my first routine service would be free. I called to schedule it only to find out that manager never put that in my contract and since i couldn’t remember his name i was told “that’s not our problem it’s not in your contact, we aren’t giving you anything free.” And hung up in my face. I was demeaned and outright disrespected by this company, and harassed by my sales rep for over 2 months saying i MUST fill out a 5 star review for him as part of my sale and that it’s required that i do it..i know that gets him extra pay so i did not as my experience was NOT even 1 star experience! 


I want a refund for the protective coating that we never received and i want my promised oil change. It makes me extremely uncomfortable as a service member who is barely home that if my wife has issues with her vehicle she can’t take it to the place of purchase for service because they yell at her, they demean her, they disrespect her, and they hang up in her face. A purchase so big should not seem like crabs in a bucket to this company and we do not feel like valued customers at all. We highly regret the purchase at the location and $700+ financed into a loan accruing interest on something we couldn’t even receive is absurd ",1.0
2,"October 24, 2018","Everyone was very friendly and helpful. Omar gave us time to check out the vehicle ourselves and was not pushy at all. He answered all of our questions and made us feel comfortable. Throught out the entire process, we never felt pressured once. 
",5.0
3,"October 24, 2018","I came to the dealership knowing what I wanted.  Mark met me as I approached the front door of the dealership.  He was incredibly informative and answered the remaining questions that I had, and offered me a test drive to so I could see how the car handled.

The exact specification of the car I wanted was not at the dealership, but Mark worked hard to search for what I wanted and found a vehicle that was as close as possible to what I wanted.

Mark was professional and upfront negotiating for the car, and he helped us to confirm rebates and manufacturer discounts.

Overall it was a very pleasant working with Mark and purchasing a new car.  We were in and out within a few hours.  I would highly recommend anyone considering purchasing a Hyundai to see Mark at Frank Hyundai.",5.0
4,"October 23, 2018","I like how the dealership automatically schedules appointments but it is not conducive for me since I live in North County and I travel for work. I would prefer if they just sent a link via text or email with the available slots. Also there are too many phone calls. Depending on the consumers age, we prefer text or emails so we can easily organize our schedule appointment. If someone calls me I have no idea what my schedule is in two weeks and its a waste for everyone's time. 

Now for the review of the service. The service rep asked me if I wanted a car wash. I said yes, when I got to the car, it was not washed. 

The wait time for a oil change was a little long even with an appointment. I sat outside and worked on my computer but I had no clue when my car was done. I walked in 2.5 hours after I dropped car off and they informed me the car was done 45 minutes ago. A Text message would have been useful :)

All employees at this dealership are all super friendly and helpful. Its easy to approach an employee and have a conversation with.",3.4
5,"October 22, 2018","I purchased an Accent Hyundai 2015 on September and I was owed 3 things, tinted window, cover seats, and wheel locks. Its been a while now, and no one has contacted me to make an appointment. In addition, the car makes a noise when it goes up a hill, this started a few weeks in but I thought it would go away but it just got worst. Lastly, I got stopped by a cop because my third backlight was out, I explained to the officer that I had just bought the car a month ago and he let me go without a ticket, once I went to a mechanic to get the light change, the light was fried, black, this was not a month accident. I am really disappointed with the car, the associate was nice to explain everything, but her nice service doesn't match the dissatisfaction that the car has given me.  I will not recommend this dealership and I will never buy here again. ",3.0
6,"October 22, 2018","I had a great experience at Frank Hyundai. Very friendly and professional staff. Thank you to Angel and George and the staff, they were extremely helpful and made my experience very pleasant. ",5.0
7,"October 22, 2018",Cristian help us a lot!! He knows what he is doing ‘ showed us in detail the vehicles and knows them very well!!! Happy with purchase ,5.0
8,"October 20, 2018","Great service no haggle 

Best pricing 

Ozzie and Chris amazing !’
Alex a great Manager 

Would highly recommend and also come back very honest  people no doubt ",5.0
9,"October 20, 2018","I decided to get my first car at this dealership, the service I got was perfect. The employed at this car dealership are exceptional and the deal I got for my new vehicle was better than expected. They were great in explaining everything to me, answering every questions I had, and showing me the vehicles features I never imagined would be included in the car. Everyone here is nice, smart, and fun. ",5.0
