,Date,Reviews,Ratings
0,"May 14, 2020","The service department at Manly Hyundai in Sant Rosa is very friendly and accommodating. I’ve owned several brands of cars, and this is by far the best service department I have worked with. ",5.0
1,"May 05, 2020",Manly Hyundai is quick and efficient with their service. I am always pleased with how they take care of my car and with their professionalism. ,5.0
2,"April 17, 2020",Due to Covid-19 this is the first time ever buying a car via online. Everything went smooth and was actually very easy. Car was delivered to me. Everyone I spoke to was super friendly ,5.0
3,"April 10, 2020","Awesome dealing with Josh and team!
Hard time with all the Covid issues, but, great deal, awesome car and wonderful team!! Thanks for everything!
I love the 2020 G80 sport ",5.0
4,"March 20, 2020",Gustavo & Curtis were just lovely. Made this a very pleasant experience. Very polite and professional but still had a great sense of humor. My first time buying a car here but it was stress free and I got just what I wanted. Thank you for taking such good care of me.  ,4.8
5,"March 19, 2020","Jason, Collin, and Laura were great. They took care of all my needs. They got a new tire for me and worked me to get installed in a timely manner. ",5.0
6,"March 18, 2020",Ben at Manly was amazing! I gave him a price range with some must haves and he came up with 2 options for me. When I arrived he had both SUV option parked up front waiting for me to view! The whole experience from start to finish was great. I can’t forget to mention he was so kind to deliver my SUV to me the next day since! ,5.0
7,"March 13, 2020","I have bought cars in the past from Manly, made the mistake of going somewhere else last year. Went back to Manly yesterday. I will never do business again with another dealership, they understood what I needed, what I wanted and we achieved that. My sales person Jesse was amazing and so was my friend Julie. Great friendly service, from everyone there... and so happy with my new car....",5.0
8,"March 09, 2020",I made an appointment for an oil change and tire rotation that took them 2 hours and a half is a terrible service people who had no appointment left faster.,2.0
9,"February 27, 2020","Great service. I was very impressed!  Keep up the good work. The service rep that helped me, Jason Zapadinski was excellent!  He was courteous and very helpful!  ",4.0
10,"February 20, 2020",Excellent customer service. The service department found and corrected a rattle that the previous dealership could not locate. The ladies at the front desk are great!,5.0
11,"February 18, 2020","Gustavo and Edgar were a pleasure to work with! They both were extremely professional and very knowledgeable. I am very happy with not only the car I purchased, but my whole overall experience. ",5.0
12,"February 15, 2020",Jason explained the service recommendations and how soon they are needed. His manner inspired confidence in how to make sure my car is properly maintained.,5.0
13,"February 13, 2020","I have owned a total of 20 cars from different dealerships.  The way it's supposed to work is that you call the service department, someone answers the phone and you make an appointment.  Simple.  At Manly Hyundai, no one answers the phone.  You have to leave a voicemail and, hopefully, someone will call you back.  That doesn't always happen.  When I complained about this process, I was given a direct line to call to make an appointment. That was supposed to make things better.  Sometimes I have to call a second time and, again, leave a message.
I have been told that Hyundai is Manly's stepchild and I know from personal experience with the 4 Hondas we have purchased from Manly that the service at the Honda section is far superior to that of the Hyundai section.  
I am not going to name names, but I would do so confidentially.
I will think long and hard about buying another Hyundai from Manly.",2.8
14,"January 29, 2020","Took me on time, honored my coupon and were business like but pleasant.  The waiting area was clean and comfortable.  Only problem was the seats were for an average hight person and I am short.",5.0
15,"January 28, 2020","Our sales rep was incredibly genuine, we had a wonderful experience buying our first car. We look forward to the potential of buying from them again. Our rep Ben needs a raise, he created an incredibly friendly experience for us.",5.0
16,"January 17, 2020","Great service from Nate at Santa Rosa Hyundai.
No stress process for trade in and new car purchase. Quick and efficient and no ‘hidden’ surprises.",5.0
17,"January 10, 2020","Easy, no fuss, friendly. I got all of my questions answered, and felt well taken care of while I was at the dealership. They were great!",5.0
18,"January 05, 2020","I had been looking for the past 6 months on what to do as replacement for my 17 year old Toyota. My good neighbors told me about Manly Hyundai and I went on New Year's Day. This was the best experience I have had finding a new car with their excellent Sales Person; David Iodence, and the genuine concern and attention from Josh and Sean in the estimate and financial areas. What a Team of great people to help me drive away feeling safe in a new vehicle and delighted with the whole experience. They even squeezed me in to the Service area when a light went off unexpectedly - incredible custom service from everyone I encountered at Manly Hyundai. Thank you - my year has started out on such a high note, couldn't be happier!",5.0
19,"January 04, 2020",Hyundai Santa Rosa provides efficient and quality service. They are straight forward and offer great customer service. I’m happy to service my car where it was purchased.,5.0
20,"January 03, 2020",I had a bad previous experience with another dealer so was not looking forward to turning in my lease and making a purchase.  I had the pleasure of working with Nando who was very professional as was everyone I met. I will but my next car there and highly recommend this dealership ,5.0
21,"January 03, 2020",Edgar Medina was awesome when taking care of all the technicalitities with the banks and he was very professional and courteous. I enjoyed the entire atmosphere at Manly Hyundai all the staff was super nice. Thank you all.,5.0
22,"December 27, 2019","Erik Epting, the Sales Consultant I worked with was very courteous and professional, extremely competent and knowledgeable, and worked diligently to secure the vehicle I wanted at the best price.  All in all a most positive experience. ",5.0
23,"December 24, 2019","Jesse, Greg and Edgar were all great. It was a long process buying the 2018 Altima but they made it much easier. Great listeners. Would recommend this dealership based on our visit today. ",5.0
24,"December 21, 2019",Service is great once you get through to a service adviser. Time after time when I call the main phone number and leave a message to  service my car I get NO return call. Very frustrating. I would go elsewhere but there are very few Hyundai dealers around. ,4.0
25,"December 13, 2019",Very courteous....non aggressive. I was treated fairly. I would buy from them again.The whole experimence was pleasant. Eric in sales is very nice.,5.0
26,"December 03, 2019",Amazing service and super friendly sales team! The finance team worked hard to get me approved and I absolutely love my new Genesis!! Thanks Manly team I couldn’t be happier ,5.0
27,"November 26, 2019","The people at this  dealer they were wonderful  ;I will  recommend  other to do business with them ,the sale  person was great , thanks Eric for all your help. ",5.0
28,"November 21, 2019",Excellent customer service. David is a terrific salesman and makes you feel very welcomed. Thanks to Eliasar for recommending. Definitely will come back again soon.,5.0
29,"November 15, 2019",Michael White was extremely helpful and patient.  He also found us a veteran discount that no one else knew anything about.  Long day but well worth it ,4.0
30,"November 10, 2019","Low pressure sales, the salesman was friendly and explained everything and asked if we had any questions.
Financing was easy and they looked for multiple financing options.",5.0
31,"November 05, 2019","Manley Hyundai is a wonderful place to buy or lease a Hyundai.  Nate, the general sales manager, is a totally honest sales person.  He honored the internet ad that was posted on Manley.  Erik, the internet sales manager went out of his way to help us lease a Hyundai Ioniq ev.  Erik's patience and courteousness were outstanding.  Edgar, the Finance manager, was efficient and he also went out of his way to help solve a financing problem.  They have a great team.  Manley is to be congratulated.",5.0
32,"November 04, 2019","My sales rep was professional and friendly and of course patience with me, I had in mind what I wanted to look at after seeing it posted on facebook, I really didn't see either of the cars so I kept asking to test drive a different car, he would go and get the keys for me.  I settled for a car one day and found the car I saw on facebook called him up the next day with all the information on the car, he had it setting by the showroom when I got there.",5.0
33,"October 27, 2019",Everyone there was really respectful and knew what they were doing would highly recommend going there to anyone looking to buy a new car soon,5.0
34,"October 23, 2019","My experience buying a new car at Manly Hyundai  was far better than I expected. Everyone I worked with was incredibly helpful, in particular Nate who helped me find the right car for the right price. Nate was great answering all my questions and was totally understanding about my circumstances. Overall, there was no pressure in my decision, and I drove off the lot feeling good about my new car. I absolutely recommend coming to this dealership, and specifically working with Nate to find your next car.",5.0
35,"October 22, 2019",The dealer made the experience a pleasant one. They had me in and out and on my way. They communicated very well and seemed very professional. ,4.6
36,"October 20, 2019","THIS BY FAR THE BEST DEALERSHIP I EVER BEEN TO IN MY LIFE THEY HAVE OUTSTANDING CUSTOMER SERVICE SKILLS , GOING UP & BEYOND TO ACCOMMODATE YOU & YOUR FAMILY. I WENT IN THE DEALERSHIP WITH NO HOPE OF EVEN GETTING A CAR & NATE HYMAN & HIS TEAM DID EVERYTHING TO MAKE SURE I LEFT WITH A CAR!!! I LOVE THEM AND TRULY RECOMMEND THEM TO HELP YOU AND YOUR FAMILY AS WELL!!! FANTASTIC JOB YOU GUYS!!!!! ",5.0
37,"October 17, 2019",Joe and Edgar made the car buying experience very comfortable and easy. I put all of my trust in their hands and they didn’t disappoint. They gave me the best deal on a car I love!!!,5.0
38,"October 16, 2019",I called 3 times to find out parts cost and to modify appointment time but never a response. Very disappointing. Receptionist has 0 charm. 7 cars purchased in my family and 15 years coming to Manly and this is the respect I get? Disappointed!,1.6
39,"October 14, 2019","After visiting several used/new dealerships in the area I rolled into the Manly Hyundai dealership. From start to finish, Josh made my car buying experience fast and fun. The team was organized and honest and had me rolling out in my brand new Hyundai in no time at all.",5.0
40,"October 11, 2019",Manly Hyundai helped me find the exact car I was looking for. They are great! I love my new Hyundai Tucson so much! And so does my dog!,5.0
