,Date,Reviews,Ratings
0,"May 12, 2020",Worst customer service and very rude. Don’t come here. Sales representative jay never called me back and avoided my calls. Sales manager Goerge was very rude and unprofessional. Got very upset and hung up the phone. Finance department got an attitude with my phone and hung up on her. Don’t bring a trade in unless you want to get 1/3 of what your car is really worth.,1.0
1,"May 11, 2020","STAY AWAY!!! I wish I had read these reviews before wasting an entire day for these crooks to try and scam us. 

Drove 80 miles from San Diego to buy a car. When we got to financing they tried to add on a bunch of options including GPS, paint protection, and a COVID disinfectant spray. They lied saying that these options had already been installed so there was no way to remove them. The car we looked at they had just received and hadn't even been cleaned yet, there was no way any of this was already installed. 

I'm honestly so pissed we wasted so much time and effort to have them pull this xxxxxxxx. These guys are criminals and the textbook definition of why used car dealerships have such a bad reputation.",1.0
2,"May 08, 2020","Not willing to work with you and have products/packages that want to push unconditionally on top of the sale. 
I will be the first one to agree that its  understandable that we all have to make a living, but when the negotiations are based on deceitful and point blank insulting!?!?  Salesman said to me...  "" your cash is not good to me.    You have to finance ""  who the heck refuses a cash sale in order to get more money in interest!?!?! Specially in this economy!!! Aside from the BS products in their "" dealer packages ""  i found this one item very insulting.  So, I went back to the dealer I visited earlier and made the purchase.  when all was said and done.  I got the same deal than at HB jeep but with far less attempts to be taken advantage of.  
If you like to haggle and have your mental prowess challenged,  then this the place for you.  ",1.0
3,"May 05, 2020","Huge inventory so pricing is awesome. Sales Guy sucked though. Not courteous at all. Disrespected our time and money. No social distancing or masks or hand sanitizer. We came up from San Diego and knew we were making a purchase. So did our salesman, Oscar. Tried to rip us off. Had to bypass him to make the deal. ",4.0
4,"May 05, 2020","We were attracted to this dealer from the pricing, but what I learned in life was to deal online versus going in.  It saves everyone time and saliva from speaking and negotiating so much.  They won't deal with you via email because of ""high demands"".  More very old sales car tactics to bring you in.  Lets go back to that, high demands.  In this pandemic where many dealers are closed, lots are overfilled with unsold merchandise, and cars still on cargo ships where they are not unloaded because there's no room on any lots.  Sure looks like there is more inventory than demand.

Then they do the most irresponsible thing and maintain their old car sales tactics by bringing you in when we're in a pandemic and are in a shelter in place.  That is irresponsible on their behalf and comes to show they are more interested in profits than people's health.  I will not bring my wife and I to simply negotiate and possibly get sick.  We can do negotiations via email or telephone, then when we come to a price we both agree to, then we can come in and sign papers with minimal exposure.  Even my last two car purchases way before the pandemic allowed this (Lexus and Tesla).

I would avoid this dealer and if this is tactic is across the board, go to a different manufacturer that actually cares about people and willing to adapt and negotiate online or over the phone.  The car industry is hurting badly and they should be BEGGING us for business to move cars off their filled lots.  My wife and I were ready to drive away with a Jeep this week, but because of their demeanor, will try another dealer or manufacturer all together.",1.0
5,"April 30, 2020","I purchased the 2020 Grand Cherokee on 4/2/20.  I was told I would receive my copies of all the documents on the following Monday (possibly on a Flash Drive).  As of 4/29/20 I have yet to receive the documents.  I've left 2 messages for Terrance and have yet to receive a call back.

As I mentioned, everything else was excellent.
",4.2
6,"April 30, 2020","Garbage of a dealership. Falsely advertises the price of a vehicle then adds at least a 4,000 dollar package that is not optional. Once we said we would not pay for the extra package they refused to sell the car.",1.0
7,"April 25, 2020","Bought a new jeep 2020 and I didnt end up really liking it. One week after I got it I kept calling them and calling them to see what I could do maybe get another car I wasnt happy with this one after all.. brand new! And now they wont accept my calls they wont return calls I've called many times and no one answers me or has tried to reach out to me to help me, this was the first and last time I go to HB jeep.. they just their to take your money and move onto the next person willing to pay a month.. no help whatsoever once you buy your car and leave that's that they still dont call. ",2.0
8,"April 25, 2020","On 4 -24-20 We went  to the dealer to check out a ford flex advertised for 27133 with a discount  of $ 8733 for and online price of 18400  to good to be true right well here's our story
O boy did we get so disappointed , we sat down to run the numbers and BOOM we were at $25500 plus $520down🤣 we left that day 
We came back the neext day to talk about the price again and the added aftermarkets parts/ options ? because we were very interested 
They tried to tell us it had aftermarket dealer installed / vin etching bull$#@% for $4995  bringing the price back up 
We told them we dint want none of those 
And then told us that only 1 option can be removed , the others had to stay regarless so 2699 ontop of the 18400
We asked  them if they take out that extra option we would buy right now .
They told us that was not possible !!!

The prices advertised by this dealer are to good to be true .
They only due that so everyone can stop by, then they add all these dealer options 
Also the 2 people that helped us got very RUDE real quick, 
they need to retrain there staff , 
I will never go back to this dealer , definitely will not Recommend this dealer to Anyone

BEWARE DONT WASTE UR TIME HERE !!!!!
",1.0
9,"April 22, 2020","False Advertising again. They won't give you the price over the phone. They want you to drive (80 miles in my case), and then they drop the mandatory (4-5k) upcharges on you. So bad. Where is the honor? You put up a certain price, then you waste people's time. The same is true of their affiliate dealership Russel Westbrook in Van Nuys. ",1.4
