,Date,Reviews,Ratings
0,"February 24, 2020","My wife and I purchased a 2017 used Certified Pre-Owned LX 570 sight unseen. We were moving from Hawaii to Albuquerque, NM and needed a car to drive our family from CA to NM when we landed. Because of the reputation Lexus and Lexus Certified Pre-Owned vehicles have, we purchased it sight unseen. We landed in CA got a ride from a family member to the Lexus dealership to pick up our new vehicle. Literally walked around the vehicle for one minute, went in and signed papers. Moments later drove it across country. When we got to NM I had to wash the vehicle and this is when the issues arouse. The car had significant repairs to both back and front bumpers (never disclosed). Whoever covered up the issues used a slightly off colored paint, painted over the parking sensors, over spray on the taillights, mud flaps, and luggage protectors. The texture is horrible, when you get underneath the car you can see paint drips from excessive paint. On the front of the car, the same exact issues, paint over the parking sensors, paint on the accent lights and a cracked grill. Lexus of Santa Monica refuses to make this right. They will not cover any of the costs to get it corrected, rather they want me to drive to CA and maybe they will take care of it. I am stuck fitting the bill for something that Lexus should have corrected immediately.

This is just the beginning, the windshield wipers were not adjusted correctly and were hotting the windshield pillar, there are massive transmission issues that have creeped up, and the tailgate does not lift automatically. Yes these items can be corrected over warranty, but the underlying story is that the Service Department did not do their jobs or did them extremely poorly. 

Worst dealership I have ever been to, never never go here.",1.0
1,"January 13, 2020","Enrique Carvajal has helped me get into 2 Lexus vehicles. My first one was a 2019 ES 300h which I loved. Enrique was there to help me anytime I had a car emergency. Unfortunately after only 7 months of driving the car, I found it with a tree crashed onto it. It totaled the vehicle. In a state of panic I called Enrique asking if he could get me into another Lexus. He had always been so helpful and generous that I knew I wanted to work with him again. At first I couldn’t get into a car I wanted for the price I wanted but he kept working with me until I found the perfect car for an amazing price. I now have a beautiful black UX 250h. I know I can always count on Enrique with my car and I definitely advice going into Lexus and requesting his name. ",5.0
2,"December 25, 2019","Richard Doherty is a pleasure to work with.  He goes the extra mile to take care of me which is one of the main reasons I go directly to Lexus for my services when clearly I could get it for a lot cheaper at a third party vendor.  It’s all about the service including the convenience of a loaner car. You get what you pay for.  My only complaint about Lexus is that their bumpers are the absolute worst.  The brackets are so flimsy that the bumper repeatedly gets misaligned when your bumper scrapes the driveway or curb.  This and this reason alone is why I will never buy another Lexus.  So until this 10 year old car dies on me, I will continue going to their service center.  Considering how dependable Lexuses are, it will probably be another decade before I switch to another make/model.",5.0
3,"December 19, 2019",Not pushing into a new car. Comfortable surroundings. Organized. Thorough. Detail oriented. Timely. Have all my history at the customer service fingertips. Costly but coupon oriented.,5.0
4,"December 19, 2019","Everybody is friendly, the waiting room is excellent, the service was completed reasonably on time. It was just routine six month service and Galindo that everything checked out satisfactorily.",5.0
5,"December 18, 2019",Everyone was very conscientious and nice and they came up to me to help me. Very impressed.  I especially was impressed with Enrique. He was so impressed with him ,5.0
6,"December 17, 2019","I came in for my 10,000 mile service and Arsany was wonderful! He was kind and also offered me a loaner vehicle as my car was being serviced. Thanks for such a great service! ",4.8
7,"December 16, 2019","The team at LA Car guy at Santa Monica Lexus we’re amazing, insightful and created a smooth experience for us! My husband and I love the car and greatly appreciate all of their help!",5.0
8,"December 16, 2019",Sergio was helpful thorough on top of things and easy and pleasant to deal with! All the info I needed was given and suggestions made ,5.0
9,"December 15, 2019","As usual, my service at SM Lexus Service was quick and easy.  I used a loaner vehicle which I did not have to wait very long for and felt treated with great customer service.",5.0
10,"December 14, 2019",Ray James informed of a small problem they had spotted during my scheduled service and I called and scheduled my follow up appointment a week later.,5.0
11,"December 13, 2019","This is the 5th vehicle I have leased from SM Lexus.  Alex was great in sales, offering me 5 choices of ES 300h models.  The finance gentleman was very helpful and not overbearing re the add ons. Gabriel was very knowledgeable about the car computers.  I will return.",5.0
12,"December 13, 2019","The reception in the dealership was wonderful, caring and superbly professional. The service advisor Mr. David Cuevas listened carefully about what I wanted and took care of everything. He escorted me to the waiting room and made sure that I was comfortable. The care which was genuine far exceeded what I encountered at Jim Falk's dealership. It did not bother returning my  several telephone calls for almost a week and then I was given the runaround. From now on I will come to you although it is quite a distance from the place we live. Your folks are SUPERB! The car was returned beautifully clean and washed.
The coffee and cookies were also excellent.",5.0
13,"December 12, 2019","Excellent customer service thanks I like to thank Mark finance manager for financing , car was clean and deliver to me by Gabriel with courtesy and respect. ",5.0
14,"December 12, 2019","As always... Ray James is the best..  he always makes my appointment
 a pleasure     very seamless.  really listens and  handles all details with such ease
and gets me out of there quickly!",5.0
15,"December 12, 2019","Excellent service once again by Lexus Santa Monica!

Arsany Kamel, my Service Consultant provided great assistance in determining what my Gx-460 required for this 6 Month Service visit.

",5.0
16,"December 12, 2019","My first time doing business with Lexus.  Enrique went out of his way to get us to a deal.  I would have loved to have a bit more selection on which vehicle to choose from however there was only one 2019 left.  Hopefully for the next vehicle, there will be a bit more to choose from.",4.2
17,"December 12, 2019",Staff were friendly. service was done earlier than I expected.  loaner was provided. Was able to give me a discount. Coffee was good and overall was pleasant experience. ,4.6
18,"December 11, 2019",Immediate attention with a pleasantness that was unforced.   I felt part of a greater family as a Lexus owner after this visit. Superior customer service!,5.0
19,"December 11, 2019","Super easy to get an appointment and service was carried out in the time I was told
Everyone was helpful . I liked that I was texted when my car was ready instead of a phone call so there was no danger of missing it ",5.0
20,"December 11, 2019","when I am driving on HWY 1, going 60 miles per hour in my Lexus, I know that I am safe because my car is check over routinely by SM Lexus. What price is that security worth? Can't be purchased at any price. Just great professional wonderful people looking out for me and my car.
Thank you Lexus, for all the years of care
rosario Perry ",5.0
21,"December 09, 2019","I had an excellent service visit to Lexus Santa Monica. My representative was careful, asked good questions, understood my situation.  He fixed one item on the spot because he knew the cars instrumentation well, and he referred my other concerns to the service technicians. They identified a problem with my battery that AAA missed.",4.6
22,"December 08, 2019","The Lexus Santa Monica team is always courteous and professional. Ron Holbrook taking the lead 
just knows how to get things done while always making me feel as if I was his only customer. 
",5.0
23,"December 08, 2019","FRIENDLY AND TIMELY, NICE PEOPLE, CLEAN LOANER CAR, GOOD LOCATION, PRICES TOO HIGH, NEW LEXUS MODELS NOT ATTRACTIVE (ESPECIALLY MASSIVE FRONT GRILL), NEED PLUG-IN HYBRIDS, ELECTRONICS WAY TOOOOO SLOW AND COMPLICATED AND CUMBERSOME!",4.6
24,"December 07, 2019","David Cuevas showed initiative when he and the foreman drove my car about a rattle in the door.
I thought the stains on my car were from a seagull because I go to the beach for my Post Office mail.
No, the source is rust from leaking pipes in my apartment building. With my permission, he had a detailer buff out the stains as a courtesy. My car was also serviced. Received excellent service, overall.",5.0
25,"December 07, 2019",You have a great customer service your sales person was very friendly and knowledgeable I will recommend your dealership to all my friends. I love my car .Thank you.,5.0
26,"December 07, 2019","Thank you so much for the speed and friendly service Arsany. I've stayed with my previous car for years because of my relationship with the service provider. When he left I switched to Lexus 6 years ago and it's only NOW with your service that I've found my new ""guy"". Again, Thank you and I look forward to coming in to your dealership for years to come. ",5.0
27,"December 07, 2019","Ray James and all involved are excellent and it was a perfect experience.  However, after every service there are multiple requests for my opinion and, frankly, the requests are super annoying.  So this is my last.",5.0
28,"December 07, 2019","As usual, the service I received from Tim Nelson and Lexus was the very best.  I have no complaints and highly recommend Lexus service to anyone that wants the very best service.",5.0
29,"November 28, 2019","I returned to Lexus Santa Monica this weekend when I needed a new car. I had worked exclusively with Enrique Carvajal in the past who had sold me a few cars, and I was thrilled that he still works there. He's really as good as it gets - he spent so much time patiently answering all my questions, making sure I was comfortable and understood everything about the new car. I highly recommend working with Enrique, Lexus Santa Monica is lucky to have him!",5.0
30,"November 17, 2019","Neal Greene was again wonderful and so knowledgeable about all the models. Joshua was very patient helping me set everything up in my new car. And Julie was very thorough explaining all my options. Excellent service, beautiful  dealership!",5.0
31,"November 11, 2019","David was most obliging and fitted me in for a short service and replace the battery on my key which was showing it was about to expire.   Very worrying, but David also showed me a way to start the engine in an emergency with the key placed over the starter button.   Most helpful.

",5.0
32,"November 10, 2019",Very accommodating. Efficient and helpful. Bob Uchida and Elliot were excellent as was Josh the technician who showed me different features of the car. Valet Parker’s we’re excellent ,5.0
33,"November 10, 2019","Arsany was great and took care of everything.  I had another appointment in Santa Monica which I went to while Lexus serviced my car.  They even arranged for Lyft to take me to and from my appointment.  It was so easy.  I recommend this dealership, absolutely.",5.0
34,"November 09, 2019","Val and Mason were outstanding. They were very supportive, responsive and friendly. Their concern to meet our needs and listen was very much appreciated. We would not be enjoying our new car without these men and your customer service. ",5.0
35,"November 08, 2019","It was my first time there and a great experience.  Fair all the way around, and they listened to a hair-brained scheme I had of installing Google Auto, and haven't dismissed it out of hand.  Yet.",5.0
36,"November 07, 2019",Service at Santa Monica Lexus is great every time. They get me in and out quickly and are easy to deal with. The staff is courteous and nice. Highly recommend!,5.0
37,"November 06, 2019",We worked with Jack George and found him to be delightful.  He answered all of our questions and never made us feel rushed or pressured.  We felt very lucky to have him as our salesperson.,5.0
38,"November 06, 2019","Ray James made my visit easy, courteous,  and professional. Dealership was quite time efficient especially with use of courtesy LYFT transport to and from my office ",5.0
39,"November 05, 2019","Sam was great- very nice personality. Very professional. Explained all my options. Thank you for hiring an immigrant- THAT is what makes America great! Also, the office got me a loaner very quickly.",4.6
40,"November 03, 2019","I had arranged an appointment with Neal Greene who met my husband and me upon arrival.  We had a already spoken on the telephone about what I was looking for and I test drove  the car that I finally purchased.  I had driven my previous car for 20 years and 178,000 miles and it was a fairly difficult decision for me.  I came back a second time during the same day after finally making my decision in favor of the Lexus.
Neal was very patient and understanding and I felt no pressure at all to make a quick decision.  
I felt that the price was arrived at fairly and that we all (the dealership and I) came away satisfied with the transaction and its outcome.
I would gladly recommend the dealership and especially Neal.",5.0
41,"November 01, 2019",Tim Nelson provides such excellent service. He knows my vehicle and is a trusted advisor. He updates me once my vehicle is being serviced and stays on top of things. ,5.0
42,"November 01, 2019",Arsany Kamel did a great job getting me in and out for the 10k service on my NC and the following day on my wife’s GX  460-excellent service !  JK McKay ,5.0
43,"November 01, 2019","Aside from having to wait a longer time than usual to be assigned a service consultant, was pleased with the service and treatment. In the past I'd been able to name a service consultant I would like to work with when scheduling my appointment. Was disappointed to be told this time that that was no longer possible. I like having a consistent consultant who knows me and my car. I was very pleased with the help received from 2 gentlemen at the accessories counter. ",5.0
44,"November 01, 2019",Matt and the team of employees were extremely helpful and pleasant to deal with in finding a car that is perfect for me.  I am extremely happy with my purchase and the service provided in making the transition to a new car smooth and enjoyable.,5.0
45,"November 01, 2019","Especially helpful, the private office space I was able to use.

I, of course, appreciate the cleaning of the car afterwards.

However, there was grease on the front edge of the driver's seat. :(",4.4
46,"October 31, 2019",The staff was really nice and very helpful. The car was ready for us and I appreciated that. Sally helped me to learn about the tech items in the car. ,5.0
47,"October 28, 2019",The 2020 RX450h is our second purchase from SML - we bought our 2004 RX 330 almost exactly 16 years ago. The sales person looked out for the color and upgrades we like and we got exactly the car we wanted without having to wait a few months for a special order. Thank you Nima!!,5.0
48,"October 27, 2019","I always get great service when getting my vehicle serviced.  Friendly, efficient staff. Good coffee and bagels helps. Arsany Kamel was great, helpful, efficent and friendly.",4.8
49,"October 23, 2019","It is always so easy breezy to take my car for service at Lexus Santa Monica. Coffee, cookies, loaner car, car wash and lots of smiles. Oh, yeah, the quality of service is great too. They have taken such good care of my car that it is 18 years old and still running like a top! ",4.8
50,"October 23, 2019","service  manager  very  nice  - I  thought   the   oil  change  very   expensive -I   will  only  bring
in car  once a  yeAR  AS I  DRIVE  6K PER ANNUM . LAST  TIME  I  BROUGHT  IN  NO FILL UP
OF WINDOW  SPRAY I  THOUGHT VERY SLOPPY!! EVERY THING  SEEMS  GOOD  THIS  TIME",3.2
51,"October 23, 2019","Great service! Got a car at a good deal. Jasmine, my lexus dealer, was incredibly transparent, patient, and kind. She communicated all the necessary information and answered any questions. Jasmine is the one to go to! She also called after to follow up and made the whole process so easy.

Joshua - the technology specialist was also very helpful. He sat with me and went over every feature and was patient with my questions. 

Extremely nice staff! Also great building.",4.8
52,"October 22, 2019",Emergency visit ended with the installation of a  new battery and an alternator; quick effective service and great assistance by Leroy Dudnick—he was perfect. ,5.0
53,"October 21, 2019",Excellent service from Enrique. Made the process very pleasing and satisfying to get a new vehicle. Definitely will refer to friends and family! Thanks you!,5.0
54,"October 20, 2019","We visited the service department for the first time on October 18, 2019. We purchased a 2018 CPO vehicle 6 months ago, and we were bringing it in for service. We were promptly greeted by service representative Arsany Kamel. He made the experience pleasant and smooth. Mr. Kamel ordered a LYFT ride for my husband, as he had a doctor's visit nearby. I was happy to wait in the service area, surrounded by comfortable chairs, water, tea, and chocolate chip cookies. Mr. Kamel checked in on me before his lunch break and advised me to speak to another representative when my husband needed a return ride. The return ride was arranged by another very pleasant representative.  I appreciated Mr. Kamel's helpful courtesy. Since we have only driven @ 2,000 miles in the car, the standard minor service was fine. 
My only minor grumble is that the loud noise of the television was an annoyance. Perhaps placing the television on Mute or piping in soothing, beautiful classical music (note, not opera!) would add to the pleasant, luxurious ambiance. The car was ready in @ 2.5 hours, and I was grateful for the complimentary car wash. Once again, a pleasant service experience.",5.0
55,"October 20, 2019",They always go the extra mile. Each of them is personable and very competent. They're quick to respond and quick to get the job done.,4.8
56,"October 20, 2019","Effortless getting it serviced.  Reliable and dependable.  A little too many recommendations of other things to do beyond the 70,000 mile service.  Got too expensive to to all the work suggested.",4.6
57,"October 20, 2019","Best car buying experience. And I have bought ALOT of cars. My new go to car dealership. Fast, friendly customer service. I was out of there in less than 3 hours. Buying 20 cars over my lifetime I have never gotten out before 5-6 painful tedious hours. Julie was amazing. Jack was friendly, helpful, and honest. Thanks to Jack, Julie and Roger(?)!",4.8
58,"October 18, 2019",Just leased our 16th Lexus with Santa Monica Lexus  My wife and I have both been in Lexus since 1991 when we leased our first Lexus at Santa Monica Lexus.  They have always been very professional and work hard to give a good deal.  Service Center is excellent also.   ,5.0
59,"October 18, 2019",service as always was great.  This time I can because of a recall. and then I was given a tank of gas.I did not expect that surprise.  Thank you,4.8
60,"October 17, 2019","I walked into Lexus Santa Monica not knowing what I wanted, and every team member there helped me find the perfect vehicle for me. They moved mountains to make sure that I got exactly what I wanted! I was so pleased with the service that was provided. I am definitely not going anywhere else. My new car is so beautiful and rides so smooth. Thank you Lexus Santa Monica team. I appreciate you. ",5.0
61,"October 16, 2019","Brought my car in for scheduled maintenance and my new Service Advisor, Tim Nelson, was terrific.
The work was done in a timely fashion as always.  I have been bringing my vehicle to Santa Monica Lexus Service since the day I purchased it.  Wouldn't trust my vehicle with anyone else!
",5.0
62,"October 11, 2019","Nice and very good service overall, have not a single complaint. Truly professional job and service giving.. l have no issues with the service provided, including a loaner car while my car was been serviced.",5.0
