,Date,Reviews,Ratings
0,"October 12, 2019","I Start by saying our experience with Stevens Creek Lexus was nothing short of Incredible!!! Eric is Top Rate Salesman he was very helpful & Respectful & Attentive,not pushy or talking about things too much I appreciated him on keeping it real with my Wife &  he informed us well & not feed us most junk sales people try to make believe to make a sale.
 Both my Wife & I are very pleased with our recently purchased new LEXUS ES350...
Thank You Very Much to Eric great Job top notch...
Lexus Great Crew...A1 TOP NOTCH!!!!
",4.2
1,"August 13, 2019","I recently purchased a RX350 and worked with Jay. He is beyond awesome, extremely professional. He took his time to explain everything to us.  I loved the fact and he wasn’t pushy like some other car salesmen. Excellent customer service. Robert Riley (finance manager) was also very nice and took his time to explain every single paper I was singing.  I never had good experience with car dealerships but these two gentlemen made me change my mind.  Thank you so much Jay and Robert ",5.0
2,"July 07, 2019","Thanks to Ramiz’s great service and professional suggestions, we were able to buy our most suitable car. It was the best car buying experience yet!",5.0
3,"July 07, 2019","I bought a new ES 350 yesterday with the help of their sales employee Ramiz. He was very knowledgeable of the product, helped me find the right car, and got me a great deal on it. Definitely happy with their service and their efficiency. ",5.0
4,"May 22, 2019","I took my Lexus ES-350 , Model 2011 car to this dealership service in Febuary,2019  for Navigation System (GPS) update to 2018 update, as was available on that date.Paid $ 403.28 for service.But this update didn`t even show 5 years old  addresses.Their navigation specialist checked & agreed with this problem.Later I have talked to service manager a few times . But he has not resolved this problem, to either to rectify this issue or refund my money paid.",1.0
5,"January 29, 2019","This box does not allow the lengthy review on my car.  No fix, refer to auto shop, turns out a clip was needed from Lexus ",1.2
6,"September 13, 2018","This was my first time taking my  2007 IS250 in for a replacement of the Takata airbag on the dashboard (a recall item). I just recently purchased this vehicle and inherited the issue at hand. I had an appointment at 10:00 am. When I arrived, I waited in the waiting room for a service consultant to assist me with my vehicle,  When we finally met, I felt he did not greet me with a sincere welcoming.  As we discussed the issues of my vehicle in his office, I felt that his assistance was insincere and rushed.  When we walked outside to my vehicle, I noticed he veered off to a different direction to go greet another customer in their vehicle with a hand shake with a smile.  Overall, I was not impressed with this Service consultant assistance.  This will be my first and last time taking my vehicle to Steven's Creek Lexus Service Department.",1.8
7,"June 05, 2018","Working with Herman has been my absolute best car buying experience.  He was very helpful and informative. He explained my options thoroughly and made me a very good deal. He was considerate about my time and even had my car detailed and ready before I was done signing the paperwork! 
When my lease term approaches the end, I hope I have the opportunity to work with Herman again.
",5.0
8,"June 03, 2018","At first I was not sure I wanted another RX350.  It would be my forth and I was not that enchanted with the new body style. I got my prior vehicle from Herman Samaniego at Stevens Cr eek Lexus, I had a professional experience dealing with him. So I contacted Herman when my lease mileage was getting close to my limit even though I had six month remaining on my lease.  Herman explained my options and told me he would contact me when it made sense.  When it was time I set an appointment with Herman and he knew what I was looking for in the vehicle (color and equipment) and he had it waiting for us to look at and test drive.  Herman reviewed the differences between by prior and the new vehicle. He went over the new features and how they worked. In the end we made one change going from the RX350 to the Hybrid RX450H.  When my lease comes up in 4 years I will check in again with Herman.

Sincerely,

Barry L. Baltor
",5.0
9,"May 23, 2018","This is my second time getting a car! and the experience was excellent as last time! I got to work with Domingo which I wasn't sure how it will turn out since I worked with different person last time. And guess what! Domingo is so great!! He is very understanding what I need and he even remember me back 3 years ago too. Those small attention to detail really matter to me come to car buying. He has great knowledge about cars and that is also plus for the question I have.  I will definitively come back future!

It is my second time working with Gary and I was happy that they assign me to him again, and He also has great knowledge and even remember me back 3 years ago make me feel very warm welcome!  Gary made the boring paper work seem very fun with good talks! 

Overall, Lexus Stevens Creek did very well with pairing people up and know how to treat return customer well! and I can say I will come back for future! ",5.0
10,"May 21, 2018","Herman helped us making the decision to purchase the right vechicle. Patiently, he explained various options and answering all our queries. Very fair in pricing.",5.0
11,"May 15, 2018",We drove from Sacramento to this location it’s about a little over 2 hours. Before we left we called them to confirm the vin and stock# is still available and they confirm it was only to drive there and there was nothing to see but besides our preferences. I do not recommend this place and highly suggest upper management to get their database updated before wasting people’s time. ,1.0
12,"May 09, 2018","Both Herman and Anita were very helpful. Specifically, they helped deal with a dent in my returning car by proactively calling a body shop and taking the headache off of my shoulders to fix the dent.  ",5.0
13,"March 21, 2018",They are very friendly and helpful in offering the best car I need plus great deal. We had three cars from Lexus Stevens Creek. The best dealership in the Bay Area. ,5.0
14,"March 17, 2018","Herman was super helpful in getting me into my third Lexus. He even came in on his day off to make sure the transaction will move smoothly. 

I also want to praise Anita for being super professional and friendly. this team is the best !!!",5.0
15,"March 01, 2018",I had a good experience in Lexus Stevens Creek with Lena. She was patient when answering our questions and I was satisfied with the final deal. Recommend her! ,5.0
16,"February 19, 2018","Herman helped me get into my second new Lexus! He was very kind, patient and just so amazing to work with. He made the process so painless and easy! Love my new car and loved my experience!",5.0
17,"February 10, 2018",Herman was very knowledgeable of products and provided options that best fit my specific situation. I was pleased with the deal and how fast we completed the deal.,4.8
18,"February 08, 2018","The representative listened very carefully to the features we wanted in our new car.  He then presented us with a model which virtually fulfilled everything we were looking for, including color. ",5.0
19,"February 07, 2018","Recently updated with new Lexus with the help of Herman and Jennifer. 
All the process was smooth and easy. Herman looked for several options which could be interested to me and helped with the right choice. Made it super easy to transfer from my current lease to a new one.
Financial part was also super easy, Jennifer completed all the paper work and explained me all the questions I had.
Over all great experience this time. I wish I had same experience for the first purchase.

Evgeny

",4.8
20,"February 07, 2018",Nice car ! Salers are very confident. Working hard. Listened coustomoer. I felt I want to buy this car. Very efficient. It takes time. But it was Worth it,5.0
21,"February 05, 2018",This is fifth car I have bought/leased through this dealership and third one with the help of Herman Samaniego. Herman works hard to make sure I am satisfied with my purchase and provides me with all possible options so that I can make an informed decision. I think I am presented with fair pricing and service is excellent.,4.8
22,"January 31, 2018","Excellent service Herman & Anita are the perfect team!  My purchase was flawless and was in and out quick. Herman goes above and beyond the call of duty, he values his customers with TLC.  I would highly recommend Herman, great customer service.  My experience  for the last 12 years have been awesome!  

I feel he's MVP! I will be returning in a couple of years to roll into another Lexus!

Big thanks to Herman & Anita!

Margie Reyes ",5.0
23,"January 29, 2018","Excellent service great customer care, I felt valued and appreciated the personal service thank you  for everything. I will definitely shop with you in the future.",5.0
24,"December 04, 2017","Good service in bay area, help a lot and nice sale service . showing me all using of the new car.
The Sale manager and sale service so nice and help me a lot. paperwork did so quietly. ",5.0
25,"December 02, 2017","I have known Herman for 15 years and he, Ted Liu & Gary Luu were outstanding in their efforts to make this a smooth transaction from our old lease to the new lease. I highly recommend Herman & Lexus of Stevens Creek.",5.0
26,"November 20, 2017","We have been loyal, Lexus of Stevens Creek, customers for over 28 years.  In our opinion, and supported by personal experience, the sales and service staff are true professionals.  They are well trained, competent, personable and, above all, dedicated to insuring complete customer satisfaction.  While we agree that the Lexus product is of high quality, it is the Stevens Creek employees that make us return to the agency on a regular basis. During the past 7 to 12 years we have been assisted by two outstanding representatives, Herman Samaniego (sales) and Anita Clevenger (finance).  These exceptional employees have provided us with both courtesy and continuity.  It's reassuring and comfortable working with familiar faces for so many years. Visit this agency.  You won't be disappointed! ",5.0
