,Date,Reviews,Ratings
0,"January 02, 2019",Great dealership.  Very Timely.  Sarah Ventresca is very helpful and enthusiastic.   I would highly recommend this dealership and return again as a customer .  thank you. ,5.0
1,"April 13, 2018",I took my car in for an airbag recall and left with punctures in my seat. They didn’t point out the 2 tares in the passenger seat even though I noticed them as soon as I got my car. Once I brought this issue to their attention I was told to call back tomorrow since my Service Rep Jose left for the day. I called and was told that I would have to wait several days before I could bring my car back. I scheduled a pickup time at 1:00 with Jose once the work was done and Jose was not back from lunch to help me.  The workmanship on the repair was below average. You can tell where the seat was torn. BTW no one ever apologized for the inconvenience of damaging my seat.  Go to Longo instead. ,1.4
2,"March 14, 2018","There was a recall for the dashboard of my Lexus GX 470.
I took the car to Lexus of Cerritos in March of 2017 and they replaced the dashboard. After few months the dashboard started making noise. It got to a point that the noise became very annoying. So I called the dealership and explained the situation. They made an appointment for the next day and even said that I would get a loaner car. Next day when I took the car to Lexus of Cerritos they said in order for them to examine the problem they would have to remove the dashboard and that by itself would cost me $495.
I explained to their service assistant manager, Sonia, that the noise comes from the dashboard that they have installed and I should not pay for them checking their poor workmanship. She talked to the manager and agreed to check the dashboard free of charge. And she said there were no loaner cars so I had to wait 3-4 hours or take an Uber, go back home and come back again. Since I live about 40 miles away, I decided to wait for the car. After about 45 minutes, their technician came and said since each technician is an independent contractor somebody has to pay for the work.  Lexus of Cerritos would not pay them and therefore I would have to pay. Once I said that I would not pay so they can check their work, he agreed to remove the dashboard and check the noise. Ten minutes later he came back and said he doesn't need to remove the dashboard and the noise is not from the dashboard, but the connection between the dashboard and speaker. A total nonsense. When they replaced the old dashboard they would have to disconnect the speaker and reattach it to the new dashboard. So if there was noise coming from the connection, it must have been because they did not connect it well. To make the long story short they refused to take responsibility for the lousy job they did. And I am left with a dashboard that keeps making an annoying noise. I will never, ever goback to Lexus of Cerritos again.",1.0
3,"February 28, 2018","I made my first service appointment for a Saturday and upon arriving was advised I was not on the schedule. No one could explain or cared, just asked if I wanted to reschedule. I did. I made an appointment the coming Tuesday at 7:00 a.m., when making the appointment I advised the representative that I worked a distance from the location and would need a loaner car.  He insured me that would not be a problem. The day before my appointment I contacted the service department to confirm that I would be getting a loaner car.  I was advised that that was not a problem and it was confirmed.  Well on Tuesday EARLY morning I get there and after waiting, the representative began taking my info., as if I were a new customer.  I explained my info in already input int the computer. Went through that then I was advised there may not be a car for me. Walk over to the gentlemen responsible for the loan cars and told in a nonchalant manner, ""no we don't have any cars, just this one (showed some keys) and someone else has this one."" They went on talking pointing fingers as to who took my reservation. They offer no accommodations. Didn't try and figuered something out or find me a car. I told them I needed to get to work and take my grandson to school. So what was the attitude. Not up to the standards of a Lexus dealership. I left and called the service manager, he was just a bad.  Nonchalant attitude and actually stated, ""well what do you want me to do, do you want to make another appointment?"" I told him I thought he should know in order to improve their customer service. I stated it starts at the top and twinkles down and after as far as the attitude of staffs at this location. It was very clear where it started after speaking with the service manager. They have done remodeling at this location, maybe they should invest in improving their customer service beginning with the people in charge and staff. Called the general manager, never returned my call, what does that tell you. This location is just the typical car dealership, doesn't meet Lexus high standards. Old saying, ""Money can't buy you class.""  ",1.0
4,"November 28, 2017","The service at this dealer is very poor. I got my car service for a Dash replacement that lexus corp. was replaceing due to the sticky dash problem. Lexus Corp. held their end of the bargain, but with a slight hickup. The center council also has the stick surface on my Is300. Since the center council  was not brought up by the service advisor. Lexus corp. only approved the Dash and not the complete set. So the service manager at Lexus of Cerritos said that they only was going to due the dash. I got the general manager involved and he just brushed it off and still dealing with this problem. They even damaged my leather seat in the process of installing the dash. I do not recommend this dealer for service or any continued business because they do not have a heart. Simply they give you the run a round.",1.0
5,"October 17, 2017",I took my car in for the airbag recall and it was done so fast. I only had a quarter tank of gas and when I picked up my car it was a full tank. Eugene Chang is the best. ,5.0
6,"September 25, 2017","the knowledgeable information given to us by our salesman Charles Flores was excellent,  His non-confrontational type of approach was gratefully appreciated as well and his low pressure but pro-active approach. 

I have one complaint.  I brought my 200ct in for a flat tire and after the service reps suggestion I met with Charles and bought a new nxt.  While on the test drive the service rep called and said we need a new tire should they put it on.  I assume they meant if we did not buy a new one.  When we were finalizing the purchase of the nx we were told we owed 235.00 for a new tire after almost waking out the sales manager lowered the bill to 135.00.  I still feel the service department cared more about selling a tire then us purchasing a new car.",4.8
7,"September 20, 2017","Had great time purchasinng our Lexus RC350 from Peter Agnew about 2 weeks ago,  When we went to purchase the car we wanted it was gone, but Peter found the car we really wanted at another location and was able to have for us the next day, Our longest wait for an appointment with Peter was no more than 5 min. We had at least 2 other appointment with him, and each time he was there on time.  
Was very impressed with Lexus of Cerritos.  This was 3rd Lexus that we have purchased from Lexus of Cerritos. Recommend them highly.  

Dave & Peggy Van Houten",5.0
8,"May 08, 2017","A couple of weeks ago we bought a used car.  Yani was our salesperson.  She was focused on us and completely helpful.  She went with everything we wanted.  (The finance guy was okay.)  I don't feel I can wholeheartedly recommend this dealership because we've only used it once to buy, and never used the service dept.  Also, they gave us only one key to the car and it will cost us big bucks to get another.
Thank you, Yani.",4.0
9,"December 26, 2016",Good experience.   Explained everything in great detail.  Sales person and finance person were good.  Scheduled appointment for windshield treatment cancelled due to rain but have not received call to reschedule. ,4.5
10,"December 13, 2016","Treat me like I was family constantly reviewing the terms of the sale as well as the best possible finance availeble to me
Relly friendly people all around",5.0
11,"July 12, 2016","Let me say this, I have been coming to this specific dealer for years. I went to the Tustin dealership when I first bought my car and the service was mediocre. I was just another car to get in and out.
At the Cerritos location, with Dorothy Lunney it has been the exact opposite. She is attentive and gets my car handled. She always makes me feel she is fighting for whatever I am asking for to get looked at or repaired. When she delivers my car, I have no complaints.

Dorothy is a sweet, professional woman that cares about customer service. She will do anything that is in her power to help the client with their requests. As far as I am concerned, she goes above and beyond.  If you can work with Dorothy, you're in great hands!",5.0
12,"May 23, 2016","I bought a car from them, after they got the money, they did not refund what they were suppose to , I paid $80.00 for the paper work; I've waited 3 months no license plates. I think they took the money and went partying. Whatever U do do NOT go here.",1.0
13,"May 04, 2016","the 2006 lexus gs and is were manufactured with defective piston rings.  causing engine failure.  even though lexus is aware of the issue they refuse to stand behind their product.  don't be fooled by their advertising and demeanor Lexus is manufacturing inferior cars that fail.  and when they do fail they will not correct their manufacturing defects.
",1.4
