,Date,Reviews,Ratings
0,"May 11, 2020","I have a relative in the business and he was unable to get me in so he recommended these guys.  I went in and they were able to take care of me.  I worked with Ricky who was very friendly and knowledgeable.  They did an oil change, a recall, and replaced the battery on my Key.  It was fast, and although they made recommendations, for additional services they did not pressure me to do any like I have experienced other places.  I will be back they did a great job.",5.0
1,"May 09, 2020","We had a fantastic buying experience. We love our new CX-5 signature. Thank you Sherri Wilkerson and Scott behind the desk. Your professionalism was extraordinary. They buying process was enjoyable and no pressure. Thank you Sherri for all your time explaining the high tech features of my wife’s new car.  The safety features and technology that are standard on this CX-5, are usually on much more expensive cars.   

Well done ! 
Will be recommending you to friends and family. 
Steve",5.0
2,"May 08, 2020","Process was smooth even with COVID-19. Appreciated Solvi's patience while I was finding the best deal. The trade-in value offered for my previous Subaru was a little disappointing as it was 1/3 of what I was able to sell it for privately but I supposed that is to be expected.
",5.0
3,"March 23, 2020","I worked with Bert Johnson. Very good customer service. He found the car I wanted. When I was ready to purchase I walked in took a test drive and purchased the car. Everyone was great. The finance person was a fast talker to get everything in a short amount of time. But took the time to go back and explain everything slower for me.
The followup is fantastic. ",5.0
4,"March 14, 2020","Buying my outback at Maita was the best car buying experience I have ever had. Very professional, friendly and really listened to my needs. I never felt like anyone was trying to up sale or change my mind on what I wanted. ",5.0
5,"March 12, 2020","All of the representatives were very professional and made me feel at easy while they handled all of my questions and concerns.
Facility was very clean and laid out beatifully.",5.0
6,"March 08, 2020","We purchased our new Crosstrek from Maita.  From the time we contacted Larry Bilger on the phone, to actually going to the dealership, to purchase our car, it had to be one of the easiest and pleasant experiences we have had purchasing a vehicle.  Larry is an  exceptional salesperson.  He is very personable, and knowledgeable.  He returned phone calls, and there were no surprises when we met him at the dealership.  ",5.0
7,"February 17, 2020","Julio Navarro was patient and flexible. He allowed me test drive several cars, new and used. He never pressured me. He followed up to offer support after the sale. I am thrilled with my new car. ",5.0
8,"February 16, 2020","I love my car and believe I got a fair deal. However, my fault for not paying attention during test drive, it needed service. The air filter needed to be replaced, it needed an oil change, both key fobs were low on batteries. Plus updates on SOS and navigation. So $400 later I still love my car but I think these should have been taken care of. Then, finance went through without discussing interest rates with me, I’ll likely refinance myself.",3.4
9,"January 18, 2020",Our experience at Maita was incredible. Daniel Espero was not only personable but professional and when we purchased the car spent great time showing us all it’s features. ,5.0
10,"January 15, 2020","This was the 1st time I've ever bought a Mazda and it will be the last. Maita Mazda on Auburn Blvd in Sacramento is the worst. DO NOT bring your car there. Paul, one of the salesman overcharged me 3 times, then had to go back once I explained the details. I brought it in for an initial problem with the engine. I bought the extended warranty, everything should have been covered. He tried to charge me for that. Once the major work had been completed I got my car back, but the navigation didn't work and there was a rattling under my dashboard. I had to bring the car back into the shop a week later to get those fixed. He tried to charge me $140 to diagnose the issue. When I explained to him there shouldn't be a charge because it was their fault, he looked through his notes and took off the charge. (No apology). They did not give me a loaner car even though both issues were their fault. I paid $40 for UBER to get me back to the dealership. They said the navigation still couldn't be fixed because their main guy was out. I brought it in a few weeks later (7am appointment). Paul once again tried to charge me to diagnose the issue. The guy called in sick, so I had to reschedule again! I had to make another appointment, which Paul said he would call me. A month later I had to call because Paul never called. I spoke to another person and made an immediate appointment. I spoke with another salesman who said they would look into the issue. After waiting 30 minutes, Paul came over and said they don't know what's wrong and they need to call Mazda. He wanted to charge me another $145 for diagnostics and said it would take at least 4-5 hours to figure out the issue. I told him to go xxxx off and give me my car back. I wouldn't give them a dime because he tried to charge me 4 different times and never got back to me about anything. This entire process lasted over 6 months. FIRE Paul! DO NOT bring your car to Maita Mazda in Sac, Auburn Blvd.  ",1.0
11,"January 14, 2020","I love my Ascent (my first Subaru). Taylor Hills knows his job. He knows the car. He showed us all features of the car and it’s functions. That guy is awesome. If I had to buy a car again, I know exactly where and whom I had to go to. Thanks Maita Subaru!",5.0
12,"January 07, 2020","I started my journey looking at various makes & models, loving them an soon finding something else that captured my attention .. But then came the Mazda CX-5, and I was hooked! I watched the YouTube videos for months, and finally went and just sat in one, but I didn't take it out for a ride, cause I wasn't ready to purchase one just yet. But now it's January 2020, the time was right, but which one to chose...! The problem arose when I saw the CX-30! Awwwwh! I test drove it,and almost purchased it instead... I had to pray on it.... The next day I knew... CX-5 was my choice☺️.. Let me tell you, everything went smoothly, Kelly, Ira, and Sherri all worked together to make my purchase of a 2019 Mazda CX-5 a blessing.. I only been driving it a few days, and my wife and I have been very pleased, .. I thank Jesus for sending me there, and placing these fine people before me to help me in gettin this vehicle ... Maita Mazda, THANK YOU,.... & Shalom",5.0
13,"December 01, 2019","Kelly was awesome. We literally picked out the car we wanted, left and Kelly called us a few hours later, after doing the entire deal via text message, including the negotiating. I was very impressed by his service. Thanks Kelly! ",5.0
14,"November 29, 2019",We came up from San Jose area to purchase a new Crosstrek from Maita. The color we wanted was tough to get locally. Well worth the trip - everyone was fantastic and we got exactly what we were after.,5.0
15,"November 27, 2019",Anar was very helpful and made sure I understood the new features. He encouraged me to make use of the extra technical help available when I was ready.,4.8
16,"November 15, 2019",Sherry was fantastic! Followed up with everything and made sure I was taken care of. She got me the car I wanted! Any issue I had Shery had a solution.,5.0
17,"October 29, 2019","Our salesperson, Joshua Sarabia, could not have served us better.  He knew the car, answered all our questions, exerted no pressure on us to buy the car, and was patient and respectful.  We experienced the same treatment with everyone we dealt with during the buying process.  We love our car!!!",5.0
18,"October 27, 2019","This should be Maita Subaru not Maita Mazda!

Great experience. Got the car I wanted at a great price after shopping around for six weeks. Sergei Samolik and Larry Bilger helped me. Sergei sold me the car and he was great. All around I am so happy with the car. I have owned only Subaru’s since I was 19, and this is my first cat in 17 yrs. party!! ",5.0
19,"October 17, 2019","Our Salesperson Solvi was simply the best! She was super easy to talk to, and had our questions answered quickly.  Great Car, Great price, great experience all the way around...couldn't be happier with our experience!",5.0
20,"September 30, 2019",It was literally a one stop shopping. Larry Bilger is very professional and No pressure what so ever to buy! Every step of the way was explained. No surprises at the end of purchase. My Outback handles just great on the road. I came all the way down from the foothills to buy at Maita Subaru.,5.0
21,"September 30, 2019",Very positive experience overall. I bought a new Subaru Impreza and I love it. I shopped around online first and I’m glad I ended up at Maits Subaru. ,4.8
22,"September 28, 2019","Wonderful place to purchase a car.  No high pressure, everyone very friendly and helpful.  They go out of their way to make sure you are satisfied with your purchase and are ready and able to answer all questions about the car.",5.0
23,"September 23, 2019","Started looking on the internet for a car.  Long story short, found one before normal business hours. Emailed right away and the internet sales department was amazing.  Answered my emails before normal hours and scheduled appt. for same day.
Treated great, finance was SUPER FAST - no more 3-4 hours of time wasted trying to buy a car.  Everything done in about an hour.
Thank you for everything!!!",5.0
24,"September 20, 2019","Recently we bought a car from Mazada and our sales representative was awesome. He went above and beyond! Kelly Rianda was great. If you’re looking for a great sales person, ask for Kelly. I appreciated all the help, guidance, and time spent during my decision making and purchase. ",5.0
25,"September 20, 2019","We had an Awesome experience with Maita Subaru. To be honest our search for a new vehicle was really easy. My last Subaru, a B9 Tribeca lasted for 235,000 miles. I had that vehicle serviced as Maita Subaru and have had the Pleasure of working with Ben Lee as my service manager. He has been awesome. So we knew we were going to by a Subaru, and we knew we were buying from Maita. We had a wonderful experience working with Randy Wurschmidt as our sales person. He took his time with us and allowed us to see lots of different vehicles in the inventory and we drove them all. He was knowledgeable and patient with us, and a real pleasure to work with. I would recommend this dealership to anyone. 

",5.0
26,"September 07, 2019","polite and did not do high-power sales, left me to pick and choose i don't like having to do what your dept wants",4.0
27,"September 04, 2019",iRa and Kelly help us find the car of our dreams. My wife picked the red with a tan leather interior. They brought it from another dealership. When it was discovered that a ding and scratches needed to be fixed they took care of it and made us a fair deal. They know how to take care of the customer,4.8
28,"September 01, 2019",Not since 1992 Saturn that I had a no haggle experience.  Maita and Randy went the extra mile to get me the best deal and service. Randy stayed with me until it was done including the insurance on a late Saturday evening. ,5.0
29,"August 30, 2019","I look really young. Visited several other places in past and get treated like a kid just wanting to drive some new cars. Bill didn’t hesitate or treat me anyway other than professional and invested time into me, made the experience pretty great for a first time new car buyer. ",5.0
30,"August 25, 2019",Ben was a great to work with and was very accommodating of our needs. He was with us every step of the way. Finance went super quick and we got a good deal on what we wanted. We would definitely buy from Ben and Maida Subaru again.,5.0
31,"August 21, 2019","Up front, honest and helpful. Bill our salesperson was the best! No BS and helped us to get the best deal possible on my Mazda6. Will shop the Maita “family” for cars in the future. 

Went to Mazda Elk Grove first and had the worst experience. Hesitant when I walked through Maita Mazda because of it. But Bill was great and very helpful. Made me feel like part of the family and worked with me to get the best price and banker interest rate for a loan. 

My husband and I agree...we will only shop at a Maita dealership in the future. Would HIGHLY recommend to anyone looking for a new or used car.  ",5.0
32,"August 02, 2019",The staff at the dealership are very good to deal with.  They are helpful without being pushy.  Tony Yang was the main person I dealt with though there were others whose names I do not recall.  Buying a new car is stressful enough but Maita reduces the stress considerably.  ,5.0
33,"July 26, 2019","My husband and I are extremely happy with the whole experience of purchasing a new car at Miata Mazda.  From the time we walked in the door to leaving with our new car, what a pleasant surprise.

Our salesperson Solvie Noonan, was great.  She was very knowledgeable about the car, and could answer all of our questions easily.  During the purchase process, the sales manager came out to greet us, as did the the contract person.  We didn’t have to wait long for Solvie, to come back with a very good offer.  Signing the contract and all of the paperwork again was easy and friendly.

The whole experience was really refreshing compared to other dealers we visited before buying at Maita.

Yesterday, we took the car back so Solvie could reexplain some of the features of the car, again we were very happy, she graciously  took us through everything we didn’t get the first time.  Lots of new technology for us.",5.0
34,"July 17, 2019","I liked the small dealership feel from Maita Mazda. No pressure, friendly atmosphere. Have had our CX-5 for a month now and love the quality of the car. ",4.5
35,"July 14, 2019","Randy was very perceptive to my needs and wants in regards to purchasing a car. He worked hard to find what I needed and was very patient. I really felt that he took care of me,  All the staff was very nice. I didn’t feel pressured to buy a car, I bought a car because I wanted to.",5.0
36,"July 08, 2019",Thank you for the amazing service. Bill Johnson is an expert all around. Lea Rosa came over the house to explain more on the electronics of the Outback. Just amazing service.,5.0
37,"July 04, 2019","Randy Wurmschmidt was an excellent salesperson....knowledgeable, friendly and not pushy. Leasingn process was easy with    little need for negotiations.  Car delivered in perfect condition.",4.8
38,"July 02, 2019","This dealership works hard to get you the best deal and to make sure you get the car you need. No hassles, great people, highly recommend Maita Subaru.",5.0
39,"June 09, 2019","I would have loved to have in-dash nav system,, I found out too late it is not available on my new Outback Premium.. someone should have asked me what was important to me in a new car,,, before signing the paperwork!! My fault??? maybe?? am I expected to know what is available and what is not? Or should the sales staff go over the options with the buyer???
As far as courteous staff 5 stars! speed of the overall transaction 4 stars! Price of the vehicle without the normal haggling 5 Stars! Sales staff knowledge 3 stars!  ",4.3
40,"June 08, 2019","Sherry and other staff went out of their way to make a big decision and purchase as smooth, easy and fair as possible. We used the Costco discount and Sherry handled this readily and helped with other ways to give us a very fair price on exactly the car we want, especially with all the safety features we hoped for.  We have an appointment with Lea next week to make sure we can utilize our Outback’s special features.  We feel very well supported in getting the most out of a great car. ",5.0
41,"June 02, 2019",We purchased a used 2016 Mazda cx5  we found on the internet and traded our 2015 Mazda3.The dealer gave us a fair trade in price.The car had a small hole in the windscreen and it was agreed it would be repaired but when we picked the car up we were not happy with the repair so after discussions the windscreen was replaced with a factory one at a shop of our choice.We were very pleased with how the dealership dealt with the issue and are very pleased with our car!,5.0
42,"May 30, 2019","Had an excellent car buying experience with Maita Mazda. Best price, great Mazda representative, fast paperwork... but there was an issue with our new car and we were told it would be fixed and delivered in 2 or 3 days. After a week, it was delivered and the update they were supposed to make was done poorly, so we sent it back. After TWO WEEKS and two days, we finally got our new car. Definitely took the excitement/happiness out of the car buying process. (And no, they did not offer to compensate us for their shoddy work/2 week delay.) Started out so well but lacked in follow-through. It’s a shame. ",4.0
43,"May 09, 2019","I have purchased 3 cars from Maita and I have always had a great experience. I also like their service team and I have never gone anywhere else to have my car serviced.
My sales associate Randall W. was particularly nice to work with. ",5.0
44,"May 08, 2019","I brought my Subaru Outback in for service and asked Jose for a test drive of a 2019 Subaru Ascent.  This would be our seventh new Subaru (majority were Outbacks) since 2001 if we had decided to purchase it.  For us there isn't another vehicle maker that offers the value, styling and reliability that Subaru offers so there is no point in driving anything else!!  None of our Subaru's has ever left us stranded!!  We bought the Ascent.  Maita made us the deal we were looking for and the new Ascent is our best Subaru yet!  It is beautiful inside and out and is very versatile and re-configurable.  The interior ergonomics are very well engineered.  It is very quiet and fun to drive with more than ample power and room.  Maita made it a pleasure to do business with them!",5.0
45,"May 05, 2019","While searching for the car I wanted, I came across their website and emailed about the availability.  They responded very quickly and without any pressure or sales pitch.  I reviewed them online to see how others felt and got such a good feeling about what others were saying.  I had to wait a week before coming into the dealership so I was hoping it was still there and it was!  Super nice staff, clean dealership - no problems at all.  Thank you so much for everything",5.0
46,"May 05, 2019","Knowing exactly which Mazda 3 my husband and I were interested in checking out, I called Sacramento Maita Mazda and asked to be directed to the sales MANAGER. Lo and behold I was immediately directed to Scott. He made arrangements for the red and white cars to be brought over, washed and ready for us to see the next day. From there Bill and Scott sealed a deal we were happy with and we were in and out of Maita with our brand new beautiful red 2019 Mazda 3 hatchback!",5.0
47,"April 29, 2019","The internet sales department manager Ira Carter and Finance guy Shawn, were THE BEST guys to work with. I was in and out of showroom with my new car under 1.5 hrs! Love my new Miata MX-5 RF!!",5.0
48,"April 26, 2019","Buying my Outback was simple and Randy, the salesman that helped me, was very warm and knowledgable. Made it feel like I was buying a car from a friend that cared about my happiness, and I appreciated that. Also got a great deal! ",5.0
49,"April 15, 2019",After speaking with several dealerships I ended up choosing Maita to purchase my 2019 Subaru Forester. They offered me a better deal than anyone else in a 50 mile radius of Sacramento. I had the pleasure of working with Bob Brandt. He was knowledgable and to the point. I have been incredibly happy with my new car. Thanks!,5.0
50,"April 13, 2019","My wife and I went in to see the 2018 Mazda 3. Ira Carter was our salesman. He's kinda pushy event though I made it clear that we want to see the number & might not buy on that day. Spending more than $20K on a car is a big purchase for me so I'm shopping around to get the best deal out there. He gave me a higher price than he quoted me previously on the email (it's $1,500 different). His reason was the previous quote was for hatchback. However, I confirmed the price is correct before I came to the dealership.  

We left the dealership and he contacted me for follow up the next day.  I did put my offer to him but he never responded back to me.  At least give me some response. That's how you treat the potential customer?? Where's the customer services?  ",1.2
51,"March 30, 2019","This dealershipsl’s online communication was better than any other dealerships I dealt with.  They know that what customers, who choose the shop online, are looking for— no nonsense, detailed, out the door pricing.  I traveled all the way from Bakersfield to purchase my car from Miata Mazda.  They made the process simple and direct, with no surprises. I got the best  deal on a new Mazda 6 from Miata Mazda!",5.0
52,"March 22, 2019","Having not bought a car myself in 20 years, I came to the dealership worried about getting a fair price and being treated respectfully. Maita Mazda far exceeded my expectations! Everyone I worked with, especially Sherri, who patiently spent HOURS with me answering every question and explaining every detail, was excellent! I felt listened to, supported and left the dealership feeling really good about my purchase. The team made a daunting experience an absolute pleasure. Thank you!",5.0
53,"March 17, 2019","Zach was very helpful, efficient, and thoughtful. He was clear when helping me learn all the new features of Eyesight and syncing my phone to the hands-free option. ",5.0
54,"March 13, 2019","Overall, five stars. The best car buying (& selling old car) experience we ever had. 

Tony, our sales person was wonderful and we liked him as a sales person.  He was not pushy at all.  He was knowledgeable, friendly , and easy to talk to.  He made us feel very comfortable , which was very important to us. 

Kent, the deal making gentleman, was great.  He made the ""deal process"" so quick and great for us; this process takes so long and stressful at other dealerships, but Maita was so fast and least stressful that we could not believe it.

Eric, the finance guy was very friendly and professional.  He made us feel comfortable as well.

We have never purchased Subaru before (no family member has one either). We were planning to buy a different car from other dealership.  We stopped by since we drove nearby, and we are so glad we did!

We will definitely make Maita Subaru our first stop when we need another car.  
We love driving Outback :)  great car.
Thank you all very much!!

Yoko and Eric",5.0
55,"March 13, 2019","Easy and painless car buying experience. Professional, courteous, and helpful service by all we came into contact with. Service department and Star Delivery Specialist was very helpful.",5.0
56,"March 03, 2019","No pressure.  We had searched around, they said would beat the lowest price we found by $200.  We had decided on a price before we actually came into the dealership. No haggle, no wheeler dealer.  We bought two cars, one for my 87 year old dad, one for me.  Bob Brant was fabulous on making sure we understood all the new technology on our cars.  He was thorough, patient, and welcomed all our questions.   We later could set up an apt to meet with  Lea Rosa to revisit all the technology on the car after we have driven it for awhile.  (Which I will do)...I also wanted to mention the gentleman in the financial department (his name escapes me), he was one of the best....  my over all experience with MAITA Subaru was the best ",5.0
57,"February 17, 2019","My family has now purchased 3 cars from Maita Mazda - all from sales consultant Kelly Rianda.  I really appreciate the way Kelly takes time to make sure he understands what I am looking for, and then works closely with me to make it happen.  I trust him, and that makes all the difference.  ",5.0
58,"February 12, 2019","Bob Brandt provided me with great no pressure service throughout the buying process. He was informative and respectful of my needs and knowledge. I felt he was my advocate for the best trade in deal as well. Also, Lea Rosa was extremely professional and super efficient in delivering an in depth hands-on tutorial of all the features on my new Outback.
",5.0
59,"February 10, 2019","Very informative & easy to deal with. Traveled 75 miles, was a quick & easy process. Zach did a great job
communicating through email,texting &phone. Got a great price!!",5.0
60,"February 08, 2019","All went according to my plans. Happy with sales person, happy with price. I am sure that the service will be great also. Looking forward to a long ride with my new Subaru Forester.",5.0
61,"January 28, 2019","Easy, no pressure. Soliv Noonan (sales) was wonderful at giving us all the information on the vehicle. Scott Ikesaki (fin manager) was incredible with our trade and getting us a excellent rate for finance. Even after having to stay late to close the deal. There was no rush to get us out the door. Solvi still went over the entire electronics of the car with us and let me know that if I had question to just come back or call and she would help me with any of it. I couldn't have ask for a better team to work with. They made this car buying experience easy and delightful. I will be recommend them to anyone.  ",5.0
62,"January 22, 2019","My sales rep was Ira Carter and I have never felt more taken care of. By far the best experience I have ever had buying any vehicle from any dealership in my life. I’ve walked out of Dealerships just before signing papers due to arrogance rudeness and a plethora of other adjectives I could use. As long as Ira Carter is a salesman I will be a customer.  Nobody was pushy and everyone was very nice. Unfortunately I cannot remember the wonderful woman I worked with in the finance office however she was amazing as well. Everything is upfront, honest and easy to understand. I’ve had my car almost a month and am completely in love with it. Amazing staff! ",4.8
63,"January 21, 2019","This was hands-down one of the best new car buying experiences I've ever had! Ira and Scott (Ira's manager) in sales, and Shane in finance were all exceptional. They did not pressure my wife and I to buy anything we didn't want to buy. They were friendly, courteous, and professional. I will definitely be buying my next vehicle from Maita Mazda!",5.0
64,"January 16, 2019","We had a fantastic experience with Ira Carter and Kit Kinne. We were well taken care of, they were extremely knowledgeable about the car and very helpful. We have purchased from other dealerships and never had an experience this smooth and painless. They do not pressure the buyer and are nothing like the typical grimy car salesman stereotype. Please check them out, you won’t be disappointed!",5.0
65,"January 15, 2019","Salesman Greg Gegan was very helpful in helping me select the exact car I wanted.  No pressure, and he had excellent information.  The Finance Person was also a pleasure to work with.  Lea, assisted me with getting oriented to the high tech features of the car and how to work them.  Everyone was polite, professional and great to work with.  Plus I received a great year-end deal on a new Outback.  I will be back.",5.0
66,"January 15, 2019","Best car buying experience I've ever had in over four decades of vehicle ownership. Larry Bilger and the others we met made the experience fun, informative, and stress free. No need to shower to get the sleaze off after buying a car here. The dealership is spotless and seems like it will be a pleasant place to hang out when we take the car in for service. I'm really impressed with how well run this place is. They also offered the best pricing compared to the several other Subaru dealerships I contacted.",5.0
67,"January 06, 2019","I can’t say enough amazing things about Maita Mazda and staff , best service ever ! Forever a client .. Kit Kinne and Ira are amazing ! Myself and my family will only purchase with Maita forever moving forward and I will forever refer my friends , family and clients . Thank You Maita , Kit , Ira and staff for making one of the toughest  Times in my life the easiest ! ",5.0
68,"January 06, 2019","As someone who seriously hates spending money, I've never pulled into a car dealership and literally get gitty with excitement before, until today. Ira hooked my husband and I up with a deal that was so good other dealerships couldn't even try to compete with it. And I have full confidence that Mazda stands behind their cars with full confidence, Lifetime Warranty?!?! I still can't believe that is really a thing!but it is,cause I got it! I've  never been to a car dealership that is so transparent with their customers. This place is truly a diamond in the rough. we've bought a lot of cars in the past and I've never felt as good as I did with this car buying experience, I only wish I had found this place sooner! I can't wait to share this place with everyone I know. Thank you Maita Mazda!! Thank you Ira Carter!!! you guys are awesome ",5.0
69,"December 26, 2018",Maita Mazda is the real deal!! Great customer experience. Their internet quote has no hidden numbers and no hassle during the deal. The deal went very smooth and expeditiously! Thank you!!,5.0
70,"December 23, 2018","I’ve given up with this dealership it has been nothing but problems and very poor service. The people are nice but quality of work and customer is very poor. I brought my brand new Mazda in for the apple car play agreed to have my car washed while it was there. They took about 3.5 hours with my car. When I came back to pick up my car, they pulled it up and it was dirtier than when I left it. When I said something the service writer said sorry it was under a tree when your drive the dirt will blow off and ran back inside. When I got into my car it was filthy, there was no respect for my vehicle. I couldn’t stay and deal with the issue because of time constraint, however I called them on my way home only to be on hold by service department. I called back and just told the receptionist to have them call me when they are free. Once at home I went over to passenger side opened my door and my seat was never put back together the plastic pieces were just left on the side of it between the door. I also hate a chip of paint on the door handle. Even more furious I called back again and they were still too busy to discuss the issue. Instead I fixed the seat myself and I am having the chip in paint fix else where but I’m never going back to this dealership again. Customer service is not something they are familiar with and it shows to the finest detail. Save yourself the headache and drive further to get quality work and a dealer that treats your car with absolute best care.",1.5
71,"December 21, 2018","I had the Apple CarPlay system installed on my 2018 Mazda Miata.  The installation was quick, the service friendly, and now I can drive around with the Waze app displayed on my screen.  I love Maita Mazda! ",5.0
72,"December 21, 2018","Maita was one of 3 dealers I shopped for a new CX-5.  Their price was competitive, staff friendly and honest, and I was able to get the car I wanted within a few days.  Absolutely no way to improve the experience!",5.0
73,"December 19, 2018","I brought car in for inside detail of CX-5 and they damaged my dash.  I figured they do it all the time so it would be a no brainer but I was wrong.. (Mike Thompson is trying to correct damage but we will see what results)
2nd, when I bought my car last February, their was a scratch on hood, They said they couldn't fix it so to compensate, I would get free oil change.  Now I find out, when you buy a new car, it comes with two free oil changes so I was screwed over when I bought the car..  After taking My 14 Miata  there for last five years, I trusted them but not anymore.. Think its time to change dealerships.  This is no reflection on Mike Thompson who is doing his best to make me happy, but the sale issue was before him..",2.4
