,Date,Reviews,Ratings
0,"May 19, 2020",The sales person at MB LA was excellent and I was quite pleased with his performance. His name is Mr. Chris Chong and speaks Korean as well as English !,4.0
1,"May 18, 2020","Wonderful service at this dealership. I love going here, they treat you like a star. Nice workers always have a smile in there face and very polite.",4.8
2,"May 16, 2020",great service! The service associate went the extra mile to take care of my Mercedes. The staff was very friendly and efficient. I have been bringing my car there for years and I keep going back because of the service,4.8
3,"May 16, 2020",I had an overall amazing experience. This was my first purchase and prior to going to the dealership I was talking to Raymond on the phone and he was very helpful. He made this process very easy and smooth and he was very kind and friendly and he was ultimately the reason I got a car . I want to thank him for being so kind and helpful and he made me very comfortable buying a car alone since my parents are out of the country. ,5.0
4,"May 15, 2020","As usual Eric  provided excellent customer service when I brought my car in for service.  I waited, and the customer waiting area was prepared with 6' spacing between seats.  Contact with Eric was perfect and the transaction was handled almost remotely!  It was perfect and my car service was completed in 90 minutes or so.",4.8
5,"May 12, 2020","courteous and professional staff. Service was thorough, efficient and included car sterilization. All questions asked were properly answered or referred to the appropriate person or department. ",5.0
6,"May 08, 2020",I cannot believe how easy they made it!  Their teamwork and execution were seemless!  I would highly recommend the team at Downtown LA Motor s,5.0
7,"May 04, 2020","Working with Miah and Rafael to lease a new car while the dealership was closed due to the virus
was easy. Good follow through!Appreciated the home delivery and picking up of my previous lease car",5.0
8,"May 03, 2020",Always a pleasant experience here. Barry is great and knowledgeable and professional. Prices are competitive and service is always good.  I drive up from San Diego to get my cars serviced here.,5.0
9,"May 02, 2020","I have NEVER had such a remarkably smooth, easy, and simply car buying experience. I did not know what to expect shopping for a car during shelter in place and buying in a way to keep everyone safe but it was amazing! From the first email, locating the car I wanted, the secure texts and home delivery, I was blown away at the experience. I cant rave enough! ",5.0
10,"May 01, 2020","I had an excellent service experience provided by Ms. Evelyn. She was extremely proffessional at what she does,as a result i would recommend her assistance to anyone i may know. ",4.0
11,"May 01, 2020",I am always impressed by the courtesy of the service staff and their flexibility to provide service for my vehicle during this stay at home period. Thanks and your efforts are appreciated.,4.6
12,"April 30, 2020","Customer service is the best!  The porter Freddy is exceptional, and assisted me with programing my new call phone with my Navi.  Great service from the porters all the way to upper management!",5.0
13,"April 27, 2020",Excellent customer service by Mr. Frank Phillips in the Service Department at DTLA Motors. Information clear and consistent with follow up updates on vehicle status.,4.2
14,"April 26, 2020","They get the job done in a vey professional way, I have been taking my car for the past 6 years for the services and repairs and they have done a great job, If price would be more fair I would be happier 

Thank you, ",4.6
15,"April 24, 2020",Great service!!! My service rep was wonderful. All of the employees were very helpful considering the season we are living in. Thank you very much!,5.0
16,"April 21, 2020","Service experience was excellent.
Just disappointed at the news of the possible problem and the cost.. But overall 
Great service experience.. I would use service again.. Thank you.",5.0
17,"April 18, 2020","Erik Dorsey, Service Advisor and Service Manager Tim are the best! After I realize I misunderstood my situation they both were understanding and very professional. Mr. Dorsey was patient, caring and made me feel comfortable to trust his guidance and recommendations. I left a very satisfied customer.",5.0
18,"April 18, 2020",Erick Dorsey was my advisor I am 73 yrs old was apprehensive with the virus but he walked me in took  very good  care Thanks,5.0
19,"April 17, 2020",I run a small transportation company in LA that uses MB vans. After my experience with Eric in service I will always be coming here for my MB needs. Great service and efficient service. ,4.6
20,"April 15, 2020",Barry was a great person to get along with he explained the situation very well and detailed the work done to the vehicle answered all my questions ,5.0
21,"April 11, 2020","First class service right across the board! Fast, efficient and comfortable. Also we are in the midst of the Corvid19, and every protocol was followed perfectly
Thank you!",5.0
22,"April 10, 2020","Service at Downtown LA Motors is excellent. My service advisor, Erik Dorsey, is a member of their “A Team.” He treats me and all of his customers with respect. 

Issues with my car are far and few between. When service is performed, the job is complete well with in the a day or two and never exceeds the quoted price. 

I am a loyal Mercedes Benz owner and they always have my back. ",5.0
23,"April 10, 2020","Thanks for the help! I got the A1 service for my car.
They are very careful to prevent  COVID.
They also offered me a free lyft to home.
",5.0
24,"April 08, 2020","Arto is a knowledgeable & caring sales person , I’ve purchased a few cars & referred people who’ve also purchased from Arto ! Jerry Dilanchiyan Is the best service guy I’ve ever met , I wouldn’t trust my car with anyone else !",5.0
25,"April 06, 2020","Great service, SHARLEEN. the order of my introduction. Sharleen was very friendly and prompt. she is ready to give us service. also Lift service was perfect,",5.0
26,"April 05, 2020","Happy with my purchase of Mercedez C 300. All the staff was helpful and friendly. I've got a few options matching my criteria, a professional piece of advice, and the best deal I could get at the moment. ",5.0
27,"April 04, 2020",In this time of such fear and uncertainty it’s good to have a service person whom you can count on and trust.  My repairs were great.,5.0
28,"April 03, 2020","By the best service! All employees are very professional and helpful. Mr. Frank Phillips was very detailed explaining my service and fast, he has great customer service. ",5.0
29,"April 03, 2020",Brain helped me purchase my very 1st car and he made the experience extremely smooth and comforting. Even in such conditions as corona virus! His professionalism was exceptional and in a few years when I return I hope he’s still there to assist me!!!,5.0
30,"March 31, 2020",Best dealer I’ve dealt with. Great service and overall welcoming. David was able to fix my window issue and spoiler which other dealers were blaming me for the problem. Thank you once again!,5.0
31,"March 27, 2020",The service was super good because we had frank he is a great help and dealer offer the best service compared with other dealers for sure. ,5.0
32,"March 26, 2020","Even during a health crisis, DTLA Motors (Mercedes) was able to help me to pick up my lease return and get me into another vehicle without leaving my home. They delivered my new car right to my doorstep and took every precaution to ensure my safety and delivery. 

Big shout out to my salesperson Raymond Orosa. He has earned my loyalty and trust over the years. I have purchased and leased over 5 vehicles with him. He has always made it a priority I get the best deal possible and that I understand every detail of the process. 

Thank you again,
Willie M.",5.0
33,"March 26, 2020","I was an extremely smooth process, both Brian and Diego were great as well as the financial services  person who handled my finances. 
All Good ",5.0
34,"March 25, 2020","Car was delivered to me by a very efficient, personable and professional young man!! Can't however recall his name............he mentioned to me he was of Greek heritage?",5.0
35,"March 21, 2020","It's always a pleasure to bring my Benz in for service.  Frank Phillip degree of knowledge, courtesy and decorum is sincerely appreciated. He takes a real interest in the care of my Benz. He is, ""Mr. Customer Service!""",5.0
36,"March 14, 2020",Always great service with Frank Philips.  He is knowledgeable of the service needs of your car and historical needs of this type of carece prior knowledge is very valuable.  ,5.0
37,"March 14, 2020","Great purchasing experience.  The best!  Diego was prompt, knowledgeable and down to earth.  I drove away more than satisfied and delighted with my new ride.  There was no pressure to buy and I felt very comfortable throughout the experience.

",5.0
38,"March 13, 2020","Great salesman. His name is Octavio Inofuentes, no pressure, real information and very friendly, patient and helpful. The buying process was fast and the inventory very good. ",4.8
39,"March 13, 2020",Ayman and everyone else were absolutely great!  No pressure tactics and no games. I like to transparency of the entire process and it didn't take long to leave the dealership.  Great job!,4.8
40,"March 11, 2020","I love my car and especially that it was delivered all the way to my home. 
Thank you very much... Raymond Orosa your the best!",5.0
41,"March 08, 2020",Joy and the team were wonderful to work with at the DTLA MB dealership. They made the process smooth and enjoyable and were willing to work with me on all aspects of the deal. Highly recommend!,5.0
42,"March 08, 2020","I love my new Mercedes-Benz. The experience at Mercedes-Benz Downtown Los Angeles was great! Everyone was super friendly, great salesman and finance manager. Both of them were extremely helpful.  I would definitely refer people to this dealership. ",5.0
43,"March 07, 2020","My Service Advisor, Frank Phillips is the greatest! He always ensures my venture involving my vehicle is pleasurable and enjoyable! His humor and patience always off sets any frustrations that I may be encountering..",5.0
44,"March 06, 2020","It was seamless from the beginning till the end.
Made a few notes as I was making the reservation and everything was all taken care of when completed.
special thanks to Juan Kim.",5.0
45,"March 06, 2020","Truly a luxury car dealer experience!
Tino is an exceptional pro to deal with -- kudos to his 15 years with your company! 
Thank you to Tino, Rafa and the Service Dept staff for always providing excellent and very friendly service. Your Service team makes it fun and easy to get our cars serviced! Keep up the great work!  ",4.8
46,"March 05, 2020","I could not have asked for a better salesman, there was no hard sale he just let me come to my own decision. I made my offer and he worked on it and got it for me without any haggling.",5.0
47,"March 05, 2020","Miah was exceptional and delivered beyond my expectations. From the initial call, to delivery and the immediate follow up. I have been an Audi driver for the past 20 years and have switched permanently to Mercedes Benz. We are now proud owners of two Mercedes Benz.
Thank you,
Richard",5.0
48,"March 03, 2020","The Service Department is very friendly, professional, and provided exceptional service. They are super in servicing your car. Will also check if there's any recalls on your vehicle. Thank you. ",5.0
49,"February 28, 2020",Raj was a top notch. Very efficient and reliable. Do not hesitate to contact him for any of your needs cause he got you cover! Trust him 100%.,5.0
50,"February 27, 2020","I like the dealership, they have extensive inventory, good prices and knowledgeable staff. And they are great in servicing your car, in fact I was their for a warranty work on my other car, they gave me a nice loaner and when thecae ready, I came to pick up a my car, stopped by Nick Vahdat to see and Lease a new car.",5.0
51,"February 27, 2020", Our leasing options were provided well with no pressure and exceptional service.  We were also oriented well with the services provided for routine maintenance. Many thanks to our new Mercedes-Benz team of DTLA!,4.8
52,"February 26, 2020",Downtown LA is a great dealership but Mercedes's lease return policy has gotten worse. You cannot expect the car to be brand new after 3 years especially if the car paint is so easily chipped here and there.  Also Mercedes should provide tires that can last up to 3 years and not the cheapest tires that only last 20K miles.  Mercedes was not like this before when I started leasing 15 years ago.  The overall experience of the car has definitely gotten worse.   ,5.0
53,"February 26, 2020",This was.a follow up to a previous service e visit. Once again the service was conducted quickly and efficiently and I was done in two hours. ,5.0
54,"February 24, 2020","Excellent service,  great communication, and excellent value! Turn around time was very quick, and car was taken care of better than expected. I didn't feel ""nickel and dimed"", and will bring our car back without hesitation.  
",5.0
55,"February 23, 2020","I am very satisfied with the servicing of my car.
The wait was not long and the car is driving much better now. The waiting area is very comfortable.",5.0
56,"February 21, 2020",Fred Knapp and the finance team were wonderful. I have already told my friends about my great experience and recommended mbz of la the next time they buy a car. ,5.0
57,"February 20, 2020",Tino Eyvazian is the best advertisement of the name Mercedes. He is one of the best if not the best. His dedication to serve the needs of the client goes well beyond his duty. Congratulations to have such incredible person among your personnel.,4.8
58,"February 19, 2020","I am so glad I came to dealership this has been a great experience, the manager and salesperson was wonderful, they changed the way I view Mercedes-Benz 


",5.0
59,"February 19, 2020","excellent service with prompted response and excellent follow up I will return to this dealership again and recommended to my friends and co-workers, thank you.",3.6
60,"February 17, 2020","Excellent service, reliable and very knowledgeable about all facets of my vehicle. Thank you Mercedes Benz. Fast and dependable, fixed problem on first visit, Also diagnosed and let me know the status of all systems and parts on my car.",5.0
61,"February 15, 2020",excellent service with prompt response and excellent follow up   i will return this dealership again and recommend my friends and co workers    thank you so much for your service,5.0
