,Date,Reviews,Ratings
24,19-Mar-20,"Called the dealership twice and spoke with the salesperson Ali before driving 90 minutes to DCH Subaru of Riverside.
My daughter wanted to buy a green 2020 Forester. Got a quote from another dealership for the identical car, but they did not have it in green. Ali assured me that although they did not have the car either, he could obtain one and have it at the dealership within hours after we went through the initial purchase process. I asked Ali twice that this was indeed the 2020 Forester Premium with the ""14 package"" upgrade, and he stated it was. I then asked him to email me this information to confirm. While we were driving to dealership he emailed me that the price quote was for the more basic ""12 package"" which he had not mentioned previously. When we got there he denied this and the sales manager (don't recall his name...in his 60's, balding, overweight) also would not honor the price. This is a dishonest car dealership and I STRONGLY suggest you buy elsewhere. Very disappointing.",1
196,17-Apr-19,They are such liars and don’t have any customer service skills! Flip a single mom off with 3 children who saw! Awful dirty place to go! ,1
652,17-Aug-17,I called to see about getting an oil change and the man on the phone was very uncooperative. I'll find a different Subaru dealer. ,1
668,26-Jun-17,"I wish I could give them zero stars. Found a car on CarGurus, called to verify the car was still there, drove 45 minutes only to be told the car was sold this morning. Really? I just talked to you! Total bait and switch. Dishonest dealer...go to another HONEST dealer",1
687,27-Mar-16,"BEWARE. Extremely hostile and confrontational management!

The story:

Set up an appointment with a young female sales associate.
Drove 2 hours in traffic from Studio City to Riverside.
She assured me over the phone that the price of $28,990 could be lowered and negotiated. Told me to come in and talk about it.

When we arrived, sales associate was friendly and courteous.
However, car was not in perfect condition.
It only had 8,000 miles, but had visible scratches, small dents, and scrapes.
Sales associate told us we could easily work on the price with the manager.

As we went on the test drive, sale associate sat in the back seat because she was ""scared"" of the WRX. I'm not sure why she's working in a dealership if she's not able to handle something as simple as this.
Regardless, it wasn't a big deal.

Here comes the good part.
As we come back into the dealer, sales associate went to get the manager to work on the price.
She is seen visibly arguing with the manager. Manager asks why he's needed at all, doesn't seem happy to be pulled over.

The next 10 minutes is the worst I've ever experienced at any dealership.
Manager was rude, dismissive, confrontational, and acted like he was trying to embarrass us. He got up in my face with raised voice, and then proceeded to insinuate that their dealership doesn't negotiate on the sticker price. 

I told him I've never heard of that before, and I've purchased many used vehicles before. Of course, he replied: ""I've bought over 20 cars before."" Demonstrating his utter belief that that somehow matter. 

As the argument got worse, customers walked off disgruntled and absolutely disgusted with the way the staff was handling business.
When I asked him if I could speak to his supervisor, he said that he was the highest boss available. Quite strange with such abysmal customer service.
The manager then yelled at us: ""Get the xxxx out of the dealership"". He later retracted his statement, and stomped off.

Finally, the actual sales manager of the dealership came over and pulled us into the office. We tried to work out a deal, but they refused to honor any price discounts.

TLDR; Sales associate says they can do better than $38,990.
Gets me to come in and make a 4 hour round-trip to Riverside.
Used cars manager is an absolute jerk. 

All three staff members gave me conflicting information regarding the price on the vehicle.

What an absolute joke of a dealership.
Ever since they were bought by DCH, this dealership is horrid.",1
690,17-Sep-14,Went there to purchase a new WRX STi and walked around for over 15 minutes. Some sales guy comes out and didn't even acknowledge I was there. I waited for two minutes and realized why am I waiting!? And left...,1
294,08-Dec-18,"I called in the service center to see if I can walk in. The representative said if I make it there by 3pm they will accept services. Driving from Corona to Riverside in traffic, I make it to DCH Riverside Service Center at 2:58. One of the servicemen comes up to my car and says he sent most of his mechanics home and some were already leaving because business was slow. I informed him I was guaranteed service and tha I drove pretty far to get there. He just said sorry and didn’t even have the decency to try to call back a serviceman if he was Stiller the center to simply get the oil change done. Unsatisfied Customer. Contacted Sales to see if they could bring it up to management. Spoke with Dan so hopefully I get some kind of voucher or incentive for the terrible experience.",1.4
394,06-Aug-18,"I recently was helping a friend negotiate a deal on a Subaru Outback Touring. Before, we were even ready to decide on the exact car we visited DCH in Riverside and dealt with David who was great and gave him the promise of he'll have first right of refusal to complete the deal since it was the ""hometown"" dealer. 

A few weeks later, we communicated via email and scheduled a day. I came to the dealer to settle the deal, so later in the day all my friend had to do was ""sign and drive"". I met with David and he took the deal to the manager and got everything settled and told him I'd be back in a few hours. We came back a few hours later and David was helping another customer on the lot but met with us, walked us to the showroom and handed us off to another salesman, Ahmed, and explained to him to get the paperwork going and that everything was settled. Poor Ahmed must have been having a bad day or maybe it was vengeance against David, but he was seriously not interested in helping us, took forever to ""find the car"" on the computer, then complained to us that the deal wasn't correct because the deal to beat on a competing car was less than the one that was on their lot. I told him multiple times that David already talked to the desk manager, the deal was done. He continued to argue with us WITHOUT going to see the manager who was the one who approved the deal. All this guy had to do was fill out the paperwork. Things continued to go south as Ahmed said this wasn't the way he does business, and K.O.'d the deal. David came walking back in a bit surprised at the turn of events, but at this point we were beyond frustrated after all having put in the effort, only to have a random salesman no this deal can't be done. Even the sales manager came out at that point to try to salvage the deal but I'm a firm believer in the principal of the matter and an agreement shouldn't be ko'd by a random salesman. David was great, and I'd highly recommend him and we would've bought a car from this dealer if his co-worker didn't kill the deal for them. Sadly, not only did my friend by a car that evening from a competing dealer, but I bought another Outback for myself just a few weeks later. Beware of Ahmed he think he's ruler of the dealership, even from a salesman position. ",1.6
691,08-Mar-13,"This dealership is joined with the local Chevy dealership.  It is very small and the service people are not focused on customer service once you buy from them.  We thought with it being as small as it is, we would get great customer service.  We were wrong and we will not recommend them.  This is unfortunate because the Subaru product is a great one!",2
141,07-Jul-19,Took my outback in on a Friday morning to have a technician check for a loud noise coming from the front of the vehicle. I was messaged later that day saying that the tech called in sick and my vehicle could not be looked at until the following Monday. This is an issue that has happened to me at least once before.,3
