,Date,Reviews,Ratings
0,"October 11, 2019","The worst experience at One Toyota. Brought my 2017 Sequoia in for service and warranty concerns. The vehicle has less than 25000 miles. The drivers leather seat has started to peel apart, shifter knob fake wood grain has rubbed off and the rear seatbelt stopped working. I also had them do an alignment since the vehicle was pulling to the right a little. Service inspection and alignment was down. Inspection came back clear. Everything in good condition especially braking system. The alignment was done and correction was made as well as rotated tires.
They refused to cover some warranty concerns. Said normal wear and tear on the leather seat. I had to contact Toyota warranty myself. As I was on the phone with them they advised me that this is the dealerships responsibility not mine. As I asked to speak with the manager with the Toyota representative on the phone still, I was advised to hang up on the Toyota rep. The foreman was called to the vehicle and was asked by the manager what his opinion was and he said spilled coffee cause the wear on the shift knob. Also the way I sit when I drive is what broke down the leather. Then the foreman changed his mind and said it was the sunscreen I wear that broke down the knob. Excuse after excuse. After getting the run around for a week. The regional Toyota representative contacted me and said they made a decision. The seat will not be warrantied but the knob will. She said it is normal wear and tear on the leather. So I confirmed that it is normal for the quality of leather Toyota uses breaks down quickly. A vehicle that has less than 25000 miles and is 2 years old. She said yes it s not defective but normal. Unbelievable! Luckily they said the knob is covered. The dealership gave me the run around made it difficult to get anything done. The only person that tried and did not lie was my service advisor. The sad part is when I did their survey and was honest about the foreman, overall manage, work done, etc. Which has nothing to do with person to meet first and discuss your car gets dinged because if based on a score of questions and not the comments. This dealership treats its customers poorly. Following the first visit driving the vehicle home when I pressed the brakes the steering wheel began to vibrate back and forth. Never has done that before. So I called one Toyota. They asked me to bring it in to be looked at. They also looked at the rear seatbelt that stopped working. Saying that my kids probably jammed something inside it and that's why it was working. Unreal!!! They cannot force a lie and when they looked at the seatbelt nothing was in it or jammed inside it. So thankfully they are replacing that! I took a video of the steering wheel and asked them what happen. We reviewed the inspection from the week before. Everything was fine and checked out including the road test. On inspection the brakes, rotors, undercarriage was all in good shape. Well today they said I suddenly have hot spots on the rotors and will need them resurfaced and buy new brake pads. 
They would take 50 dollars off though. So a bill around 450. I asked how is this possible. Last week everything was fine. Inspection which I was told is the same one they did again said everything was fine and now today there are hot spots. The vehicle was not doing this prior to them touching my car. One week good inspection, good road test, I am good to go. Now same inspection rotors are bad and need new rotors and brake pads. I placed a phone call into Toyota regional for help. I took the Toyota to Berkeley Toyota and tire pros and asked their opinions. They said the hot spots would and should have been noticed on the first inspection. The vehicle was not driving like this prior to their work and now is. They both agreed I should take it back to one Toyota and have them fix their mistake. I recommend to stay away from one Toyota. Here is the leather and a video of the steering wheel after service at one Toyota",1.0
1,"September 12, 2019",This is the second time my husband and I purchase a vehicle. We decided to return for a second purchase because we were very happy the first time. Excellent customer service! ,5.0
2,"September 12, 2019",Greg was my service advisor and he did a great job.  The service was completed as promised in the estimated time and at the estimated price. ,5.0
3,"September 11, 2019",Ray is outstanding! His work ethics and keen details on customer needs puts him above the rest. Ray has helped me with both my vehicle Toyota Rav 4 and wife Toyota Prius run better and last longer.,5.0
4,"September 09, 2019","He is knowledgeable about my camry.he took times to answer my questions. He is always busy but still remember my name, from Stephen Tong.",5.0
5,"September 07, 2019",Love making business with my local Toyota of Oakland. Great people and they never let me down. Highly recommend them. I appreciate the patience and great deals that they offer to the community. No doubt they deserve the five stars. ,5.0
6,"September 06, 2019","The best dealership I’ve been to ever, they give you some time to walk around & when you’re ready they’re there to help! I bought my first car about a month ago & I love it!",5.0
7,"September 05, 2019",I am very happy about the service and with the collaboration of Brandon finally I have new radio on my Toyota congratulations very good service ,5.0
8,"September 05, 2019",The check in was quick even though I was early. Comfortable seating areas. The check out was detailed and easy to understand. I’m looking forward to future servicing at One Toyota. ,5.0
9,"September 04, 2019","Salesperson Michael was fast, friendly and very patient. He wasn't pushy and was very informative of cars and explored the best deal for my budget.and family. Michael did everything and never passed us on to another co-worker. Lastly, I especially liked that everything he did on the computer was broadcasted on large screen - made it easy to follow along.",5.0
