,Date,Reviews,Ratings
0,"February 03, 2020","It is amazing to find a woman in the service department that can help you with all your needs. It is easier for me to explain myself to Jasmin Lawson at Oxnard Toyota, she is very understanding and excels in customer service with a personal approach.  I did not have a very good experience when I first bought my car there, but the manager made sure that my next visit I would be  assisted by their very best. Jasmin is a pleasure to work with and I feel extremely comfortable talking to her and I feel she excels in the way she deals with customers.  ",4.8
1,"January 23, 2020",It’s like an automatic thing. Easy process. Art in service just makes it easy. Clean friendly atmosphere. Art really cares for his customers.  From the time you arrive thru entire process. Good customer service is what keeps me coming back. Thanks to Art. ,5.0
2,"January 01, 2020","Worked with Mr. Al 'Captain' Gaines at the dealership. The deal went through so smoothly. They don't play games like many other dealers. He told me my 'out of gate' price, followed by negotiation and purchase. Smooth and good deal.  ",5.0
3,"December 31, 2019",Toyota of Oxnard feels like home when I’m there. Very honest and caring. They were worried about me and my safety first.  Number one in my book!,5.0
4,"December 28, 2019","Have a 2003 Sequoia and have had it serviced and repaired at Oxnard Toyota since it was new. We had trouble getting it out of 4 wheel drive after a trip to the mountains and thought we blew the transmission or differential actuator or something expensive as we could not get it into any gear, it would not move. Called and spoke to Juan Arriaga and he stayed with me on the phone while I tried out his suggestions and IT NOW RUNS PERFECTLY!  A simple fix And it did not cost me a cent, he made our New Hear happy! Thank you Juan. ",5.0
5,"November 06, 2019","20k service was performed as required and Patty, the service rep, did an excellent job before and after service was completed.  I highly recommend the service department.",5.0
6,"October 07, 2019","Can't reach anyone to schedule service or to get questions answered regarding warranty. Called the Finance department several times, no answer but was able to leave two messages. Yet days later, no returned call. Emailed twice no response. Meanwhile, this dealership sold us car finding out later that all four tires were too small and definitely not for that car, which eventually forced us to have to replace all tires. All of these issues seemed to have now compounded making me realize that the dealership is only trying to make the next sale, and not interested in taking care of existing or prior customers. Perhaps I am taking this all out of proportion, but how would anyone else feel if they can't seem to get anyone on the phone or anyone to call back, not to mention the other issues that we are having with the vehicle.

",1.2
7,"September 19, 2019",Best customer service (Art). From the time I drop off vehicle in the morning to walking me over to shuttle area he made sure I was taken care of.  Followed up w me once vehicle was done.  He offered a shuttle pick up.  Will def recommend art garcia ,5.0
8,"June 27, 2019",Sales department of course was great. Once they hook you and shake on the deal your pretty much at the bottom of the priority list. Been a few weeks and Finance department hasnt paid off my trade in but has already been sold at auction. Dont know how that is. Anyway trying to get a hold of Tim in Finance is close to impossible. Try another Toyota dealer do yourself a favor.,2.2
9,"June 22, 2019","I started my look for a Toyota approximately one month ago. I found their ad on CarGagus, cars.com, and had a terrible experience. They added on a anti-theft on for $895 and said it couldn’t be taken off.. How could I trust a company like this.",1.0
10,"May 20, 2019",Went In to get my 2018 Tacoma Serviced and get a recall handled and the Service Team Member Juan Arriaga was a big help !!! Got me in really quick and set me up with a car loaner for a few hours !!! Really helped my day move smoother . Juan Arriaga was very professional and had a great attitude. I will definitely be bringing my truck back to get serviced at DCH Toyota of Oxnard thanks to Juan Arriaga .    ,5.0
11,"May 13, 2019","
After reading some of the other reviews I can see this is business as usual for this place.  Shady sales practices...and then when you try to resolve they say bring the car in and they will buy it back.

This place is terrible.  Would not recommend it to ANYONE.

I purchase a car and they really up sold a door protective wrap.  If you are getting that pitch do buy.  they are literally $15 from 3M and the up sell for $500.  That should have been my first clue what these guys are all  about. ",1.0
12,"May 07, 2019","Stay away from DCH Toyota

These guys are real CON artists in the car sales game.  If you just can pass up a deal they are offering be VERY wary of the bait & switch they play.

They scammed me out of $500 which fortunately was not a huge amount but I will never go back there again!!!

After reading some of the other reviews, a lot of similarities on how this guys operate.  STAY AWAY

If you have a choice definitely recommend you look elsewhere….",1.0
13,"April 22, 2019","A sincere ""Thank You""  and kudos to Paul Panz who did such a good job for me when I purchased my new car Prius.  Am really enjoying my new 'ride'!  ",5.0
14,"January 16, 2019","I keep coming back for Jasmin in Parts and Services, as well as other few guys that work there. They’re always helpful and do whatever they can to take care of you. ",4.8
15,"December 13, 2018","About 6 months ago, I found a Subaru I wanted at this place so I went in to make the purchase. The sales rep we had was actually nice and relaxed (Jose Leon, super nice guy) but once we went inside the sales team leader (Richard Abboudd) was absolutely terrible. He talked really fast and was acting very manipulative, completely overwhelming me, my mom and even Jose. When he brought out the numbers, there were multiple high dollar charges he tried to sneak under my nose (engravings on the window, maintenance agreement, key scratch guard, xxxx I didn’t need), AND HE KEPT TRYING. He would come back with the charges gone, but would add a super high increase on the interest percentage and vise versa. (I should have just left right then...) 
I purchased the vehicle and left the lot semi happy with the price I got it for. Not even a mile down the road, the check engine light comes on. Awesome..
I took it back immediately and they said “oh it’s nothing”, and literally just reset the light. I had to take it back 6 TIMES over the course of 2 and a half months or more, and they were never able to fix it. The car was even sent to Subaru twice and they also said they couldn’t fix it. (It was an electrical problem, multiple sensors kept going out). I met the sales manager (Drew Holbrook) and he said “If we can’t fix it one more time, we will take the car back from you.” He was super nice and understanding at first. He wanted to “help me out and make it right”. 
Of course the light came on 2 days later. So I took it back, and guess what, the manager Drew proceeded to ignore me for about 2 weeks no matter how hard I tried to see him. Finally I went in and spotted him hanging by the coffee. (Got you now!)
Drew literally said, “I know we sold you this car which seems to have faulty sensors and electrical problems, but you drove off the lot with it, it’s yours. So the best we can do is a trade-in”... ARE YOU JOKING??? I’m about to loose a ton of money. I would have completely lost the $5000 down payment I made, as well as have to now owe $6000 on my financial loan. I was blown away by his response. Ya, I drove it off the lot, but the xxxx check engine light IMMEDIATELY came on, AND this was a certified vehicle!! He didn’t care. He was not budging.
We left in a rage, trying to look at legal aspects, but decided that wasn’t the route we wanted to take if we could avoid it. We went back to try to spark a better deal and I ended up getting a used Camry with a good warranty thrown in without loosing too much on the TRADE-IN I had to make.. xxxxxxxx.. If I would have just come in and purchased the Camry with the $5000 down payment I had, my payments on the car would be lower. So I still lost a lot of money after all said and done. The only reason I decided to take the Camry was because of the good warranty they decided to throw in. (Could have still been a better warranty but I was so tired of fighting) 
Oh and it also took them 3 months to finally take the Subaru off my name at the dmv so that was also a hassle. Luckily, the Camry has been running good with little to no problems. And I’m very happy with it. 
Just when I thought the hurt was over, the other day I wanted to use the coupon I got for “first maintenance visit 50% off”, so after my first 7,500 miles or whatever I go to schedule my maintenance. But guess what? They put a 60 day expiration on it. 
Oh, so you just do that so no one can ever really take advantage of this offer because no one is driving that much in 60 days..(They wanted to charge me $160 for oil and tire rotation). 
I hope I never have to go back to that place ever again...",1.2
