,Date,Reviews,Ratings
0,"May 11, 2020",Always great service and wonderful service personnel. Clear description of the cars needs and good recommendations. I’ve always used Toyota of Escondido for my cars service. ,5.0
1,"May 08, 2020","No one called to inform my 77yr old husband that he would not be able to sit down anywhere while service was going on. He was offered to be taken somewhere , but since he is not familiar with Escondido , he declined. That led  to him having to stand for over 2 hours while the car was being serviced. This was not acceptable!!They could have provided him with a chair somewhere.  A simple phone call to let him know ahead of time, would have resulted him to cancel appointment and reschedule,  when things were back to normal. I am truly disappointed that this took place. POOR CUSTOMER SERVICE!!!!!!!!!!!!!",3.2
2,"May 07, 2020","I brought my Tundra Pro in for service and was immediately acknowledged upon arrival, despite a lot of people in line. Both the service agent and the mechanic were very interactive with me throughout the process. The mechanic even called me with some specific questions about the truck during the service, which was awesome because that prompted me to ask additional questions that I would’ve forgotten to ask. I live closer to the Carlsbad location, however, Esco has their stuff together. ",5.0
3,"April 17, 2020",I love toyota of escondido. Ive gotten 2 cars from them so far and i love the way these cars femind me to go in for my maintenance and the service is excellent. The people in the service department are always making sure my car has the best of what it needs.,5.0
4,"March 17, 2020","Appt at 7, arrived at 6:45, service needed takes 10 min, had to wait 1:40 min. Was not even given a comp car wash nor reviewed service completed. Poor service by McKinley. Highly dissatisfied.",1.0
5,"March 12, 2020",I went in by app't to check on dash light indicating a low tire.  Turned out all sending units are OK.  At same time Pat Kelly arranged to get the car's oil change service.  So two things were taken care of with one app't.   It made my day.,4.8
6,"February 24, 2020","Disappointed no car wash after this visit, always had one before. Took half hour longer than they said it might. But Mozie was very helpful and nice",3.0
7,"February 09, 2020","I have been doing business here for for almost two decades. I use Toyota Escondido for both service and repair on our three Toyotas. One of only two places I trust to work on my 1988 4Runner. Very satisfied hence the long term relationship, not the most inexpensive but the highest quality of work.",4.6
8,"January 16, 2020",Really bad experience they damaged my car manager doesn’t understand the concept of customer services still waiting on Jessica hr about this matter b,1.0
9,"January 08, 2020","Toyota Detail Center in Escondido was excellent. Service was prompt and professional. We had 2 cars detailed there and both came out beautiful and shiny. Sal was great to work with. Toyota also coordinates a complimentary ride shuttle service, which worked very well and was convenient. ",5.0
10,"December 22, 2019","Every single time I leave Toyota of Escondido I'm satisfied with the service. The internet team is the best! Thank you Rick for your help! Jason, Travis you  did an amazing job!",5.0
11,"December 19, 2019",Moxie advised me and took good care of me on my previous visit and today. We have had 3 Toyota Camry's from this dealership and have had a positive experience every time. Keep up the good service.,5.0
12,"December 03, 2019","Bought a PRE-OWNED CERTIFIED car from Jim Fensey. Jim was professional and nice. The car that was sold to me though had a glued mirror, which went unnoticed until we got a car wash a month later. We immediately went in to get it fixed and they stated it would cost over $500 dollars because the damage was not covered. We then talked to Jim and he said his hands were tied and all he could do is direct us to the manager.
The manager refused to help us in any way stating it was the car wash's fault that a glued mirror that TOYOTA OF ESCONDIDO sold to me on a  PRE OWNED CERTIFIED car that passed your certified 160 point inspection broke off. After arguing with him for 15 minutes he finally said he could give me internal pricing. They called me back 3 days later saying internal pricing is over $400 still. Unacceptable. You just lost an entire families worth of business forever  and we strongly urge everyone to not buy a car from them. Next time we buy a car, it will be from toyota of temecula.",1.0
13,"December 01, 2019","I started working with Steve Uyeno on December Wednesday 25th evening him trying to look for 2019 4x2 Tacoma double cab. On Saturday December 28th we purchase what we were looking for.
Steve was very professional with my wife and I. Not pushy and made our first Toyota purchase flawless. Would recommend anyone working with Steve Uyeno.  ",5.0
14,"November 21, 2019","This dealership has provided us with excellent maintenance service for the all the Toyotas we have purchased there over the years.  They are very thorough in keeping the customer informed about the diagnosis,  work to be performed and cost and time involved, in order to obtain customer permission to proceed. 
They provide very good assessments and solutions to mechanical problems but will also let you know that you have some options that may work but that they will not guarantee.  The honesty is much appreciated.",5.0
15,"November 02, 2019","I love this dealership because of the excellent service.  When it's time to buy a new car, I chose Toyota Escondido because of the incredible service they have provided since 1990.  Mozie Alcorn and his team of Technicians are the best.",5.0
16,"November 01, 2019",Excellent service! See Mozie if you need anything done to your vehicle. I took my 4runner in for service and ended up needing breaks then had to come back for a recall on my truck. Worked out great. Was fast and efficient. Thank you!!,5.0
17,"October 18, 2019","I had a great new car buying experience at Toyota of Escondido because of Shawn Skinner.  Once I expressed interest in purchasing a new car, he answered all my questions very quickly. I felt no pressure to buy from Shawn or anyone else at the dealership.  My VIP test drive appointment went very smoothly. The day I bought my car, I was treated very well.  Was in and out with my new car in about 2 hours after taking care of all the paperwork and the car was detailed. I highly recommend Toyota of Escondido if you are looking to buy a new car!",5.0
18,"October 16, 2019","From the beginning when I called the service Dept I actually got a real person & was very helpful. (I had tried another Toyota service & no one picked up phone or able to leave a message)

Shannon helped me she was very polite & helpful, left my vehicle for preventive maint. & she called me because they found couple of problems & she let me know price to fix & get my confirmation to move ahead. Shannon gave me an estimate time of completion & called me when my car was ready.
My car was nice & clean & I appreciated the short time it took for them to service my car & that Shannon kept me updated.",5.0
19,"October 11, 2019","Since I bought my 2016 Toyota Camry I’ve been having all my car maintenance services at Toyota of Escondido I highly recommend this dealership they do excellent job with my car in service and also the customer service is great!! 
The service advisor Shannon Harris is amazing she gave me some good advices for my future services 😉",5.0
20,"September 28, 2019","McKinley got my attention when he ran back and got the No Appointment sign that blew off my car.  The service I received from McKinley was over the top.

I stuck my head in the Service Manager's office and gold him how pleased I was with McKinley.

Great you man, you need more like him.",5.0
21,"September 26, 2019","Errol Chavez is very friendly, helpful, and knowledgeable. He is very specific on what to be done and its results. I would recommend him to family and friends.",5.0
22,"September 26, 2019",This Toyota is the best by far in San Diego! I’ve been to others service centers and they don’t come close with customer service or speed. Thank you!,4.8
23,"September 22, 2019",The service department is excellent. They are all courtesy. Especially Aaron Serrano. He has excellent customer service skills. Aaron went above and beyond to help.,5.0
24,"September 15, 2019","I went to Escondido Toyota for my vehicle maintenance 
The staff was very professional and helpful 
They explained to me each step of the way and answers all my questions ",5.0
25,"September 05, 2019","Everything was great . Jose is wonderful. I’m a very satisfied customer. Will always go back there. They washed my truck . That was very nice. Fast and  efficient . .

",5.0
26,"September 04, 2019","Escondido Toyota provides excellent customer service. I've gotten my Toyota Camry serviced there a handful of times and every time I go I am more impressed than my previous visit because of their top notch customer service. From making sure my car is serviced correctly, to making sure the car wash is spotless. Thank you Aaron Serrano for your willingness to go the extra mile.",4.8
27,"August 30, 2019","Great customer service. Chris and Jared answered all of our questions.
They were courteous, professional and I will recommend them to all my friends and family. ",5.0
28,"August 29, 2019","Shawn Skinner did a great job very helpful 
And knowledge able about the truck i purchased  .. 
I would recommend  dealership 
We had a good experience 
",5.0
29,"August 28, 2019","This company needs to correct an error on my credit report. I did not authorize this company to do a credit check. Please provide me with proof that I authorized credit check.
Found place through USAA Car Buying Service. Went in with pre-approval ready to purchase. Test drove the car, the salesman LEO RUIZ, started my paperwork, ""went to speak to his manager"" then magically came back to inform me that the car had been sold.
Sounded fishy to me. A month later, found out they had ran my credit, I wasn't even there for 10 mins. I guess they realized I was not gonna use one of their credit partners so if there is nothing in it for them then they why bother with the sale. Hard to believe that an established company such as this did not know what they have in inventory and would let a customer test drive a car only to let them know it's know it's ""sold"".",1.0
30,"August 24, 2019",The customer service here is wonderful and my car was ready in under 30 minutes... that is amazing! I would recommend this dealership to anyone.,5.0
31,"August 20, 2019",Polite professional friendly staff with excellent customer service. Travel further for this particular site because the experience has always been great!  Cant say any more. ,5.0
32,"August 15, 2019",The salesperson and team did a great job of being clear about pricing and the process and helped me get the car I wanted at the price I could afford. ,5.0
33,"August 14, 2019",As always Shannon was wonderful. She greeted me with her beautiful big smile. Shannon is so helpful and knowledgeable. She is a credit to your dealership. i used to hate bring my car to any dealership but no more now I have Shannon I look forward to it. ,5.0
34,"July 31, 2019",I bought a new Tacoma from Ryan at Toyota of Escondido and it was an absolutely awesome experience. Would highly recommend Ryan and Toyota of Escondido. ,5.0
35,"July 22, 2019",We have two Camerys we bought there and your service writer John Suckling is the best. He's always kind and friendly to myself and my wife.Takes care of us  like were family . Thanks John.,4.8
36,"July 19, 2019", Took less time than estimayed. Pointed out an unrelated problem that needs to be attended to. Good job. Helpful and considerate. Will use this dealership again,5.0
37,"July 18, 2019","Excellent information and customer service. Knowledgeable staff. Shannon explained service options I had and helped understand what service level made the most sense. Even though I had bought this car used from a different dealer, she was very helpful. ",5.0
38,"July 17, 2019","Kyle is an excellent Service Writer. He listened to my reason for service, got the job ordered, and made sure my car needs were satisfied. They even washed my car in the shade from this hot & dusty summer day! Most importantly, Kyle answered my questions about my future service, assisted me in purchasing the next contract and set the appointment for future service.. This was my beat service experience in 2 years with Toyota😃 ps: thanks also to the lady in appointments dept that corrected the spelling of my last name in your records when I scheduled this service. ",5.0
39,"July 15, 2019",Service is excellent and high quality customer interaction. Thank you ver much for the car wash. I received a very good explanation for my concerns.,4.8
40,"July 11, 2019",Mozie Alcorn of Toyota of Escondido is outstanding.  He really knows how to treat his customers.  He recommends only the work necessary and that's comforting.  He doesn't hard sell you on extras you don't need.,4.8
41,"July 04, 2019","It only took one hour for the 15000 service on my Toyota Avalon. I waited in the showroom  where there was  WiFi, TV, snacks and water--all free, The couches and chairs were very comfy. After one hour, the service writer came and got me, explaining everything that had been done. Everything was ok, and I was happy to see my car was all clean after the free car wash I had requested.

I did make an appointment a few days earlier, asking which day was the slowest, They said Wednesday, and It all worked out, so I suggest going in on a Wednesday!

Paula",5.0
42,"June 29, 2019","He is always amazing and he makes it easy to understand and deal with any issues. I will always request him for any, and every issue that is had. 10/10",5.0
43,"June 25, 2019",We had the pleasure of working with Patrick in the service department on Wednesday. He checked what the best service for my Tacoma was and as well took care of the recall on the truck. We dropped it off ( no appt) and my husband called me at 1 pm to tell me truck was ready. Talk about service. ,5.0
44,"June 04, 2019",I came in with a TrueCar print out for vehicle purchase and with my Costco Card for a Costco program comparison purchase. I had previously done this same thing at BobBaker Subaru in 2017 with good results. The Costco analysis printout for viewing was to have MSRP and comparison Costco saving and any dealer additions shown. Instead a piece of scratch paper had the Costco price written on it offered up by sales manager. First they tried to sell me a model with 1500 miles as a new vehicle which we had them change out to a new vehicle.  At signing a mandatory security system was added to original penciled cost and a service contract was also added that they claimed I agreed to. I noticed the discrepancies as contract scrolled by on a computer screen (someone else controlled speed of scrolling). My wife and I agreed we had not been approached about a service contract and had them modify service contract to a better term but the very overpriced mandatory security system was a bait and switch item we ended up with. We should have walked once things got fishy with demo vehicle trying to be sold as new. I received a E-mail from customer service manage Jessica Swanger as to my experience and to thank me for my business and I responded as to particulars mentioned above with no RSVP back even after a follow up reminder. My evaluation is: questionable protocol for sales process at dealership with Customer lip service. Think about using another dealership and read their reviews prior to using them. Thanks for listening!,1.8
45,"June 02, 2019","Very pleasant and professional personal, knowledgeable in all aspects of my vehicle. Honest and coursidate people and made it a pleasure doing business with them.",5.0
46,"June 01, 2019",Excellent service! Max Weismann is very professional and helpful that’s why I’m always come back in this place. Even though I’m to far from my home I’ll always recommend this place 👍,4.8
47,"May 28, 2019","Work was done in a timely manner, even at the arrival time employee greets you and fills paperwork right away so service can be done faster, then you can be on your way. Thanks Javier for a great service.",5.0
48,"May 26, 2019","I have been coming to your dealership since 2001 for service on my car. Garth Hersey has taken care of it all of that time. Because of him, I have sent many people to your place. After his promotion, he had John Suckling handle my account. He is excellent at his job and makes the experience enjoyable.  The car is always done as promised. I gave you 5 stars because of the great service I have always received. My desire is to reach 400,000 miles on this car and with your excellent service department, I think it is possible. I'm at 340,00- now. Once again thank you for your great service department and especially to Garth and John. ",5.0
49,"May 04, 2019",Very nice people free WiFi  caffe shuttle bread 30k service honest people who is fast services  select wonderful I have four automóvil tundra  camery corola ,5.0
