,Date,Reviews,Ratings
0,"November 30, 2019",Just purchased my 2020 Toyota Corolla today! Thanks to TIM for being so patient with us. He has awesome customer service! I love everything there! ,5.0
1,"August 27, 2019","I recently purchased the 2019 RAV4 TSE hybrid small suv and I am over the moon with happiness on my choice. It’s the best car I’ve ever owned. Waheed Mirza was my salesman and if it weren’t for him I wouldn’t have made the right decision on which car to purchase. He was knowledgeable about all Toyota vehicles and answered all my questions. He was kind, not pushy and had my best interest at heart. I actually was more inclined to buy the car because he wasn’t just trying to make a quick sell. He found the perfect car with everything I wanted that suited me and my family best. If you go to Micheal’s Toyota dealership, ask for him! He will help guide you through the process better than any employee there. ",5.0
2,"July 26, 2019",The sale person Seng Vang was very patient and knowledgeable. He was able to explain about the car that my husband and I were looking. ,5.0
3,"June 15, 2019","This dealership sold a car to my spouse who is mentally ill. My husband does not have a job, no income of any sort, no cash, and not able to show he can make any payment at all. Michael’s Toyota took advantage of my husband’s severe mental illness. Car was repossessed and towed one month after the purchase. When a car is repossessed you still must pay for the buy you no longer have the car. Michael’s Toyota salespeople should be ashamed of themselves for praying on the mentally ill. ",1.0
4,"April 13, 2019","Javier Lopez was excellent!! He was very patient and wasn’t pushy, which I really appreciate. He knew all the details to the Camry (that he helped me purchased). Highly recommend this dealership and salesman!!! ",5.0
5,"April 04, 2019",Came into Michaels looking for a new Tacoma Marco was very patient and showed me the different models they had available when I finally decided on a model they didn’t have the color I wanted So they ordered it for me and had it ready by the next day. Marco went above and beyond to get what I wanted. Excellent customer service!,5.0
6,"February 09, 2019",Our dealer had a lot of patience and didn’t rush us. Very kind and knew what he was talking about. Highly recommend going to this dealer. ,5.0
7,"February 06, 2019","I took my Toyota Venza for service on 1/25/19, Cheng was my service advisor for my scheduled appt. After evaluating my service records Cheng went over the requirements needed to keep my car performing in the best possible condition, I needed a few services that weren't advised in San Francisco dealership. While I waited for my vehicle which took about 4/5 hours Cheng constantly gave me updates on the repair. I really enjoyed working with Cheng and look forward to more interactions with him as my advisor.


Tina S.",4.8
8,"December 10, 2018","I was very pleased with the excellent customer service Arthur Thomason, our sales associate, provided.  From the initial meeting to the end, he was courteous, professional, and very friendly.  He truly cared about giving us the best deal and went above and beyond in helping us feel welcomed.  The entire Michael Toyota team was  awesome! This is what I call true and exceptional customer service. I will definitely refer my family and friends to Michael Toyota for an enjoyable, hassle-free car-buying experience. Best of all, they gave us a great deal! We love our Toyotas!! :).  Thank you so much!

Customer for life!

",5.0
9,"October 25, 2018","My family and I had the pleasure of working with Andreas as one of the Sales associates at Michael Toyota and we were very impressed with his way of allowing us to ask questions about a vehicle we were interested in and not making us feel as though we were naive.  Andreas answered our questions and concerns with straight forward answers, and when he didn't know the answer, he went to find out and came back in a timely manner.  My wife and I both took turns test driving with our children in the vehicle as they are just as much a part of being interested in the vehicle as we were.  Andreas took time to show us how to operate the vehicle as it was a hybrid and with a lot of new technology, and it was really helpful.  Andreas Kipping and his team really made us feel good being there and we will come back when it is time for another vehicle in the future.
",4.8
