Sn,Date,Reviews,Refund,Serial,Sales
6956,01-Feb-04,"My wife went in looking for a car.  The dealer who assisted her (Cliff) said she had to put a $500 deposit down before he would even help her find a car.  She was naive, granted and they saw her coming.   I had to go back to get her check back on the same day and they had deposited it already!  The manager tried to placate us but the damage had been done.  Fast forward to two weeks later and after numerous calls we received our refund in the mail.  So we went to Thomas BMW in Oxnard/Camarillo.  They were the best!Advice:  Avoid Rusnak BMW in Thousand Oaks at all costs!",0,1,190
7994,14-Nov-13,"I attempted to purchase a certified used Avalanche. The salesman's position on wanting to make a deal with me that day was that it was a slow day and they had not made their quota for the day. We agreed on a price and prepared the paperwork. I could not take the car that night, we prepared the paper work with the finance department and I put a down payment on a credit card. We came back to the dealer a couple days later to finish the paperwork and pay for the car.We wrote a check for the entire amount less the credit card payment and the finance department told us they could take a company check event though they knew a company check was going to be used.  I truly believe I gave them every opportunity for them to sell me the car with the goal of providing customer service. In the end I was not able to purchase the car and ultimately had them refund the credit card charge they had on the car to hold it.  I was never informed or called during this process to have me understand the policies that they have in purchasing cars. Whenever I talked to somebody the story changed and I felt very confused, frustrated and dismayed.  At the end of this process, one of the floor sales managers told me their policy is they cannot take company checks, personnel checks or money orders. If that is their policy, I do not know how you can purchase a car from them without having a car to trade in and/or financing the entire amount? It appears that customer service is not a part of how they want to do business. Companies like this may be in business in the short term but in the long term, they will put themselves out of business, 
BE VERY CAREFUL IN DEALING WITH THEM AS THEY DO NOT COMMUNICATE WITH THE CUSTOMERS AND ALSO AMONGST THEMSELEVES",0,1,337
7999,17-Sep-19,On 9/10 I went to Penske Chevrolet of Cerritos and bought a certified pre-owned 2015 Camaro RS at what I considered a great price. I never test drove it on the freeway and as I was driving back to WLA I realized the engine noise is way to loud at freeway speed. My wife confirmed it the next morning when I started it up and it rattled the whole house. I realized I made a mistake and went back to the dealer the next afternoon. Apparently with certified pre-owned cars you can trade within 3 days or 150 miles for another certified car or a new one you cannot get a refund. I  cannot afford to spend 35k plus for new and this dealer has maybe 6 pre-cars so I made the only choice that made sense and had to pay 5k more for a 2016 Chevy Colorado truck. I couldn't make a good deal  because I had no leverage.  Compared to  Chevy Colorado  certified trucks from other dealers on the internet which were priced lower and had more amenities I was over charged. My only choice was a WT model which stands for work truck. It came with scratches inside the bed which was very dirty upon delivery. The carpet in the back seat was worn away to the base in one spot. I was was only given one key and remote instead of two which is the norm. This truck only has 18k miles and the rest of it was clean. How could this truck be considered Certified? One thing I will say my sales woman Leah Sneed was wonderful and did the best she could under the xxxxty circumstances. 25k for a work truck. I was ripped off. Penske Chevrolet you owe me at least $1500 to make it right,0,1,-1
10154,13-Sep-17,"I initially gave them 5 stars, but they messed up BIG. Unfortunately, the service contract that I purchased was misrepresented to me by Michael ""B -something- ian"" in the Finance Department and I had to edit my review. The service contract was supposed to cover the cost of all my oil changes and when I took it in for service I had to pay roughly $56 to get the service completed and get my car back. The service plan cost me $1,300 at Orange Coast ($56 (14) + 1300 = $2084). So let me break down the numbers, $56 multiplied by 14 -oil changes- on top of the $1300 I paid for the service plan. Compare $2084 at Orange Coast to $585 at Glenn E. Thomas. I have canceled my service contract through Orange Coast and will repurchase it through Glenn E. Thomas Jeep in Long Beach (Cherry/Spring off 405) which is only a couple miles from where I live and well worth the drive for an estimated savings of $1,500. The service plan only costs $585 for my vehicle at Glenn E. Thomas Jeep and it covers synthetic 100%; about 25% of the cost of doing business through Orange Coast Jeep. I will never do business with Orange Coast again. They rip you off with a smile. Orange Coast Jeep sold me a service contract that only covered conventional oil when my vehicle requires synthetic at $1,300 which I cancelled and then repurchased at Glenn E. Thomas for $585 that covers synthetic. If you experienced this, you can go into any Jeep location as I did and cancel then repurchase a contract somewhere else. They lost my business for life. If they tell you they don't handle cancellations that's misleading because I called Mopar and that's the guidance I received and when I went in and explained everything to another dealer they were happy to cancel their contract when I clearly expressed that I would repurchase it once it cleared. I was sent a check pretty quick for the refund. They messed up because this post will have an immeasurable impact on their sales. You don't do that to individuals that work hard for what they have. Shame on your team!",0,1,-1
10171,09-May-17,"I bought a 2016 Jeep Renegade in September 2016, car has been in service four times. Once for 2 weeks, even though they have provided me with a loaner car and a 1 month refund payment, I've never had a bad customer service like this before. While the car was in service I never received a call back from several voicemail's I left for service department, there was no update and no emails until the second week the car was at the dealer. Good luck trying to get a hold of someone at Service. I will make sure my small circle of friends and family never buy a car from Orange Coast Chrysler Jeep Dodge. ",0,1,-1
10990,31-May-18,"After 3 weeks with a new 18 ram I couldn't drive due to their finance Dept incompetence and no return calls or messages, I returned the truck after consulting there bank and the division at Chrysler.   They were missing paperwork so we couldn't license or insure or new purchase.  We ended up returning the ram for a full refund after almost a month wasted.   Crap dealership, don't waste your time trying to save here, it doesn't pay off!!",0,1,-1
11013,30-May-18,"There's a reason most people dread going to a car dealership. Imagine you negotiate a deal, come to an agreement, and then afterward the seller changes the deal and tries to charge you more. That's the system in place at this dealership.

I worked with a salesperson named Manny Avendano, who was pretty easy to work with, and we negotiated a fair deal to purchase a used car and for a trade-in.

When we moved to the finance office and talked with Don Vuong, that's when things went south. There were $509 in total fees added to the purchase contract that were completely ridiculous. 

1. $250 'insurance fee' that gives the right to return the car within 48 hours for a refund. This is ridiculous. There's no way this is a real insurance program that is underwritten by an independent third party; this is simply the dealership adding pure profit to the deal on the back end, and changing the terms of the purchase price through a deceptive add-on. Don insisted that this is a required part of the purchase contract, standard on all deals this dealership makes, and could not be removed.

2.  $179 NitroFill 5 year subscription. This is a standard add-on also, which pays for nitrogen in your tires and 5 years of roadside assistance. Of course, there's no good way to evaluate whether this program is any good while you're sitting there in the finance office, but between my auto insurance and a AAA membership, this is completely unnecessary. It was a xxxx of a fight and probably a half hour of arguing, but i did get this removed from the purchase contract. At first, Don insisted that this is standard requirement and could not be removed, but in the end he was easily able to delete it from the contract in two seconds.

3. $80 document processing fee. Every dealership charges a doc fee, and it's usually around this cost range. It's a BS fee that I've never had successfully removed from a purchase contract. But there it is, now you know how much this dealership charges. Keep in mind that all the docs are processed electronically. What is this $80 for? Software subscription? Am i paying for the labor hours for the finance manager? This is paying for dealership overhead, not my problem, bake it into the car's price.

tl;dr  Negotiated a deal with sales person and was happy. Then got to finance office and was hit with $509 more in fees the sales person didn't mention and were not part of the price we discussed.",0,1,274
12535,13-Sep-17,"I initially gave them 5 stars, but they messed up BIG. Unfortunately, the service contract that I purchased was misrepresented to me by Michael ""B -something- ian"" in the Finance Department and I had to edit my review. The service contract was supposed to cover the cost of all my oil changes and when I took it in for service I had to pay roughly $56 to get the service completed and get my car back. The service plan cost me $1,300 at Orange Coast ($56 (14) + 1300 = $2084). So let me break down the numbers, $56 multiplied by 14 -oil changes- on top of the $1300 I paid for the service plan. Compare $2084 at Orange Coast to $585 at Glenn E. Thomas. I have canceled my service contract through Orange Coast and will repurchase it through Glenn E. Thomas Jeep in Long Beach (Cherry/Spring off 405) which is only a couple miles from where I live and well worth the drive for an estimated savings of $1,500. The service plan only costs $585 for my vehicle at Glenn E. Thomas Jeep and it covers synthetic 100%; about 25% of the cost of doing business through Orange Coast Jeep. I will never do business with Orange Coast again. They rip you off with a smile. Orange Coast Jeep sold me a service contract that only covered conventional oil when my vehicle requires synthetic at $1,300 which I cancelled and then repurchased at Glenn E. Thomas for $585 that covers synthetic. If you experienced this, you can go into any Jeep location as I did and cancel then repurchase a contract somewhere else. They lost my business for life. If they tell you they don't handle cancellations that's misleading because I called Mopar and that's the guidance I received and when I went in and explained everything to another dealer they were happy to cancel their contract when I clearly expressed that I would repurchase it once it cleared. I was sent a check pretty quick for the refund. They messed up because this post will have an immeasurable impact on their sales. You don't do that to individuals that work hard for what they have. Shame on your team!",0,1,322
12552,09-May-17,"I bought a 2016 Jeep Renegade in September 2016, car has been in service four times. Once for 2 weeks, even though they have provided me with a loaner car and a 1 month refund payment, I've never had a bad customer service like this before. While the car was in service I never received a call back from several voicemail's I left for service department, there was no update and no emails until the second week the car was at the dealer. Good luck trying to get a hold of someone at Service. I will make sure my small circle of friends and family never buy a car from Orange Coast Chrysler Jeep Dodge. ",0,1,-1
13344,31-May-18,"After 3 weeks with a new 18 ram I couldn't drive due to their finance Dept incompetence and no return calls or messages, I returned the truck after consulting there bank and the division at Chrysler.   They were missing paperwork so we couldn't license or insure or new purchase.  We ended up returning the ram for a full refund after almost a month wasted.   Crap dealership, don't waste your time trying to save here, it doesn't pay off!!",0,1,-1
