,Date,Reviews,Ratings
0,"December 18, 2019","I purchased an pre owned vehicle from the dealership in which was an lemon. My salesman James Haas was not very helpful during the purchase process ,his customer service was horrible. The starter went out on the vehicle two days after purchased. Within the next few days I noticed the vehicle started running hot and the heater stopped working. I took the vehicle to an repair auto shop an was advised the vehicle needed an radiator and thermostat. I spoke with manager Scott Vo who advised to bring the vehicle back out there to have it checked out. I took the vehicle back out to the dealership and which it stayed at the dealership for one week and I was told the vehicle only needed for the coolant to be flushed. So I went to pick up the vehicle and noticed the same issue vehicle running hot and no heater. The service department did nothing at all to make sure that my vehicle was truly repaired before returning the vehicle.  I then took the vehicle back to the repair shop and had the radiator and thermostat replaced and was told by the auto shop stop leak was added to the vehicle. The stop leak added to my vehicle prior to the purchase has totally messed up my vehicle. I have called and requested to speak with an General manager several times with no return call. I will not be recommending this dealership in the future. Do not purchase an vehicle from this dealership. The entire experience has been absolutely horrible. ",1.0
1,"November 25, 2019",Jim Haas helped me and my kids into my new Acura MDX. He got me an amazing deal and delivered on his promises! If you need a vehicle go see JIM HAAS.,5.0
2,"November 17, 2019","Oh how I wish I could give 0 stars. This place is utter garbage. They lie straight to your face, they use every shady sales practice in the used car sales book, and specifically Eric is a terrible person. He sold a car right out from under me while I was on my way to buy it just because he would get the sale faster, even though I was promised it was on hold after giving them my debit card info to put a deposit down on the vehicle. Do not give this place the time of day much less your business. They are crooked and disgusting. Their ineptitude knows no bounds.",1.0
3,"September 30, 2019","Probably the worst car buying experience we’ve had so far. Used car sale and finance were time consuming and honesty was out the window. 

Also, we came from out of state to buy the car and was told after a whole month of waiting for the paperwork, it would take 4-6 weeks! Completely out of the norm here. My state only allow 30 days to register or late fees will apply. Left messages asking for a return call on this matter and got nothing. ",1.5
4,"August 23, 2019",I purchased a vehicle in Dec. 2017. I experience issues with the turbo charger. I took the vehicle for warranty repairs in Sept. 2018 and it was returned in February of 2019. I reported an oil leak to Hiley on the newly installed engine hat Hiley replaced due to a mechanics error; I returned the vehicle for repairs and four months later I still don't have mr vehicle. The service department will not take my calls. They just ignore me. I would not advise anyone to do business with Hiley. ,1.4
5,"August 22, 2019",I had a great experience with Amanda she was so knowledgeable and very patient with me! She was will to go the extra mile to help me find my dream car! I would recommend her and the dealership to anyone i know! Best experience ever😍😍😍😍😍,5.0
6,"June 30, 2019",Worst waste of time buying experience ever. They refused to let me take the vehicle to be inspected by my mechanic until I signed all the final paperwork to purchase it. Unbelievable! I was told they would let me out of the deal if my mechanic found problems. When I asked them to sign a document to back up what they said... they refused. Ended up walking away from the deal. Buyers beware.,1.0
7,"June 02, 2019",Totally liar and dishonesty. They have agreed with the OTD price but turned 360 degree on the next day. I almost purchase the car at the other dealer and they text me nonstop and asked me to give them a chance to beat other dealer.....,1.0
8,"May 13, 2019","I considered purchasing a new car from Hiley Acura but ended up purchasing from someone else.  I got lots of emails from them and have clicked the 'unsubscribe' button multiple times but they don't seem to actually honor these unsubscribe links.  

I just received this email from Austin Doyle today.  Apparently he is super professional and will have a long career in sales:

***************

Frank, 

I see you opened my 'please take 10 seconds to respond' email and then...didn't respond. Making the world a better place one read email at a time! 

***************

If you want sales teams that full-on harass you, then yes, spend time with these guys.  I spent a LOT of money at another dealership and won't even consider them in the future.   ",1.0
9,"April 10, 2019","I would NEVER buy from Hiley Acura again. Purchased a used vehicle on December 31. We were told that it would be ready in a few days to pickup. It was over a MONTH later that we were able to pick up the car. It was not even close to having all of the items completed. Since the dealership is an hour away, I was told that I could take it that day and call them in a week or so to bring it back in to have the rest of the items completed. Seeing how I had already been waiting a month for my car, I took that day. BIG mistake. My husband and I have been calling, texting, and emailing every person that we can at Hiley with NO response or ""so and so will contact you in just a minute."" Recently, they said they weren't even sure if they would still be fixing the rest of the items. That we would need to pay for some of the repairs that were promised at purchase. I STILL don't have my license or registration. They won't even schedule for us to come pick them up. Again, it's an HOUR away, so I don't want to drive an hour there and back to not be able to get anything. DO NOT BUY FROM HILEY ACURA!!!!!",1.4
