,Date,Reviews,Ratings
0,"January 28, 2020","I have been taking my car to Fox Acura for years. I am so happy with my Acura but most importantly the service department. Cyann, Janeth and service manager Jessica are always going above and beyond. Thank you all for providing excellent service.",5.0
1,"January 08, 2020","I have tried to get the service manager at Acura of El Paso to take care of a 2016 recall of my 2010 Acura TSX and she (Jessica) was not helpful at all and insists that I call client relations (national number) but I cannot speak to a person, only computers.  I am frustrated to no end and I feel that the local Acura store is giving the run around thus I do not recommend anyone to deal with this Acura dealership due to the rudeness and non-helpful service manager (Jessica)
",1.0
2,"December 11, 2019","""Really good experience. Clay was outstanding to deal with and was very accommodating,communication was great, he answered all our questions and quickly got back to us on the ones he wasn't sure about. I couldn't be happier with my purchase.”
Happy Holidays!!",5.0
3,"May 16, 2019",I went in and found my dream car. It was one of the smoothest car buying processes I've ever been through. Clayton Jones was very knowlegable and helpful. Thank you!,5.0
4,"May 15, 2019",Love the group of people that work at Fox Acura of El Paso!!  Had the most amazing car buying experience. Thank you for helping me find the car of my dreams! ,5.0
5,"May 15, 2019",I had the most amazing experience!! Clayton Jones and management helped me through my buying process! Definitely recommend visiting Fox Acura of El Paso!! 5 Stars,5.0
6,"May 14, 2019","I was hesitate to write a review, I have been going to Fox Acura for some time and these past few months its been a dread going. The customer service from the staff is great but I'm guessing this particular person is a manager. He sit's in a office towards the front entrance.  The last time I was there I over heard someone call his name and I picked up Scott. This man face expressions are the worst. I'm not sure if that is his day to day face or is he really that mean. I could over hear how he would speak to his employees and all I can say if I was the owner, this man wouldn't be working for me. You can tell the staff walks on egg shells and its kind of embarrassing when I only feel comfortable going with my husband. You can definitely feel the energy that it is not what it once was. I highly recommend Fox Acura but I really wished the energy was more positive and inviting like it was in the past. ",3.8
7,"May 09, 2019",I am definitely going to recommend all my friends and family to purchase their vehicles at Fox Acura of El Paso with Clayton Jones! Thank You,5.0
8,"April 24, 2019",I have been looking for a car for my daughter for awhile.   A friend recommended Carlos Herrera.  He had shown us a few cars.... but none that caught our eye.  He didn’t just give up on us... he searched and searched.  My daughter finally liked one 👍🏼😁 He worked really hard and cared that we were happy and in my budget. GREAT customer service!!! Everyone there was really nice and friendly.... 5 STARS ?? ????????👍🏼,5.0
9,"April 10, 2019",Great service and very courteous people.  Great people to work with and they met our needs.  Mr Jones was very helpful. Great customer service to us,5.0
10,"February 26, 2019","Great customer service from Clayton, he was very helpful every detail in my purchase was explained,  Overall the experience was great . Would recommend to friends and family ",5.0
11,"February 21, 2019",Great customer service wouldn’t of done it with out their help ! Kudos to them and all employees. Very clean and neat !!! Fast response and they don’t beat around the bush ,5.0
12,"February 03, 2019",Recieved great customer service with Mr. Jones.  Very professional and courteous with concern for our family needs. Would recommend to friends for great service.  Thanks ,5.0
13,"February 02, 2019",Great experience overall! Friendly and helpful staff. Vehicles priced competively. Salesperson was helpful and knowledgeable on inventory and vehicle I wanted. Will recommend and do business again. ,5.0
14,"January 30, 2019",Clayton Jones was very professional and friendly. Great service provided. He was very sincere and appreciated his professionalism. Thank you for all your support and understanding. ,5.0
15,"January 30, 2019",My experience is the best never hade a experienced like this one nice people and excellent service highly recommend this dealer and the staff it’s it an amazing team. ,5.0
16,"January 29, 2019",Its my third time visiting Carlos! He is the only one I buy my cars from. Always makes sure my family are taken care of. ,5.0
17,"January 24, 2019","Awesome service! Very well knowledgable, very courteous. I will keep this dealership in mind to recommend to all my family and friends. Thank you to all at Acura!",5.0
18,"December 31, 2018","I have always wanted to own an Acura. They are very nice cars to say the least. My parents own one and from experience I can honestly say they are the most reliable cars on the market! I went in to try them out and even though at this point I can not afford one, the sales person and management  was wonderful! Very knowledgeable and informative. Great customer service. I will definitely be returning!",4.6
19,"December 28, 2018","Excellent customer service and friendly staff. Definitely a salesman I would recommend to family and friends, he was honest and very helpful throughout the whole process ",5.0
20,"November 30, 2018",Great job!!! Excellent staff and teamwork.  Nothing but good things to say about everything and everyone.  Love my car and I know I wouldn’t have without all work and effort you all put in.,5.0
21,"November 30, 2018","Pleasant experience. Professional and eager to address my concerns and needs. Would deffinetly recommend Jay to my friends and family. 
I will be a return customer. ",5.0
22,"November 30, 2018","Carlos Helped me a 3 months ago and did  a  fantastic job he was very assisting , answered all questions and left me very satisfied. Highly recommend him!",5.0
23,"November 21, 2018",Very helpful and friendly. Clayton was extremely knowledgeable about the vehicle. Had a great car buying experience. Would definitely recommend Fox Acura to anyone I know.,4.8
24,"November 13, 2018",Thank you for your time and dedication. I went there just to see the new SUV’s and ended up driving off the lot with a 2019. Clayton went out of his way to talk to me about the difference in the SUV’s and fell in love with my New 2019 RDX ASpec. Thanks Acura. ,5.0
25,"November 10, 2018","Carlos Herrera was great! He went out of his way to provide me with all the information my husband and i were looking for. Will definitely recommend this dealership!
Thank you again.",5.0
26,"November 07, 2018",Acura Jones is one of the most knowledgeable guys out there! He really makes me feel like a part of the Acura family. I would make purchases here every time for sure. ,5.0
27,"October 31, 2018","Isaac was very patient with me when explaining the new features of our new TLX. He didn’t rush us when looking over the engine, tire, and trunk. ",4.8
28,"October 30, 2018","I highly recommend this dealership because of the great customer service five star, great atmosphere and excellent deals. Sale persons really understand your needs and give you what  you are looking for!",5.0
29,"October 26, 2018",Thank you especially to Carlos Herrera for getting my son into the car he absolutely loved! Carlos also helped us get the car at a great price that was affordable! My son went in the morning picked out the car and by days end we had his car in our driveway ready to go!! Thank you so much! Will definitely be back when my next son needs a car! ,5.0
30,"September 25, 2018","Great customer service from carlos, he was very helpful and answered any questions we had. He went out of his way to help us,  thank you! Will definitely recommend this place!",5.0
31,"September 19, 2018","Very pleased and happy to do business with Carlos Herrera. Totally different sales method that this guy handles, he just makes you happy to buy a car. Best purchase ever!",5.0
32,"September 06, 2018","Fox Acura helped my mother in-law find the vehicle that fit her needs best.  No push or pressure to buy a certain vehicle. Carlos was extremely patient and thorough in not only explaining, but showing her the options available to her.  Pleasant car-buying experience.",5.0
33,"August 31, 2018",I have given this rating cuz Israel Chavez is and was a great sales representative... Make me what to recommend an Acura car to all my friends cuz of sales  representative like Mr Chavez are awesome and very understanding..,5.0
34,"July 29, 2018","Fox Acura is the place to get your vehicle.  The staff are awesome and professional, they don't pressure you to buy a vehicle.
Went for a test drive with Isaac, test drove two vehicles, TLX but different models, I decided that was the car for me.  The sale advisor Isaac has so much patience and knowledge of the car that I was interested to buy, he answered all my questions and he helped me get a good deal on the car.  I kept him for hours asking questions and he never loose his cool.  Isaac sales advisor and Drew sales manager are the reason I gave fox Acura five stars, plus Acuras are nice comfortable vehicles to drive.",4.8
35,"July 29, 2018","Isaac made my car buying exsperience very easy. I told him what I was wanting and he did a great job to make the sale
I give him 5 Stars out of 5",4.8
36,"July 20, 2018","Israel was very helpful/informative when test driving used cars. Didn’t feel pressured which was very refreshing especially after previously having negative experiences at a local non-Acura dealership and another dealership in Las Cruces,NM. After we decided to purchase our vehicle, the financial manager was actually pleasant and it was a smooth process. This was the best car buying experience. Thank you Fox Acura!",4.8
37,"June 30, 2018",Took my vehicle  in to service was approached by Isaac Avila asked if I was being taken care of and ended up answering some questions regarding my vehicle. Excellent young man will be returning soon.,5.0
38,"June 30, 2018",Exceptionally positive experience.  Customer focused Driven by total satisfaction. Every point of contact was a great one. Their goal was to make me happy and they did. ,4.8
39,"April 21, 2018",Pleasant and knowledgeable staff made the experience painless. Negotiatons we're reasonable and the people involved in getting the deal finalized we're understanding and flexible. Highly satisfied and recommended.,5.0
40,"April 10, 2018","Art was awesome. He followed up with all of the questions i had, and genuinely provided awesome service with a friendly attitude. He also contacted us to make sure we received an additional detail service and full tank of gas. I honestly never thought buying a used car from a dealer could be such a positive experience. ",4.6
41,"March 28, 2018",excellent service very friendly people and they are always trying to find the option that is better for the client I will recommend all this dealership ,5.0
42,"March 19, 2018",The best experience of my purchase was Alec.  What he doesn’t know is that I had decided to buy a Honda Pilot that weekend.  Had he not been persistent I would be driving a pilot now.  Thank you Alec.,4.8
