,Date,Reviews,Ratings
0,"June 08, 2020","Yomi Bokini, the first salesman I've ever had pleasure doing business with. NO hard sell tactics, no talking about how I was going to pay for the vehicle, no asking about monthly payments. He seem more interested in if I liked the vehicle during my test drive. He didn't babble on needlessly about all the features of the car. He told it to us straight, whenever we had questions and if he didn't know the answer, he would go and find out right then and there. Finance manager was pleasant as well, sure he tried to get us to to buy warranties and the like, but I kindly told him no thank you on all added items. Thats his job, to try and get the customer to buy add ons. When we told him no , he didn't take it personally or try to pressure us to buy.A week after the sale, still treat you like your a person and not just sale. Can't say enough good things about this dealership. Even gave us a free window tint, after buying the car",5.0
1,"June 02, 2020",They wanted 1000 dollars for a licence plate installation. I talked to the  manager and he was telling me that this is an ok price. Went to an Audi dealer nearby and they did it for FREE.,1.0
2,"May 31, 2020","Hunter. Hunter. Hunter. This gentleman is amazing. Every time I need service done on my S5 he has taking great care of me. I had a issue where I had to go get emergency service done on my car at another Audi location. Called Hunter (Service Manager) he put me in a car and assisted the other Audi location with my car. Not only does Hunter make you feel important he takes care of you like family. Hunter if you get to see this you made sure this Veteran (Army) will be a lifetime customer.  
Also there is a gentleman that handles finance sad I can't remember his name at the time. He has a love for Peru like I do. Everytime he always check to make sure I am taking care of also. ",5.0
3,"March 31, 2020","On Sunday traveling I started my trusty Audi and was greeted with a Check Engine and glow plug light. This concerned me so much that I thought it best to go to the nearest dealership. Sadly I chose this place. After a normal check in, the service stopped. I was notified that my previous warranty repair was broken and surely the other dealer must have done shoddy work. Six months ago and 10k miles ago. After refusing to warranty by the service manager I was sent on my way. I will have the warranty repair done at my normal dealership tomorrow with the same standard  of service I have always enjoyed. I will not ever return to or do business with this dealership nor recommend to anyone as the value of that 5 to 6 hundred dollar part was far more important to them than my health or satisfaction. ",1.0
4,"March 15, 2020","From the initial online inquiry, to the follow up phone call, to the in person experience - Mike was STELLAR! Mike didn't lie to me, didn't waste my time, and ultimately got me in the car I wanted at the payment I wanted. ",5.0
5,"March 07, 2020","The support from Mike was awesome. He helped me getting enabled myAudi which was pending since I had purchased the Vehicle. He was very proactive in asking the and resolve the issue as required and going beyond. 
Thanks Mike ",5.0
6,"March 03, 2020",Mike was awesome! Took really good care of me! Made sure all my questions were answered and walked out very pleased! Thanks Mike! Thanks audi!,5.0
7,"March 02, 2020",I would completely recommend Audi Plano and I had wounderful buying experience. They are very much interested to work with me by understanding my price and expectations. The sales agent Mike was really awesome and he did a very  good job.  He offered lot options exactly meeting my preferences and Finally he really offered a very good deal. ,5.0
8,"February 28, 2020",all time best. Mike is very knowledgeable and kind. always on top of our questions. best consultant we ever come across with. absolutely recommend to everyone that dream for an audi. ,5.0
9,"February 25, 2020","Audi of Plano and our salesman, Mike Aman, exceeded our expectations with their steadfast and prompt response to our queries about the vehicle we were searching for. They made sure that we found and purchased the car we were looking for, no exceptions! We have purchased numerous cars on-line and this by far has been our best experience. We will be repeat customers!",5.0
10,"February 15, 2020","Mike was amazing. Very knowledgeable, easy to work with and entertaining to boot.  He is the guy to see if you are looking for a great car for a great price. ",5.0
11,"February 15, 2020",excellent buying experience. Mike was tremendous to work with. And I will be recommending all friends and family happy happy happy happy happy happy h,5.0
12,"February 08, 2020",Nice and friendly sales people here. Makes the car buying process easy and stress free. Be sure to check them out on your next purchase.,5.0
13,"February 08, 2020","My car buying experience with Mike Aman was Awesome! He really knows the car business, he is very helpful, fair and honest. He treats customers with lots of respect. I will be sure to refer him to our family and friends.

Thank you!",4.8
14,"February 07, 2020","Purchased an A7 a couple of weeks ago and Mike Aman made it an awesome experience!  Mike's knowledge of all Audi's was very impressive, but he focused his time and energy on exactly what we wanted.  He took the time to listen and pointed us in the right direction.  No question - Mike has earned repeat clients!",4.8
15,"February 07, 2020",Mike Aman was great! Very helpful and found me exactly what I was looking for in a car. I appreciate the time he spent helping me!,5.0
16,"January 25, 2020","Plano and our salesman, Luis, exceeded our expectations with their steadfast and prompt response to our queries about the vehicle we were searching for. They made sure that we found and purchased the car we were looking for, no exceptions! We have purchased numerous cars on-line and this by far has been our best experience. We will be repeat customers!",5.0
17,"December 01, 2019",I actually enjoyed my experience when buying a car at Audi Plano. Mike Aman made sure my time there was well spent and efficient and just took care of everything for me.  So appreciated that as a woman. ,5.0
18,"November 26, 2019","Very bad dealership. Not happy with them at all.
I bought a car from them, the car had some damage in the hood and bumper. It was showing nothing in the CarFax report which was really strange.

Business usually run on trust, my biggest mistake was trusting them.

They made me test drive a different car claiming that my car would have the exact same feature, which it did not.
They made me wait for a month to get the car(told me it would take a week to fix it), made me sign the contract for the car before the car was fixed and also said that my 5 car trial period would start after my car was fixed and I get my car.
Since my car didn't have the feature it was promised, I went back to return the car and they said that my 5 day trial period started the day I signed the contract.

They are not giving me my down payment money and keep stalling me.
Even Up to today, it's been more than 3 weeks that I have asked for a refund, they keep stalling me saying they can do nothing.

This dealership is shady. I suggest you not to go there. 

This was the first car I was buying with hard-earned money, they just made it a really bad experience for me.",1.0
19,"October 19, 2019","Fantastic experience leasing a new car at Audi@Plano, great staff over-all. Specially, Mike Aman is amazing, he helped through every step right from the second that I met him at the dealership until he dropped my car at home ! ",5.0
20,"September 19, 2019","Mike Aman and Ishae Lawrence were two of the best Audi experts. Very accommodating, caring and personable. They put me, the customer, first. I love my new car! ",5.0
21,"June 29, 2019","Got a 2019 audi A5 for my 20th birthday, joe explained everything I needed to know and gave me a good deal. Got everything done in one day, quick and easy.  ",4.8
