,Date,Reviews,Ratings
0,"February 02, 2020","Every single service visit always lead to something missed or ticket claims something performed and it wasn't.  All started in so called ""make-ready"" which missed many items on delivery.  Bad sign.  Also, watch their Finance Dept, they will cheat you on finance rates.  My bank showed me that they actually offered me better than what was showed.  In my book, I got lied to.  
Every service advisor (I've had 3 different ones) take forever to update you on your car.  I usually have to ask just to get an update.
Emailed GM - still no response.  Based on what I've read on here, expecting never to hear from him.  My salesperson lasted about 2 months, then left.

This Dealership has issues starting from the top resonating throughout the departments.  First and last Audi purchase.  I will also avoid ALL Sonic Automotive Dealerships moving forward.  Time to visit Sewell as they seem to have great customer feedback.    Trading my Audi and not looking back!",1.8
1,"January 25, 2020","The sales manager is a crook, he tried to lowball my trade in, I went across the street to Infiniti West HOUSTON and got 2500.00 more for my trade in, DO NOT BUY FROM AUDI WEST HOUSTON.",1.0
2,"November 05, 2019","DO NOT BUY AUDI OR FROM WEST HOUSTON AUDI!!!!!!Do not but from Audi west Houston  or this product!!! I have had my car in this shop 10 times for the A.C. The GM Mack Albukhari is less than satisfactory with his Inability to return a phone call, with several voicemails left from myself on sept 3rd, regarding this manner. This dealership feels the solution is to buy another one and forget they have been useless in solving the problem. Why would I want to buy from this dealership or this product ever again???I have left multiple reviews on various websites in hope that no one else will receive this blatant dismissal of this huge problem, or any problem. The ONLY thing you can count one from this dealership is GM Mack Albukhri to never acknowledge your concerns, never returning a phone call, and him asking an  employee, to ask me to take the reviews down. He did not even have the decency or respect for me as a customer to call me himself. He will not acknowledge my existence or this problem, but he sure did not mind taking credit for a job well done when I bought it. I will say I have been very pleased with the others that have had to be the middle man between him and myself, and my mechanic Adan is AWESOME!!!!. The employees can only do so much, but it is them and ONLY them that I have not rated this dealership and product sooner. If I were Audi USA I would be appalled that the GM Mack Albukhri still has not called me, the customer. It’s now Nov. 5th, 2019. GM Mack Albukhri, obviously has the leader mentally  over all at west Houston Audi, DO AS I SAY, NOT AS I DO!!!!!!Bc the service manager, my service consultant Jon, my mechanic Adan, have all called me back in a timely manner and/or called me just to give me an update of the situation. Mack Albukhri,  I personally think you should be released from your position. Mack Albukhri knows the problem I have been enduring for 3 1/2 years (the life of my car), but the only problem he sees is his name being called out for his Incompetence with the position  he holds!!!!!!! So, I ask you consumer is this a place (bc of Mack Albukhri and Audi USA) that you would want to do business. If you have a problem or a have a recurring problem you have no one to go to. Audi USA WONT CALL YOU BACK,  NOR WILL GM MACK ALBUKHRI OF WEST HOUSTON AUDI!!!!!!!! SHAME ON YOU MACK ALBUKHRI, wanting me to take my review of YOU and THE AUDI PRODUCT down. SHAME ON YOU. Another fun fact, he knew who I was without me even leaving my name. So, he does know there is a huge problem with my a.c and he chooses to  turn a blind to the problem until he was called out for his incompetence. I would love to leave my full name but due to internet being it is, I can’t. DO NOT BUY, DO NOT BUY, DO NOT BUY!!!!!! MY AC BLOWS 125 DEGREES I have multiple upon multiple videos of this occurring. MACK ALBUKHRI OF WEST HOUSTON AUDI AND AUDI USA DO NOT CARE!!!!    I wish I could have given them the stars they deserved ZERO!!!! ",1.0
3,"June 11, 2019","If I could give a Audi west Houston negative star, I would have done so. I came in and bought an BMW X6 2014 for a fair price. What I never knew was that the car had a lot of maintenance work to be done on it. Oil leak, Cylinder gasket, battery etc ( total cost ~$7000).  According to Audi West Houston, the car had just passed inspection with no trace of all these repairs. Because I trusted them, I never bothered to take the car to BMW for a proper check, which I normally would have done so for a car that expensive. 3 weeks after purchase, I realized that I had all these repairs, so I contacted Audi west  Houston, and all I got from them was that I refused to buy their extended warranty and for that reason there  was nothing they can do for me. Infact if you check my previous review, I gave them 5 stars after the purchase but after this experience, I would strongly consider before shopping with them again. I am very disapointed.

My review 3 weeks ago before the incident

Dana Armstead is an exceptional person. I walked into the shop just for eye shopping and moved out with the best deal I could ever find in the market. The value and the quality of the product is just perfect. Thanks Dana for your assistance.",1.0
4,"April 14, 2019","The service on my Audi A4 2018 was nothing short of terrible. Service advisor Robert got my car washed and the wiper blade on my right wiper was off for some reason. The day I picked my car, it started raining and the rain sensing wiper turned on, scratching my windshield as the wiper blade was off and lying unattached under the windshield. Avoid this dealership for service. Terrible. I am trying to get them to fix the damage done to my windshield but they are super rude and are not even getting back to me.",1.0
5,"March 29, 2019","3/29: Please avoid this service department! Believe me and read all the 1 star comments in the reviews. The service department here is a waste of time and money.  Three months, three loaners later... still my brand new tire is losing air with no reason as to why. AS SOON as I pick up my car from the dealership, my light comes on for the same tire. No explanation. I have the tire pressure checked somewhere else and it's way below the psi it was set at after being told over and over that ""we can't find anything wrong"". 

***When they replaced the tire after missing the nail the first visit, the new tire was on flat the next morning. *** see pics on google

Not to mention the weird sound my car made only AFTER they rotated my tires *** I wish I could attach the video...

Also, it was overlooked that I have the PREMIUM WARRANTY... I've been complaining about my brakes for sometime now, but they kept brushing it off. Then they finally quoted me for $2,000+ for brakes... when I have that as part of the Premium Warranty

I really hope I help save someone time, money, and the disappointment in this ""luxury"" dealership!

12/21: Brought my Q5 in for scheduled maintenance and also for them to check my front left tire because my tire pressure light was on for that particular tire. I recently purchased my tires from Audi with warranty. They checked twice and kept saying they found nothing and couldn't replace my tire. I thought, hey maybe they are right.  I allowed them to rotate my tires. My husband decided to take the tire to get it patched if the light comes on again. Sure enough, get on the road to head out of town for the holidays the next morning and the tire pressure warning came on for the rear back tire! The exact same tire they rotated and supposedly couldn't find anything wrong with it. We pull over and there is a huge nail that you just can't miss.  It's impossible to miss this one. I went straight home from Audi that day and stayed put. I am upset because I'm traveling on the road with my family.  I just don't understand... was it pure laziness or them not wanting me to get the warranty I paid for??? There is no way they checked twice. I wonder what else they overlook or pretend to do?  I waited there 3 hours for poor service.",1.2
6,"February 27, 2019",I have worked mostly with Jon but I dealt with Robert last weekend & they are both top notch with customer care.  They are both so accommodating it makes the pain of taking your car in for service a whole lot easier & more convenient.  Highly recommend working with these guys.,4.4
7,"February 25, 2019",Really enjoyed working with Dana and James.  They spent lots of time with me reviewing the various vehicles and options.  Clear cost and price transparency.  Ended up buying with them over all other Audi dealerships and also over Infiniti and Lexus.,5.0
8,"February 22, 2019","Service advisor John estimated three hours to complete 20,000 mile service and recall inspection and tire rotation. Actual time was two hours and forty-five minutes. ",5.0
9,"February 07, 2019",Robert provided excellent timely service! Definitely will go back for any car issues that arise. Thank you Audi crew/staff-Robert assisted us. Thank you.,5.0
