,Date,Reviews,Ratings
0,"May 17, 2020",I came to the dealership not knowing what to expect. Tommy Luk game me the best customer experience anyone could expect. Went out his way to make sure i knew how all the components in the truck worked. Let me test drive the car to show my wife the truck. Thanks a million Tommy. ,5.0
1,"May 09, 2020", I'm very pleased with Berj's knowledge and professionalism. He made my BMW purchase simple. I recommend Berj to anyone interested in purchasing a BMW,5.0
2,"May 04, 2020",Berj was wonderful! He made the process seamless and less painful than I had imagined. I’d certainly recommend his services to my family and friends. ,5.0
3,"April 30, 2020",Salesman was very responsive and helpful throughout the process. We were able to lease the vehicle we wanted entirely online without a visit to the dealership to limit our exposure.  ,5.0
4,"April 29, 2020",Thank you for the help. Love the new whip & thanks for helping me find the right one. Also I only drove 69 cars until I found the one haha,5.0
5,"April 29, 2020","Very happy with the trade in and lease of my new X3.  Everything was done remotely except for the test drive and exchange of vehicles which took place at my house.  The only thing I missed was shooting the breeze with my sales guy, Derrick. Thanks ",5.0
6,"April 29, 2020",This was truly a very pleasant experience. The first time I’ve ever had one at a car dealership. Berj and the whole staff was very kind and sweet. They went the extra mile to find me the my beautiful car that I am in move with. I appreciated them making this an awesome experience.,5.0
7,"April 28, 2020","Great experience. Takes longer for the vehicle to be delivered because it’s a custom order. First bmw vehicle owned, definitely enjoy  both the car and the whole pricess",5.0
8,"April 28, 2020","Berj went above and beyond to make sure I am able to get the best deal on the car I wanted. He was looking out for my best interest as laid out and advised on the options which were available to me. The rest of the team at BMW of West Houston were equally courteous, professional and did everything they could to make sure I was happy . I wouldn’t go anywhere else for BMW.",5.0
9,"April 27, 2020","Raymond made it easy and fast to get the car.
Gave me his expertise on how to choose the right car for myself. Great service and very knowledgeable sales rep.",5.0
10,"April 23, 2020","Michael is extremely professional, friendly, and knowledgable. He went above and beyond to make my car buying experience personable and comfortable. I appreciate his efforts and great customer service.  Thank you!!!

Izze was also knowledgable and friendly. :)",5.0
11,"April 23, 2020","Our salesman was Raymond. He was very professional, efficient, and informative. Raymond and his co-workers definitely went the extra mile to make us satisfied and happy with our new purchase. We had a great experience at BMW of West Houston. ",5.0
12,"April 21, 2020","Chris Blair found the perfect X5 for my wife's first vehicle.  She is Filipina and just entered the US in August 2019, having never driven before.  Now she has a great vehicle to learn driving in the US and I know she and our two girls will be safe and comfortable.  Safety was a large part of my decision but ultimately, Corazon wanted her blue X5 and I just helped make sure it happened for her.  So did Chris and I appreciate that.",5.0
13,"April 21, 2020","I would like to thank you all. You are all awesome and the best! We will come back, and will recommend friends as well!

Thank You,

LD",5.0
14,"April 18, 2020",Juan was a great guy to work with in the service department. He was very professional and knowledgeable and he able to assist me with all of my needs.,5.0
15,"April 17, 2020","Berj helped me purchase a dream car for my wife. He is the best at what he does, and very easy to make a good deal. I’m very happy with the purchase of this new car it was easy fast and informative transaction. ",5.0
16,"April 10, 2020",Raymond did everything that he could to make this deal work. He listened to my wants and he made it happen. Thank you so much! ,5.0
17,"April 10, 2020","The customer service was very satisfying and efficient. When I walked in it was such a warm welcome, and every single employee was pleasant and delightful. ",5.0
18,"April 09, 2020",Excellent sales and service. Every one I have worked with has been awesome. That's the place to buy a car with no problems. They take care of their customers ,5.0
19,"April 09, 2020",Working with Berj was absolutely easy!!! So much so that we wound up getting two vehicles. He was super responsive to all of my inquiries and explained the process quite well. Every step of the way I had confidence in what he promised which is huge for me personally when dealing with car dealerships. I’d absolutely refer Berj as a sales advisor. ,5.0
20,"April 09, 2020",BMW West Houston is clean modern interior and there are good selection of BMW. Working with Berj Khanoyan from start to finish nothing but the best services (speedy & streamlined). My overall experience was very positive and strongly recommend Berj to future BMW owners. Go there and talk to Berj Khanoyan!,5.0
21,"April 09, 2020",Berj did an amazing job on delivering me my brand new 740. From the selection of vehicles price and professionalism from not only Berj but his assistant Juan and the whole team. Will definitely recommend BMW Of West Houston for any new or preowned vehicle to All my friends and family,5.0
22,"April 09, 2020",Berj was a very responsive sales that placed my family satisfaction over just obtaining a sale. He didnt hesitate to search the country and coordinated with other dealerships to get my wife the exact car she desired.,5.0
23,"April 09, 2020",The experience was nice from beginning to end. I was greeted at the front desk by Emma with a friendly smile and she offered me water and snacks! She called Berj to the front and he was there in no time. I told him my price range and what I was looking for and he showed me what was available. He made a few professional suggestions and we were able to come closer to finishing the deal. I was then sent to the finance area to meet Alexis. He was very professional and knowledgable as well. Any question I asked him was answered thoroughly. The whole experience from the people to the product was clean and ran smoothly! I am loving this 750li most definitely happy I got it! Looking forward to shopping there in the future.    ,5.0
24,"April 08, 2020","Great service! Great dealership! Berj and Lourdes are very easy to work with. Will
Buy again from bmw of west Houston. Thanks you! 

Diane Hoang",5.0
25,"April 07, 2020","Our salesman, Raymond was professional and made our buying experience pleasant. He was there for us throughout the entire process and made sure we were taken care of at all times. ",5.0
26,"April 05, 2020",Raymond did an awesome job! Thank you BMW OF WEST HOUSTON FOR HELPING US With the purchase of our new BMW vehicle. Did an amazing job,5.0
27,"April 03, 2020",I had a wonderful car buying experience today with Jose Martell! First of all he’s very personable and down to earth. Working with him I felt like I made a friend! He made the car buying experience seamless and I am so thrilled to have my own “ultimate driving machine!” If you’re in the market for a BMW come to BMW West Houston and ask for Jose! A++++,5.0
28,"March 23, 2020","Jose was incredible! He’s been our go-to for the past couple of years and he never disappoints! He picked this car out for me, all I had to do was approve! Thank you, Jose, you’re the best! 

Errol is always great always as well! Certainly a pleasure to do business with! Thank you, Errol for always helping and adding to our BMW experience. 

These two are definitely the example of customer service. BMW has been our home for as long as we can remember and with the service and attention these two give us, that won’t be changing any time soon! 

Thank you guys! ",5.0
29,"March 19, 2020","Everyone was so nice and there was no pressure or uncomfortable moments, Berj is an excellent representative for you. I have nothing negative to say.",5.0
30,"March 18, 2020","He's the sole reason I went with BMW. Amazing, exceptional service and made car buying an actual enjoyable experience! Went above & beyond! Highly recommended!!!",5.0
31,"March 18, 2020",Excellent experience working with the dealership .Juan an Berg where very professional and courteous very happy with my purchase!! I will be looking forward to more business with Bmw of West Houston!!,4.0
32,"February 20, 2020",Wonderful experience purchasing a vehicle. Jose and Alexis did an excellent job. I will continue to purchase all my vehicles from them.  Keep up the god work. ,5.0
33,"February 17, 2020",I love BMW of West Houston! Great customer service and selection. This is my second vehicle purchase and I look forward to the next. Awesome! ,5.0
34,"February 10, 2020",I met LR back in 2008 since than we have purchase 3 BMW from LR. He is a fantastic salesman and person. I recommend LR to any one. ,5.0
35,"January 30, 2020",Excellent experience with Sales as well as finance. Everyone was friendly and accommodating. I love a bit farther away but would definitely come here for my future service and sales. Loved my experience. ,5.0
36,"January 28, 2020",This is very classy establishment.  Friendly environment where you can be assured that things are done right.  I have been a customer for many years now.  ,5.0
