,Date,Reviews,Ratings
0,"May 23, 2020",Beware do not buy a car from this dealership. The customer service is terrible. Refuse to return calls. This includes sales person and sales manager!!!,1.0
1,"December 14, 2019","I purchased a 2008 Jeep Wrangler for my grandson from this dealership the day after Thanksgiving. Two weeks later, my grandson took the jeep to a car shop on the Island where they live  to have the oil changed.  They told him the rear brake pads were worn out to the rotors and the rear axle seals were leaking very bad.  It's hard to believe the BMW service department didn't notice this! Either they knew it and didn't tell us or they didn't notice it.  Either way, it doesn't look good for the service department or the sales department.  I called the dealership and asked them if they could fix these problems since we've only owned the Jeep two weeks.  The salesman who sold me the car, Danny told me he didn't think so but would ask his GM.  He called me back the next day and said they will not pay on any of the repairs since the Jeep had a lot of miles on it but would ""make me a good deal if I had the repairs done there at the BMW dealership.""   I felt like if the screwed me over once on the sale, they would probably do it again on the service so I took it somewhere else.  I won't be going back to BMW of Corpus Christi for anything. ",1.6
2,"July 22, 2019","We just purchased a BMW from BMW of Corpus Christi.  Johnny ""Rocket"" Almaguer did an incredible job for us.  He matched us up with the perfect vehicle and worked with us until the price was just right.  His clear explanation of all the many bells and whistles was so beneficial.  I would highly recommend Johnny and this dealership without reservation.",5.0
3,"July 19, 2019",A professional staff with positive attitudes and good sense of humor. Extensive knowledge and eagerness to help me make a more informed decision about a new purchase. ,5.0
4,"May 18, 2019","Buyer beware!
BMW of Corpus Christi sold my ASE certified mechanic a waterpump that I paid $607 for. Including labor I spent $891.66! 
Said to have a 2 year warranty failed in 12 months. After 5 months of no one at the dealship available to assist me or to bother returning my calls, they failed to honor their warranty unless I towed my car to them and had their mechanics verify the failure (Apparently they are the only people with qualifications to put on a water pump lol) all at my expense, I had already had the pump replaced at my expense. I'll NEVER buy another part or car from them! They had no problem selling me 3 BMW's. 
This dealship is run by Princple Auto, they have no Principles. Do yourself a favor, buy a Benz! ",1.0
5,"October 22, 2018",Jericho is a very pleasant well mannered individual. He went over and beyond to assist and make sure when I called he attended my car needs. Thank you Jericho for your continued kindness and help. ,5.0
6,"June 03, 2018","Great service, great vehicle. All the people we sealed with were very straight forward and professional. The dealership seemed well managed and we received great service. ",5.0
7,"May 31, 2018","Stopped in and looked over the used inventory. Although I did not find what I came in for, the staff was very helpful in explaining what they did have. ",5.0
8,"May 17, 2018",Great experience as always- they were kind enough to take me as a walk in on my only day off- so thankful! They always take care of me!,5.0
9,"May 16, 2018","I took my BMW in for a couple of recalls and regular maintenance. My service advisor, Jericho, went the extra mile with customer service, attention to detail, very knowledgeable in explaining recommended services and very kind. I didn’t feel rushed and didn’t have to wait to be helped. Jericho was very easy to communicate with as well. In addition, while picking up my car, Jericho was with someone else, Leo was quick to greet me answer questions and process my payment. Definitely a first class dealership. ",4.6
10,"May 14, 2018",Great customer service. Was able to schedule an appointment receive a loaner car while my car was being serviced. Received a car wash and was updated as soon as my car was ready for pick up. ,5.0
11,"May 14, 2018",Always handled with such great care and professionalism. Do their best to get vehicle serviced as quickly as possible. Thank you very much for everything.,5.0
12,"May 14, 2018",Service department takes care of their customers. They have always treated me well and make sure I am satisfied before leaving. I would recommend them. ,4.8
