,Date,Reviews,Ratings
0,"November 21, 2019","Great Before and After the Sale Service by Sergio Jimenez!!!"" - John B.
Car Dealerships do not have the best reputation, but Sergio made the whole experience flawless and earned my trust as well. My experience:
",4.0
1,"September 06, 2019","Car Dealerships do not have the best reputation, but Sergio made the whole experience flawless and earned my trust as well. My experience:

Car was ready for me to view when I drove 3hrs to see it. 
Sergio was there as he said he would be and the car was in the exact condition he said (maybe bettter).
I requested touch up paint for a rock chip the size of a pepper flake like any black vehicle has with more than 1000 miles these days. Financing was preapproved and went without a hitch as well. Total time at the dealership was 2.5hrs. 

When I arrived home in my haste (my wife realized the cargo cover) was missing. Sergio said, ""No problem I will get one to you!"" and sure enough he did the touch up pain he promised and the cargo cover arrived at no charge.

Great dealership, great experience with Sergio! 

John B. (2018 X3 for the wife)
",5.0
2,"September 04, 2019","As having purchased several BMW's I must give Kudos for customer service to your salesman Chris Mieles and yesterday Denny Holiday. The most negative factor in the sale process I received fell completely short of anything remotely close to a pleasant experience was with your business manager Sean Lotice who originally cost me to leave and only the follow up by Chris savedthe deal. This negativebusiness experience was by far the worst experience that I have had at any of the BMW dealership business staff from whom I purchased from in Denver, Dallas and your sister store in Clear Lake Texas, which has been the most pleasant, maybe you should sent Sean Loftice to that store for training. To think, your store prides itself in ""total"" customer service.with Sean being the last person to kill deals is beyond belief.",4.0
3,"September 02, 2019","Do not buy from here

I wanted to write this review, to in short tell you why you shouldn’t buy a pre-owned car from this dealer. I purchased an Audi s4 from them for 27,500 out the door including what my salesman called a bumper to bumper warranty that was 4600 of those dollars. 
It turns out the warranty was barely worth the paper it was printed on and I’ve been forced to cover the majority of the repairs listed below. 
In my first few months of ownership I have had to repair or replace the following, the expense of those repairs are listed below. 

Rock Chip – 70.00
Transmission flush and oil change 340.00
CEL check – 355.41
Air temp sensor and throttle body plate – 571.41
Harmonic balancer (warranty) – 869.53
Drive belt – 291.5
Battery – 333.27
Driver side headlight running light – 386.02
Front pads, rotors, and sensors – 370.30
Front brushing/control arms/ motor mounts/ thermostat etc (partial warranty over 1900 out of pocket)- 4576.65

All in the car has cost 8164.09 cents with a fraction of it covered by the paper thin warranty they sold me.  
They do not adequately inspect cars before selling them and the warranty’s they sell are janky at best, don’t buy from them.",1.0
4,"March 16, 2019","Purchased a 2013 650i last month, not my daily driver, got a drivetrain malfunction warning & took it to the service dept.My service advisor Matt Phillips informed me that there were at least 5 things they found WRONG with the  car,totalling around  $5600.00.Needless to say I was NOT a happy camper. I purchased an extended warranty when I bought the car however they only want to cover$146 of a $476 ignition coil issue,stating that these are all pre-existing conditions.UNBELIEVABLE!!! It's been about 9 days since I took the car back & STILL haven't heard anything from them as to any kind of resolution. Now I'm beginning to wonder what else is wrong with the car that should have been discovered during pre-inspection & make-ready.",1.0
5,"December 11, 2018","When my car was under warranty, I had to use the dealership to get serviced.  After a couple of times, I noticed that when I took my car in for a routine service or recall, something else always went wrong, i.e., the brakes, air conditioning, sensors, oil leaks, even the bottom fell off after an oil change which costs me $500!  After my car was no longer under warranty, I found my own mechanic who is honest, fair and has kept my car running perfectly for over a year.  In September, 2018, after being pressured from phone calls, emails and letters, I hesitantly took my car into the dealership for recalls because they said the parts may not be available if I waited.  I told my service advisor about my previous experiences and begged her to only do the recalls and do not touch ANYTHING else as my car was running perfectly.  After getting the recalls done, I noticed my car was very sluggish and in exactly one week, it would not start!  I called the service advisors several times asking for information on exactly what was done to make my car not start after the recalls, and no one returned my call.  I decided to take it to my mechanic who extensively checked all the wires and battery cables and all were good and determined it had to be the starter.  After replacing the starter, my car started right up!  After a week, it died.  After replacing the starter two more times and $1,000 in parts and labor trying to figure out what was wrong, I called Advantage BMW demanding that the mechanic who did the recalls needed to fix the problem because he knew the reason why my car would not start.  After five days of ""investigating the problem"" BMW charged me $350 to tighten a loose wire -- a loose wire with no description of where it was or anything other than from ""previous repairs"".  I believe the service technician intentionally loosened a wire during the recalls so that I could bring it back for service.  It has happened to me too many times, and I am sick and tired of these scams.  I have asked for a full investigation of my case in writing and no one has contacted me from Advantage BMW regarding it.  I am writing this review so customer are informed about them and hopefully I can make a difference.        ",1.4
6,"November 08, 2018","DO NOT TAKE YOUR VEHICLE HERE FOR SERVICE. 

Unfortunately, the warranty provider of my car recommended that I take it to this location (being that I live less than 2 miles from the service department) as the vehicle had an error code for a solenoid (drive train malfunction). Upon arriving at the dealership, On October October 25, 2018, the young lady that checked me in indicated that they would immediately take it to the service department and finish having the diagnostics completed and then they would relay the results to the warranty provider and see what they approved. 

This was on a Thursday afternoon. On Monday, I got a little curious as to the status (as I had not heard anything from the service folks). I decided to contact them directly. 

Upon contacting the service department, I was notified that my ""advisor"" had been released from service and that my car had not been addressed yet and that the warranty provider had not been contacted. This now starts the 14 day fiasco at Midtown BMW. Fiasco, is to say it politely. 

I then contacted my warranty provider who indicated they had not been contacted of the vehicles status to date. After being directed to a second service advisor,  of which did a good job , indicated it would be 2 days for the warranty inspector to arrive to evaluate the claims that NOW the oil pan was leaking at the seal, the timeline chain cover was seeping, the solenoid needed replaced to the tube of $3200. Rightfully so , the warranty provider wanted to perform an inspection. This would push the issue too Wednesday. 

Once approved by the warranty provider, the Advantage Service team began to work. which was 1 calendar week (7 days) after I dropped the vehicle off.

Finally, on the following Monday I received a call regarding the vehicle. I was informed that the hub bolts were stripped and that "" it wasn't them"" (where I was asked if I had taken the wheels off the car for any reason. Yes - if I had removed them). Obviously, they indicated that they were stripped before they touched the wheel. 

After arguing with the service advisor for a few minutes, he said he would talk with the service manager and get back to me. The service manager called back an indicated they would replace the hub but it would take a day or so for the part to come in. 

Then, on Wednesday at 09:57 I was notified that they vehicle was put back together and that they were contacting the warranty provider for payment. At 1:03pm on November 7, 2018, I was delivered my car back. From October 25 thru November 7, 2018, the vehicle was in Advantage BMW Midtown's possession. 

As I left the service area, I drove immediately home which is 16 blocks from the service department. I then parked my car, when into my residence to change clothes for a meeting. When I returned ~2 hr's later, the car would not start. 

I immediately called Advantage BMW Midtown where they sent a loaner car and made arrangements for a tow truck to bring the vehicle back to the service department. Later in the afternoon, the verdict was that a radar detector , that was professionally installed 2 month prior, was causing the car not to start. Obviously, I was surprised to hear that. I was escorted to one of the ""service department managers"" who stated the same thing. 

I left with the vehicle, when low and behold, there was an error code displayed on the dash and the radar detector was not operating as they unplugged it from the fuse box. When I returned, they took the car again, to clear the code, indicated that the battery was bad and they then went to change the battery ( which I don't think they did as they did not provide me with a receipt and there is not evidence that the bolts had been removed in the truck area cover/housing for the battery). 

With all this said, I now have new scratches on the bumper of my car from an unknown origin, and am apprehensive to whether any of the service that was performed was as there is no evidence that the passenger side hub is in new condition. 

Based off of this fiasco, I can only come to the conclusion that this service department is one of those that scams it's customers and attempts to leverage their ""reputation"" being a certified BMW service centers and prey's on customers that may not be mechanically inclined or say to these deceptive practices. As a consumer, I feel obligated to warn other potential customers of the possible fraudulent activities that occur at this service center. 

STAY AWAY - DRIVE A LITTLE FURTHER TO ANOTHER BMW SERVICE CENTER. 

The initial concern of the solenoid was a ~$300-$400 service. I was billed $3242.52. Absolute deceptive in practice.
",1.8
7,"September 01, 2018","Gave them a $1k deposit and signed a buyers order on Wednesday to buy a car bc I live in Fort Worth and I said I would be there Friday to get it. Negotiated my trade in and everything. Get a call Thursday night that they sold the car, and they were ""changing"" their deposit guidelines, obviously to their advantage. Then the general manager Philip wouldn't answer my calls. DO NOT do business with them, they are shady!!!",1.0
8,"May 03, 2018",Basically had a dealer lie about having an available allocation for new model M.  Waited a couple months and never got an update or production number.  Decided to find another dealer with an actual allocation production number.  Very disappointed with the customer service.,1.0
9,"April 11, 2018","About 4 days ago I found a car I was interested in Truecar and was listed to this Dealership. I called and they assure me that with a down-payment and the credit application the car could be in my possession this week. I went to their website to apply practically sent in the rudest way to do it online by Robert Brand, the car sales man. My wife and I filled the application and sent the reference number to move forward with the process. Thats the last time we heard from him, Our credit was Hit more than once, we never got any response whatsoever of our application. I decided to call him and find out what has happened to our application and he did not even remember our names, I asked to speak with his manager and pretty much got the same treatment, discourteous, unprofessional, disrespectful,, bragging about selling the car we have been applying for about a week. 

Please do not support this type of business, Do not encourage mistreatment, lack of professionalism and disregard for a person...

Diego.",1.0
