,Date,Reviews,Ratings
0,"March 03, 2020","I will never buy a vehicle from this dealership, again. The customer service after your initial purchase -goes way down.Thanks for nothing! After I cancelled the platinum extended service contract they are dragging their rear ends getting MY refund over $2000 to me. I don’t understand why it takes 6-8 weeks to process, when it only takes minutes to check all your credit history and put you in a vehicle. I was told by the corporate office that they had not received the paperwork. Mr. Borque states he has sent it and now “ it’s out of his hands”!",2.2
1,"October 10, 2019",i was told it would be a free Diagnosis but of course thats a lie. 400 dollars later and after i told them what it was. now they want over 200 dollars for one sparkplug. i have a v8 just think if i asked them to do them all. dont ask if they are nice. there not. im not going to let them Ruin another X5 like they did before. nope dont do it.,1.0
2,"August 10, 2019",Still trying to find out why both of these clowns were conceived by there parents......what a waste of After birth and air.....sorry xxxxx,1.0
3,"June 13, 2019","Absolutely the worst service department I’ve ever dealt with in my life! They gave me a quote of $2,364.83 for a alignment and 4 tires! When I mentioned I just purchased the vehicle a few months ago Donna went and got permission to do a free alignment  and all of a sudden my tires aren’t bad but if I want new tires. I’m responsible for the purchase of tires. I ask why should I be responsible for tires on a vehicle I just bought and she responded maybe we can warranty them out but of course that didn’t work so she got the head mechanic to tell me it’s the way I drive that has my tires worn on the outside of all four tires. Meanwhile they get the general manager ( Keith leger )
And he tells me I hit a pot hole or something.... I responded with I guess one big enough for all 4 tires? He said yes and gave me that we care about all or customer crap and walked off 😡 now I drive a bmw that sounds like a monster truck while driving ( tires roaring noise )",1.0
4,"March 13, 2019",I've bought 5 BMW's all from a John Robinson. Lonnie in finance always works to get us the best deal. I live in Hoston and have several local options but never get the same level of personal service and ease of doing business than I get from this Beaumont Team. They exemplify the BMW ownership experience and is the reason we are loyal to the brand and this location. John is a true pleasure to work with. ,5.0
5,"January 17, 2018","A great place to buy your next car and to get it serviced.  Go see Willie Calcote for your next puchase, and see Mason in service for all of your maintenance needs. ",5.0
6,"December 19, 2017",Taylor is an outstanding service representative!!! Friendly and courtesy is what he possesses!!!!! Keep Taylor on the job because he also took care of me to have a loaner car to get to work!,5.0
7,"December 15, 2017",Beaumont BMW was very helpful and my wife and I enjoyed working with them. We will definitely shop there again when the time comes.  Thanks ,4.8
8,"December 12, 2017","My experience at BMW of Beaumont has been positive from the moment I stepped foot on the lot. I was not pressured and my needs were heard. And the service staff is awesome, especially the person who details my vehicle. I value the integrity everyone has shown.",4.8
9,"November 28, 2017",We are always treated as family and the most important customer they have. Consistent and quality with smiles! Great environment comfortable with great snacks. Never wait long.,5.0
10,"November 04, 2017",The service is fast . They give continuous updates of progress. Staff is extremely friendly and professional. Waiting room is comfortable and well appointed. They went beyond expectation. (We requested that the glovebox be repaired but was unfortunately not done.),4.6
11,"October 29, 2017",I was driving on I-10 and had some car troubles with my BMW 750i .... it was a Saturday and this dealer was busy with previous appointments but they managed to fit me into their schedule and had me all fixed up and back on the road in a very reasonable timeframe ... staff is super attentive and professional,4.8
12,"October 26, 2017","This dealership was Awesome!!! Salesman, Mr. Willie Calcote, was really helpful and knowledgeable.  The BMW expert did an outstanding job with an overview of the many features the car has to offer.",5.0
13,"October 26, 2017",I was greater immediately and my car was attended to immediately.   I received emails with updates regarding the process.   I was skiptal.about mike smit bmw service center but pleasantly surprised with the proffesionmaly and service.  I will go again.,4.8
14,"October 23, 2017",This was my second vehicle from BMW Beaumont and they hit the ball out of the park! John Robinson is an awesome salesman! BMW of Beaumont has a great team.,5.0
15,"October 02, 2017","Salesman John Robinson provided exceptional customer service throughout the entire buying experience! His knowledge and expertise was outstanding. Because of his genuine spirit, I made the decision to spend my money with BMW. ",4.8
16,"September 26, 2017",We had a very pleasant experience choosing our car. Our car sales person was very patient and spent most of the evening showing us the features and explaining information about the car.,4.8
17,"August 17, 2017","Fast, friend and knowledgeable service staff...pleasant wait in lobby. The sales team remembers you and stops to say thank you for the business long after the sale.",5.0
18,"August 13, 2017","Willie Gilder has never once failed to provide complete satisfaction on any and everything he has done. I have been a BMW owner for 12 yrs and I would not take my car anywhere else. When I thought about it, I called back and said "" work me in, I can't trust anyone but ya'll"". Thanks for great service and being a First Class establishment that people can put confidence in!",5.0
19,"August 02, 2017",Excellent experience overall in the service department as well as my service advisor. I especially loved that my service advisor made sure I was put in a comfortable loaner car and he kept in touch during the time my car was getting serviced.,5.0
20,"July 26, 2017","I was on my way from Lafayette to Houston and my AC quit working.  I called BMW-Beaumont while I was en route and they told me to stop and bring it in.  They were waiting for me when I got there (along with my two puppies, which were in their kennel). Everyone was so friendly!  I was very grateful they allowed me to bring my puppies inside!!!  You won't find customer service like this at a BMW dealership in Houston. ",5.0
21,"July 17, 2017","If your looking for a car dealership and service department that makes you feel like part of the family, look no further than BMW of Beaumont.  Ask for Mr. Willie in sales and my new found brother (Willie) in the service department and you will be taken care of. I have never had a more pleasant experience with a car dealership than with those guys. ",5.0
22,"July 14, 2017","Loney is the general manager. He spent hours with my wife to find the best car for her.  He complete staff was kind, courteous and helpful with us during our decision making. 
Willie, the service manager, spoke with us and further solidified our decision of which car and clearly which dealer. 
A+ to these guys ",5.0
23,"June 26, 2017","Joseph Vallery II and Rocky Willis were Very friendly, helpful, and honest. Well worth the 3 hour drive to BMW of Beaumont.  Would do it again.",5.0
24,"June 23, 2017","We have been buying BMW's  for 15 years from the same wonderful sales person, Willie Calcote.. 5 star everything  we would recommend  the dealership to everyone",5.0
25,"June 23, 2017",Very professional staff at this dealership.  They were all very knowledgeable and helpful.  I would use these guys again without hesitation.  Great experience at this place.,4.6
26,"April 29, 2017","Just bought a brand new car from BMW of Beaumont and my salesperson, Willie Calcote, was exceptional from beginning to end. I never felt pressured and he always let me know what was going on a step ahead of the process. Seamless and painless! This is my 5th car from this dealership and Willie will always be my go-to guy! Kudos!",5.0
