,Date,Reviews,Ratings
0,"September 29, 2019","My check engine light has been on for some time. I've had a diagnostic done and everything has come back clear, leaving only the fuel injectors as the source. it's obvious that the fuel injectors need to be replaced because every other issue has been cleared. The dealer has had my car 3 days short of a month. I've called the dealership and the only response I got was to be patient. There's a warranty for the fuel injectors which leads me to believe that they are either waiting for it to run out or they're not working on my vehicle because I'm not paying out of pocket. Whatever the issue is I'm extremely disappointed and I will never ever return to this dealership. I'm not one to go to corporate but in this instance I don't think I have much of a choice..",1.5
1,"July 09, 2019","We had Stevie as our sales associate and she was so knowledgable and sweet and was not pushy at all! I even chose the more expensive version because of a few random things that I loved and she was so supportive but also didn't push or guide me in any way towards my decisions. She answered all my questions and asked me my goals of what we needed and what I'm looking for. It was unexpected because I normally deal with sales people who try and do whats best for them and not necessarily whats great for our family. 
The finance guys were awesome and quick and we got out of there faster than we ever have when buying a car. The other sales people and employees were so sweet to my kids, as we had brought all 3 children!! We had a great experience and I am definitely now a BMW driver for life. 
Our whole family is in love with our new car!",5.0
2,"May 20, 2019","It really pisses me off that I have to give even one star!! My problem is not with the sales person, it with the managers and the finance person that handles your paper work and all the final protection add ones that can only be added at that time. Once you walk out, that’s it. You can not add any protection to your car. I understand that and thought I had already learned that previously, well I was wrong again! Ladies!!! Be aware that their are men at this place that will take advantage of you!! 

A month ago I took my car to momentum bmw mid town because I live close to there. I found my car online at the woodlands location. I took my car in because one of my tires kept getting low. I also had hit some of my rims on curbs. I do that! I know I do that! I’m a small short women. I had a friend go with me to buy the car so I wouldn’t get taken advantage of. We said I need wheel and tire protection, cause I constantly hit curbs. We laughed and made fun of it. The finance manager and I’m sorry I don’t remember his name, said ok you got it. At no time did he ever mention that it didn’t cover cosmetic to my rim. That was the entire reason I got wheel and tire, cause I know I need it!! Seriously?!? 

The day that I took my car in for the tire I also planned on getting my rims fixed, I was then notified that my protection to my tires and wheels does not cover cosmetic. Right away I called the woodlands bmw and left a message for Derek the finance manager. She said he will call me back. Over the next week I called at least 5 more times finally I got to talk to a finance guy that got Derek to call me back after a week of trying!! That is the worst customer service ever! I told Derek that right in front of the finance guy that me and my friend told him I needed the wheel and tire protection cause I run into curbs and scratch my wheels up. One would think that would be the perfect time to say “ no this type of wheel and tire doesn’t protect scratches or cosmetic” We were not hiding that the entire reason I wanted it was for the cosmetic part, and in fact very blatant about it! Derek told me that he was going to email the policy department or whoever handles the protection plans, and see if it could be added and he would get back to me. 3 weeks later after leaving more messages I still have not heard back from Derek!! I am so disappointed with this place and will never be going back. Momentum will now be getting my business. 

So LADIES, listen up!!! Be aware of this place! They are liars and will take advantage of anyone. Unless you make sure in the print of your protection that it covers cosmetic, it doesn’t matter if you tell them you need it, they will still sell you the wheel and tire protection without the cosmetic part!! They should be ashamed of the way they are doing business!! DO NOT GO HERE!!!!!!!!!!!
",1.0
3,"November 17, 2018","After scouring online for weeks trying to find my son a nicely equipped, reliable, stylish car with manufacturer backed certification/warranty, we finally found one here. Our online experience was great..Quick responses and plenty of information readily available. We reserved the vehicle for a couple of days to allow us to make arrangements to travel to Houston from Corpus Christi. Upon arrival, the vehicle was ready and waiting for us upfront. Our salesperson, Joseph Swinney, gave us an informed and detailed presentation of the car. We'd made the right choice. Sales manager, Ben Chiu and business manager, Eric Bowen, helped wrap up our purchase seamlessly. Thank you all for making this buying experience simple and easy. Congratulations general manager, Neil Maddox, on having a great staff who provide excellent customer service from start to finish...OUTSTANDING!",5.0
4,"May 28, 2018",I found my wife's car on line and called up BMW of the woodlands  James norrell called me the next morning and gave me details about the car. I told him that we would drive up and get a look at it. When we arrived he had the car clean and inside of dealership so that we could check it out. What I really liked better about this is that he did not push a BMW or anything else on us. He was very encouraging and easy to deal with. No pressure at all. I would definitely buy another car from James ,5.0
5,"January 10, 2018","I am so saddened by my experience at Autonation.  I purchased a BMW 328D on Friday night December 29th. I really liked the car but it wasn’t my first choice. I ended up purchasing it because it was a good option, and I knew Autonation would stand by their promise if i wasn’t completely satisfied within 5 days and 250 miles I could return it. Well, that is where things went wrong. I reached out to my salesperson on Tuesday, January 2nd when the store reopened from the holidays and let him know that without lumbar it wasn’t going to work. We texted back and forth a few times and then I drove to the store. I arrived just before noon. I had put 208 miles on the vehicle. I was well within the 5 days and less than the 250 miles. I realize their are people that purchase new vehicles or preowned vehicles and never regret or doubt their decisions. The rest of this won’t apply to that group of people. But, for those that do want to buy something different this story is for you. I was within the 5 days and well under the 250 miles. I arrived at the dealership, met my sales person and let him know that I wanted to purchase something different from the store. It was at their other BMW location 9 miles away. I even went there to look at it to make sure I wasn’t going to waste anyone’s time. I texted a picture of the sticker so they had the stock number and could begin to prepare. This is when the lie exposed itself. I was treated with disrespect, cowardice, and completely ignored by the young manager working that day. After my sales person went to let him know the details he was sent back with this quote “It was the end of the year and we already submitted your paperwork so the 5 days doesn’t apply”. How awful!!!!  I really felt that Autonation would stand behind their promise and do the right thing. I wasn’t even trying to back out of the deal; simply wanting to purchase a different car from them. I was so upset and shocked by their attitude towards me I had to leave. No one wants to argue about something that is in writing. I followed up the next day (still within the 5 days and still below 250 miles) but my sales person was out sick. I went back to the dealership on day 8. I went to the finance manager and explained what had taken place on Tuesday. He went and got the GSM who also said I shouldn’t have been treated that way and said he would get involved. But, they still would not abide by their written policy. I have kept all the text from my visit when I arrived on Tuesday. I even kept the picture of my odometer showing 208 miles when I pulled I. The lot. None of this has mattered. I spent 5.5 hours at the dealership yesterday (Jan 9th) selecting a new preowned vehicle which they were going to trade me out of mine, while costing me nearly $4,000 in lost value. I have health issues and didn’t want to argue and agreed to put more money down to help offset this loss. After selecting the car and driving it I decided to purchase it. I was going to give them the loss in a down payment (which is just disgusting when you think about it). Had the manager on Tuesday just abided by their 5 day policy I would not have had any additional loss in value. It was late and they sent me home in the car I selected and had me sign a rental agreement for the night.  He used some language like “de horse” or something like that. I agreed and finally headed home.  I arrived back at the dealership today to finish the paperwork, get some leather work touched up, and bumper damage fixed (which happened sometime between the time we returned with the car test driving it and going home.  The GSM even pulled video to see if he could find out who hit the car but said the cameras weren’t working at that point). I was shocked when the sales person returned with a sheet of paper showing my new payment at over twice the rate I was financed for on Dec 29th. It was ridiculous to think someone would pay that rate. More to come as this gets resolved. Stay tuned.",1.4
6,"October 10, 2017","This is going to be long but please read the entire review to see all the issues that I had!
So I will start from the beginning. No we did not buy the car from this dealership. Yes we bought our car used and because of this we DID purchase an extended warranty. I have work in the service department of a dealership and I know how much all dealerships hate the extended warranties. But for peace of mind since the car had already gone out of the regular warranty, I purchased it! 
With this being said, the car has been a great car, but living in Texas.....You have to have an AC that works! I was proactive and actually called the extended warranty company to make sure that all the right steps were taken so we did not waist anyone's time. So I called and scheduled an appointment for that Saturday. I pulled into this BMW of The Woodlands early on Saturday & the service writer that was there to help me. She told me that they would probably need to keep my car until the following week. I told her that that would be fine but I would defiantly need a car to drive because I would have to go to work on Monday. She told me that they were out of loaners at that time, but would call me as soon as one arrived. Saturday evening before they closed I called to see if a loaner had been returned. She told me yes and I could come & pick it up. (I had to call, she did not call me as she said she would! Like I said I have worked in the business so I understand getting busy & I realize I am not the only customer. So I let it slide!) I dropped my car off on Saturday August 5. I received a text stating my car was ready to be picked up on Thursday August 10 (could not get there until Monday) Then Friday I received another text stating that they need another day & asked me to pick it up Tuesday instead. I agreed. (Great they are really taking their time & going to get it fixed!) I picked it up on Tuesday August 15 about 6pm, it was already running so my AC was blowing cold!! I paid my deductible for the warranty! When I left I looked at the paper of what the technician wrote. Next to compressor ..... last resort (was written). Ok great they did not have to replace the compressor.
The next morning (Wednesday)I left my house at 7:30am. It took 8 minutes for my AC to blow cold air. I sent a message to the service writer to let her know. So she sent a message to the technician & then asked me to bring the car back in and assured me that I would have another loaner ready. I told her it would be later that day but I would defiantly be there. At 12:30 I was walking out of work to take my car and received a text message stating that they were out of loaners. She told me that I could ""technically"" leave my car but she did not have a loaner for me and did not have one scheduled to come back in until the following Monday! On Thursday at 9:30 in the morning I receive a message stating that there is a loaner that I can come get. So at lunch on August 17, I went and dropped my car off. On September 5, I receive a message stating that my car is ready to be picked up. (They had to change the ""last resort"" Compressor!) I went at 12:45 to pick it up. I received a message stating she was at lunch and ""And there's no balance because you already paid your deductible"". So I got my car and left! 
The following day at 8:38 in the morning, I receive a message, ""Hey can u please call me"", so I do! The conversation started out, I'm sorry but I need you to come in and pay another deductible.....I told her ABSOLUTLY NOT! She said that the extended warranty would not pay the deductible. I told her the issue was not fixed the 1st time, so that is there issue. She told me that they had to open another ticket because the first one was closed out. So this created another claim with the warranty company. (AGAIN, NOT MY PROBLEM. IT WAS NOT FIXED AND THEY SHOULD HAVE NEVER GIVEN ME THE CAR BACK!) 
Them that evening I get home and my door handle is broken! (My door handles you have to lift up to open the door! (Apparently that was not told to the people that worked there because they were pulling out!) I paid out of pocket to fix that! My husband was looking at the car 2 weeks ago because I am now loosing coolant and noticed that the reservoir is cracked and noticed one of the hoses were barely on, so he fixed it! 
This morning I am on my way to work the safety mode light comes on and my car dies in the middle of the intersection! My husband get there......ANOTHER HOSE HAD COME OFF AND IT WAS A SCREW THAT WAS LOOSE ON THE CLAMP!!!! Coincidence???? ABSOLUTLY NOT! They loosened things when they were fixing my AC and never tightened them back. I will NEVER step foot at this dealership and I would not recommend them to anyone!!! Drive to HOUSTON!!!!",1.0
7,"May 14, 2017","I recently purchased a 2007 Bentley GTC from BMW of the woodlands. Jarrett and Javier were the salesmen involved. I I've in another state and traveling was impossible due to my job demands. I had heard that you can buy a car online but I was very skeptical. Jarrett and Javier took the time and explained everything thing in detail, so I felt comfortable and took the chance. Bought the car site unseen, never touched,drove,heard how it sounded strictly by there word. When the car arrived it looked brand spanking new. I took it to my  mechanics and they looked at it  thoroughly and gave it 10 stars. Plus it was certified and still under some warranty Jarrett and Javier are the best!!!!  They are truly 10 star salesmen.",5.0
8,"March 31, 2017","Len King is the best salesperson around!  He cares about his customers and their needs, doesn't 'over-sell' and makes sure you get the car that is just right for you!  I can't thank him enough for helping us make the decision to move from another brand to BMW/",5.0
9,"December 31, 2016",It is true that BMW of the Woodlands is affiliated with AutoNation.  My sales agent Javier Castello was great. He let me test drive several pre-owned models on the lot and then worked with his counterparts in Dallas to deliver the perfect car before Christmas. They have a no haggle single price that seemed fair.  The closing process was seamless. I would recommend BMW of the Woodlands,5.0
