,Date,Reviews,Ratings
0,"February 12, 2020","2-12-20 I have owned a 2017 X3 for almost 3 years; I excepted it as a 'loaner' to their customers w/approx. 4300 miles.  Within 13,000k miles, the tires were worn enough to replace 3 of the 4. I am at 24000k miles now, and told yesterday, it is in need of another set of tires.  These are 'run flat' tires and the dealership claim, there are 20K - 25K tires...WHY are these tires wearing out so quick and they are NOT cheap to buy.  I refuse to buy a set to turn the car back to them.  Do the math... Also, I take it in for something ie: 24k mile service and because I refused approx. $700 mile check up  or a $600+ check up, nor a $135 check up; there is very little they will check. I explained the low coolant light came on; I was told ALL the fluids would be topped off.  I asked before leaving the dealership and was told 'all fluids were topped off.'   On my way home, the light came on again showing  low coolant; I text my BMW support person, no response; I called the phone number - no response. At 5:00am this morning, I had to ADD coolant - it was VERY low.  I would not buy nor lease another.",1.4
1,"January 25, 2020","This 1 star review is due to a complete lack of responsibility of the dealership to honor the delivery of a second key and owner's manual per the We Owe portion of our paperwork. After waiting the 1 month they said it would take to request and receive the key, I contacted the parts department and was told it was the sales representative's responsibility. 

Over the course of another month, I emailed, called, and left voice messages and received no reply. Finally, I called and explained the situation with another sales representative who admitted my representative was available. He forwarded my call, but again, no answer. I redialed, requested a sales manager to speak with and was forwarded to another voicemail -- this time a sales director. I left a message explaining the situation and within 15 minutes of hanging up, I received a call from my sales representative. Finally! 

I explain that I'm still waiting for my key and manual and ask for a status update, and they inform me that it was already mailed to me. I asked for more context -- via which carrier, when? The response was, paraphrased, ""It arrived to our parts department and was sent 3 weeks ago via UPS or USPS or something."" To their credit, they followed up with, ""I'll look into it and get back to you.""  

3 hours pass and of course there's no follow up. I called the parts department and explained the situation and they confirmed that the key had arrived and was received by the sales representative weeks ago. After a 20 minute hold to look into it, I was told the sales representative was currently working with a customer and there was nothing else the parts department representative could do. 

The dealership is now closed and despite speaking with a handful of employees today, I'm not any closer than I was a month ago to understanding when -- or if -- I'll receive what is owed by this dealership.   ",1.0
2,"December 18, 2019","I would not recommend this dealer to anyone. I called 4 days in advance to schedule my car for service but when I got there they did not have my name on the list and could not drop the car and get a loaner. This is very frustrating, tied of having to take the car out there at least once a month with different type of issues. They are not friendly and total waist of time.",1.4
3,"September 21, 2019","Autonation BMW of Dallas

Edited 09/24/2019
Check received on today, thanks to Mr. Huck Hibberd, the general manager.  When he realized on yesterday 09/23/2019 that we hadn’t received the refund on Saturday, he had it sent to us via overnight FedEx.  It was delivered around 9:30 this morning 09/24/2019.  We appreciate you Mr. Hibberd. BMW of Dallas need more people like you who take customer service seriously and keep their word. Unfortunately 5 stars because of Mr. Hibberd plus 1 star for previous experience equals 6 divided by 2 is 3 stars average. 

Posted 09/21/2019. 
They only treat you well when it benefits them. 65 days and no refund.  Would you let me drive your car off the lot and keep it for 65 days before buying it? No? Then why should we have to wait for our money?

My husband and I bought a BMW from them, but decided to trade it in. When we were thinking about purchasing and up until the deal was done, they were to eager to help. We were getting calls the week before. We got to the dealership late, but they stayed open for us to close the deal. They even took care of some things on the car for us the next morning.  We thought it was a great experience. 

So when we traded the vehicle and received our paid in full letter from the bank, we sent all of the proper and correct documentation to BMW of Dallas to receive a refund for the tire and wheel contract.  This was done via email and sent to the finance director.  Almost eight weeks later, we call to check on the status of the refund. Well, it took about a week and a half to finally talk to someone in finance. The original person we spoke with was transitioning to another department; therefore we had to start over. Guess who we end up communicating with?  Yep, the finance director and he acted like he didn’t know what the status was and was going to find out.  He even made comments like “We don’t want your money.”  Well, why did you sleep on our paperwork all of this time?

Okay, so he has someone to send us another document (the last document)to sign and saying this will get the refund processed. Document gets signed and sent back to the finance director and the person who sent the document.  Okay, 7 days later, I email the person to check the status of the refund. I’m thinking at this point it should have been expedited because they dropped the ball.  Well finance director emails that night and states “we’ve done everything on our end. The refund usually takes 60 days.”

So basically, we had to suffer because they messed up and didn’t feel it was urgent enough to be escalated or expedited.  After going back and forth on several emails with finance director and even sending one to the general manager, finance director says corporate has received our concerns and get a check out next week. 

We don’t care how it works normally, because this is not a normal situation. We didn’t purchase a vehicle from corporate and the 60 days were up last Monday, September 16th.  This is not the first time we have traded a vehicle and received a refund. Dealerships are able to cut the check on their level if necessary. Apparently this isn’t necessary enough to do that. 

Finance director says he is accepting accountability and once he gets the check in his hands, he will get me a Fedex tracking number.  He never once apologized about this until I threatened to post a bad review which we don’t usually do.  He basically said if I feel Ike I have to do that, then go ahead. 

So until we get our refund in our hands, I’m posting this review daily. ",1.7
4,"June 27, 2019","Arrived for 7:30 AM appointment and Service person “DONNA” decided she would do me a favor and help me because “Bill” is parking his truck.  

First, Donna didn’t provide a welcoming attitude, but one of it is early and I helping you out because Bill not at desk yet.

Second. Proceeded to discuss the nature of my visit but realize horn not working as well. Explained that to her.  Also, I asked what would be the wait time.
She replied a couple of hours at least.  I said can I get a loaner car and she said no, can get a shuttle ride.  I said, well my old service person normally will try to work out something etc.

I asked to speak to a manager and she leaves for a good minute and come back with a service manger.  The service manager stated into that my old service person didn’t do things right and they don’t have enough cars for customers that need them.  

Poorly transition of customers that developed a great reppore with someone they felt did do things right.

Laziness approach and didn’t provide great customer services based on the facts.

I did ask for a general manager twice and she didn’t right away attempt to provide any urgency.  

I went back to ask if he knew that I wanted to speak with him and she appeared to have a facial express of a....

Bottom line, told the general manger my concerns related to her and customer service. Asked to to pleeeese remove my paper work and her to pleeeese don’t attempt yo speak with me again.

AAAAH! Early morning “Get Out My Way”",1.4
5,"June 11, 2019","I’ve worked with Ryan C on 2 cars now, both BMW 340s. Ryan has been great in all interactions. He’s extremely knowledgeable about all things BMW, and goes above and beyond in his service. I had to return a separate rental vehicle during my purchase, and Ryan drove ~20 minutes to pick me up so I didn’t have to Uber back. Once the buying process started, I had a smooth and quick experience. If you’re buying from BMW of Dallas, you’ve got to use Ryan!",5.0
6,"May 23, 2019","DO NOT USE THIS SERVICE DEPARTMENT!

PLEASE READ BEFORE YOU CONSIDER TAKING YOUR CAR THERE!

BOTTOM LINE UP FRONT: THIS SERVICE DEPARTMENT TOOK ADVANTAGE OF MY GIRLFRIEND, AND TRIED TO DEFRAUD HER OUT OF NEARLY $4000 OF REPAIRS

My girlfriend drives a 2013 328i. A week ago, she got a drivetrain error so we took the vehicle in for service. Our service rep was Jason K.

The codes revealed we had a malfunctioning wastegate for the turbo. The BMW of Dallas service department quoted us a price of $976 for the replacement of the wastegate. ($600 part, $376 ((2 hrs.)) labor, those numbers will be important later) Thinking, ""Well I drive a BMW so this was going to be expensive"" she authorized the repairs.

Without getting more technical, the replacement wastegate revealed that we needed to replace the entire turbo system. The service department informed my girlfriend that the replacement turbo system would include a new wastegate, and therefore the previously purchased wastegate would not be required.

The quote was $3877 for turbo replacement. ($1960 parts, $1917 ((12 hrs.)) labor) A quick google search revealed that the average cost of replacing a turbo on a 2013 3-series should have been approx. $2000. Therefore, I called the dealership and halted repairs while I conducted more research.

Here is what I found:

OEM Turbo and the installation kits are MRSP for $1419 and $121.01 respectively and has a wholesale price is $1038.91. (Which some BMW parts department will offer you) There is a $900 dollar mark up on an $1100 worth of parts? Do you remember the $600 price tag on the wastegate from earlier? The actual MSRP for a wastegate is $303.81. (I found places to get it even cheaper, but I digress.)

Then there was the service labor issue. Google searches, discussions with 3 other authorized/certified BMW technicians, and a check in the All Data manual states that a turbo replacement in a 2013 BMW 3 series should be 6.6 total hours, not 12 as we were misquoted.

So let us do some math together. If labor at BMW of Dallas is $160 per hour, times 7 hours (I rounded up for the benefit of the doubt), total labor should have been calculated to be $1120, not $1917. Parts should have been, at most, $1540 not $1960, as we were misquoted. With a total estimate to be $2660 versus $3877.

However, what happened to the labor charge for the work they did on the wastegate previously? Just to make sure my argument is not shortchanging our ""friends"" at BMW of Dallas, I will add the labor charges I paid to the service department for the wastegate to my above quote. $2660 + $376 = $3036 versus $3877.  What is the $840 dollars leftover paying for?

Alternatively, they could have offered the whole sale price of $1038.91 for parts, and charged her the correct 6.6 hours of labor (like the manual says) for $1056, with a total cost $2094.91 versus $3877. In addition, waived the 2 hours of labor they wasted putting on the misdiagnosed part. However, they did not....

I asked them to put on the original wastegate. I paid them $500 of labor (We needed to pay them to take the new wastegate off and put the old one back on, even though that was not the issue, that’s fair.) I limped the car to another service department, and where we paid roughly $2100 for the turbo replacement. The service completed the same day. At $2600 total cost, it still came out cheaper and faster than BMW of Dallas could manage.

I understand when you take something to a certified BMW dealership you are paying for a higher level of expertise and expected higher level of quality. I expect to pay $160 an hour for labor as an example, however I do not expect to pay for nearly an 85% total mark up in labor hours and parts cost. This treatment is fraud and dishonest, and unworthy of my business. Isn’t capitalism great?

Do yourself a favor and go somewhere else...",1.4
7,"May 22, 2019","I purchased a vehicle from this dealership that turned out to be structurally unsound (via the mechanic I took it to after the fact), when I returned, within the 5 day reversal period allowed, they offered to ""fix it"", at no charge, which leads me to believe they knew the problem existed before selling it to me. Naturally I said no, that I still wanted to return it, easy, nbd right? Shouldn't have been, but since I used my own bank, for outside financing, 2 weeks later, when I noticed the loan still had not been paid off, I called and they said it was something I'd have to discuss with my bank. Low and behold, no it was not, because the funds dispersed to BMW had already been processed, and it should have been the responsibility of BMW to reverse it. Long story short, I now have interest due on a unsound vehicle that I drove for less than 5 days. Also, they gave me the run around about ""processing time"" when I addressed that they took too long to return the check, which took 2 days to fix the loan, once they actually sent it.",2.0
8,"April 08, 2019",I took my car in for a known issue. I was charged over a thousand dollars in labor the parts were $300.00. The advisor was not transparent. They stated they test drove my car to make sure it was repaired well it had the same mileage in and out. Sloppy work oil not cleaned up. A rip off on labor. I don't recommend them at all. They are all in on it.,1.0
9,"December 21, 2018",Operators no knowledge was told the manager didn’t work there any more I called and was told they made a mistake. Service department terrible the ladies in the office laugh play and are very unprofessional my service rep terrible communication worst place ever!,1.0
