,Date,Reviews,Ratings
0,"June 11, 2020",Thank you for the seevice rendered by Mr Perez (service advisor). Very helpfull and will definitely vist again BMW with all my needs-service was just great. Thank you,5.0
1,"June 05, 2020",Thank you for the wonderful service experience today with Alex. Once again she was superb. A true asset to the BMW team. She continues to track a potential recall remediation for my vehicle,5.0
2,"June 03, 2020",The service dept at bmw of El Paso Texas is great ! Alex and the whole staff always treat me with respect . Great cust-serv. Thanks ,5.0
3,"June 01, 2020",Great service. Advisor was very helpful explaining details about the service required. Place is very clean and safe for COVID 19 purposes. Very pleasant visit.,4.6
4,"June 01, 2020","I‘m a customer since Years and I made a lot of bad experience at this shop, but I never complained about it because I saw in the past that BME El Paso don’t change anything. But last week was the the peak of all, I was looking for a new X3M Comp. and got help with the Sevice Advicer Jonathan Rodriguez. He figured out a „OK“ deal but after I found out that I get this car way  cheaper in Phoenix AZ , I told this BMW El Paso so I received spam calls of them (10calls in 15min), and the worst I got Messages where they said „that’s cheating on us, we never had a chance, support local, usw.“ and treat me like a piece of xxxx, instead to make me a better offer. 
So a little tip from a customer: 
- don’t push people to buy
- make a better offer instead crying about that someone buy his car somewhere else 
- spam calls and texts don’t help in this Situation to change my mind specially if the text between the line saying „what a xxxxty customer I am„

PS: The Message I received came from someone else of BMW El Paso not the service advisor I talked to and named. ",1.0
5,"May 31, 2020","Karina is the best. Personable and professional. A wealth of experience too! She remembers you, your car, your preferences and how you want to be contacted. A true gem!",5.0
6,"May 27, 2020",Karina was so nice and informative. She was on top of her game and made us feel so comfortable. She notified us of any work that needed to be done other than what we initially went for. We love Karina. She was bomb.com,5.0
7,"May 24, 2020","Heidi promptly checked my vehicle in then gave me all necessary information & timeline for completing 3 recalls. Despite not being at work when my vehicle was ready, Heidi emailed me all my exiting paperwork & vehicle diagnosis. The dealership and amenities were impeccable during my time there. Jonathan a client advisor, aided with any inquiries professionally. Being from out of state you’ve raised the bar for my hometown BMW dealer! Thanks everyone!",5.0
8,"May 21, 2020","The service department is great
Very happy with their service
Every single time :) , they are very polite and always keep communicated through the process . Thanks ",5.0
9,"May 14, 2020",Purchased a vehicle online!  The experience was very professional and fast in finance and delivery.  Highly recommend both in person or for an online experience! ,4.6
10,"May 08, 2020",ATTENTION PEOPLE: Don’t buy used vehicles at this location. I just bough a used vehicle cash and had a mechanical issue I less than 48 hrs. Management refuse to repair because I didn’t had the extended warranty.  Don’t trust that they check used cars as they claim. This issue should of been found during “their  inspection “ and they didn’t want to repair free of charge. I know I bought a used car but I couldn’t have found this issue with the 20 min. test drive.  ,1.0
11,"January 21, 2020",Three phone calls within three days schedule a recall notice repair. Not one of the phone calls returned. I mean really!! Someone there care? Anyone home?,1.0
12,"September 26, 2019",Appreciate efforts of Mini of El Paso service staff Chris... Took care of check engine light issue and made sure I had transportation while car was in for service... great hospitality and follow up on his part for this service need. Dealership well represented by his efforts.,5.0
13,"September 19, 2019",Long story short I had a recall on my vehicle and was waiting for a call back from one of the advisors after calling back twice trying to get a status on scheduling I went back to the dealership in person to try and talk to the advisors face to face. I was told that I’d have to wait until the gentlemen who originally helped me got back from vacation to go any further!! Going back and forth they finally decided to see my car and it’s been terrible service since ,1.0
14,"August 30, 2019","Purchased a 2019 X7 in April 2019, it has already had 2 recalls, and the headlight went out. Took in to repair, now GPS does not work, WI FI never worked, Speed Limit does not work. Many things are not working once it came out of the shop from repair.  The Positive thing, Sergio Perez, the Service Advisor did a fantastic job. He is one of the best I have meet. He is professional, honest, true, and very genuine. Thank you Sergio.
As far as Technicians, they need to work on the skill sets. Fix and repair whats needed, and check to make sure everything is working. ",2.4
