,Date,Reviews,Ratings
0,"May 30, 2019","Easy, informative experience. Knowledgeable and able to answer all questions quickly and easily.   Test drive of the McLaren sold me. Friendly staff and very approachable. ",5.0
1,"October 25, 2017","I cannot wait to start driving my dream car !!! I have always wanted a lotus and finally, it happened thanks to Adriana she is wonderful!!!! and of course my wife(Monica). I recommend this dealership very clean and professional . thanks  again and we will see what's next ",5.0
2,"August 29, 2017",Chris Barta and the guys at Park Place Premiere were outstanding. They totally took care of my wife and I and went above my expectations. I would highly recommend them to any of my family and friends. Thanks again Park Place I am very happy.,5.0
3,"November 04, 2016","I owen 2012 Ghost ,just turned to 23k my vehicle been in shop for about three month , my injectors and head were told are bad , what's not acceptable that THEEEE Rolls Royce service dealer put me in small jaguar ,and i had to wait in line for that , now vehicle i paid large sum of money being in shop with just 23k and had intensive engin  work that disgusting , my vehicle was misdiagnosed by the dealer first time , rolls royce known by as first class service but it's  the opposite and disrespectful to rolls royce owners ,cadillac and other dealer will accommodate with better lonar vehicle than park place rolls royce,,   they're also another vehicle with same problem for over month i was told  , i was told that repair cost about $30,000 and warranty cover the cost but the fact that my warranty about to expire when i get my vehicle out , Park place had negligent delayed my repairs for my warranties about to expire, also is limited warrenty on the repairs were don because rolls royce warranty had  paid for the repairs ,it doesn't matter as work is don on  dealer, warranty should be in effect as any  warranty dealer give  to all costumers as  integrity work done on any other vehicle ,  fact is i can offered to drive  rolls but the integrity of rolls royce dealer to park my vehicle for about three months waiting for parts on 2012 year model  and rolls royce vehicle to break down at 23k that is gone and no trust , now bmw is Not extending the warranty my car for the 3 month lost  being  in shop that not unethical, would i ever purchase rolls after this NOOOOO way , Stay away from  Park place and this vehicle's its scam and  has many factory defaults as bmw takes over rolls royce in usa ,  ",1.8
4,"October 01, 2016","Buying a car ""out of state"" is always a daunting endeavor but Brian  Simmons was  fabulous - both during AND after the sale. Every promise was fulfilled and  every detail attended.    He even came to our hotel on our way out of town for a final electronics learning session.  After I got home he continued to be available by phone and email to address all our questions. I love our new Jaguar F-Pace and without any hesitation , I would call Brian and return to Park Place for my future car purchases.  Gary Cunningham",5.0
5,"September 26, 2016","Brian made sure I had a great experience buying the Jaguar F-Pace Prestige. He knew everything about the car, answered all my questions and was very prompt on answering my emails and calls.",5.0
6,"September 24, 2016","Chris Fines was a great representative of Park Place.  I am a 69 year old female who happens to love cars.  Chris was supportive of my chose to order the F Pace S because he knew that I understand enough about cars to make a wise choice.  The F Pace is the car most Jaguar lovers have wanted for a long time.  I have owned three Jaguars and two Porsche Cayenne and the F Pace is my favorite.  As another admirer has stated ""this is the most well balanced and beautiful sport utility I have ever seen"".  I think Jaguar's only mistake was waiting so long to make this vehicle.  Jaguar Lovers Rejoice!

Connie Watson",5.0
7,"September 01, 2016","Jay Bell was amazing to work with during the process and eventual vehicle leasing. I ordered a car, was constantly updated & very pleased with the entire experience. I continue the experience now that I have the vehicle. Who else does this? I certainly recommend Park Place and Jay to anyone considering these brilliant vehicles. ",4.8
8,"August 29, 2016",Jay Bell was the ultimate professional in helping me with my recent car purchase. Everything was delivered as promised. Highly recommend Jay and Park Place.!!!,5.0
9,"August 27, 2016",We purchased our new Jaguar from Park Place on Lemmon Ave in Dallas recently.  Chris Fine worked with my wife and me and made the experience as enjoyable as could be.  I would definitely recommend CHRIS to my friends.,5.0
10,"August 16, 2016","We worked with Jay Bell on the purchase of a new Jaguar XE, which we had custom ordered. Jay was friendly, responsive (even while on vacation!), and most importantly importantly very honest with us throughout the leasing process when going over and negotiating the numbers. He even offered to pick us up from the airport (we live a good distance away) on the day of our purchase, and he made sure everything was ready to go as soon as we walked in early that morning.

We had a minor cosmetic issue (not dealer's fault) with the vehicle that we noticed right after delivery, which Jay and the service department are working diligently on fixing this for us. Again, their service department is very responsive and friendly.

If I'm ever in the market for another Jaguar (or Bentley, Maserati, or McLaren for that matter :) I'll definitely be coming back to Jay and Park Place Dallas. I would also recommend Jay to friends and family without hesitation. Exceptional.",5.0
11,"July 29, 2016","I dealt with Brian Simmons during several purchases. Last on was Maserati. As always, Brian was very knowledgeable, helpful, patient, and organized! I would definitely recommend him.  
",5.0
12,"August 20, 2015",I live quite some distance away from a Bentley dealership. Ken arranged for me to drop off my car well before opening hours on my way to DFW and then handled all the work in a timely fashion.  My emails were answered quickly and courteously and were direct to the point.  I would highly recommend the service department for Bentley servicing.,5.0
