,Date,Reviews,Ratings
0,"March 11, 2020","Charged without my request 
Window etching - 599.00
Prot. Sealant - 478.00
3M tint - 1295.00
Dishonest and deceptive finance personal.
I’m 64 y/o and have brought several trucks, this was a Disgusting buying experience from very dishonest people.  I traveled 250 miles because they had the color I wanted, and I love this truck. 
The dealership called me several times a day before purchase, once purchased and I reviewed the buyers order and called them about the unknown charges, no call back for 4 days and not until I call GM for assistants .  once they called they could not explain the charges except for “it’s a high end truck”. Whatever that means..besides, why would they volunteer to spend money on a vehicle they haven’t sold yet.  The reason is they are dishonest, at least to me for whatever reason .  They kept telling me that they would “ take care of me” and I made the mistake of trusting them.  
I signed on the dotted line.. so that’s my bad, but shame on them for taking advantage of a customer that does not buy and sell cars everyday.  ",1.0
1,"February 25, 2020","Everyone was so friendly and went over and beyond to make sure that I was happy with my purchase. They even beat the financing through my credit union. I did not feel any pressure to purchase. They accommodated me in every way possible. They have been extremely helpful and understanding. Please go down and see Josh, Craig, Billy, and Carlos. My plans are to be a lifelong customer. Thank you for being so good to me. I cannot thank them enough for all of their help!",5.0
2,"January 21, 2019","Quite a long time ago I bought my first car here at 15 years old, about 8 years ago I bought my favorite pick up truck, yesterday my husband bought my first SUV which started with an email and then a phone conversation with Stevie, she was an absolute angel, she set me up with Pat my salesman, by the time we arrived both vehicles, I was interested in were waiting for me, I chose the one that needed one repair, well guess what it was fixed without any hassle, the Sales Manager Steve Cummings is an amazing man to work with, very honest and straight forward, once we all shook hands we went and did our financing with Miss Amy, what a delight she was very sweet and professional! They gave me a loaner for the night and scheduled me to pick up my new vehicle today at 1:00pm, which I almost fell in love with the loaner ;) From start to finish I have to say I would give them 10 stars 🌟 out of 10. Professionals all the way! They treat people like people not just a number or a dollar amount to their bottom line! What a great business that still believes in family first! Way to go team! I have been a lifer so far and yesterday proved I will stay with y’all forever! So to Stevie, Pat, Steve C. and Amy, thank you so much for an amazing experience!",5.0
3,"October 13, 2018","My salesman Monte Campbell was very helpful to me in picking out a new 2018 GMC Sierra. This is the 2nd time I have purchased directly from him because I can depend on his low-key approach to buying a new vehicle. He listens to what I have to say about my needs & reacts to help me without trying to push me toward other potential purchases. I bought from him in 2017 & again in 2018. I will continue to work with him on future purchase because I can rely on his cooperation before and after the sale. I was unable to take immediate possession of the new vehicle, so his manager (I believe his name was Brent?) allowed to return the next day using the truck I was trading in on the new one.  That allowed me to make the proper financial arrangements for closing the next day.  Steve handled the closing documents & was very efficient in making it happen in a very short time.",5.0
4,"September 20, 2018",I had such a good experience buying my new Sierra that I brought my wife back the next day and got her a new Enclave! Thanks again Amy!,5.0
5,"June 07, 2018","I have bought 2 vehicles from Gay GMC and will most likely buy my third one when the time comes.  From the Sales Team to the Service Team, all are TOP NOTCH!!",5.0
6,"April 02, 2018","Great customer service all around. I went in with a bad vibration and transmission problems. Spoke with the service manager about my issue and he said we’ll take of it. Everything else is history, great service!!!",5.0
7,"March 12, 2018","Friendly, fast, and professional.  Everything taken care off and got a free car was as a bonus after the work was completed.  Service advisor was on top of her game.",5.0
8,"November 08, 2017",Very thorough and Courteous!! Great dealership! I have always bought and serviced my vehicles with them! Always satisfied and if there was a problem it has been addressed and fixed,5.0
9,"May 05, 2017","Bart Dunn and Chris Easterling made the process so easy. Bart even drove the vehicle I was interested in to me to pick me up to come in and finish the paperwork. It was the best car buying experience ever. Whole process took two hours. Thank you Chris, Thank you Bart. You guys deserve a raise.",5.0
10,"March 10, 2017", Very professional and friendly people to deal with got our deal done in a timely matter very courtesy very clean atmosphere the people there just seem to get along so well and put us in what we want it ,5.0
11,"December 19, 2016","What can I say, all the other positive reviews that you read are all on point. I traveled from Dallas to come to this dealership since they were the only ones in a 500 mile radius that had the exact BMW that I wanted. My salesperson David Cummings was great and I very much appreciated his honesty. He provided all the photos and videos I asked for and answered all my questions, and believe me I had a ton of questions for him, probably over 10 emails in one day and all were answered almost immediately. The excellent customer service did not stop there, I traveled to Houston and was picked up by their porter named Cole. He was on time and very friendly. Once onsite I was literally in and out within 30 minutes. The finance manager Mike was another superstar. The team knew I was going to drive the car back to Dallas and was hoping to beat the traffic. Awesome team work by everyone to get everything done quickly. I have bought from high end dealerships for the last 10 years, and this experience has all of them beat. I recommended this place to all my friends that live in Houston. I love the car and loved my experience with this dealership!!",5.0
12,"July 24, 2016",Bought my truck from Gay as a first time customer. I was reffered to Eddie who was on vacation. Even though he was out he took the time to help me get the vehicle I wanted through team work with Ricahrd. They were both quick on price and quick with answers/service. They made the experience easy. I went to Beck and Maston who tried to scam me but that's another story. I would recommend these guys to anyone. I could tell they liked the dealership they worked for and that told me a lot.,5.0
13,"May 29, 2016",This was our first used car experience and Darren Dunn and the rest of the staff at Gay Buick GMC made it a pleasant experience. Thanks everyone,4.0
14,"May 24, 2016",Best car buying experience ever!! These guys made me feel like family and a friend. I will continue to use them for all my car needs. I will continue to use Gay Buick GMC for all my car needs.,5.0
15,"May 17, 2016","Brad was awesome, he asked what I wanted & pretty much found it to a ""T"" & worked to get the payment to what we were comfortable with, not just what we were approved at. The difference in service & care between Brad & the team at Gay GMC is night & day between what we experienced on the island; we tried to keep it on the island but just couldn't & are so glad we made the short drive up the road on the mainland. We are very happy with the Terrain & will return for future cars & refer friends & family there too.",5.0
16,"May 17, 2016","Great experince at Gay Buick GMC, from the salesmen to the managers.  Thanks for making our new car buying a great experience.  We will be back for our next car.",5.0
17,"May 15, 2016",The staff at Gay Buick GMC went over and above to help us reach a good deal. I would recommend this dealership to any one looking to buy a new or used car or truck,5.0
18,"May 12, 2016",Monte was very helpful and knowledgeable.  He provided excellent customer service.  He ensure me that I would not be at the dealership all day.  In the past I have spent seven hours + at a dealership.  Monte guided me through the process with ease.  Thanks Monte!,5.0
19,"May 10, 2016","I've always bought my cars from Gay, I mean for 30 years!! Great service Friendly atmosphere! Always willing to meet the needs I have.  Love the follow up!!",5.0
20,"May 07, 2016","Awesome Byron took great care of me.
I got a great deal a 2013 GMC SIERRA 1500 4X4 SLT I Love this truck
looks brand new im still trying to figure out how to work all of the options on this truck it has so many. 
Thanks again",5.0
21,"May 03, 2016","Family owned..It shows...From sales to the most expedited  finance paper work I have ever seen. I was in and out in 30 mins with the keys in hand. Impressed!!
Thanks Eddie and Clint.",5.0
22,"May 03, 2016",I like my new truck and my sales man Richard helped me get the deal I needed to buy the truck thanks for the help ,5.0
23,"May 01, 2016","I emailed Gay Buick that I was interested in one of their past-year, new vehicles. The sales person emailed me back with a quote that was $1400 higher than what was already listed on the internet! When I informed him of the internet price, he dropped the quote down to the internet price. When I informed him that there was at least a $2500 difference (increase) in his quote and a competing dealership's quote (taking into account the differences between the vehicles), he told me that he couldn't lose that much money and was not that desperate. The $2500 was 8% of the MSRP of $30,000.  He wouldn't drop the price a penny. I informed him that I was going to go with the competitor's vehicle even though I liked his better, due to the large price discrepancy. Six weeks later, he dropped the price $2000. So much for not being that desperate!",1.0
24,"April 23, 2016","I came into the dealership and came out a very satisfied person.  I had a 2011 GMC in mint condition and I only went to browse the new 2016 models, yea right!!!  I came out with a 2016 GMC crew cab fully loaded very satisfied. I am very happy and can't believe the great service I received at the facility.  Can't wait for another purchase in the future.
",5.0
25,"April 13, 2016","I can't say enough good things about Gay GMC. In 2012 I bought my 2012 Acadia, everyone was so helpful. When I returned 3 years later, they remembered me and I recognized most of them. It felt like family. They helped me find my new 2016 Acadia, which I LOVE! I'll be returning for years to come. Thanks Guys!",5.0
