,Date,Reviews,Ratings
0,"June 11, 2020","I live in Iowa and saw a truck on Chuck Nash's San Marcos website that caught my eye. They had several pictures on their website but no closeups (other than the interior). I talked to the salesperson and told them that I would be flying down to pick it up and driving 20+ hours home and asked if there were any mechanical issues or dents/dings that I should know about and they assured me it was in great shape other than a little repair on a seat. So I flew down to pick it up. They did have someone pick me up at the airport, which was nice. When I got to the dealership they showed me the truck and it appeared to be in good shape except for a black wet and sticky spot (the truck was black too) about 1/4 inch by 3 inches on the side of the back quarter panel. When I pointed it out to the salesperson they said they had a big storm blow through and it was just tree sap. I thought about having them wash it again but I wanted to get on the road and knew I would be washing it after I got home as it would be dirty from the drive -- BIG MISTAKE taking him at his word. it was very busy and their finance guy was backed up so I gave them a $45,000+ check and signed some papers and hit the road and they said they would mail me my paperwork. I got home the next day and washed the truck and the glob washed off to expose a big scratch in the back quarter panel that was into the gel coat. They had put touch-up paint on it before I got there and it hadn't dried yet. I sent a picture to my salesman (who told me it was tree sap the day before) and he said that he would talk to the used car sales manager. He then called me back and said that they discounted the price to account for that. I asked him why they tried to cover it up instead of pointing it out and explaining it to me. He said they subcontract their prep work and they must have done it (but it was still wet paint when i picked it up????). So I spent $45,000+ on a vehicle and another $945 to have the scratch repaired and quarter panel repainted. And they said there is nothing they would do to offset the cost. I AM NOT A SATISFIED CUSTOMER! I would caution anybody who is buying a vehicle from Chuck Nash Auto Group if you are from out of state. Have them send you closeup pictures of the exterior of the vehicle before you make plans to travel down and buy one from them. I learned a $945 lesson.",1.0
1,"April 10, 2020","Good scheduling options for service, Prompt attention when arriving. Advised of recall service (software).  Great performance on servicing Terrain.  Great pricing for work performed.  Excellent in all areas of performance.  ",5.0
2,"October 25, 2018","Just got back from another bad experience at Chuck Nash. Been trying to get my car fixed since April and every time it's a different person every time, but they same run-around.  Except last time I dealt with the xxx. customer service manager.  When my check engine light came on(again) I sent him an e-mail and heard nothing back.  I bring my car in 3 weeks later and he had no idea who I was or what was going on.  They just want my warranty to expire on the part so they don't have to replace it for free.  If you have anything wrong with your car DO NOT GO HERE!!",1.0
3,"October 25, 2018","I am very disappointed by the poor customer service received from Chuck Nash service department yesterday. The service rep was very unpleasant to work with, I know they are overwhelmed and overworked but I am your customer and I can choose to go any where else to get my car fixed but I choose Chuck Nash (for the last time). I was told I would be able to get a loaner since the repairs would take 3-4 days. When I arrived, I was informed there were no loaners available of course I was upset, the service rep told me he was going to double check and make sure there were none available. When he returned he told me “we have a loaner that we were holding for a customer that has been waiting for a week, but I guess we will give it to you”.  Really “you guess you will give it to me” I am going to pay Chuck Nash $2,500 to get my vehicle fixed and you “guess” I can use the loaner. The only reason I left my car there was because they had already started working on it. I have bought a couple of vehicles from them and Patrick from the sales team went above and beyond to get what we wanted. I have been pre-approved for my third vehicle but after yesterday I will not be purchasing from them again. The only reason I bought from them the last two times is because I have a family member that works for them. If they can treat me that way I can only imagine how others are being treated. ",1.0
4,"September 22, 2018",We paid $311 for them to charge ac. The receipt shows they tested it for leaks but next day no ac. When we called no one had a solution other than to pay more money to have it changed again! Looking for an honest mechanic currently. ,1.0
5,"March 14, 2018","Bought my 2nd vehicle here great service ,
 Very knowledgeable, Great atmosphere
I would recommend to a new buyer to come by, Very pleased with my purchase",5.0
6,"February 25, 2018",Communication was top notch. Calls to assure we where on the same page. Friendly service from all concerned. All questions answered with knowledge. Great experience.,4.8
7,"November 21, 2017","My 2009 Cadillac DTS broke down by chuck nash I had my car towed to chuck Nash for service they informed me they could not look at it that day but would look at it tomorrow. 95.00 fee for opening the hood. I had to get a rental car and that was another disaster since I live 6 hours away and had to get back home for a real estate closing the next morning. When I got the quote the next day for the repair I was told 780,00 for the transmission hose and fitting. Since I had recently just had the same repair to another Cadillac I own and paid 166 for it I decided to have the car towed back home and have it fixed locally. I paid the 95 fee and had the car towed back and fixed with my local mechanic for 140 since the only thing wrong was a. Clip had come off and just needed to be replaced along with the transmission fluid. Seems to me that chuck Nash was ripping me off and I just wanted other people to know before they get sucked into this. They took advantage of my situation since I was broke down and far from home thought I would just pay their ridiculous fee to repair my car",1.0
8,"June 05, 2017",Customer Service is hugely lacking.  Truck has been in and out of the shop more times than I can remember with no final resolution.  I would never recommend anyone to buy a vehicle here.,1.0
9,"May 21, 2017","Gil Pedraza, my salesman was again very courteous and accommodating.  He is an awesome sales person.  he is willing to help with any ones needs He let me know again if anything comes up that I have a question on just call him.  He will be glad to help.
",5.0
10,"May 12, 2017",Took car in for airbag light.  They decided on their own to check everything else on car.  Claimed it had a leaking master cylinder into booster pump.  Wanted $800 plus to fix it.  I opted to have a second opinion done with another mechanic.  No leak or problem found. Chuck Nash fabricated a problem to rip me off. ,1.8
11,"March 06, 2017","The tailgate on the truck I agreed to purchase had been stolen but they conveniently forgot tell me before I got there. They swapped the tailgate for one that was from a totally different truck. It also had a scratch on the paint and on the oval ...AND one logo was totally missing, and the camera wasn't working!!! After I questioned them, they still didn't tell me...offered $150 credit for paint! HUH?!!!",1.0
12,"February 20, 2017","I had a recall for the front passenger airbag on my truck. I stopped in on Tuesday morning, set up an appointment for it to be replaced Friday afternoon.

I arrived a few minutes early and went to the lobby to wait the 4 hours I was quoted for replacement when I set the appointment. an hour later the rep, Ms K Reyes came to get me because they were ""done"" with it.

I was excited it was so fast and made I commented this to Ms Karina R. she then tells me they would call me once the airbag came in so I could set up another appointment. I had to take a day off work for this, I don't get paid if I'm not at work. I now had to take a 2nd day off, also without pay. I told Karina Reyes that I was not happy. when I asked why the didn't have an airbag for me knowing that's what needed replaced, she had no answer. I asked to speak to her manager, who was on lunch break

I went home, called the dealership, asked to speak to service manager. he was ""unavailable"".  I left a voicemail asking him to contact me so we could discuss this.  it has now been 2 weeks and no one has called me back

I went to another dealership in the area. I explained what happened. they set up an appointment and when I made the appointment, they swapped the deadly airbag

I would never recommend Chuck Nash Chevy in San Marcos, tx for anything, sales nor repair ",1.3
13,"January 30, 2017","Made an appointment last week to get my transmission checked with customer care. Came in Thursday and got my silverado back today. Frank the service manager was able to get everything covered with warranty, and I got a free car wash. Highly recommend, very friendly and efficient. ",5.0
14,"August 30, 2016","I had a warranty issue with a 2016 GMC 3500HD Denali. They diagnosed, and of course didn't have the part required. Scheduled service for today 8/30/16. I arrived and confirmed they had the part, which of course they ""did"". After 2 hours and 15 minutes of waiting, I was just informed that they DID NOT have the part. Of course they've already dismantled my truck, and now I have to wait for them to put it back together. Is the service manager completely incompetent? Why would you tear apart a vehicle without first verifying the part was available. DONT GO TO CHUCK NASH FOR ANYTHING. ",1.8
15,"March 21, 2015","I recently bought a used truck from Chuck Nash in San Marcos on March 6th.  I drove from North Round Rock, and  I spent $30000 and about 8 hours on getting this Dodge 2500.  It is an absolutely beautiful truck.  So what's the problem?  It has a leak on the back windshield.  With all the rain we have had lately my back seat, and the storage well underneath fills up with water.  

I was informed by the salesman who sold me the truck, that I would need to bring it in, and they would give me a loaner.  So now I need to spend my time, and gas money to take care of an issue that should never been there in the 1st place when they sold me said $30000 truck.  I informed the salesman by text that they should send a driver with a loaner out to my place here in North Round Rock, swap trucks, fix my truck, and then return it to me when it's fixed.  

Folks please don't get me wrong I love my new truck, but put yourself in my shoes and I'm sure anyone who has bought a $30000 would be pretty livid.  As I type this, I'm taking my truck to the nearest Dodge dealership where I will most likely be vehicle-less for the day, and most likely have to rent a car for work on Monday, as I was informed by dodge service that even though it was under warranty, they probably wont get to it today because they usually only have the oil change folks in on Saturday.  This has not been the experience that I would expect from a major dealership selling me a $30000 truck.",1.8
16,"April 27, 2013","I traded my BMW Z3 in on a VW Jetta Sportwagen TDI on April 6, 2013. David Johnson was a pleasure to do business with.  Although they did not give me what KBB and NADA said  the BMW was worth on a trade in, I think the final deal was fair. The owner's manual was missing from the VW. David said he would contact the previous owner and/or get me one from VW. So far,  this has not happened and he has not returned my calls. Once you're out the door, I guess you may be S.O.L.; I'll update this if they actually deliver as promised.",4.3
17,"March 09, 2013","Aaron was awesome! We went in to buy a Cruze, turns out we couldnt get the one we wanted but Aaron found us one that we could afford. His style was really laid back and never put any pressure on us. This made it really easy for us to make decisions and we felt comfortable the whole time. ",4.8
18,"December 18, 2012","Rick was awesome and easy to talk too. He was not pushy and I will buy a vehicle from someone faster if they are not pushy and let me take my time in making a decsion on a big investment. He was very helpful with any questions that I had and he kept the lines of communication open. He called to update me on the status as the transition was occuring. He also seems to make himself readily available after the purchase which I feel is highly important. Most sales reps that I have dealt with, don't seem to care after they have made the sale. Rick seems to be different as he always returns my calls whenever I make an attempt to contact him. He has done an excellent job in taking care of my new car needs and would I highly recommend him to anyone!
Thanks Rick!",4.8
19,"November 05, 2012",Dallas Bedell was very friendly and informative when we asked questions about the GMC Terrian and Acadia we were looking at purchasing. It was a tough choice to make but once we saw the GMC Terrain Denali it was hands down from there. We fell in love with it and purchased it. End of story.,4.8
20,"October 30, 2012","I purchased a used car from this dealership.  It was advertised as being in great shape, and the price was just about exactly what Kelly Blue Book said was a correct retail price for that car, that age, that mileage.  It was only a year old, and the price reflected ""excellent"" condition - i.e. no body damage, complete service records, etc.  When we got to the dealership (a fairly long drive) it turned out that the car had some dents and badly scratched paint on one side, that had been the subject of a poor repair job.  Not knowing better (not being a car guy), I assumed it would be a couple of hundred to fix, and got that as a discount.  Turns out it is $1,300.00.  I'm pretty sure that they, _being a car dealer_ would have known something like this.  So, I think I got hosed on the price.  

But wait, there's more!  Looking in the spare wheel well on the car, after getting it home of course, I find bits of broken safety glass.  That leads to an inspection of the windows and it turns out that the rear window is a different brand of glass than the rest of them (which were factory).  So now, I know that something happened to this car which involved breaking the rear window out.  My view is that if I found broken glass and then figured out about the window, then the dealer would have found broken glass and figured out about the window.  It was not disclosed.   

After two emails complaining, I got a call back.  The second one threatened to go to the Better Business Bureau, so it seems they only respond to threats.  Of course, when I was exchanging emails about buying the car in the first place, I would get responses immediately.  No surprise, really, but still disappointing.

In any case, I was given the ""we sold it 'as is'"" line.  Of course, that's true, but they probably sell every used car ""as is"".    

So, bottom line is that I believe they are happy to take advantage of their customers, sell their used cars for too much and laugh all the way to the bank about it.  Then, when the customer is mad about it, they'll only get back to you if you threaten to take more serious action about it.  

I would not shop there again, and I would tell anyone else considering shopping there to avoid this dealership.",2.3
21,"October 16, 2012",Mark was pleasant and handled sale great.  I wasn't looking ot buy at that time but he sold me anyway.  It was a pleasure dealing with him.,4.8
22,"September 19, 2012","It was a ""no pressure"" experience.  I told Rick what I was looking for and he showed me all of my options. He was friendly, made sure we understood what our options were and made sure we got the correct vehicle at the right price.  It is the best experience that I have ever had at a dealership. 

Johnnie was very pleasant and explained in detail what we were signing and the costs of purchasing the vehicle. He made the experience very pleasant.",5.0
