,Date,Reviews,Ratings
0,"September 06, 2019",I recently purchased a truck from here and they were supposed to call me to fix the tire sensors even though the salesman wrote down on the contract and still today no call and no answer also they were supposed to call me to see if I was approved by other banks since I got the truck on Labor Day and I keep calling Ricardo Garza  in finance and no answer or call back ,1.0
1,"August 08, 2019","I had my trucks transmission serviced by them besides the fact that truck sat there 6 weeks no one could ever return calls when i would call truck came out missing bolts on headlight grill was damaged had scratches that were not there, grease on steering wheel grease on keys finger prints everywhere. 

Tried reaching out too them and could never get a call back as usual. 
Please don't waist you're time with these people have made this issue a night made and a terrible experience. Given Beck n masten a bad name. 
Im sure Mr. Beck would hate too hear how y'all cant manage too return calls or clean vehicles up when finished.  ",1.2
2,"May 02, 2019",My husband was having his vehicle worked on and I went to pick the truck up after the work was completed. The man who I dealt with made inappropriate comments and made physical advances toward me that were not WELCOME!! I will never come here again! I drove away that day disgusted and needing to take a shower after dealing with that xxxxxxxx.  ,1.0
3,"April 11, 2019","Sent an inquiry in on a new GMC truck on 4/1 Monday night/Tuesday morning. Received generic email back from Emerly. I Responded to email with a question at 9:30 am on Tuesday. (Never got a response). Called in to the store and asked for Emerly , ended up leaving a message on vm. around 11am.( No call back or email response.) Called back in around 4pm asked for Emerly and it went to vm ,so this time I didn’t leave a message and went back to the operator. I asked for another internet mgr  who was not Emerly and was sent to service (I think). I got back to operator and let her know that she had sent me to service,  and asked the operator to get me to an internet manager but not Emerly this time, (she sent me back to Emerly’s voicemail.) I got back to operator and asked if I could get a manager and she immediately hung up on me.  
So I Got on to chat through their website, they were polite when I was explaining that i hadnt been contacted back and just wanted to know the answer to a question about dealer ad ons. But she couldn’t answer question and said they would bring my concerns to a manager, since i had not gotten any responses, and have them call me. (Never got a call or email from ANYONE ) Wednesday I Got on chat again later (AROUND 10 am) and chat representative said they see my previous conversation and don’t know why I haven’t received a contact back from a manager and would bring this to the attention personally. (I never got a response from ANYONE) I tried again on Friday using the chat to get the GM’s email address but the representative would not give me the email address,  but promised to get a manager involved. (I was shocked I could not get a contact email to the GM.) A couple days later I did get an email that was an automatic follow up set up in the CRM and I did respond to that - they said they ""would get a manager to call ""  (IT HAS BEEN TWO WEEKS AND  I STILL HAVE NOT RECEIVED ANY CONTACT).
I do not know what else I could have done to possibly purchase a vehicle from this dealership. Completely piss poor. 
",1.0
4,"March 04, 2019",A big thank you to the service department for installing my bedliner and helping me with my floor mats. Waiting time is minimal and the guys are just do a great job thanks again.,5.0
5,"January 11, 2019","Rosie Hernandez, very poor customer service, no knowledge ,facts, information, and skills acquired by a person through her experience of work. She took almost a whole week to get back with me about my car. Then lost my keys to my car an wanted to charge me money when I had warranty. When I should have had a renter car they did not give me one. My car has been in the shop 3 times already in less then 2 months. From a 0-10 I would rate it a -0 from my experience.",1.0
6,"January 10, 2019","Carlos Murillo did a excellent job helping my Father and I find the right vehicle for us. He deserves 5 stars across the board. He answered every question we had and gave us useful information when it came down making our decision. My father and I ended up buying 2 gmc serria trucks. We are very happy with our purchases.

Now the Finance department is another story. Mohammed Qureshi was the Financer who did my fathers finance paperwork. He was very unprofessional and rude. At first he wouldnt let my dad put his down payment down. He tried to tell us my dad would have to finance the whole loan, and if he didnt his interest rate would be higher than 8%. 8% is already high for someone who has good credit. After arguing with Mohammed qureshi he finally talked to the manager of the finance department and the manager said it was ok to put the down payment down and that the interest rate would still be 8%. After that was settled, Mohammed qureshi attitude towards us then changed and he became very rude and didnt explain any of the paperwork he wanted my dad to sign. I had to step in and explain every peice of paper he put in front of my dad. When it came to signing the paper Mohammed qureshi would then try to pull the paper away from my dad while he was signing. I then had to lay my hand on the paper while my dad was signing that way Mohammed qureshi coildnt pull it away before he was done signing. Not to mention when putting the paper in front of my dad he slide it in front of him aggressively. After all paperwork was done, Mohammed qureshi didnt even shake my dads hand or address him. For two people buying 2 new trucks at the same time you would think Mohammed qureshi would be a little more nicer. I would not reccomend Mohammed qureshi, he is unprofessional and rude. ",3.0
7,"November 01, 2018","I started a deal with Kelsey Garland and Chris Dominguez on Monday the 29th, I had spoken to Kelsey over the weekend about what I was looking for and had given her my information and the details about my trade in. I had texted Kelsey prior to leaving my house on Monday (which I live an hour away from the dealership) I told her I was on my way and it would take me an hour to get there. I got there shortly after 12 and she wasn't there and had gone to lunch and I waited 45 minutes for her to return. When we started working the deal the price of the truck I was looking at went up 2,000 dollars than it was listed online for, it was explained to me that because I didn't have a current lease I lost 2,000 in rebates. They never took a dollar of their price of the truck I was interested in.  So I had them see what kind of interest rate I could get through them to find out my payments.  At that point I was told because I was a full time student that I couldn't be on the loan and my co-signer would be the only one on the loan. I told them I wouldn't buy the truck if I couldn't be on the loan, shockingly minutes later they called the bank and magically I was able to be on the loan with my co-signer.  While that was going on I called the General Manager at the Ford store that I used to sale cars from and asked him about this new law that supposedly was passed not allowing people with no income being able to be on the loan, he told me he had never heard of such a law existing.  I had asked for the keys to my personal vehicle back multiple times and they wouldn't give them back to me, and all I wanted to do was sit in my truck and charge my phone during my 5 hour wait time that accomplished nothing.  I ended up going home with my truck.  I called the next day to get a buyers order so I can go get my own financing from my bank.  I didn't receive the buyers order until that afternoon well after banks had closed for the day. On October 31th I had started the process to get my loan completed, but the bank was having problems with their servers and couldn't process the loan that day. November 1st I had gotten my loan done and signed everything with them and had gotten the check to purchase the truck from Beck and Masten I called Chris Dominguez and told him I was on my way to get the truck, he told me the price had changed because it was a new month. Needless to say I didn't not buy the truck from this dealership nor will I ever recommend this place to anyone or recommend either one of the sales representatives Kelsey Garland or Chris Dominguez. I was treated so unprofessionally it's unreal.  

 I'm 32 years old and have owned over 30 vehicles and this is by far the worst experience I have ever had.  I have also reported the company to the Better Business Bureau for failing to uphold their end of the deal. ",1.0
8,"October 10, 2018",I drove all the way from San Antonio to Houston to buy my 2018 Traverse and was really amazed with the excellent service I received at Beck and Masten South .Especially from Rafael! Very professional and helpful. He's a salesman that does not pressure you at all and  always looking out for you. Would definitely recommend him!,4.8
9,"September 24, 2018",Don't make and appointment! It's useless!! Unprofessional ladies working at front desk. I wish Rose was still working there but I guess she had to move on as well.,1.4
10,"September 17, 2018",Hands down the best experience buying a vehicle we have ever had. Great price and super friendly service after the sale. Don't even think about buying from anyone else. ,5.0
11,"September 17, 2018", Very excellent service I went in for one vehicle for myself and left with two vehicles one for me and my wife excellent service visit and ask for Rafael,5.0
12,"July 11, 2018","GREAT DIRECTION, STRAIGHT FORWARD AND KNOWLEDGABLE ABOUT REPAIRS. I ENJOY EVERY SERVICE I HAVE WITH HER HELP. SHE ALWAYS HAS MY BEST INTEREST AND LISTENS TO MY CONCERNS COMPLETELY. ",5.0
13,"July 10, 2018","Franny is Great! Goes to great lengths to please customer; exhibits excellence in establishing trust in her capabilities.
Service Manager exhibited INSIGHT RE my preferences. That's extraordinary for GOOD REASON: UNCOMMON.",4.2
14,"June 25, 2018","After a bad experience at another dealership, we were gun shy and reluctant to move forward with another dealership experience. We were so grateful for Rafael’s professionalism and knowledge as he assisted in helping us buy our first truck. He made us feel like VIP buyers and his honesty and transparency was so appreciated. We are sending our daughter and her fiancé to Rafael.... we are confident he’ll take care of them in their search for a vehicle. ",4.8
15,"June 22, 2018","From the very beginning through text, and telephone conversation, to meeting, and ultimately making the decision to purchase. Our experience was top notch, and our salesman, Raphael, was nothing but helpful. Answering any question we may have had, and giving us some insight about himself on a personal level, we were made to feel comfortable from the second we stepped onto the lot. We highly recommend this dealership, and furthermore highly recommend Raphael as a salesman who is 100% honest, and helpful. ",5.0
16,"June 10, 2018","It was an easy and fast purchase. Rafael is the best auto sales men! He was very patient with me, super honest, and the most important very helpful. I would totally come back to see him for a next car purchase! Thanks Rafael you’re the best. ",5.0
17,"May 28, 2018","Was Generous, knowledgeable and responsive to all of my needs from the time I entered the dealer to the time I exited. Thanks  especially to Melissa for her services.",5.0
18,"May 28, 2018","Rafael was very professional and helpful and always returned my text messages. I bombarded with messages for a week going back and forth, and not once did he fail to response.  The ultimate reason why we chose to buy the car from him.   

Very happy customer.  
Alex C",5.0
19,"May 11, 2018","Rafael, my car salesman was awesome about showing me the car I was inquiring about and had it ready and available for my test drive when I arrived. Jorge Gomez, the manager, was great about negotiating the price and taking my trade in.  My finance guy, Mohammed Quershi, also a great guy, making it possible for me to finance my Camaro 2ss.  He really cared about helping and finding the best finance company for me. These 3 gentlemen gave the best customer service i ever had when buying a vehicle.  Thank you!!!",5.0
20,"April 26, 2018","Frany and Melissa were very nice and professional.
I took my 3 month baby and Fabian helped me carry stroller, very nice. Fabian has great customer service skills. 
 Great customer service and waiting area real nice. I would recommended Beck & Masten on gulf freeway.
Thanks everyone for making my oil change so easy and quick.",5.0
21,"April 25, 2018","
Rafael, is a great salesman that I would highly recommend to go visit for your next vehicle purchase. He negotiates your price to the top price you want to pay He didn’t not lie about the car I bought from him ",5.0
22,"April 25, 2018",Rafael was extremely helpful & knowledgeable when it came to finding a good car with the features I wanted. He went out of his way to make sure everyone along the journey was satisfied. ,5.0
23,"April 05, 2018","Rafael, is a great salesman that I would highly recommend to go visit for your next vehicle purchase. He didn’t have to pitch lies to seal the deal, everything that he promised he honored. ",5.0
24,"March 27, 2018","The reason for my visit today was for my oil change and check engine light. 
I have visited this location on three previous ocassions and my service was not great. I came in today and was introduced to Gabby and I explained that I needed an oil change and has experienced my check engine light coming on and off. Gabby asked if I had an extended warranty and I told her I was not sure. She informed me that I did not and that she had other options available. I told her that I have mentioned in the past visits that I had concerns about my newly purchased vehicle but was blown off. Gabby gave me the attention that a service provider should provide while visiting the service department of a car dealership. Her service was amazing, she went above a d beyond and because of that I will be coming back to purchase the Platinum extended warranty. Thank You Gabby. 

Beck and Masten please recognize her because before this visit your rating was a  1!!!!",5.0
25,"March 14, 2018",Great dealership.....strongly recommend them. They were very helpful in helping me purchase my extended warranty for my 2016 Yukon . Karla was super friendly and the service is amazing.,5.0
26,"March 13, 2018",Raphael was a very great sales rep. We came to Beck and Masten because we seen a Honda on line. He told us he would have the car on his lot in 40 minutesand he delivered. Within hours he had closed the deal and everything went super smooth. Thank you Raphael our experience was great!,5.0
27,"February 28, 2018","Purchased a 2015 Buick Regal with help from Rafael. He’s honest and willing to go the extra mile for his customers. He made sure the car was thoroughly detailed and even added a few bells and whistles. The staff there is friendly, professional and polite. Can’t go wrong purchasing a used vehicle from here. The prices will draw you in but, the staff make buying simple and not stressful. No buyers remorse here! Do yourself a favor and get down there now!!",5.0
28,"February 26, 2018",Me n my family went to 4 different dealerships prior to going to beck n masten. All 4 of those experiences were awful and discouraging. We have always passed by beck n master and loved the inventory we seen. We decided to go and just try and see what happens. We pulled in and not even 10 yards within the driveway there was Rafael (our sales rep) waiting to help us on a golf cart. We weren't sure if we would qualify or not. Rafael went above and beyond to help us. He let us know our different options and what would be best for us. He made us feel like we were part of the beck n masten family. I would also like to extend a big thank you Carlos Contreras (financial manager) for helping us close the best deal for us. Beck n masten is truly the best. I would definitely recommend everyone to go. Thank you so much from me and my family. ,5.0
29,"February 22, 2018",I came in and out ! The girls there are super nice and great customer service ! They were really helpful and friendly. I recommend everyone to come by ,5.0
30,"February 21, 2018","This was an amazing first visit to this dealership.  Not only was the facility spotless clean, the staff was absolutely fantastic!  Everyone.  Everyone was helpful and friendly and always had a smile on their face.  I must say Ilse and Melissa both made my day with the excellent service they provided.  And the service guys get your vehicle IN and OUT in no time.  I will surly be bringing my Truck back to this location!!  

Great job Beck & Masten South     ",5.0
31,"February 19, 2018","I keep returning to this particular dealership because they treat you like family. I would like to thank Beck & masten for having great professionals working for them, especially Gaby. Gaby has been working with me since the first day that I took my truck for a simple oil change. The recommendations are great and the service are on point. I recommend anyone with a vehicle to come and get taken care of like a family member. Price wise, well they help you with everything they can to save you money.
Thank you!",5.0
32,"February 16, 2018",Purchased extended warranty from Karla. Joshlyn processed payment. Gaby took vehicle in for service. Excellent service. Facility was clean and staff was professional. Will visit again ,5.0
33,"February 15, 2018",A very comfortable place to wait for oil changes or any car sevice to get done at good pdople really recomend for future car buyers,5.0
34,"February 12, 2018","Good service.  friendly, was in and out fast.  price was good.  workers were helpful.  my second care at this dealer ship.  will come back again",5.0
