,Date,Reviews,Ratings
0,"June 12, 2020",Robert Hernandez was very professional and polite. Great salesman. He went out of his way to accommodate our needs and explained all the features of the vehicle which gave us peace of mind to purchase this car for our daughter. Thank you. ,5.0
1,"April 21, 2020",Fast and easy car purchase Robert was great. This will be my place for vehicle purchases in the future. My wife is happy in her new edge.,5.0
2,"April 09, 2020","Great sales team and management! This is our second vehicle from Ron Carter and both transactions were easy, professional, and pleasing. David Froeschl is always a pleasure to work with! ",5.0
3,"March 10, 2020","Louis Whitecotton, works until he finds the vehicle that you are looking for, I recommend to all of my friends and associates, I would highly recommend him to help anyone when looking for a vehicle.",5.0
4,"February 28, 2020","Excellent customer service. Thank you Sammy for getting us a great deal! After my husband lost his car in an accident, Sammy took great care of us. ",5.0
5,"February 22, 2020","I would like to say Thank you to Taylor for all her help in getting my Buick Encore running like a champion! It was a lot of work on her part and my tears 😢, but she got it done 👏🏻👏🏻👏🏻
I thank the service department for everything and look forward to continued service as needed. ",5.0
6,"February 14, 2020",Very friendly and helpful with a great attitude wonderful customer service helped me find exactly what I needed in a timely fashion was great doing business with,5.0
7,"February 14, 2020",Anna Kalil Was a big help when we needed service and bought a part at your location she was kind and courteous and very helpful,5.0
8,"February 13, 2020",Sammy Jimenez was great!  He listened to our needs and gave us great options for our purchase.  Sammy made the entire family happy. Thanks Sammy. ,5.0
9,"February 13, 2020",I would like to give a shoutout to Anna Kalil in service!! She answered all my service questions. Very knowledgeable and I loved her attitude! ,5.0
10,"January 29, 2020","We were in and out so we could enjoy our new car. Very friendly people. Thank you Robert Hernandez. & Kenneth Collins, for your help. I will recommend your services.",5.0
11,"January 20, 2020",Great sales person and ease of paperwork. Really a “no battle “ transaction wit straightforward pricing. Next day follow up and took care of the small issues.,5.0
12,"January 13, 2020","not even worth 1 star.because of Ron Carter has higher rates i ve droven 24 miles to go there for my truck 30k service, jerking ,  wind sound and battery issues.funny thing when i enter the advisor location feel like entered to club or bar because of alcohol smell.my truck at 27k miles and i have 100k 7 years extended and  premium care warranties.waited like 4 hours and result only oil changed and battery replacement.Advisor lady named JONI WOODDALL far far far way to be advisor ,and she s great player.when i asked her did they fix my truck jerking issue she told me not under warranty which is actually under power train warranty 5 years 100k miles beside my bumper to bumper extended warranty when i ask her did they check transmission and differential oil no response and wind sound not fixed .and when i asked her the list of what they ve done  got a nervous face and no answer .thats really sad getting appointment 3 days ago going there and just got oil change but nothing fix.this is not their fault this is Ford fault because doesnt pay attention to complaints and warning dealers so keep loosing customers.there is no more FORD and no more extended warranty bull#$t while they selling us and make us pay around 5k $(added to 72 months payments) for extended warranty they telling cover everything not tire when u need service for your vehicle  dealers just ignoring and keep asking extra money to fix,So 4 hours wait result truck jerking ,wind sound,very soft wheel after 25 mph speed, checking transmission ,differential  oils not checked.again stay away from this dealer and find yourself a good mechanic but not in dealer .Dealers supposed to give quality service than other mechanics that is why they charged more but they re worse than other mechanics.",1.0
13,"December 30, 2019","I will send people to y’all. I have bought from y’all and from Ron Carter Cadillac.
I enjoy using the service department at Ron carter",5.0
14,"December 28, 2019","Excellent sales service. No pressure and met my requirements. Showed me exactly what I wanted to see, and made the process painless. Finance and processing remarkable. ",5.0
15,"December 16, 2019","I have purchased three vehicles from Ron Carter in the past two decades. The sales and marketing personnel were courteous, helpful and friendly. I would refer to these individuals. ",4.8
16,"November 27, 2019",Our salesperson James Tillman was a pleasure to work with.  He was not aggressive and really took his time to find us the right vehicle and the best deal.  We are definitely fans of Ron Carter Ford and look forward to buying from them again!,5.0
17,"November 26, 2019",James Tillman was our salesmen and we got the best service. We bought a truck from him when he was at another dealership.  So when we found out he was no longer there we searched for him and found him at Ron Carter. And again we got great service from him. No pressure just good honest services. Would highly recommend him to anyone looking to buy. ,5.0
18,"November 26, 2019","We had purchased an F150 from James previously when he worked at McRee and was sad to learn that he was no longer at the dealership.  Through some searches on the internet and then verification that was at Ron Carter we headed over and met up with our favorite salesman.  He was so patient with us as we tried to decide what model and then what color vehicle we wanted.  No hassle, got what we wanted on our trade and the new vehicle we wanted with all the options.  Couldn't be more pleased with our experience.  Thanks James!",5.0
19,"November 26, 2019",It took them two trys and the second time after keeping the truck for two weeks and not working on it i had to just go get it. they do not return a call they do not answer the phone. the managers there dont care if you have a problem or not. I had rain water leaking in the truck and they were supposed to pull the carpet up and fix the leak. Not sure any of that happened. they the only excuse they could give me for the 3 hour job taking 3 weeks was they were short handed and the mechanic mashed his hand with a hammer.  i had an appointment and took the truck in when they asked but they count tell me why they didnt have time to work on it. ,1.0
20,"November 10, 2019","James was great to work with.  Answered all of our questions.  Would recommend to anyone use Ron Cater Ford. Ron, Sales Manager was very helpful.",5.0
21,"October 20, 2019",Provided easy and excellent service. Once again James Tillman did an excellent job for us. The truck I wanted wasn't at their dealership so they brought it in from another very quickly.,5.0
22,"October 19, 2019","I had been looking for a new Ford F150, I had done my homework and narrowed down the Dealership's to three, Ron Carter was rated number 1 on my list of Dealerships to visit. So I worked my way from the bottom of the list from number 3 to number 1, I did visit other dealership and had out the door prices on the F150's I was looking at. 

I walked into Ron Carter Ford, and was meet by Louis Whitecotton, I explained what I was looking for and Louis went right to work. and within less then an hour I had the price I was looking for. The price I got from Ron Carter Ford made me wander how the other two Dealerships keep in business.

All in All, In the 40 years of me buying new cars, Louis and the Ron Carter Ford Dealership is one of the best Dealerships I have EVER worked with. Two thumbs up.  ",5.0
23,"September 29, 2019","We had been researching a Ford truck purchase for some time and had ended up with a CarPro dealer due to their radio show and the thought that we were getting the best deal.  Just prior to purchase we decided to contact Ron Carter Alvin to see their prices since we purchased a Toyota several years prior and had also been working with Dub for another auto purchase.  Turns out that the Ron Carter price beat the CarPro dealer price first try with no haggling and our experience with Ron Carter was excellent from start to finish.  Listening to the CarPro radio show I never thought that would be possible but this is true and I never provided what the CarPro price was.  We worked with Dub who's office is at the Ron Carter Alvin Chevy dealership BUT sells ALL Ron Carter automobiles.  Dub was outstanding, zero pressure, always delivered on what was promised, and made our experience wonderful.  We will definitely purchase from Ron Carter Alvin again!!",5.0
24,"September 21, 2019","I would highly recommend Ron Carter Auto.  Our salesman, Sammy Jimenez was the absolute best.  Knowledgeable, friendly, great salesman.  Great experience all the way around.  ",5.0
25,"September 04, 2019",I had a great experience at Ron Carter RAM in Alvin. Barbara was very helpful and courteous. Very professional. My repair and oil change went very smoothly and I was happy with the outcome. I highly recommend their service.,5.0
26,"September 01, 2019","Leon Lundy was friendly, knowledgeable, treated us like family. Not pushy at all.  Made the normally uncomfortable car buying experience a true pleasure.

Thanks Leon!",5.0
27,"August 29, 2019","Misa meet me on the front steps as I arrived at the dealership. He was very helpful and extremely knowledgeable about the specifications of vehicles that would meet my needs for a flat towable vehicle. Identified inventory and quickly brought the Jeep to the front. Introduced me to the vehicle masterfully explaining key features. Excellent salesperson! 

Mark in finance got an outstanding interest rate to seal the deal!",5.0
28,"August 19, 2019","Brought my 2018 F150 in to fix a leak in the windshield and a horn that quit working. Mark in the service department did a fine job keeping me informed on my trucks progress. Very pleased with the workmanship.
Thanks",5.0
29,"August 10, 2019","Car on their web site went by looked and bought salesman met us before we stopped our car and greeted us, with what can I help you with today ",5.0
30,"August 05, 2019",Ron Carter Ford makes the process quick and hassle free  From the salesman to finance everyone is helpful and professional ! Friendly atmosphere makes it fun to buy a car!,4.7
31,"August 04, 2019","My Wife and I had a great buying experience at Ron Carter. Eric assisted us and made certain to answer our questions. We did not feel pressured and he treat us with the utmost respect. I would also like to that Eric’s boss who is professional and courteous. 

Thank you 
Raymond Najera. ",4.8
32,"July 23, 2019","I’ve been needing to shop for a vehicle for a long time, but generally speaking, the process can be long and tedious. The folks at Ron Carter were awesome!! They were helpful, insightful, and respectful with my concerns and wanting to get a good deal. 
This was the best car buying experience I’ve ever had!!
I’ll definitely buy my next vehicle at Ron Carter!!",5.0
33,"July 18, 2019","Sold me a vehicle that blew up in 3 k miles  also sold a false warranty that was declined by the warranty company  these people are crooks and liars I will never do business with these idiots again and if your smart stay away from here they will lie and leave you with empty promises just to sell a vehicle also had me come back to there stealership and go get an off site inspection for my vehicle I bought from them which was a false or fake inspection vehicle also had cats cut off of the engine and a blown cylinder cost me over 2,000 in parts alone to get it back running again and they refused to help with any of this cost and kept promising they would call me back it’s been over a month now and no one returns calls or attempts to satisfy there customer I very highly do not recommend this place to purchase a vehicle  you will get ripped off ",1.0
34,"June 22, 2019","Van was in shop over a week. Rental at my expense. Since it took so long, dealer helped with part of rental. Good outcome after a rocky start about length of time Van was in shop. ",4.0
35,"June 20, 2019","Can’t think of a better endorsement than being a repeat customer. And I did my homework by shopping the other dealers too!  As a returning customer they worked even harder to keep my business. My salesman, Dustin, was never hard sell and answered all my questions with complete honesty and genuine interest in providing me the best deal possible. I could have purchased a new vehicle much closer to home but Ron Carter made the extra distance well worth my time. ",5.0
36,"June 18, 2019",Always have done great work on my car. They do what needs done without trying to up sale. They are friendly and very professional. Clean and comfortable waiting room. ,4.8
37,"June 08, 2019","I went to Ron Carter Ford today and ended up purchasing a new vehicle.  The sales and support staff were extremely knowledgeable, friendly, and supportive.  Richard Roberson was very helpful, but gave us time to discuss and let us make the decision without feeling pressured.",5.0
38,"June 08, 2019",Sammy was a great dealer. He wasted no time on our deal and shown us better deals. Great time working with him. Would do it again.,5.0
39,"May 11, 2019",Paul made the experience the best it could have possibly been. Ron Carter did not have the truck I wanted at the dealership but Paul did a TON of leg work in order to find my truck and get a dealer trade in order to get the deal done. He did all the searching to find my truck 180 miles away and work it up to get here and get the deal done within just a few days. I have never had a salesman work as hard and do as much work for me as Paul did for me. Some salesmen can be very pushy and make things uncomfortable. Paul was very patient working with me to find out exactly what I wanted. some salesmen make you feel like you need to hurry up and decide. Paul made me feel like he was a true friend and wanted me to get exactly what i wanted. I have never had a better salesmen than Paul Moreno!,5.0
40,"May 09, 2019","After an eventful day of having my truck break down and being towed, Ron Carter Chevrolet was able to help me out the best way possible!! My personal salesman Mr. Ali was incredible, insightful, and just all around a great person to work with!! Thank you so much Mr. Ali and Ron Carter Chevrolet!! ",5.0
41,"May 07, 2019",Everything was terrific! I have been a customer since 2005. I have purchased four trucks and two cars from Tony G. He’s the best in the business. I wouldn’t want to deal with anyone else. ,5.0
42,"April 24, 2019","Came to Ron Carter Ford after leaving Gulf Coat Ford extremely disappointed in their service. Called Ron Carter Ford service and Allison set me up with an appointment and even had a car waiting for us when we got there to drop off our car. We had purchased the extended warranty through Ford and they honored it, supplying  us with a rental when we got there. They took care  of our car and of us. When I went to pick up my care found out some of the stuff Gulf Coast Ford was charging to our warranty was not needing to be replaced. I am glad we went to Ron Carter Ford and will be back again when I need my car serviced. Thanks Allison for all your help! ",5.0
43,"April 23, 2019",It is a very friendly place and very fast and helping you get into a vehicle.I will be going back for another vehicle very soon maybe with my son are daughter,5.0
44,"April 19, 2019","We bought a Dodge Grand Caravan on April 13th. Misa J. Was our salesman and I cannot say enough positive things about our experience with him. He was incredibly professional, and from the moment we entered the dealership we were treated with respect and there was zero pressure. He went above and beyond to make sure that we were happy throughout the entire process. We definitely recommend doing business here! Most pleasant car buying experience of our lives! Even the financial department was pleasant to deal with and we were not pressured into purchasing any additional warranties that we didn't want. Another thing we appreciate about this dealership is that they do not price bait you online...they only list incentives for which everyone qualifies. ",5.0
45,"April 06, 2019",I absolutely loved this place and their employees! Dustin Garner was extremely great & helpful! If anyone is looking to purchase a vehicle I strongly advise people to go here. ,4.8
46,"April 02, 2019","I always get friendly, straight forward & fast service. They do their jobs well. I’ve had a few service advisor & for years I’ve been pleased with all of their help. ",5.0
47,"March 27, 2019",Stopped by today to possibly buy a new car. I don't drive a fancy car by any means. I was honestly going in to make a possible purchase and remedy that problem. When I pulled up the sales man looked at me and wouldn't help. Because I drive an old car I couldn't possibly have money. Well you just lost a sale. I couldn't believe it! Horrible experience ,1.0
48,"March 20, 2019",Went in to look at Jeeps and walked out with a new one. It was a great experience. Everyone was so friendly. I will recommend Bayway Jeep and Don L. Wolfe to anyone looking for a new Jeep!,5.0
49,"March 02, 2019",Dustin Garner worked with us to get a nice deal on a 2018 Ford Expedition. Not pushy but yet worked hard for us. Great experience. ,5.0
50,"February 08, 2019",Christian William's met me at the door with a smile and handshake. I told him what I wanted and he made it happen. Great guy with excellent service.,4.8
51,"November 27, 2018",Robert is a quiet man being that he is not pushy to seal the deal. He gave me all the info i needed in order to make the best decision for my budget and woked it through to management. I have a Ford Edge i love and am excited i was finally able to get an SUV. Initially I Leased thru him and then purchased the vehicle at lease end. Ive had the Edge 3 yrs so far and not a hint of trouble. I so bery much love driving it plan to keep this for another 10-12 Yrs atleast. Thank you Robert and your finance team. ,4.8
52,"November 05, 2018","I cannot thank Christian and Cody enough for making the deal happen and putting me in my car. After a few mishaps, once Christian & Cody got involved it went very smoothly.  Christian is amazing, well spoken and easy to develop a relationship with based on up front & honesty.  Crucial in the car  buying experience.  Even finance was a breeze!",5.0
53,"October 19, 2018",They both did an outstanding job and make a great team... they were friendly and fast... they were also very accommodating to all of our needs... we will be coming back again...,5.0
54,"September 16, 2018",Jimmy made my experience wonderful with buying a new vehicle.  He never got aggravated as I am a difficult customer.  He let me take my time and never made me feel rushed.  I will be back to purchase all my vehicles from Jimmy.  Thanks for the new car buying experience!  I love my new Jeep Grand Cherokee!! ,5.0
55,"September 11, 2018",After 6 car dealership I went around the Houston area I didnt find any good deals. & my last stop was ron carter of Alvin. Robert took his time showing me cars under my budget and even went out of his way to drive us to another location on his New vehicle! The service I received by him and his other co. workers was amazing. Thank you Guys !! 👍👍,4.8
