,Date,Reviews,Ratings
0,"May 13, 2020","John K. was an excellent representative. He answered all questions succinctly and clearly, giving prompt responses when he needed to go find the answers. He never pressured for details and was very amiable and casual throughout the process, yet never failed to exhibit professionalism.",4.6
1,"May 09, 2020","We are very disappointed after 3 days of back and forth. We have been shopping for a CT6,  and decided to drive 4 hours for this specific car.  When we got there the Nathan was unavailable, so we spoke with a different rep. As we were getting ready to test drive the rep told us he had to ride along. We explained that we didn't feel safe doing that because of Coronavirus. So he went to get the manager Jeff for approval. To which Jeff informed us that because of thefts they have to either ride with us or give them the keys to our own personal vehicle. He acted as if current license current insurance, and our own personal vehicle being on the lot was not enough. Needless to say we left because our lives are more important than an insecure manager, and a test drive. Social distancing is still in affect, but this location does not want to honor that. Please know that we have done a test drive on 3 other vehicles at 3 different locations,  and this has never been an issue. ",1.0
2,"April 24, 2020","Bought a car from John K. two weeks ago and he was so helpful, patient and knowledgeable. He even did a demo on how to use the Parking Assist. Very easy process and he even delivered the car to my home in the rain. ",5.0
3,"March 07, 2020","Jeremy Nelson paid close attention to my needs and what I wanted, only giving me information on what suited me and my needs, as well as what I wanted. Thank you.
",5.0
4,"March 07, 2020",Jeremy Nelson was our salesman and he delivered excellent customer service. My husband and I purchased a Cadillac Escalade. Jeremy was very professional and he was patient with us as we made up our mind not to get the Armada but to get the Escalade instead. I would also like to thank everyone involved with making this happen!,5.0
5,"February 25, 2020","

despite problems with our insurance this dealership stepped up to provide help with a loaner vehicle for us.  they also went above and beyond to ensure quality parts were installed versus insurance recommendation to install salvage parts.",5.0
6,"February 06, 2020",The entire staff was very understanding and was willing to work with my situation and truly find a solution that I could live with and I am very happy with the decision. The environment was positive and I would recommend any/everyone to visit this dealership if looking for a new/ used vehicle.,5.0
7,"October 12, 2019","Purchasing or leasing a new vehicle can be exciting and draining at the same time. Rest assured, you will be able to embrace the thrill of driving off in a new vehicle AND exceptional customer service at Garland Cadillac. They were able to provide me with a great selection of vehicles to choose from, while simultaneously ensuring that I was getting into a vehicle I could afford, as well as LOVE. 

Be sure to ask for Robert Villa. Robert and Jeff Rosser are a strong team that will work hard to make sure that you are a happy, lifelong customer. ",5.0
8,"September 20, 2019","When I came into the door, I wasn’t expecting the warm welcome from Renay. She made finding the car I want easy and sufficient. Other dealerships I’ve gone to didn’t feel the same as this one. Thanks to Renay, I’m riding in a safer and cleaner ride! ",4.4
9,"September 14, 2019",I have bought many cars in my years but I must say that this was the best service I have received! The GM personally came out to thank me and all the managers treated me with respect even though I had many questions! I highly recommend that you go and see them to buy your next car! They will treat you like family from the second you enter the dealership! Ask for Jeff or Rez! Great management team!,5.0
10,"September 04, 2019","We drove a considerable distance to get to this dealership because of an advertised price on a vehicle.  I exchanged text messages with Rez about the vehicle, but he never disclosed the reconditioning fee of $1100 until we got there.  He said it was disclosed online, but I couldn't find it.  I would never buy a vehicle from this place if they aren't up front with their pricing.  During my search for a vehicle, I visited 4 additional dealerships of which none had hidden fees. I wonder what else they are trying to cover up?",1.0
11,"August 26, 2019",Larry was great and very well informed! He negotiated the price behalf of me and gave me the best deal possible. I highly recommend you buy a car from him! He is now family!!!,5.0
12,"August 13, 2019","Contacted Ernie in sales about a used car. He was more than helpful and I felt like he went out of his way to help me with any questions and sending pictures. Felt like I was visiting with an old friend instead of a car salesman! I give Ernie 5 stars!! 
                     Mark S. 
                      Wayne Ok",5.0
13,"June 05, 2019","
Purchased a vehicle Financed. $18,000,Now I Owe 31,500.THAT IS H IGHLY UNEXCEPTABLE.TRIED TO STRAIGHTEN UP WITH COMPANY,BUT NO RESPONSE,SO NOW I HAVE TO DO WHAT I HAVE TO DO.RIPPED OFF FOR NOW!!!",1.3
14,"April 26, 2019", Always awesome service and wonderful people to deal with. My service professional Michael Davis is always understanding and courteous. An issues with my car are fixed properly and promptly.,5.0
15,"April 20, 2019",I would like to thank Mr. Ata for the great service. The whole Garland team helped us and they gave a good deal. Will definitely recommend them to our friends and family. Thank you Mr. Ata Barakat.,4.6
16,"April 17, 2019","Problem 1. I found a Cadillac online from this dealer and when I went to look at the car it was not there. The sales lady Chris(spellcheck) was amazing and wanted to be sure I had the car I desired so she offered to show me a few other cars of the same model and year. I was about to finalize the price but the GENERAL SALES MANAGER Jeff(namecheck) came in to continue the negotiations.  Well Jeff was RUDE and VERY UNPROFESSIONAL, and threw his GSM title around as if he was better than everyone around him and he as if he was the one who makes the price. He pretty much told me I would have to pay almost $3,500 more than what was listed after the Saleslady Chris showed me my take home price with tax and other fees included.  Jeff attempted to intimidate me into buying the car by saying he can sale 15 of these cars in 30 days, and I didn't need to know his bottom line.  Thanks to Jeff, Garland Cadillac did not get my business, and I still Bought the Cadillac XTS I wanted at a much better price, lower miles and  with a much better GENERAL SALES MANAGER and team in Irving. ",1.0
17,"April 16, 2019","Timely service, friendly, professional. Identified our performance issue, took corrective action and then explained what actions they took. Our service rep Michael made sure we were not inconvenienced time wise, by providing a loan car to us until servicing had been completed the next day.",5.0
18,"April 13, 2019","All customer service representatives were very friendly, helpful and courteous.  Could not have asked for any better experiences. This will be our 4th Cadillac purchase, three from  different dealership first with Garland Cadillac and would highly recommend Garland Cadillac to others.",5.0
19,"March 31, 2019",Service at Garland Cadillac is always fast and great.  Good quality workmanship by their staff and they are honest and dependable to find critical repairs needed through their through diagnostic procedures. ,5.0
20,"March 11, 2019","I bought a 2018 XTS which was supposedly ""certified pre-owned"" before I left the lot. At the very end of the deal, with all the paperwork signed I was told by Jimmy Williams, there was an open recall on the car for an O2 sensor, (even though the AutoCheck History report stated no open recalls). Williams claimed that it was no big deal & could be fixed in about an hour & bring the car back on Mon. On the way home I decided to give the car my own personal cleaning/detailing & discovered the two front tires on the Passenger side had sliced/cut on sidewall & Drivers side starting to peel/cut on sidewall), the salesperson, Williams & myself had made note of the treadwear of the two front tires during my initial inspection, I was given a “we owe” two tires @ cost document to be used about 2 months down the road to replace the (based on treadwear) . Upon seeing the condition of the tires were more urgent than expected, I immediately called Jimmy Williams & was told I would be taken care of because ""I am his cadillac customer"". Come Mon 1st I was told the recall was closed but had not been updated? Regarding the tires, I found out what being a ""cadillac customer"" to Williams meant, me, the ""cadillac customer"" would be given the unmatched privilege of the ""run-around""""double-talk"" 3+ hour wait and above all that a $290 invoice for two new tires on a cadillac that I had owned less than 48 hours!  If that is a what being a ""cadillac customer"" is about, next year I will be a ""continental customer"". By the way, on the other side of the service dept loud angry shouting is heard from another “cadillac customer” , I pointed that incident out (because I was at the point of joining in the shouting) Jimmy Williams reply to handling angry “cadillac customers” quote: “I will handle them all as they come”. It appears the  “used car” salesman, the one we all dread dealing with is alive at Garland Cadillac, but he won’t be doing as well as he thinks, when word gets around about the angry “cadillac customers” they are able to handle. It appears Williams thinks angry customers are normal and essential parts of doing business? What a sham; what a shame!
",1.4
21,"February 16, 2019",Service person Michael Davis was great. Loaner car was fine. Car was repaired and returned on time. Great experience friendly and happy employees. I would recommend. ,5.0
22,"February 15, 2019", Upon arrival The service attendant immediately met me at my car and was very thorough and  courteous.  The work was done timely and vehicle washed. Excellent customer service by Michael Davis.  ,5.0
23,"February 12, 2019",Fast and courteous staff very helpful and friendly I thought I would have to wait a while but it took no time to get my car back! And I was on my lunch break ,4.6
24,"February 10, 2019",Jeff and Ata were super Great and did everything they could to get me the truck I wanted. Great experience here and we’ll recommend ,5.0
25,"January 24, 2019","Purchased vehicle two years ago and have only taken it here for oil changes and service. George is always thorough in his explanations, friendly and accommodating. ",5.0
26,"January 22, 2019",I never had to worry about going back because things not right. Mike's a straight shooter and it keeps you informed what's going on with your automobile appreciate that.,4.6
27,"January 21, 2019","I am a first time customer.  I called the dealership to find out how to schedule an oil change. The lady on the phone connected me to the department. I quickly made the appointment. I arrived the day of the appt , was greeted promptly. My car was taken back immediately for service.  We waited in the customer lounge and drank hot coffee until they came and told us the car was ready. They washed the car and I must say they did a better job than the car wash I pay for.  all in all it was a very pleasant experience.",5.0
28,"January 05, 2019","My experience at Garland Cadillac was the exact opposite of ideal. I chose to buy a used Audi Q3 from them because admittedly their price was fantastic compared to others that I had found up to that point. The salesman I then dealt with was also wonderful so I took the plunge and decided to buy the car. The part that brings the entire facility down is the manager, Brad Bemis. While I was looking at the vehicle, he made me feel as if I shouldn’t be buying a car without my husband present (I’m a woman). On top of that, after I purchased the car, the key did not work. When I asked Brad to help out he told me it wasn’t his problem and I should take it to Audi Dallas. When I told this to Audi Dallas, they were very taken aback that a dealership would say such a thing and because I didn’t buy the car from them, they unfortunately couldn’t help. After going back to Brad yet again, he said he didn’t recall that conversation at all and could fix the key for $300. I explained that I didn’t believe I should pay for this because I just spent thousands of dollars at his dealership. He countered that my car was not expensive enough for him to care compared to others on his lot. He then proceeded to imply several times that I was lying and that I was unreasonable throughout our conversation. It’s a shame almost everyone else I worked with was pleasant because their management completely ruined my experience. ",1.4
29,"December 21, 2018","Good experience 
Paperwork/application process is too long.
Faxed info prior to visit,  but it seemed nothing was done with it.
Took 3 plus hours to complete ",4.5
30,"December 08, 2018",Everyone at this dealership was so professional and helpful. The experience was top notch in and out in less than 2 hours. Would definitely recommend this dealership!!,5.0
31,"December 04, 2018","Michael Davis was outstanding. All others very good! Michael Davis was friendly, looked at my car and called me before repairs. He was sure I got picked up on time. Car wash was nice.",4.8
32,"November 11, 2018",Trade in was a little low but the car had issues. As far as the employees all interactions were very pleasant and and highly professional.,4.8
