,Date,Reviews,Ratings
0,"May 15, 2020","If you want a  GREAT experience purchasing a vehicle go to Central Houston Cadillac and ask for Mr. Darren Robinson. I would send any one there if they were looking to purchase a vehicle. I would like to give Mr. Robinson a 10**********, SHOUT OUT and a Thank you very much!  Mr. Robinson was welcoming, informative and very knowledgeable about the vehicles. He went above and beyond my expectations in managing my purchase. Mr. Robinson went so far as to follow me home to pick up additional paper work needed to complete my purchase, so I didn't  have to go home and come back. When I  finished my purchase he programed my vehicle so I had hands free driving without me asking, gave lots of information I wouldn't have thought to ask. When I left I was extremely satisfied and had a great experience.  He followed up to be sure all was well. If you want a great experience go to Central Houston Cadillac!!!!",5.0
1,"April 12, 2020","Many Thanks to Cesar Rojas, he gave me Top of the Line First Class treatment from minute 1 and the entire time. Cesar's professionalism, kindness, knowledge and No pressure sales tactics made me feel great and comfortable about my investment. Central Cadillac staff greeted and welcomed me like Family. Looking forward to catching up Cesar when I purchase my next Cadillac.",5.0
2,"February 20, 2020","THESE FOLKS ARE CROOKED FROM THE SALES PERSONS TO THE SERVICE DEPARTMENT ,THEY ARE ONLY MOTIVATED BY MONEY! ITS SAD THAT THEY CAN LEGALLY ROB CUSTOMERS",1.0
3,"October 11, 2019","I completely agree with Service Department ""Archetek's April 29, 2019 review.  On 6/17/19, my low mileage 2004 SRX 4.6L NorthStar engine was brought into to Central Houston Cadillac for diagnostic and repairs relating to the infamous Cadillac faulty NORTHSTAR engine oil leaks, and Central advised that the repair was completed on 6/18/19. Central Cadillac's John Bishop was furnished with all documents regarding all 2019 prior mechanical work so that they could thoroughly assess the issues.  A service representative who was knowledgeable about the NorthStar engine was specifically requested, as the first service representative presented had no knowledge whatsoever of a NorthStar engine.  Thereafter, we were introduced to Central's ""John Bishop.""  Mr. Bishop indicated that he would have his most knowledgeable mechanic make a diagnostic test and render an opinion.  Cut to the chase, the repair work that Central charged in excess of $1,000.00 did not repair the oil leak and Bishop was advised, the car was returned to Central and sat there for 2 weeks without any communication whatsoever.  Additionally, the clean brown paper roll that had been placed under the SRX after Central's initial repair was brought in as evidence of the continuing oil leaks.  Bishop took a picture of it and destroyed the brown paper.  After 2 weeks, I demanded my car be returned and that I be reimbursed for incomplete repair.  Central's Service Manager, ANDY TIWARI, then proceeded to write the credit card company with falsehoods, the likes of which I am able to refute and substantiate with documentation, and to state that he had pulled ""GM official records"" as if GM was the only professional mechanic that has maintained this vehicle through the years.  For those who are unaware, to simply replace a indicator light on this vehicle, Cadillac dealerships charge $200.00 because they designed the vehicle so that access  to the light was not readily accessible.  I have had many indicator lights replaced on this vehicle for 1/4 of the GM amount.  Also, GM would not have recent records of other work as the work was not accomplished by GM, albeit all 2019 work records were furnished to Mr. Bishop.  Calls were placed to Mr. TIWARI (Bishop took the message) and Kelly Stewart, General Manager.    No calls were returned.  The ""requested services"" as Mr. TIWARI wrote to credit card company, were NOT FIXED and his ignorance as to the related facts are displayed in his written correspondence.  He even implied that if the credit card company revoked the charges, he would place a mechanic's lien on the vehicle.  Well it appears that Central Houston Cadillac needs to have a ""LEAN"" (no pun intended) placed on them and understand that recourse does favor this customer.",1.0
4,"July 24, 2019","I purchased “new” demo Cadillac XT5 from Central June 2018. The car had less than 8,000 miles and was listed as a new demo. Upon purchasing the car we repeatedly asked for the carfax. TheyManager and salesman both kept Day your buy a pretty much “new” car, the carfax is clean. We still continued to ask for it. They promised when they did all the paperwork they would give it to us. That never happened. After arriving home we realized they never printed it. After being in touch with the salesman he promised he would email it to me. Again that never happened. Fast forward to May 2019. We try to trade in this car and find out from the dealership we’re are trying to trade with, there’s a damage report on the carfax. So here we are with a car that we paid a new price for that had been damaged in December 2017 while the dealership owned it. Now we can not get our money for the car. After I began trying contacting the dealership.... When talking to their managers, they forward me to different Salesmen. They kept insisting for us to make the trip back to Houston without telling us any information on what they can do for us. The bad thing is one of the managers is who completed all the paperwork when I was purchasing the car and was also the one who kept telling me the car was new and the carfax was spotless. I filled several complaints with different organizations. The first one being the BBB. They replied with us needing to bring the car in for inspection. So we did. When we arrived we were told they would put us in front of the right people (never saw anyone but another salesman). They asked from my keys and told us it would be around 30 minutes for so from them to complete the inspection. I told them I may consider trading vehicles with them if they would make the situation right. So while we waited on the inspection we looked through their lot online. We informed them that we would only consider trading once we knew what they would offer me for my vehicle. They shot us some low ball offer under KBB value that was nothing more than what I would have received from a local dealership with the damaged carfax report. We decided we were wasting our time so we ask to speak to the GM. Of course, he was out of town but would call me by the following Monday. Needless to say, here we are a month later no call. The GM won't answer our calls and the others say theirs nothing better they can do. Their last response on BBB was I decided to not have my car inspected and decided to trade it in. Obviously, that was false. My car never moved the parking spot the entire time we were there, the reason we went was so they could inspect the car. All I said was I might consider trading it in if they could make the situation right. Who would trust them?",1.0
5,"May 22, 2019",Price changed when the paperwork was done. Was told $2800 was normal for dealer prep fees and when I said I’m not paying it I was told the price of the car was wrong. All of this was done over text on Miguel’s personal cell. He didn’t have the guts to call and have the conversation. He even sent a photo of the paperwork via text. STAY AWAY!!!,1.0
6,"April 23, 2019",Do not waste your time bringing your vehicle to this location. I highly recommend you take your car somewhere else. I schedule an appointment on the phone with a agent ahead of time and explain exactly what services I need it from them. Once I brought my car in later that week no one came out to greet me. And I stood there for about 10 or 15 minutes before walking inside asking if someone could help me. TheAdvisor I spoke with could not find my name anywhere in their system. I ended up having to wait an hour for them to find a loaner and it was not equivalent to my Escalade. And I was told for future appointments I need to schedule ahead of time so that I may get a vehicle equivalent to mine. Which I did that. Secondly after three or four days went by I had not heard anything from the advisor. I had been calling him repeatedly leaving messages and he never responded to any of my calls. I decided to just go there to find out what was going on and come to find out my truck still was not fixed. it was sitting in the little storage area. So I asked for them to just give me my car and I took it to a different dealership and got it serviced in a couple of hours. I would never ever bring my car to this dealership. It's horrible.,1.4
7,"February 15, 2019","This has to be the worst dealer experience I've ever had !! This dealer cares more about the mighty dollar than taking care of a customer , they will quickly kick you to the curb for a few extra bucks , doesn't matter if you had already agreed to a deal ! Never again will I ever deal with this group again and I suggest you do the same !!",1.0
8,"December 28, 2018",Bought the car from out of state. Had a few small issues but everything worked out fine. I got the car at a great price and love it ,4.2
9,"December 06, 2018","I purchase a car 3 weeks ago they make every posible promise (Sales person: Akash) to close the sale. 2 days after OnStar was not honored, for 3 weeks I’ve been trying to get a manager to solve the problem with no resolution. Last news they fired the sales manager. Advice, stay away from this place.",1.8
