,Date,Reviews,Ratings
0,"January 25, 2020","We became Cavender Cadillac customers when Carlos Villarreal started working there. He had been our service manager for several years at a previous dealership.  Carlos has given us a sense of security in the maintenance of our vehicles. His professional manner, courteous and friendly approach has made him very beloved by us. We jokingly laugh that we feel like he is family and we would quit going to Cavender if he ever leaves. Recently my husband passed away and when I had to purchase another vehicle I realized I had never bought a car by myself. So I experienced another person who works there. My salesperson was Glenn Galloway. He reassured me and talked me through this experience with professionalism, courtesy and and patience. He helped me find a car I love, explained every detail of the transaction and patiently demonstrated how all of the “bells and whistles” worked on my car. I greatly appreciate him and would recommend him to anyone looking to buy a car. Cavender Cadillac is a very professional dealership and I would recommend them to anyone. All of the staff there are very professional, friendly and make you feel so comfortable.",5.0
1,"March 04, 2018","My wife and I purchased a vehicle from Cavender Cadillac. Ken Bennett is our salesman. He treated us as if we are royalty. He gave us multiple options to take with us to review at home. His customer service is impeccable. Ken is very knowable in the automotive industry. His experience will be valuable in helping you stay in your budget and purchasing the vehicle of your dreams. He goes out of his way to greet us every time we have our vehicle serviced. The waiting area is very relaxed and customer focused. The service department from check in to the cashier and check out has gone above and beyond every requirement that I have requested. I will purchase another vehicle from Cavender in two years as a result of the way I have been treated and the quality of the Cadillac they sale. 

Satisfied customers 

Donald & Regina Davis",5.0
2,"March 04, 2018","I purchased a beautiful certified CTS Coupe from Kevin James.  He is the type of salesman that you would absolutely look for when buying a vehicle.  He has a family style personality, non pushy approach and made me feel very comfortable along the way.  I am a very Type A individual so in saying that it was important to me that Kevin followed up with all my questions and I felt comfortable throughout the process.  He most certainly did, Kevin called when he said he would and followed up with all my unanswered questions.  He took his time with me and made sure I was confident with all the features on the vehicle before driving off for the first time.  I would absolutely recommend my family and friends to purchase a vehicle from Kevin James, he met all my expectations.",5.0
3,"April 04, 2017",My 2005 Escalade was getting old and we wanted a newer one with more features and safety features so when we arrived Michael Garcia greeted us promptly and politely. We purchased another Escalade and the process couldn't have been any easier. If you are looking for a new Cadillac I would definitely recommend Cavender Cadillac!,5.0
4,"January 28, 2015",Sales kevin james was a great guy walked every step with you made sure you were comfortable and a stright forward with you. This dearlship is for best ive been to 4 stars all the way! Good job guys!,5.0
5,"April 22, 2013","I had the pleasure of purchasing a Cadillac CTS through Cavander Cadillac, and I'm very pleased with the overall costumer service from the moment I made contact with my salesman Kevin James.  I did the entire process through the internet and over the phone because I'm not from San Antonio, and Kevin along with the rest of the staff i dealt with were very professional and treated me and my wife with the upmost respect.  They even went as far as to personally deliver the car right to my doorstep.  I have to say that i am extremely happy with Kevin James and the rest of the Cavender Cadillac family!  I would definetley visit and buy from this dealership again, and without a doubt, recommend this dealership to my family and friends! 2 THUMBS UP!!!!",5.0
6,"April 15, 2013","I live in Del Rio Texas and the dealerships down here couldn't offer the car I wanted, in the condition I wanted, For the price I wanted.  I put in quote requests on USAA.com.  San Antonio is about 3 hours away however thats where I was receiving all of notifications from regarding my quote.  Dealers had been calling me all day and night, so much so I wanted to pull my request.  However when I got Kevin's email not only was he courteous he always made sure to call during respectable hours, unlike most of the other dealers who contacted me.  Not only that he went out of his way to accomodate the distance providing me the highlest level of fidelity for any and every inquiry I made.   I had a friend bring me to San Antonio to see the car because I haven't had the best experience with buying used vehicles so even though Kevin was a wonderful individual I couldn't just take his word for it.  When I got there the deal was complete within about 30 mins.  I told Kevin on the phone  ""If I drive all the way to San Antonio I want to ""Turn and Burn""   "" Meaning I wanted to get up there, get the car, and head back, and he made sure that I was able to do that by having EVERYTHING prepared, he even had a back up plan if I changed my mind on the vehicle I had pre-selected.  The staff at the dealership were very pleasant and polite, and their efforts seemed very genuine.  When I left there I felt like I had just got a great deal, on a great car, I didn't feel like I had been taken advantage of, or swindled like you feel after leaving some dealerships.  Kudos to the entire Cavender Cadillac team!",5.0
7,"April 11, 2013","While we have been Cavender Cadillac customers for a number of years, this was our first experience with Larry Sullivan.  (Our former salesperson, Bob Davis, retired.)  Mr. Sullivan was professional in every way.  His approach to the sale was thorough and he answered all our questions.  When follow-up was necessary, he was quite prompt.  I never felt any sort of pressure.  I felt that every aspect of the deal offered was as good or better than we were offered elsewhere.  Yes, we did look at other dealerships and one is much closer to out home but we feel that a slight inconvenience of distance is worth the care we have become accustomed to from Cavender.  I would welcome the opportunity to deal with Mr. Sullivan again and I make these comments without reservation.

Jim Gallagher",5.0
8,"April 03, 2013","To the entire Cavender team I want to say thank you for the finest auto buying experience I have ever had, and especially to Mr. James. 

To Mr. Cavender, I’m a young family man and I was concerned about the safety of my wife and daughter in a vehicle, and that is what lead me to your establishment.That’s where I met Mr. James. I was in old pants and a work shirt and Mr. James greeted me as if I were a fancy millionaire, a firm hand shake and a plethora of knowledge about the model I was looking at, never once did he judge me for the appearance or age. Mr. James is the biggest reason I bought a car from your establishment, a true professional; friendly, fair and most importantly honest with business, the old fashioned way. My family has been buying cars form there since I was a boy and my grandfather always said, ""There is nothing like a Cadillac"", and ill say, ""There's nothing like Cavender Cadillac"".


Gratefully,

The Humphrey Family
",5.0
9,"March 20, 2013","My husband and I recently bought a pre owned vehicle from Cavender Cadillac and it was the easiest and best car experience we've had!  Larry Sullivan was  fantastic. I was very specific, knowing the exact car I was interested in. We thoroughly appreciate that he never tree to sell us another vehicle despite this one being a little higher mileage than the banks liked. We have already recommended Larry & Cavender Cadillac to several people and are looking forward to purchasing with them again. ",5.0
