,Date,Reviews,Ratings
0,"May 03, 2020","My husband and I  have had a wonderful experience at Davis Chevrolet. Jackie Castillo is a top notch Sales Specialist, and the purchase of our Equinox was a very pleasant experience.
She was extremely helpful.
Vicki Severson",5.0
1,"April 15, 2020",Dealer Agent helped me select vehicle and gave me the details very orderly and well mannered. I was able to receive my information well explained and was attended quickly.,5.0
2,"April 10, 2020","I went into the dealer in the afternoon and it was simple, fast and with no stress when buying my car here. Would recommend you buy from here to family and friends.",5.0
3,"March 07, 2020","First and last time here. Dropped off my car on Friday morning and told them would just pick it up on sat first thing. Had to get a key reprogrammed and was told wouldn’t be ready till Monday. No problem. Show up on sat am and check in the service guy and he says the fob was here and needed to be programmed. He said would take 20m and I told him absolutely not. I’m in a rush. I go in to pay and wait for my car. Lo and behold the garage had already started whatever programming and ‘can’t be stopped once it’s started’. Was told would be 20m tops. 40m later the head of the garage tells me that whoops! Needs more software updating and will take yet another 15m. Even tho I told them I wanted to pick up the car and go on Saturday and esp after telling them to not do the fob bc I was in a rush and had an appt they still fcked me over. Missed my appt and too bad for me. Like I said, first and last time",1.0
4,"March 07, 2020",Just bought a Camaro. A very smooth process with a very professional selling team. Jackie Castillo exceeded expectations following up my enquiries and making sure customer satisfaction was a priority. ,5.0
5,"February 29, 2020","We came today and had an appointment with Jackie Castillo.And she was a good greeter and an excellent  salesperson. Great energy and awesome listener.
                                            
                                    
                                 ",5.0
6,"February 27, 2020","It was a grateful experience with Jackie Castillo. She was very helpful, patient, and friendly. We purchased a used car and she followed up all steps during the whole process and after sales. She truly care about us as a customer.",5.0
7,"February 14, 2020",We are grateful for the services with Jackie Castillo because we had a bad credit score but she would not give up on getting us an approval on a vehicle. We highly recommend her services and are so thankful for the time she invested in us and helped us with our purchase. ,5.0
8,"February 05, 2020",Today I purchased 2019 vehicle thanks to Ms.Jackie Castillo she's AWSOME!!!! please check her out great service the people here are very friendly as well.,5.0
9,"February 04, 2020",Thank you Ms. Jackie and Davis Chevrolet for the great customer service and working with me. I really appreciate everything that you all did to make the deal work.,5.0
10,"January 28, 2020","Very , very helpful saleslady. The credit manager went over and above to get me the payment I wanted. This is why I akways come back to them for my car purchases ",5.0
11,"December 19, 2019","THANK YOU JACKIE AND DAVID FOR YOUR PATIENCE AND ENCOURAGING WORDS! YOU WERE VERY PROFESSIONAL FOR WORKING WITH ME TO GET A NEW 2020 VEHICLE!
I WILL NEVER FORGET THIS EXPERIENCE! THE DAVIS CHEVROLET STAFF HAVE BEEN QUITE FRIENDLY AND CORDIAL AS WELL!

VICTORIA",5.0
12,"August 02, 2019",Davis staff is friendly and goes above and beyond to help you.  And they make great deals on trades and new vehicles.  They truly care about you as a customer.,5.0
13,"June 30, 2019",Buenos precios y buen servicio al cliente recomendados con el vendedor Francisco Quiroz vallan y pregunten por el ya son 2 veces que compramos con el y en Davis Chevrolet el mejor Dealer de Houston en precios,5.0
14,"June 16, 2019","I had looked at a few dealerships, but came back to this one for the better price. Mark Bayonetta was the salesman and he did such a wonderful job helping me find what I want. He was very up front with the cost of each vehicle and the different addons. He was also extremely patient when we needed to step aside and have some private conversations. I feel like we got the best price we could for that vehicle and the process was pretty painless. Mark was great to work with and I'd recommend anyone to go to that dealership and talk with him.",5.0
15,"June 05, 2019","Long time customer .
This was my 4th Tahoe . My sales person and 
others do a good job .
Will recommend to others . New sales and 
service department have always treated me 
well.",4.8
16,"April 27, 2019",Miki Onu has worked with my family for many years and always goes above and beyond! I recommend him at all times. Great job Davis.,4.8
17,"September 08, 2018","It's time for me to switch dealership that services my car. Location is convenient but it's always something not done, misinformation or incomplete.",2.8
18,"September 05, 2018","I purchased my 2014 Cruz from this dealership had no problems in the beginning took it back to dealership for service oil changes and inspections long wait even with appointments but tried to show my customer loyalty with them. On Friday, I took my car without an appointment because it was hesitating in starting waited for over two hours nothing, so I left and came back two hours later and they still had not look at the car it had just been sitting in the back, water on the car from rain was the indication. So I took my car and left. Got up on Sunday morning to go to church and the car would not say anything. Monday was a holiday and the service department was closed, got to the dealership around seven thirty on Tuesday and it still took them an hour and a half before they came to tell me what was wrong with my car. So add the hours for diagnostics four hours Friday and an hour and a half Tuesday if my math is correct five and a half hours to tell me the battery was bad and one of the cables needed replacing. Now the battery that came with the car quit working about a year and a half after I purchased the car and they replaced it with no charge, so you would think the replaced batter had at least three years of battery life on a car that has less than seven thousand miles on it, well it didn't. I was told it was two years and five months since the battery was replaced and I would have to purchase a new battery and cable and with labor the cost would be $300.00. The time the car spent sitting on their lot should have cover labor fees, however, with the frustrations already feed up with such poor customer service on Tuesday morning I got out the car to vent to the service manager he ask for the keys and I left my coin purse under the drivers seat of the car not thinking and gave him the keys. After finding out the cost of the repair and mind you I did have to return the car after the first battery replacement I just wanted to get it fixed and get out of there never to return there for repair service again. When I refused the service and they brought my car out to me prior to that I did remember I left my coin purse under the seat I immediately before even getting in the car looked to see if the purse was still there and it was nowhere to be found. I talk with the service manager and the tech that waited on me on Friday and nothing was resolved nor did my purse ever surface. I would never recommend that anyone ever go there for car service for the way they display poor quality of customer service and their thieving employees. Chuck Davis has gone to the DOGS!",1.0
19,"August 08, 2018",The Davis Chevrolet staff was professional and courteous during my service visit. They were able to derive the vehicle in a reasonable time and made the process very smooth. ,4.0
20,"August 08, 2018",Had to wait 2-3 hours on the first 2  appts before I was told part is not available or part ordered is the wrong one.  Why did they not tell me right away,2.0
21,"July 22, 2018","I bought my new truck at Davis Chevrolet a couple months ago and I just went in today for the first oil change, it took them over 2 hours to have my truck ready. I find it very annoying as I went to service department a couple days ago just walked in and asked the waiting time they said about 2 hrs Waiting so I made an appointment and still they took the same amount of time with an appointment. Service department needs better management. ",3.8
22,"July 21, 2018","This is our second purchase with Davis Chevrolet in Houston. The salesperson, Vic Tulli worked very hard to get us into a vehicle that suited our needs. We highly recommend purchasing from them",5.0
23,"July 06, 2018",The entire process was very quick. I have bought vehicles in the past and it was always a slow boring ordeal. I would consider going back to this same dealership in the future.,3.0
24,"June 27, 2018","I brought my truck in for oil change, and i got it back in a timely manner. I have no problem with Davis Chevrolet.keep up doing what you do best.",5.0
25,"June 24, 2018",I enjoyed my experience with Davis Chevrolet  salesperson George.  I was never pressured and all my questions were answered.  It actually took me a couple months to pull the trigger and durning those months I was never pressured to come in.  ,5.0
26,"June 23, 2018",Excellent amazing customer service great experience will totally recommend to family and friends will totally go back in any further purchase I will want amazing ,5.0
27,"June 10, 2018",Overall a great Experiance. Great customer service. Well versed and knoledgeble. Quality and wide variety of cars and trucks. Personnel were very nice and polite. ,5.0
28,"June 05, 2018","I purchased a used car less than a week ago and it is making a popping sound. When I asked to have this fixed at no charge to me I was told that I have to pay $100 deductible to have the issue fixed because the car was serviced to be “SAFE” not for noises. I took to my mechanic and was told the CV Joints need to be replaced soon because the broken joints could cause the axel to break. Doesn’t sound safe to me! 

On the positive side, my sales person was amazing. ",3.6
29,"May 31, 2018",?Sales person was very attentive and respectful of our needs. Negotiations were straight forward. Salesman explained all features of the vehicle before delivery.  Great experience!,4.7
30,"May 19, 2018",My sales person was amazing he help in every way to ensure I got the car I wanted he is a great car salesman thank you ,5.0
31,"May 14, 2018",Great service overall  our sales man was great to work with. Great customer service very happy with how smooth everything went. Would highly recommend them. ,5.0
32,"May 08, 2018","Great help from salesman, answered all my questions, made me feel comfortable, did not have to wait long, and was give a g r way deal on a brand new car",5.0
33,"May 03, 2018",Justin is a great service manager.  Always very welcoming!  The service department always does a good job.  The service department is also clean. I would recommend Davis Chevrolet to my friends.,4.8
34,"May 02, 2018","needed oil change. got there at 5:15 and was out by 5:50 on a Tuesday after work.
plus was able to use my coupon to reduce the cost.
Nice",5.0
35,"April 27, 2018","The team at Davis Chevrolet has always been so very outstanding, especially:  Martin Downey (Sales Consultant) and Justin Isham (Service Drive Manager).

Happy to be working with this superior team.

Thank you!
",5.0
36,"April 26, 2018",From salesman to finance to owner of dealership every one was great. My 5th car from same dealership in 20 years. I will return for another car sometime soon. ,5.0
37,"April 22, 2018","Great dealer, great salesmen from the moment you walk in to the moment you walk out they are with you at every step of the purchase.",5.0
38,"April 21, 2018","The salesman at Davis Chevrolet Jose Gonzalez was very professional, helpful, and nice. He took the time to make sure my husband and I were placed in a vehicle and that we were able to drive off today. He took the time to show us all the features and how they work. I will recommend anyone to this dealer and salesman. Thank you again for all your help. We will be back to get another vehicle ",5.0
39,"April 06, 2018","Thank you guys again
Great job
No problems to talk about
I will always come back for all service
I been dealing with you guys a long time",4.6
40,"April 05, 2018",Thankful that my oil change service was under 30 minutes. Ready to enjoy the rest of my day! Thank you to the technician for getting me out so quickly. ,5.0
41,"April 03, 2018","I had some problems that I was not aware of, but Davis Chevy has taken GREAT care of me for the pass 12 yrs along with Onstar.. Thanks",4.8
42,"March 29, 2018","I just cannot stop telling everyone’about my experience at Davis Chevrolet especially those that warned me what a hassle and a lot of haggling it would be. 
Jose aimed to please. After showing my disappointment with the first vehicle that did not have the features I wanted, Jose kept saying that he was going to find me something. To my surprise he did find the perfect car and he let me walk out of that dealership in my brand new car. I thought I was dreaming. I could not believe I was driving my brand knew car.
I had calls from at least six dealers however I was really liked the idea of Shellie calling to set up everything and the fact that Tommie wanted to say hello to me over the phone and meet me. Wow what treatment. 
I’ve gotta tell you though, Jose did not make a first good empress ion. I’m thinking this guy takes me out in the cold humid windy air and shows me a car with the most important features missing.  Once back at his office, we started talking and he learned more about me and what I had in mind. He then goes to work to find me a car. Everyone made me feel like there was a team working together to get what I wanted   Together they made it happen.
The selling starts after the first no and Jose has that spot on. 
I really liked Juan. He was telling everyone’ my birth year was 1974. He was sure that that was the year even when the creditor question him. No it’s 1974 he says. What a guy. He made me 30 years younger 
Overall I am very pleased with my experience with everyone at Davis Chevrolet. My heartfelt thanks to everyone. ",5.0
43,"March 26, 2018","upon arrival I was greeted by  Brad, helpful and informative, who began my check- in and patiently listened while I  sounded off about the noise I'm hearing(of course nothing was happening at the time, so I felt like a crazy person!!)..I was then turned over to Justin, to complete my check-in, he too was very helpful and informative, adding the, ""nice to see you again,"" reminding me of my last visit...bringing me to my courtesy driver, I forgot is name, but was very polite.. He had inspirational conversation... thank you fellas for making my visit ""Seamless""...",5.0
44,"March 25, 2018","Great customer service by Justin. 90,000 miles service was explain in full detail and also provided additional services that have not been served in the past.",5.0
45,"March 16, 2018","Y'all, this is the best experience I've ever had purchasing a vehicle. So much so, my mom is  Planning to purchase a vehicle in the near future.",5.0
46,"March 13, 2018","I have found that your service agent, Justin, has my best interest in mind and so far everything he’s said is true. I’m pleased with the service. Please give him a raise.",4.8
47,"March 08, 2018","me gusta davis chevrolet ,por su amabilidad y rapida atencion al cliente no tengo que esperar mucho tiempo, ademas desde que llega uno ala propiedad nos tratan muy bien ,gracias a todos muy amables",5.0
48,"March 07, 2018",Jamal was excellent he exceeded my expectations definitely have a lifelong customer in me.. If you are looking for car go to Davis Chevrolet!! Thanks,5.0
49,"March 03, 2018",Great Saturday morning service made appointment last week. Took only 2 hours even though 50’cars came in .   Mine came ahead clean area wait room area ,5.0
50,"February 23, 2018",Anohr satisfactory experience with Davis' service department. Kristopher Running and Lina were great.   Receiving a loaner and shuttle was helpful. Car running great so far.,4.6
51,"December 29, 2017","I purchased my 2017 Silverado extended cab on August on the last week immediately after the hurricane Harvey storm. During the deal I was promised to receive a spray in bed liner and was told to simply contact my sales person (Jamail) when ready so it can be scheduled and during this time I would also get a loaner vehicle. In September 2017 I called the receptionist in the sales department and she transferred my call to Jamail where I left a message however several days passed without a call back). Since my work requires a great deal of driving, my first oil change approached and it needed it so I scheduled it also Monday October 2nd at 8am. For my first oil change, I scheduled it online (received an email confirmation of my exact request) and it had a comment section where I indicated specifically I wanted the spray in bed liner  to be done as well. I assumed that naturally since I didn't have any luck with a call back from my sales guy this would most certainly be noticed and proceeded to go to my appointment on the date scheduled. I arrived to my appointment early in the morning and thus informed the greeter, letting him know the reason of my appointment: oil change and spray in bed liner, showed him the ""we owe you"" document I received during my purchase and he took it with him. I mentioned I was told of the loaner vehicle i was promised. He said that this is something he would check on and asked me to wait in waiting area so I did. Almost three hours passed and finally I was called to get my vehicle and was told I needed to speak to the service manager Sean who will tell me about the status on the bed liner. I waited some more time to speak to the manager who said that oil change was done however no bed liner as this is needed to be scheduled by the sales person who sold me the vehicle. No apology was offered even once by any of the people who spoke with me neither was my ""we owe you"" document returned other than what showed on my oil change receipt. It is now the end of the year and still I have had no luck in getting my sales person to call me back neither getting a sales manager to return my calls that I have left. I can understand that perhaps the sales person is no longer employed there and thus no call back however when even the receptionist transfers your call to the sales person you mention and transfers the call to the sales manager Tom Pearson, one would assume that at least a call would be returned by somebody. Alas this is not the case at all. ",2.0
52,"October 11, 2017",I just recently took my truck in for service the guys there did a great job. My experience from the beginning when I scheduled my appointment to end when I picked up my truck was really good. The guys did the service and also washed the vehicle for me. Every time I take my vehicle to serviced I am a happy customer. I will definitely recommend this department to everyone. They listen and understand your needs. I am very appreciative for their help and support. Thanks a bunch.,5.0
53,"August 25, 2017","Looked all over Houston area for a deal on a 2015 or 2016 Chevy Crew Cab LT truck for my son. After looking at 20 trucks, it turned out we could get a better deal on a 2017 from Davis Chevrolet. Mr. Bains, our sales rep, was great to work with and my Son is thrilled with his new truck.",5.0
54,"August 17, 2017","Service agent and desk receptionist were kind and friendly.  Drop off and pick up was quick, and easy.  They gave a courtesy reminder for when the car was ready.  I enjoyed my experience here.",5.0
55,"August 16, 2017","Tried to do the online buying process. They just kept trying to get me to come in. One lie after another. I did everything needed online. Finance, shop, trade in appraisal and they made me do it all over again. Don't waste your time. Oh and Jamail hung up on me but no one apologized for his attitude.",1.0
56,"January 17, 2017",Vic Tuli was very courteous throughout the purchasing process. He was well informed on all features of the product line and optional features offered by GM.,5.0
