,Date,Reviews,Ratings
0,"June 26, 2020","Would give a ZERO if it was offered.  I have a 2013 chevy sonic. Decided to take it to Huffines plano for 2 problems. The 1st, the air bag light kept coming on. The 2nd, a/c wiring harness had a short at the wire connection. Already knew where the short was, just hard to get to. The service tech diagnosed both issues. The air bag light was, according to him/her, was due to a seat belt tensioner on the drivers seat at the tune of over $400. The a/c needed a new connector and recommended a drain and recharge at the tune of close to $200. The a/c worked beautifully other than the short. I chose to have them go ahead with both repairs although In the back of my mind I didnt want the recharge. When I picked it up at the end of the day, the air bag light didnt come on but the a/c was blowing 2 temperatures. Was cool when sitting at a light but got cold when the rpms were up. I brought this to there attention. They suggested bringing it back in. The next day, I dropped it off. They called me and said the the a/c was within GM specs, BUT the air bag light had come on while he was driving it. This time, said the wires were spliced on the passenger seat so soldered the wires together. So the 1st repair I paid for was the wrong repair. All they had to do was solder a couple of wires, but didnt reimburse me for the original repair. I was left with an a/c system that doesnt cool like it use to when at idle and paying for the wrong repair from the air bag light. Have had several of my coworkers where I work at said they wont go there from this experience. One person said they were actually looking at a new vehicle but backed out from the experience I had of the service dept. Was concerned about the service after the warranty was over with. While I was waiting for the car to be brought to the front, I had struck up a conversation with another customer that said he has had to take his equinox in to the service dept several times for the same issue and a wallet that was drained quite a bit over his visits without really getting the vehicle fixed. ",1.0
1,"January 22, 2020","Best dealership I have ever worked with. Joby Jacobs is the sales person you want to work with. He is up front , honest and gets you the best deal. The sales managers are great also, Matt and Chris! The financial guys are wonderful, Bryon and Jeff. I love this place so much, I bought 2 cars in December from them. Please get the wheel and tire warranty. I have already used it. ",5.0
2,"January 13, 2020",My new Chevrolet Malibu bought from Huffines Chevrolet Plano has required five batteries in six years.  The car leaves me stranded about once a year when the battery goes dead.  There was a recall for this very problem but Huffines never let me know.  According to the recall the Generator Control Module does not function properly in this car and causes a gradual loss of battery charge.  Instead of replacing the GCM like they should have they replaced my battery over and over and charged me for parts and labor.  Their service advisor says he is going to talk to their GM about my problem but he doesn't take my calls and doesn't call me back when I leave a message.  I've called GM and opened a case with them to attempt a resolution.  ,1.0
3,"December 13, 2019","Best customer service I have ever experienced.  They were professional, informative very polite and helpful!  I highly recommend Keith and the Huffines service department for all of your car service and repairs!!!",5.0
4,"November 22, 2019",I have had my daughters car in service twice the first time they left the trim off the front of the radio this week they changed the oil and checked the filters. When they checked the cabin filter they left stuff in the glove box on the floor and when they check air filter they did not put the screws in i have bought 3 cars from Huffines and expected better service. when i took my jeep to huffines they me i had oil leek I have checked every few days oil has been fine.,2.2
5,"August 15, 2019","So we get a GM letter in the mail stating that our car may have issues with code P0171 with rough idling so I call and make an apt. and was told by PAMELA.TINSLEY@HUFFINES.NET that a loaner car will be provided under special coverage. So I tell my son to take it to Huffines and when he gets there they tell him there are other codes as well as P0171 on his car and that they need to run a $49 diagnostic that we would need to pay. I say heck no just fix the P0171 code since that is what the letter says, nowhere on the letter it states we need to pay in fact it is free! Lets move forward to the loaner... again, PAMELA.TINSLEY@HUFFINES.NET told us the loaner would be covered and now the guy tells my son that ""Pamela shouldn't have told you that"" so now its our fault and my son doesnt have a ride and must sit for over 2 hours for them to finish!!! NEVER GOING HERE AGAIN!!!!",1.0
6,"June 14, 2019","Keith is so helpful, he is polite, he communicates with you every step of the way, and you can tell he is always smiling even over the phone. Usually people find dealerships scary, but he makes it so pleasant. I would ABSOLUTELY be sure to go to him again, and I recommend him to anyone in need. ",5.0
7,"April 07, 2019","I recently leased a Chevy Traverse here, and I can tell from my own experience “their staff is second to known” Starting from Juan Torres ( very professional at all times)

Thanks again to everyone who helped me within the process.

Sincerely, 
Enrique Martinez ",5.0
8,"March 28, 2019",I HAVE PURCHASED 4 CARS FROM THE HUFFINES DEALERSHIPS. 2 FROM ERIC STOVALL AND 2 FROM FRANK  WHITE IN NEW CARS. ALL OF MY EXPERIENCES WITH THOSE GUYS HAVE BEEN AWESOME. EVERYTHING HAS ALWAYS BEEN DONE IN A TIMELY MANNER. I APPRECIATE  YOU GUYS. SALES MANAGEMENT SUCK.,5.0
9,"March 13, 2019","I found my experience at Huffines Chevrolet in Plano to be my best dealership experience. Sean was very knowledgeable about the product (a Camaro), was responsive to my questions without ""Selling"" me, and creatively help figure out how to best handle my situation.

Additionally Jeff in finance was exceptionally helpful and informative.

On balance, Huffines provided a super experience.",5.0
10,"March 04, 2019",I would like to give a big thanks to Joby Jacob he help me find my vehicle with no pressure . Was great listener provided great customer service . The paper work process was easy I’ve been to other deals they take forever going back and forth with pricing . I know I can count on him for service will come back for my next purchase .,5.0
11,"February 18, 2019","Excellent response, great communication. They went out of their way to find the exact car we wanted. Car was ready and waiting when we went to sign the paperwork ",5.0
