,Date,Reviews,Ratings
0,"April 21, 2020",I bring my truck to get serviced here and I have never had any issues! Mac Haik Chevrolet has amazing staff members throughout the entire dealership! Great deals as well!,5.0
1,"April 18, 2020","Mac Haik represents the true definition of ""American Greed""!

I have been a Corvette enthusiast and owner since I was 19 years old. Over the last 45 years I have owned 8 Corvettes. I am currently driving my 2016 Z06, which is a fantastic car, but when I saw the 2020 and the price that GM announced they were going to sell this world class sports car for, I was excited.

On January 27,2020 I decided to pull the trigger. I was referred to Mac Haik and contacted them the same day. I provided my contact information and ask that they contact me upon availability of the new C8.

On April the 2nd, in the midst of the pandemic, I reached out to them again asking if a 2020 Corvette became available to please contact me, just assuming that someone sadly, may not be able to take delivery of a current order.

On April 4th, I received a text that one had become available. I immediately ask what I needed to do?

The next text I received, was disappointing to say the least: ""$10,000 above list bro""

I responded by offering to pay full list, but my offer wasn't accepted. 

In addition to not getting that amazing car, the other most disappointing part was that GM has produced a world class super car that is truly affordable.  They could have also been ""greedy"" and priced it much higher and still sold cars, but they didn't. They priced it where a current Corvette enthusiast could continue to drive the American Dream Car.

It's a shame, that a Mac Haik's greed kept me from having the opportunity to own ""my"" next dream car!

There are GM dealers that don't believe in this practice and when a C8 becomes available, I will own one!",1.0
2,"April 15, 2020",Wonderful customer service at Mac Haik Chevrolet! Everyone is always so friendly here not only when you buy a car but even when you take it to get serviced!,5.0
3,"April 10, 2020","Mac Haik Chevrolet has really blew me away with the way they provide the best customer service! I went in with a price in mind, I would not pass that price and unlike other dealerships they actually worked with me to stay under the price and offer me everything I wanted. They really go the extra mile to please the customers, I loved my new car buying experience!",5.0
4,"April 06, 2020","Just bought my new Silverado here for an amazing price! Mac Haik Chevrolet offers the best pricing you will not find anywhere else. I had gone to various companies before reaching them and really to save anyone time, they really work with you in order to receive the best pricing here!! I was able to be out within no time, very easy, stress free buying!",5.0
5,"March 09, 2020",Mac Haik Chevrolet has the greatest team! From buying your car to getting it serviced they do not disappoint. Just how they treated me when buying the car is the same way I was treated when going in for a service. They provide professional friendly customer service!,5.0
6,"March 03, 2020","If you are looking to buy a car you need to go with Moe at Mac Haik Chevrolet! He is sure to provide you with a great price and the most nicest service. I really liked the way he was able to consider my budget and work with it he did not try to up sell me into getting out of my price limit. He gave me everything I was looking for in the price I was looking for, I couldn't be happier with my new Camaro!",5.0
7,"February 27, 2020","Tracey in the parts department is the best employee Mac Haik Chevrolet has! He is always so helpful and provides the best customer service, whenever I am having any issue he is the guy I go to because I know how he will provide me with honest work. I have really grown to relay on him for anything that messes up in my car, he makes Mac Haik Chevrolet the best!",5.0
8,"February 23, 2020","There's a good reason there are so many 5 star ratings for this dealership.
Anthony was extremely professional and worked hard with us to get us the best deal on my Equinox, without being pushy or impatient on the sale. Josh was very welcoming and informative about not only the car buying process but the industry as a whole. Overall it was a true pleasure to work with Mac Haik and I will definitely be referring all my friends to this dealership. ",5.0
9,"August 02, 2019","If I could give them 0 stars, I would.

Very disappointed in the customer service and our purchase of a 2013 suburban. After they had our vehicle for 5 days to do the verbally agreed upon repairs to the interior, and a complete detail as if the vehicle was to go out to be sold, we arrived to pick up the car and not only was it filthy but half the agreed upon repairs were not completed. Unable to leave it, due to prior commitments, and the sales man and manager we dealt with were not present, we then had to deal with a second manager. I called and set up an appointment to return today. I arrived early and dropped off the vehicle (mind you of 11 days, we’ve had the car a total of 5, the rest they’ve now had it), and I mentioned a couple issues that arose while we had it. Minor (broken sun visors, and the drivers side handle broke on day 2 of having the car and needed to be glued back together if not replaced) but I asked if, due to the hassle of having to return a second time, after they had it for 5 days already and didn’t complete their end of the bargain, if they would handle those 2 small issues as a courtesy to us for all the inconvenience of not completing the agreed upon issues. The manager then told me that if I had issues after purchase, it was not his responsibility to fix them. I informed him that yes I understand that, however if his company had kept their end of the bargain and done what they were supposed to the first time, we wouldn’t be having this conversation and I wouldn’t be asking him to address these issues. He said he would see what he could do. We received a text, not even a phone call, around 5 pm today letting us know it was ready for pick up. Upon arrival, there was still dog hair and dirt and trash in the car, a few blatant issues I pointed out (oil on the side of the cargo area, blue marks on the inside of the hatch) were taken care of, but the filthy handles, dirt, dog hair, coffee stains down one side, greasy finger prints on arms rests, and the list goes on, was not done. Nor were the additional issues I asked to be addressed as a courtesy as we had to return. I was informed the manager had gone over the car with a fine toothed comb and then I was told “well this is a used car, everything isn’t going to be perfect” as if that was supposed to fly for them half-assing what they had committed to doing. Apparently to the Mac Haik staff, a used car is a trashed car and that should be acceptable. We are sorely disappointed in the subpar customer service and will never return. Find somewhere else who will actually hold up what they commit to, and take pride in their products, new or used.

One of their managers commented on my review elsewhere, asking for more information so he could remedy this. After emailing on July 21 (today is August 2), I have yet to receive a response. It seems they stand with their subpar service, and do not want to remedy this.
",1.8
10,"July 09, 2019","Regardless if you buy a vehicle from them, they treat you like you have. Always treat you with respect and as if you are their top priority. Always keep you advised of status with timely updates. Not the type of service center to find ""upcharges"". They know their customer service and treat everyone as if they were family.",5.0
11,"April 30, 2019",Erwin helped 5 members in my family buy 5 vehicles. Me being the 5th great salesman thank you Erwin and Mac Haik.would refer anytime ,5.0
12,"April 09, 2019","Went in just looking to see what options I had, and Hector Acosta showed us all sorts of cars until we found the perfect one! He was super patient and helped me get financed on my first auto loan. Don't want to leave Mr. Wayne (used car manager) out, he worked to get us the best financing possible and made this all possible. Thank you both! SHOUT OUT to Hector Acosta his number is 281-467-9924, hope you sell lots of cars :)",5.0
13,"March 31, 2019",Ruhail and Brian worked provided great service. Process is a little slower than I would want but overall great experience. Internet inquiry process did not work I didnt get any calls after sending internet inquiry. I called dealership directly.,4.8
14,"November 14, 2018","My sales rep was Justin Watson, He messaged me when I was shopping online and he had no problem going and putting his “ hands on” the vehicle I found online. He had it up front when I arrived and made the process quick and easy!! Gaston was very thorough in his paperwork and even found me some more money off!! I would highly recommend this dealership and they have my business. ",5.0
15,"September 17, 2018",Ask for Stephen Rients. He is very friendly/helpful. Went above and beyond to help me find the perfect car for me. He was very patient and answered all my questions. It was definitely a great car buying experience. ,5.0
16,"December 15, 2017","We came in after our Internet search for a used car lead to McHaik Chevy. Met Max Dao and he was very nice and pleasant. He showed us the car, advised us on the features of the car and also showed us other cars in our price range so we know our options. We ended up with another car that had less mileage, leather seats, and a lot of nicer features for just a bit more. The sale was quick, no pressure, no back and forth with the “manager” and we didn’t waste a whole day there. Thank you Max Dao and the McHaik Chevy Used Car team!",5.0
17,"December 15, 2017",Ask for Chris A.  He is friendly and always willing to assist.  My service was fast and reasonable price.  Thanks service staff.  Happy Holidays. Denise Singleton ,5.0
18,"December 05, 2017",AJ was great. He was very professional and had me in my new vehicle and out the door very quickly. I will recommend Mac Haik to my family and friends. ,5.0
19,"December 01, 2017","Mark Bayoneto and Shawn Cranford are amazing!  Mark never gave up on me until I was fully satisfied with the deal.  It's because of him I decided to purchase again.  Shawn ensured top notch financial transaction.  He quickly and promptly followed up with with questions and concerns after the purchase.  He was the lynch pin for me in coordinating with other staff members, he never let up but pressed hard in spite of new customers he dealt with daily.  Both are highly professional, they put the customer first!!  Mac Haik should use them to train other staff members on customer service ideals.  Their customer service ideals are impeccable!  Strongly recommend Mac Haik's leadership provide special recognition to both of them.  RPP",5.0
20,"November 22, 2017",I was pleasantly surprised at the no pressure experience at your dealership.  The price was fair and competitive on the vehicle that I wanted.  Everyone was courteous and went out of their way to treat me like a customer.  My sales person Thomas Pina took care of business quickly and professionally.  I own a business and know what good customer service should be.  Very pleased with the experience at Mac Haik Chevrolet.,5.0
