,Date,Reviews,Ratings
0,"January 25, 2020","While looking for a new family vehicle, we looked all over Central Texas and dealt with about 5 different dealers and probably a dozen sales reps. Without a doubt, the team at Jim Turner Chevrolet is the best around. No pressure. Fast responses. Honest answers. Just an A+ experience, and Josh was great. If you hate car shopping (like I did!), give Josh and the team at Jim Turner a call. You will not regret it.",5.0
1,"January 07, 2020","I bought my (new to me) vehicle from Josh, and the entire experience was so easy! We drove in from out of town, barely making it before closing time. He let us test drive on our own, while he inspected my trade-in. He had already prepped all the paperwork, and we drove our new car out of there within an hour! Easiest car-buying experience I have ever had. Thanks Josh!",5.0
2,"December 19, 2019","I bought my new Traverse from Josh . It was a great experience and it was made easy .  When service was needed
we called him to help us out . He set up the appointment and we had a nice visit while the car was getting serviced .
We will never buy any other place .",5.0
3,"November 08, 2019",I felt completely comfortable with no pressure to buy anything I didn’t need or want from Josh. Blake in finance was very thorough and explained everything to me in terms That made sense. Thanks to the team at Jim Turner Chevy. ,5.0
4,"May 12, 2019",Josh was very friendly and welcoming to the dealership.  He made our entire experience a pleasure. Clay from Finance was very friendly and had us in our new car quickly.  I would recommend Jim Turner Chevrolet to anyone looking to purchase a new or used car!,5.0
5,"May 01, 2019",I have been looking for this car for over a year and I finally found it. In one day everything was complete and I was able to drive from Amarillo to pick it up the next day. Amazing service! ,5.0
6,"April 01, 2019","What an experience!!!! My son wanted to look at a used Mustang so I went along for support. As soon as Josh greeted us I felt such a welcoming and warm spirit from him. He allowed us to go for a test drive and the rest is history. I have never experienced such a smooth transaction when purchasing a vehicle  ever. Josh and Clay (from the Finance Department) made each step a pleasant one. Jom Turner Chevrolet is the truth!!!!!!

From the bottom of my heart and Amir's, it was truly a pleasure to have met each one of you!!!!!!",5.0
7,"January 15, 2019","THIS IS AWFUL. THEIR SERVICE DEPARTMENT, THEIR BODY SHOP, THEIR SALES DEPARTMENT. ALL OF IT IS COMPLETELY AWFUL. I HAVE BEEN BUYING CARS AND TRUCKS THERE FOR OVER 10 YEARS AND I WILL NEVER DO SO AGAIN!!!",1.0
8,"December 23, 2018",Experience with the staff was pleasant very helpful and worked with my circumstances.  Everyone was friendly helpful the experience was great. Had purchased a vehicle there before and knew that service was great.,4.0
9,"October 25, 2018","I have been buying cars for nearly 30 years, and my experience with this team has been the most outstanding of all!  They are honest, personable, and incredibly efficient.  They listened to what I wanted and needed.  Their responses all exceeded my expectations.  I will be back to buy from them again just as soon as I can.",5.0
10,"October 17, 2018","This is our third vehicle we have purchased dealing with Josh Riley. He makes the process easy and does not pressure the customer in anyway. He looked for the very best deal he could find for us, and we drove away in our 2018 Chevy Silverado!!

We will certainly return to Josh next time we are in the market for a new vehicle!!

We would recommend Josh anytime!!

Thanks for showing us ""old folks"" the bells & whistles of our new truck!! Appreciate your patience and knowledge!

Ronnie & Linda Hoggatt",5.0
11,"September 17, 2018",Josh practically bent over backwards to make our deal happen. I traded in a Tacoma and bought a Chevy SS sedan. We got a good offer on our truck and they got us down to the payment we wanted. I’d reccomend Jim Turner Chevy to anyone! So very happy with my new ride. ,4.8
12,"September 16, 2018","Josh, Stan, and the entire Jim Turner dealership were amazing. They went out of their way to find the exact car I wanted and had it sent brought to the dealership. Great group of people committed to customer sausfaction. I love my new car!",5.0
