,Date,Reviews,Ratings
0,"December 14, 2019","After saying they could repair our Cadillac's leak and spending almost $6000 our vehicle is worse off than before. We tried taking it back but they decided to wait us out by ignoring it and let it sit in their lot. The first time it took 12 weeks and cost us a battery this time I refused to let Leo Martin take advantage of us again.
All I can say to the people of Lake Jackson "" Go elsewhere to buy your Chevy this isn't the dealership Leo Martin built """,1.0
1,"February 27, 2019","On Saturday I went to Leo martin in lakejackson n talk to mr.jay n ask him on a price on a 2019 rst chevrolet that the sticker price was 55k n he told me the actual price for that truck was 69k cause they put 14 k of upgrades so I ask him what was the rebates on it n he said let's ask mr.jason the manager after mr.jason n i had a conversation he agree to give me 20k for my truck as a trade in n he agree on giving me the 2019 truck for 47,500 wish he was giving me a he'll of a deal since it was already time for me to go back to work after 2 hours mr.jason call me n ask me to fill  my application over the phone n I told him that monday I'll fill one up in person with them wish I did come Monday I fill up the application n was ready to buy the truck when mr.jason send me to another manager saying that he apologize but the truck can no longer let me have it for 47,500 but he can let me have it for 58,500 n I ask  him why if we agarre on Saturday on 47,500 he said I thought you were talking about a white truck 2018 n I said to him me n Jay the sales person put our hands on the truck n mr.jay said it in front of the two of us yeah Jason mr.rios is right n mr.jason got mad n took mr.jay to the back office n started talking to him n Would not let him back to talk to me mr.jason came back to the office were I was n said to me we all make mistakes but that truck I can not let you have it for what we agree I'm sorry n walk away so I'm just kind of wondering how many people has gone thru this what kind of customer service n what kind of unprofessional service especially coming from a manager ",1.0
2,"February 05, 2019","I brought my car to the collision center and was told the repair would take 3-4 days. It didn't. Every time I called to see if my car was ready they would tell me that it would be done in just a couple more days, but it never was. They had no explanation other than it would just take a little longer. They never called me to tell me of a delay, they just waited for me to call them, and about half the time they were unpleasant when I asked why it was taking so long. Finally, after four weeks, they called to say my car was ready. When I arrived an hour later they apologized and said that it wasn't ready, but it would be ready tomorrow. They kept my car for four weeks and a day. My advice is this: Do not ever do business with Leo Martin Chevrolet. I certainly won't.",1.6
3,"August 09, 2018","Great people to work with. Very knowledgeable, nice selection of trucks they had the truck I was looking for. At a price I could agree with. ",5.0
4,"October 07, 2017","I was driving from Oklahoma City to lake Jackson and my oil life monitor flashed 0% so it said to change oil soon. I pulled into this dealer at 430 pm hoping to get an oil change. I was first advised that all the oil techs were done for the day and referred to a jiffy lube down the street. Just before I left the service area  Steven Busch, a service adviser came over and told me that he had found a late working tech that would do the oil change for me. He offered me a bottle of water and a seat in the reception area. He understood my urgency and he went out of his way to find a solution. In 30 min I was on my way at a good price. Thank you Steven Busch for great customer service. What a great service department.",5.0
5,"August 05, 2017",They lied to me several times ! I've bought two new vehicles from there but never again. They will say anything to make a sale! Go to another dealer!,1.0
6,"June 28, 2017",I took my car that I bought 4 yrs ago in to get worked on.  They not only got it done but did it in a timely fashion and with super service.   Thank you for taking such good care of my favorite car.  I have been doing business with this family owned buisness for 25 years and plan to for the next 25 years.,5.0
7,"June 12, 2017","Our college age daughter needed a car sooner than expected, and after talking to Richard, we found the perfect car for her. His service, along with Jason and Reagan's advise helped us make the desission to purchase a Chevy Cruze.  Would certainly recommend Leo Martin Chevrolet if you are in the need for a new or used car! ",5.0
8,"June 05, 2017","I told Terry exactly what I was looking for. He called to let me know they have it in stock and asked when I would like to come in and look at it. After my test drive and negotiating price, I left and told him to have the vehicle and paperwork ready in the morning. I was in and out. Easiest buying experience!",5.0
9,"June 01, 2017","We were very satisfied with the sales service we received from Jason, Reagan, and Terry. We could not have asked for better response to our questions, especially given that we were not local to Leo Martin's dealership and needed to work most of the buying process telephonically and via email/text. Reagan was so patient with us. He responded in a timely manner to every question we posed. Terry spent at least an hour just going over the operation of the vehicle with us and made sure we were comfortable before sending us on our way back to San Antonio. Jason took care of all the paperwork and made sure we were aware of all the warranty options, but at the same time did not pressure us to buy anything. Just an overall great experience. I would definitely consider Leo Martin for any future GM purchase.",5.0
