,Date,Reviews,Ratings
0,"June 08, 2020","If anyone is looking for a good first experience on buying a car or looking to buy one i recommend L.A. Warren Junior at clay cooley. since i arrived he was very polite , reminder myself having no clue about cars... he explained the process about financial issues every step of the way ,was very clear and consistent about explaining the entire process and is a pro at his job! He can help with anything and i’m glad i found this place.",5.0
1,"June 08, 2020","I went to visit Clay Cooley Chevrolet today and I was pleased by how I got helped today. It is my first time buying a car and have no clue how the proccess is, thankfully I got enough information and now I know what to do when I buy my first car. I recommend L.A. Warren, Jr.  He was very helpful and nice since I got there and explained the whole process of buying a car. ",5.0
2,"May 30, 2020",LA Warren was very best salesman ever.  I was introduced to GM Kevin Herlehy who along with Mr.  Warren provided me with an exceptional customer service experience and a great deal.  I am very happy with my experience here and encouraging others to utilize this dealership in their auto buying experience. ,5.0
3,"May 13, 2020","I spoke to David in the internet sales department.  I inquired about a car they had that I found on Car Gurus.  I emailed them and then called them.  Everything seemed to be going well in our conversation until we came to dealer fees.  They charge $2,495 as a mandatory add on for a GPS tracker.  Yes, that is two thousand, four hundred,and ninety five dollars.  I told David I had no interest in that package and he said it is mandatory and if I didn't want the GPS tracker installed that they would just raise the sale price of the car by that amount.  Keep in mind this has nothing to do with the bank wanting a tracking device as I was planning to pay cash.  It is sad that the dealership feels the need to false advertise the price to get customer interest.  If you want a certain price for the vehicle then ask for it.  Don't mislead people with the hope that you can convince someone that adding $2,495 for fluff is normal.",1.0
4,"May 06, 2020","Terrible dealership.  Gamesmanship and upselling.  Drove 45 miles after speaking to Don Johnson and was first time told when i got there that dealership would not honor the price advertised on cars.com. Talked down to me and claimed i should have clicked more somewhere else on some page and then it would mention a $2,000 add-on. Never saw it.  Stay Away.  Bait and switch. Never treated so poorly by a dealership.",1.0
5,"January 03, 2020","I got suckered by these people for about a week. It was completely agonizing. So first I communicate with the online chat people. They were very nice and it was easy. The I get a call from the first sell person John C. I tell him I'm very busy and my last car I bought was though Carvana which kind spoiled me (by the way very seamless and straight forward), I said I do wan to come down there and sit in a dealership all day for ya'll to tell me what you can or can't do. If you tell me you go a deal I will come down. He tells me to fill out an app online. After I filled out my app I text him and let him know and he never got back to me, so that alerted me right then so I text back and say don't run my credit. About 20 minutes after that I start getting alert saying that Clay Cooley ran my credit smh. Then a few calls and some text from someone named Will B saying that he was calling from Capital One Bank and that he works out of Clay Cooley he said that he needed a copy of my Drivers license and check stubs to he can process my loan. So I was like ok maybe they go me financed. I asked him for his email so that I can email it to him from work and he gave me a yahoo email. So from that point I didn't send any identifying information. Then Comes John F. lol (another joke) I tell him that I'm tired I don't want to keep doing this it's frustrating, he was like ""no we can get you a deal"" I was up front about my situation from the beginning, I'm upside down on my current car I want to trade it in. I know that I'm going to have to pay more for my note my credit score is a 643 and I have more than one car loan however they have never been late. He said oh no I can get you a deal. We go back  and forth for a while then he said I got you a deal come on in (xxxxxxxxx again) I come down after work. Get there and he bring to his office and says he'll be right back he goes to finance talks to him then goes and deal with his other customers. Then ask me do have I have someone that can co-sign. I just laughed and said if I needed a co-signer then why didn't tell me that before. He said because he just found out. I said you said you had a deal. Then he said he'll be right back again and this big tall guy walks in there mind you I dealt with him before at Nissan he was disrespectful then and I guess they use him for intimidation. He tell me that I need a down payment I said how much then he leave out and I wait another 15 minutes and I called John F and told him that I was leaving. I tell John that he full of it and I'm going to write a review about the way I was treated then he said let me help you. He comes back and says that he found a deal for 2800 and my notes would be 589 I say that I don't have 2800 he said he'll check with the bank again and the bank is Westlake financial. I said that I can't pay that much down it's right after Christmas I have a $1000 then he said $1500, I said I have $1000. He said ok Ill call the bank tomorrow he never called back I had to call him then when I did he said with someone with Credit like yours they wanted $4000 I talked them down to $2800.00 So I said show me the deal in writing and I never heard back from them. So I wouldn't recommend this place to an enemy. They are shysters and liars.",1.0
6,"December 21, 2019","This dealership delivered what was said with the payments we wanted.  We didn’t mind driving the extra miles, and ended up buying two cars!",4.0
7,"December 07, 2019",Service adviser let me know that my vehicle would be ready for me to drive home soon . Every time I get to the dealership they have always been very professional. ,3.8
8,"November 21, 2019","It was the worst exp i ever had ,when i asked to compare the same car price to other Dealer  ,car price which was the same car,the Manage made racial comments ,he was very very Rude ,and persist to sell the car ,one we did not want to Buy ",1.0
9,"October 25, 2019","This is hands down THE WORST car buying experience I have ever had. They are shady to upmost! I went in with a pre-approval from Capital one as well as a trade in finance thru Cap 1. I pointed out issues I had with the vehicle BEFORE the purchase and was told that they would be taken care of...Long story short, THEY WERE NOT. I ended up having to call capital one and have them pull the financing in order for this dealer to do WHAT  THEY WERE SUPPOSED TO DO ANYWAY! With the financing pulled, they started talking a different tale. This grimy manager came out stating that he had agreed to doing these things already and he doesn't know how that was miscommunicated. A LIE! I asked the sales person SPECIFICALLY and he told me the dealership was refusing, but he might be able to do it out of his own pocket. On top of all of this, I checked my credit and they ran my credit ELEVEN times. Why would you even need to run my credit once when I come in with a PRE-APPROVAL! I will never buy from this dealership again and if you're smart, you won't either!",1.0
