,Date,Reviews,Ratings
0,"May 06, 2020","We had been searching online for a while for a Yukon Denali XL for our family of 7.  I happened to come across the Holiday website and found ""the car"" that we've been looking for.  We live in the Northeast.  We have not purchased a car from out of state before, let alone halfway across the country.  I was worried that it might be too complicated, especially during a pandemic.  I called and reached Jeramy H.  He was extremely kind to speak with and he was very patient with all of my questions. He was very easy to work with and to get in touch with and he was very responsive.  He made the entire process so easy.  Even during a pandemic we had the car within approximately one week from my first phone call with Jeramy - all the way from Texas!  We were very pleased with the car when it arrived.  The transport went smoothly.  The car was as expected (beautiful!).  The price was right.  Overall, we were very pleased with the transaction and would absolutely do it again!  Thank you to Holiday and to Jeramy for helping us get the vehicle we've been looking for and for making the process so easy.",5.0
1,"April 03, 2020","Best truck buying experience I’ve ever had. Phenomenal customer service. I’m a lifer now, as well as my wife! Well worth the drive.",5.0
2,"February 12, 2020","Great buying experience with the internet sales department. Kraig contacted us immediately, got the paperwork to finance and Peter took care of our financing immediately with a better than expected rate. Kraig even had the documents sent to us to sign.  The whole process was easy and stress free.  Thank you Holiday! ",5.0
3,"September 28, 2019","I was in the market for a new 2020 Silverado HD and began my search online.  After finding a truck I was interested in with what seemed like a great internet price, I inquired online with Holiday Chevrolet and was promptly contacted back by their sales consultant, Greg Betts.  Although Greg's emails were all short and to the point, he confirmed the truck was in stock and answered any and all questions that I had.  After 3 or 4 days of me trying to find a dealer within a 300 mile radius that would beat their price, I went with Greg at Holiday and have absolutely no regrets.  (I even had 2 other dealerships that told me to ""run and buy that truck at that price because they couldn't get close to that deal"".)  The entire staff was friendly and the whole process of test drive, paperwork and truck preparation took just a couple of hours.  Very satisfied and I will definitely shop with Holiday Chevrolet in the future.",5.0
4,"September 06, 2019","I bought a vehicle from Holiday in 2018 and had a good experience. This year (2019) I wanted to buy a truck, and Holiday Chevrolet had great deals on Silverado’s. I found the one I wanted, and got the deal done via text with Kraig. One catch, I live in Houston. Kraigs said no problem and had the truck delivered to my house for a small fee. The next call I get is from the driver Brent and he was extremely polite and professional. Brent confirmed the day and time of delivery and made sure that it worked with my schedule. When Brent and Lee showed up, I inspected the truck with them, signed paperwork, and they were on their way. This by far is the easiest vehicle I have ever bought. 


",5.0
5,"August 20, 2019","I purchased a new truck on 8/19/19 from Holiday Chevrolet.  Prior to the purchase, I contacted the dealer through the website (I live almost 2 hours away from the dealer).  I promptly received a call from JD, inquiring what I was interested in.  After getting that information, I received an email with video of a truck just a few minutes later, detailing the exterior and interior, all done by JD in the few minutes after my call.  He assured me of the sales price, and when I called him back, he gave me the ""out the door"" total with TTL.  No one around could match the deal he gave me, so I couldn't turn down the opportunity to buy.  He got all of my personal information and gave me the next steps to complete the sale.

Later that day, when we arrived, JD had the truck gassed up and waiting out front for us to check out.  Shortly after, we were able to do the paperwork (really it was mostly done electronically).  That process only took about 20 minutes.

I couldn't be happier with my experience.  It was the easiest vehicle purchase I've ever made.  They will be my first call the next time I'm in the market for a new vehicle after this experience!

",5.0
6,"August 10, 2019","We'd been shopping for a very specific make and model for several weeks and finally found one online. Communication with Kraig Clement was easy, prompt, and above all painless. Felt very comfortable with Kraig from the very first phone call. No spin, no nonsense, just straight up facts and figures. Fast communication. The whole deal was closed over the phone in less than 24 hours. Flew into DFW where Ken, their shuttle driver was waiting to take me to the dealership. Took the car for a ride, came back and met Peter Alvino to do the paperwork and was on my way in less than 30 minutes.There was no sleazy upsell tactics like the last time we purchased a car from the VW dealer in AMA. No vehicle etching scam, no warranties, just sign, write the check an on my way.

So like the title of this review is, if you don't want an awesome smooth experience, go somewhere else, but if you are looking for that rare honest car salesman, contact Kraig!",5.0
7,"July 19, 2019","I found this place on Autotrader and their prices looked very good, but I was skeptical. After reading many positive reviews I figured I would contact them. I dealt with salesman Kraig and we pretty much worked everything out over the phone. I flew into DFW and they picked me up and took me to the dealership and I was in and out in no time and on the road. I had a great experience dealing with Kraig and the driver that picked me up at the airport. I highly recommend you call Kraig if you are looking to buy a new vehicle. This place is legit and is the real deal. Will save you a lot even after paying for travel expenses. Well worth the trip.",5.0
8,"May 24, 2019",Everything the dealership told me happened in a quick and timely manner.  They drove down to drop off the new truck and pick mine up with no hesitation. ,5.0
9,"April 17, 2019","My husband and i purchased 2 new vehicles from Holiday Chevrolet. The staff was amazing to work with. They spent 2 days with us making sure we were happy with the purchase, and we got exactly what we needed, and wanted. the service department has not great hours but their work is super fast, and everyone is always so pleasant. ",5.0
10,"March 23, 2019","Do your home work before showing up at Holiday Chevrolet. I was there today 03/23/19 and spoke with sales consultant Brent Mathews. The dealer provides a calculator on their website www.holidaychevy.net for a lease or finance for each vehicle, providing you payments estimates for each preference. But according to them the LEASE calculator which provides you a much better deal IS NOT WORKING. I did my research before going out there and make sure the numbers were accurate so I would not looks stupid in front of them. They would not provide me with the numbers and not even the information about leasing the vehicle. All they said was ""the number are not good"" and they would not honor the numbers that is on the web site and not even show it to me. Complete wast of time, LIAR, LIAR. I would recommend visiting Stonebriar Chevrolet or any other and see for yourself the difference. I would NOT recommend them to anyone and will file a complain at the BBB. They should not be providing a tool online that is not accurate and just tell that is not working. Why are they allowed to make FALSE ADVERTISEMENT and not be punished or have to remove the Tool from the website. We need to make them responsible for their acts.",1.6
11,"February 28, 2019",Let me Just say I was shopping around for cars and didn’t find a dealer that made me feel like i was comfortable and that they actually listen to me until I came to holiday cheverolert and Met Nic Greene and David Johnson They made My car buying experience hAssle free !! Worry free They listen to what you need and they make it happen !!! I’m so happy with the purchase of my vehicle words can’t explain and I’m a tough customer These Two really went above and beyond for me if i could give 10 plus Stars i would i will never go to another dealer i will send everyone I know To Nic Greene and David Johnson at Holiday chevorolet !! Thank you all so much For having such wonderful Salesman! Please if you are looking to purchase a New or used car Please Go See Nic Greene !!! I promise you won’t be sorry Thank you again Nic Greene and David Johnson i will always be greatful !!!,5.0
12,"December 01, 2018","Jason Leatherwood was highly recommended by a family friend, he got us a great deal on a new Silverado (15k off).  We look forward to buying our next Chevy from him! ",5.0
13,"November 29, 2018",I bought a new Ford in 2013 from Holiday Ford.  So when I was looking for a new Chevrolet I thought I would check the website and see if they had what I was looking for.  Sent an inquiry and Nic called me.  The truck I found wasn't what I was looking for but Nic suggested another that was exactly what I needed.  Bonus the price was less.  Made the drive from Oklahoma to test drive and start the paperwork.  Start to finish a great experience.  Right truck right price Thanks Nic.,5.0
14,"October 12, 2018","Had a issue with my truck after servicing, dealership sent a tow truck to my house for pick up. They ordered all new parts for a complete repair, gave me a new loner to drive, and not a dime came out of my pocket. Thank you Holiday for standing behind your word!!!  TB Whitesboro, Tx",4.8
