,Date,Reviews,Ratings
0,"December 19, 2019",Got in and out fast with good information   Price could be a little lower would make me wanna come back more often. Offer better coupon deals ,3.8
1,"December 14, 2019","Have used Jm chrelilet many times. Jorge is especially professional, knowledgeable and courteous. His team  are awsome.  Will this team again in the future. BLH",5.0
2,"December 12, 2019","Alex R. has always been so professional and very friendly. He's our go to person all the time, as this is not our first purchase here. Excellent service!. It feels amazing that you are well taken care of and all your needs and expectations are highly met! Thank you JM Chevrolet $ Alex Rodriguez!",4.8
3,"December 11, 2019",Aaron went above and beyond to make sure I got what I was looking for. His patience with my situation was unbelievable. Thanks so much for all of your help.,5.0
4,"December 07, 2019","They went above and beyond to help me find what i wanted and needed. Aaron was really friendly and patient.
I highly recommend JM Chevrolet ",5.0
5,"December 06, 2019","The people at JM Cadillac treated me like royalty, as they always have in the past. I couldn’t ask for any better people with whom to deal. ",4.8
6,"December 03, 2019","professional, courteous, friendly, and polite service from Ruben.  No hassle, did what they said they would do.  Highly recommend JM Chevy if your looking to purchase, service department is wonderful ",4.8
7,"November 26, 2019",The service was really quick and well done. Everyone was friendly and they took care of my vehicle very professionally.  I would definitely recommend JM Chevrolet for any service needs.,5.0
8,"November 25, 2019",Aaron Wiley has been an asset to JM Chevrolet for many years. This is the second purchase of a Chevrolet Silverado. Thank you JM Chevrolet and Aaron Wiley!,5.0
9,"November 24, 2019",Friendly and timely service.Clean waiting room.The tec.  new what I needed and when.I think the car wash is a big plus.Thanks.,5.0
10,"November 20, 2019",The staff and Aaron Wiley was very friendly and professional. The staff worked as a team to accommodate my needs. I was very pleased with the service and purchase. ,5.0
11,"November 17, 2019",We have bought three new vehicles this year from this dealership. Each time it’s been a smooth and easy process.  They are the best.,5.0
12,"November 15, 2019","JM has the best service department.  They are friendly, helpful, and knowledgeable on all things service related. Out of all my years buying vehicles and dealing with different dealerships, they by far exceed my expectations of what and how a service department should be. Would HIGHLY recommend them to anyone.   -Kelly Russell-",5.0
13,"November 15, 2019",I had a flat tire and went to the service department to get it fixed. The guys there are always so great and get me in and out quickly. ,5.0
14,"November 13, 2019","I'm in the sales business and understand the process.  Salesman was knowledgeable, easy to understand and very pleasant. Knowing what you are selling is critical.  I feel like I got a good deal and looking forward to working with Service Department on routine check ups.",5.0
15,"November 12, 2019",These folks did a good job of getting me what I needed for the truck I bought and getting it at a good finance rate😊,4.8
16,"November 02, 2019",No regrets. Excellent staff willing to do whatever it takes to make the customer happy. Our salesman Darin Perkins even said a prayer with us before we left which I thought was great! A dealership full of class!,5.0
17,"October 31, 2019","JM Chevy got me back on the road in good speed. When my car was being repaired, the employee Jeff got me a loaner. He was very friendly, professional and courteous.Give him a raise. My car is driving very well and I am and will be pleased to recommend JM to my friends and co-workers. ",4.4
18,"October 29, 2019","So during my visit to help my daughter purchase her first new car we decided to get us a new car too! Such a great experience, Aaron was great as well as everyone else. Great job thank you for being so easy and great!",5.0
19,"October 27, 2019",Service was handled quickly and well done. Ruben was quick to take information on what we needed and even called to let us know we needed a news air filter. He also called to let us know when the service was complete.,5.0
20,"October 26, 2019",Want to thank Aaron Wiley for his knowledge and expertise when I was shopping for the perfect vehicle. I Love my new Tahoe and I will definitely recommend JM Chevrolet and Aaron Wiley to all my friends and Family!,5.0
21,"October 26, 2019",I’m very pleased with the employees of the dealership I would recommend y’all to family and friends.i will continue to do business with them,4.8
22,"October 23, 2019",I've always received great service from your service department on my present vehicle and my past vehicle.  Jeff Barnes has always been available to answer any questions I may have and help in any way he can.,5.0
23,"October 19, 2019","Quick and on time
I like the way my service was conducted. Thank you for your quality of service. I would surely recommend your service department to my friends with like vehicle",5.0
24,"October 18, 2019","Oil use was showing 10%.  This was first oil change. I was also concerned about tire pressure. I asked for oil change, tire rotation and for nitrogen to be put in tires. I was able to have this done with no questions.",5.0
25,"October 18, 2019",As usual the service was great. The customer service is top notch. They got me in and out of there in a short amount of time.,5.0
