,Date,Reviews,Ratings
0,"June 27, 2020","The sales process was quite bad, basically my feeling is that you're a scam. Charging u$s995 for a mandatory upgrade that was supposedly already applied to the vehicle is a scam.

Windows are not tint, there is no treatment on the paint (it was full of water marks), the N2 in the tires a total disaster (5psi difference between tires) so I either have to drive 50 miles to you or I will put regular air. I think the only thing that was truly added to the vehicle are the wheels safety locks (25u$s value).

So again, the sales process for me is a scam. Charging 995 for mandatory upgrade is a scam. Just put the right price online and that's it.

Kenneth was not willing to improve the price one single cent, on top of already charging 995 for non-existent upgrades.

Anyway, the price was good, so I closed the deal. I give it a good thought and would have been a mistake for me losing the deal. But I would not recommend neither do business again with Sterling McCall.",1.0
1,"January 01, 2020",Very unprofessional place to purchase vehicles. Management here does not care about there customers. Stay away from this place due to lies and very poor customer service. ,1.0
2,"November 04, 2019","I have never had dishonest sale persons like these guys. Be careful when you sign contract , ask them before you sign contract  the APR rate no matter how excellent your credit is.
",1.0
3,"September 12, 2019","We settled on a price with Salesman Javier Rivera on Wednesday, Sept. 11....took the 90 minute drive to get the vehicle we wanted and then....Boom...the sales manger from Wednesday is off today...so, the price will not be honored!! Today's sales manager, who shouldn't be, Bobby Harris added nearly $4000 to the settled price. When I confronted him he said "" Should have bought it yesterday"" Really? Your a manager? Talking this way to a customer!! I promised Bobby I would place a review to every platform I can find to warn Houston off this crooked place! Yes we have written a letter to Chevrolet to inform them as well",1.0
4,"July 23, 2019","Rodgrick Grant was EXTREMELY helpful & informative helping us find EXACTLY what we were looking for, not to mention afford. No bs, no dream selling, just all around the most attentive,easy going salesman I've ever encountered...👍👍👍👍👍👍👍👍",5.0
5,"July 11, 2019","I bought a used 2004 SSR from Sterling McCall Chevrolet , it has a retractable hardtop, when I went to finish the paperwork and pick up the truck ... the retractable roof wouldn’t go down , so the salesman took it to the service department... when I drove off the roof ajar light kept flashing on and off, so I circled around back, the salesman told me that it would go off when the system was cycled thru... to make the story short... it cost me around $2500. To have the retractable roof fix... I tried emailing the salesman, I sent email thru the contact page of Sterling McCall Chevrolet  with NO response from them...",2.0
6,"June 27, 2019","Sterling McCall Chevrolet was the first dealership I reached out to because their online price for a 2019 Chevy Colorado was thousands below any other dealer. Unfortunately, they were unable to honor that price because they could not even find out how they came up with such a discount. The Sales Manager, Christian Garcia, and sales people, Celia and Roy, all failed to get back to me. Anytime I asked a question they couldn’t answer, they just never responded or called me back. Fortunately, I was able to get the deal I wanted at Autonation Chevrolet West Austin. They were definitely worth the drive. They were transparent, responded immediately, and saved me three thousand dollars. I am certain Sterling McCall posts their online prices just to bait and switch you when you come in or blame you for their failure to deliver. I recommend you go elsewhere if you want to be treated with respect. ",1.0
7,"June 18, 2019","I came into this dealership hesitant about buying a new truck but my salesperson, Brent made it an awesome experience. He was very professional and polite.  What I liked most about him was his honesty. I would highly recommend working with him at this dealership.  ",5.0
8,"May 23, 2019","I have never seen such a practice. Went to the dealership. Looked around. A salesman came out. I asked about a used car and asked for his best price. We went back and forth a bit. We agreed on a price and total offer. He went inside to confirm, he came back out. We went back and forth a bit, agreed on a deal. He went back in to confirm the offer and came out and he said we are good - if you agree we have a deal. So I went in, took my license and started to write up the deal. I asked for the numbers and the manager comes out and starts to give me a song and dance how this was never agreed upon. I had my teenage kids there as well and we were like, you had made a verbal deal, confirmed it, and now you will not honor it. He went on to say we never agreed. That we were lying. The sales guy had no integrity. I would never recommend this dealership or any Sterling McCall network.  Shady business tactics. ",1.0
9,"May 13, 2019","deroy the sales rep is straight garbage they hire a rude, immature, disrespectful, dishonest, conniving, and unprofessional. DO NOT COME TO THIS DEALERSHIP IF YOU HAVE AN ISSUE THEY DO NOT HELP!! ",1.0
