,Date,Reviews,Ratings
0,"May 30, 2017","Coming home from Mo, had no AC, Sunday.  Took the PU in Monday and they got me right in..  Appreciated it.  The PU is only 1year and 4months old, A Hose was loose and lost Freon.",5.0
1,"May 28, 2017",The people are supportive and help you get through the time you spend waiting for them to finish the work they are doing.  I appreciate them.,5.0
2,"May 27, 2017","My wife and I and her seeing eye dog traveled to Granbury knowing we may make a purchase that day. We were greeted outside by a salesman. He was not aggressive to the point of running off business as I have seen others do at other lots in the past years. We went inside and we went over what my transportation needs were. Very soon, the vehicle of our needs was found. Low mileage,under 60,000, and only 4 years old. It has the features we need and none I won't use. The pricing was fair and the financing was easily done. My older van was used as trade in. I knew it wasn't worth much but they agreed it to. 
My overall experience was very good at this dealership. I would recommend this dealership to anyone for their transportation needs. I did research on the internet at other dealerships and this was the best price I found. ",5.0
3,"May 27, 2017",Had the oil changed and tires rotated in less than 20 minutes.  Great service and professional service representatives.  I will keep going to them for my service needs.,5.0
4,"May 26, 2017",We were very pleased with the way our service man took care of our issue for repair of our 2015 Suburban. He kept us updated on status of repair.,5.0
5,"May 12, 2017","Service on my Tahoe was handled quickly, correctly, and in professional manner.  I was called as soon as the service on my vehicle was completed.  I was totally satisfied.",4.8
6,"April 27, 2017",Bob has been my service representative since I bought my car from Classic Granbury in 2013. He does a good job keeping up with the service/maintenance that my car needs to have performed and he keeps me well informed.,5.0
7,"April 27, 2017","I can honestly say that I have been a Durant/Classic customer for 30 years.  I am a GM/Chevy person.  But, what has kept me at this dealership in the last 10 years plus is the service and attention my wife and I receive from Bob Doyal.  He is top notch in my opinion.",4.5
8,"March 23, 2017","I called for a oil change and service appt early in the morning. I was told to come on in that Morning. After I arrived at the Classic Chev service dept with the vehicle,  I was taken right on in and the job was finished in about one hour! I was very satisfied with the service I received! Thanks! Grady",5.0
9,"March 02, 2017","Excellent Staff
Great Job
I have been working with Bob, Ricky,Pat and Ted for many years. Your Service Manager has done an excellent job of finding his staff 
Again Great Job start to finishing the paper work..


Thanks
David Cantrell",5.0
10,"February 23, 2017","always get great service, friendly and professional plus they washed my vehicle took in for a oil change and tire rotation with No appointment and they preformed it while I waited in the waiting area which was very clean ",4.8
11,"February 18, 2017","Even though I have to drive to Granbury to have my car fixed, I love the way the service department in run.  Pat is always wonderful.  Calls me when a loaner is available and makes things run smooth.  This time I also had the pleasure to have Ricky taking care of me and my car.  He was great and took care of everything for me.  It is great that you have wonderful people like this working in the service department.  I also love to stop by when I am there and visit the best car salesman I have ever dealt with, George Singleton!",5.0
12,"February 18, 2017",The time of arrival to the time that all was sad and done was painless. We were told where we could wait and drinks or eats were offered to us . We checked out in great time. ,5.0
13,"February 17, 2017",The total experience was very good. Everyone did a wonderful job helping me and fixing my truck. What a great team and great experience.Thanks for everything.,5.0
14,"February 12, 2017",They furnished a loaner vehicle and called me when the loaner was available so I didn't have to wait. Turn around was 2 days and very friendly service.,5.0
15,"February 10, 2017","This was my 1st experience with the service dept., our technician took really good care of us, went over what was going to be done to vehicle, and time to get done! will be back!",4.6
16,"January 27, 2017",The service coordinator kept us informed as the vehicle went from tire rotation to lube and then wash. Very nice and gave personnel attention. Service was taken care of quickly,4.6
17,"January 27, 2017",Good service provided.  Work done timely and very professional.  Would definitely recommend  Classic Granbury.  So glad we are getting good care for our new SUV.,5.0
18,"January 23, 2017","Your service writers are the Best. Bob has worked with me for many years and has done an excellent job. When he is scheduled off Ricky and Pat fill in and also do an excellent job.
Overall you have a Great Team. Please don't change it",5.0
19,"January 22, 2017","Pat Prine made sure the vehicle was completely inspected and serviced prior to the trip, looking at things like the battery, spare, wiper blades (recommended new ones) filters, etc.  I start the trip knowing I need not worry about the vehicle.",5.0
20,"January 15, 2017","Went very smooth, nice new auto, would buy again.  very friendly.  service was excellent, nice dealer ship, Michelle did an excellent job, will visit again.
",5.0
21,"January 12, 2017",I appreciate the coupons for my oil Change. Everyone was very friendly and accommodating .Thanks for the car wash-an extra plus in your service.,5.0
22,"January 05, 2017","I had our first routine oil change on our new 2016, Silverado 4WD LT, and as usual, the service was excellent.  Thank you,  Bill Poulos.   We have purchased 8 new Chevy trucks and 1 new Chevy Cruze LTZ.",5.0
23,"December 10, 2016",EVERYONE DID A GREAT JOB AND WERE FAST AND FRIENDLY . ESPECIALLY CODY AND HEATHER. AS ALWAYS PAT PRINE AND BOB DOYAL DO A WONDERFUL JOB TO MAKE SURE EVERY THING IS DONE CORRECTLY.,5.0
24,"December 09, 2016","No pressure, no smoke and mirrors.  Super friendly and courteous.  I felt like I got market value on my trade-in and the car I purchased.  ",5.0
25,"December 08, 2016","Had a warranty claim and the service department was very professional and accommodating.  I drive here over an hour, all the way from North Richland Hills, simply for the outstanding customer service.  It's worth it.",5.0
26,"December 07, 2016",Everything went as I had hoped.  Having my vehicle washed was a bonus.  This is 4 vehicles in a row I have bought from George Singleton/Randy Olds.  They are outstanding.,5.0
27,"December 06, 2016","April my sales person was amazing. Did a great job answering all questions, getting top trade in value, got a great deal on my purchase. Overall was a great experience well! Drove in from Fort Worth, would do it again in a flash. Management also was outstanding! Thanks again

D.Watkins",5.0
28,"December 01, 2016","Service was very good..  
Also washed the vehicle. 
Service could have a little quicker.
All employees I dealt with were very courteous and friendly.
Thank you",4.4
29,"November 22, 2016",Thanks to Cody for his professionalism and customer service focused attitude. Cody is a nice young man that knows his business and seems to genuinely care about his customers. ,5.0
30,"November 22, 2016",Great experience and I am very happy with my new Encore.  David went above and beyond to find perfect car for me.  He listened to me and found oerfect car.  Thanks ,4.7
31,"November 16, 2016","Drove up to Granbury from San Antonio to purchase a used vehicle at another local dealership, but had noticed similar vehicles at your facility.  Regrettably, the vehicle at the other dealership was not as 
represented over the phone.  Since that purchase didn't work out we came by yours to check out the vehicles I seen on the internet.  Michelle Smallwood assisted us and showed us a selection of vehicles in addition to those I had in mind.  She was a trooper covering the sales lot front to back despite a ailing leg.  Once a selection was made, she made the sales price negotiation a pleasant, professional experience.  Though it was near the end of the day, she expedited the delivery process and suggested 
several restaurants in town for dinner since we'd missed lunch during the drive to Granbury.    ",4.8
32,"November 15, 2016",We took our vehicle in for recall issue and also repair on driver asst service. Work was done and car was brought to me washed. Great work,5.0
33,"November 10, 2016","Came in for oil change and inspection. Wait was a bit long, but they were very busy and waiting room was clean and comfortable. Cody Alexander and Pat Prine were friendly and helpful as always.",5.0
34,"November 02, 2016","Excellent prompt service & courteous close to area lived in.  Nice waiting area & accommodations for customers. Classic sends out coupons to customers that helps with work done on vehicle.
",5.0
35,"November 01, 2016","I have always dealt with big city dealers--this was a pleasant experience. I always dreaded the all day process, this time just a few hours and we were done.",5.0
36,"October 28, 2016","Buying my new GMC pickup was made easy and enjoyable by the entire sales staff.  I highly recommend this dealership.  They have a great selection of GMC and Chevrolet trucks.  Our sales representative, Todd, was friendly and highly qualified to explain all the small details of our new vehicle.  ",5.0
37,"October 28, 2016","We have purchased 4 cars and trucks from Karen. We also purchased 3 or 4 from Clinton Surley. He was also great to work with. I changed a few years back and purchased 5 Hyundi's from mike Brown because of their  warranty. I feel like they took avantage of my son this year when he had a problem. I will not go back to them again. You have my business. Thanks, Allen Blevins.",5.0
38,"October 28, 2016",Kevin was very helpful and easy to work with he found what I was looking for and more and even though though he didn't have the vehicle he found it and had it brought to the dealership for us.,5.0
39,"October 26, 2016","the greeting, service and follow up I recieved were all excellent.  I came for service, found I had a recall issue and both were dealt with quickly",5.0
40,"October 22, 2016","Since November 2009, I have purchased a 2012 Chevy Cruze LTZ and eight trucks (5 Avalanches, three Silverados).  In ALL cases I have dealt with Karen Shuffield.  She is always pleasant, knowledgeable, patient, fair and thorough.",4.8
41,"October 19, 2016","I was notified by email that it had been 18 Months after I bought the GMC pick up truck and a service check was due! Wanted me call and set up a time to come in for service check! I called and  lady answered phone put me in touch with vehicle service dept!  I was told i could bring my vehicle into the service dept Tuesday around 1 PM on the 18th Oct.   I made the appointment and drove from Benbrook to Granbury and was there at 1 PM. Service people took my truck and performed the necessary service! Rotated tires, Oil change wash and performed two recall items! I was happy with the service!",5.0
42,"October 05, 2016","i always take my vehicles to the classic chevrolet house at granbury tx because of the 

quality of work performed,  
years of expererience / training of mechanic performing the repair
price includes more than near by lube shops.  ( routine oil change)
service department provided up to date information on my vehicle when others do not.  (recall info)

example;
my last visit was for a 5k oil change.
i always ask for the ""maintenance 1""  because it includes the oil change plus a tire rotation for only $5 more.       my tires last longer due to the routine rotations.

the service dept rep Cody informed me that my Silverado has a recall issue and that they would be glad to take care of that issue right away.     i had no idea of the recall before he mentioned it.

the previous oil change /  maintenance 1  included a serious tire problem that was not visible during a walk around.    im grateful to the mechanic for discovering this tire defect.  he definetly saved us from a possible accident while traveling down the highway.

thank you Classic Chevrolet of Granbury ",5.0
43,"October 04, 2016","It started with a personal reference from a friend which prompted me to review the Classic website. I sent an email, received a response and ended with a purchase. I really enjoyed working with Cassie and Scott to purchase my new Buick Encore! They mix the right amount of friendly with great service and no pressure. Thank you all for making this a pleasant buying experience.",4.8
44,"September 29, 2016","Service Team has been great in working with me on my truck repairs.  Rodney, Ricky, and Pat are all very friendly and easy to work with.",5.0
45,"September 29, 2016",Call dealership service department @ 3:30 PM set up an appointment for my oil change @ 4:45 PM.  Upon arrival at service department @4:45 PM vehicle was immediately taken in service area and I was back on the road @ 5:10 PM.  Young gentleman that greeted me was very friendly and knowledgeable.,5.0
46,"September 28, 2016","There was never any pressure.  Michelle Smallwood was excellent and would be happy to deal with her at anytime in the future.  Her knowledge of the operation of all electronic systems and displays was exceptional.  At delivery she gave a comprehensive overview of all aspect of the vehicles systems.  Now it is up to us to learn to easily manipulate all controls and to call  up any of the vehicles functions.

I  would recommend Michelle and Classic to any potential buyer.",5.0
47,"September 26, 2016","We had already made up our minds that we were going to purchase another Equinox.  Cassie was a great help and very efficient in helping us find one with the extras that we wanted this time around.  Also, Michelle who helped us when we came back to pick our new car was also very helpful in answering our questions about our new car.",5.0
48,"September 22, 2016","I had such a great experience buying from Classic. I've never had such an easier, faster buying experience than I had here. Super friendly staff. If you're in the market for buying a vehicle, you have to stop here. Ask for John Carrol. Great salesman, took care of everything and made the buying process easy. I was literally in and out. Highly recommended ",5.0
49,"September 18, 2016","John was awesome. He never bugged me. Only called me when asked to, which was awesome!! He found every dollar for me he could, both on the truck I bought and on the one I traded in. Scott the finance guy, same thing. I sat down, he spent 1 minute explaining the extend warranty, asked me one time, no pressure at all, if I wanted it. I had a few questions which he again addressed very quickly. BAM! Warranty was added and I was outta there in less than 10 minutes. 

It was a great deal and a great experience. My daughter will be driving in a few years and we will be back. 
",5.0
50,"September 16, 2016","Classic has always been professional in there service, parts and sales department in all my dealings with them,  I would highly recommend them in all these areas.   Any time I have needed shuttle service they have been very prompt.  Juan has been great in my dealings in sales as well as Ricky in the service area.",5.0
51,"September 16, 2016",The staff is always very attentive.  Always make sure I have a ride if they have to keep the car and always get it to me quickly.  The work has always been great.,5.0
52,"September 14, 2016","George Singleton is an excellent salesperson.  He was great with helping to find the right vehicle to meet the needs of my husband, a 97 year old that uses a wheelchair.  He did a great job of answering all our questions as well as showing me everything worked in the car.  We are very pleased.  If we should ever need to buy another vehicle, we will return to Class in Granbury & request George.  If fact, we will call him & let him know we are on our way.  It was a wonderful experience/transaction.   Would highly recommend him to anyone.  ",5.0
53,"September 09, 2016",Great experience. Everyone was very courteous and helpful. The entire experience was much faster than in the past. I will definitely recommend our saleswoman and Classic to my friends and family.,5.0
54,"September 09, 2016","As always, great service! Ricky was awesome! I really appreciate all that he did to get my car repaired and back to me quickly! Thank you!",5.0
55,"September 07, 2016",I had called ahead to let Michelle know I was coming and she met me out front. Always a pleasure to work with. Easy atmosphere and all people that we dealt with made you feel welcome and at home. Michelle is very knowledgeable about everything with the vehicle and she makes you feel welcome and is not pushy. Will definitely come back to her again and send people I know. ,5.0
