,Date,Reviews,Ratings
0,"February 28, 2020","Went in to look at purchasing a vehicle and had the unpleasant experience of having Lalo Galvan try and lecture me on how a car buyer should act. Having bought 3 vehicles from this dealership, and 5 from others I guess the buyers they want are the uneducated ones. ",1.0
1,"June 01, 2019",Went in to see a used car with I saw online hoping to get a great deal on a vehicle. The salesman let me drive the vehicle a little bit longer to really get the feel of the vehicle. I would give him that. The vehicle had two bad tires on it. The salesman said he would talk to the manager to get them changed. Asked him if they could do better on the price and he said no. Wouldn’t even ask his manager. He advised that he would not call me for a lower price on the vehicle and if I wanted it to come back and see him. The vehicle has been on the lot for over 250 days. I would think that they could work with the price a little bit. ,2.0
2,"January 04, 2019","While on test drive I told sales prtson the car was almost on empty, I was told they would ensure at leadt 5 gallons would be pit in the tank. Isales person was with another customer before finishing up with me. The car ran out of gas onmy way home. I was told an oul change ind inspection of the car came with the auto buttler service, it does not. Now I’m being told the can only perform this service during normal working hours, so now I have to take time off from work to get this service done. I guess you guys will tell a customer anything to make a sale",3.2
3,"September 19, 2018","For this being my first time buyer, the service was great!! Mark did an awesome job, I’ve been to other places & wasn’t pleased with there service..I loved it here & I would highly recommend this place!! ",5.0
4,"September 15, 2018","The salesperson (Becky) was really helpful in explaining all the different things about this car vice my old car.  Showed me & explained what I was getting for the price.  She was very patient 
With me & helped me wth all the new symbols.",5.0
5,"September 14, 2018",We went in there trying to see what we can get into and Mark did an excellent job! He had so much patience with us especially because it was late when we arrived to the dealership. Again a BIG THANKS YOU!!! ,5.0
6,"September 13, 2018","The salesman showed more interest in me and my brother , than pressuring us to buy. It was a rare experience with an auto salesman. Based on the way that we were treated, I'd highly recommend him.",5.0
7,"September 13, 2018",Sales person didn’t finish up giving all the information to the customer. You never can get a hold of the sales person to talk to him.,3.4
8,"September 11, 2018","Mark was there at the right time. I pulled up wanting to check out a red camaro and just so happen he was there in the lot. Walked up to me and introduce himself and asked what I was looking for. I explained to him and next thing you knew, I was driving out of there with a 2018 Camaro! Everything went smoothly and he did awesome! If I ever need another vehicle, I'd return to him for the help again. Thanks again!",5.0
9,"September 10, 2018","We started working with Victor as our salesman in August. He listened, worked with us and provided outstanding service to us. He was a true gentleman. It is very rare that you find a gentleman that will go out of his way to open a door for a lady all the time. I truly hope Neesen realizes what an awesome salesman and employee Victor is. He makes your dealership shine. Victor went out of his way to keep in touch with us and help us find the right vehicle for us. He was patient while we test drove several vehicles. Thank you for working with us and providing excellent service. Roy handled the financing end of the sale and he provided professional courteous service and did an excellent job also. Please note that we originally tried working with coach but he did not seem interested in working with us for the sale, which is why Victor was a breath of fresh air for us. We have bought several vehicles from Neesen Chevrolet and we enjoy working with this dealership and were very glad we were able to continue our tradition of faithful Neesen Chevrolet customers.",5.0
10,"September 09, 2018","Had a great experience buying my new truck! Everyone was very helpful and answered all my questions. Great inviornment and a awesome staff. i even got a loaner veichle till
My truck was ready. ",4.8
11,"September 09, 2018", Very knowledgeable in all areas and I would definitely recommend this dealership and sales person to all my friends and family!  And of course when I’m ready to buy again I’ll come back myself!,4.6
12,"September 08, 2018",I hate buying new cars. I always feel as if I am being judged or as if the car salesman always has a hidden agenda. This time was different. I called and spoke with Rick Lopez and told him what I was looking for and what I could afford. I didn't experience any pressure to purchase something I didn't want or couldn't afford. I love my new car. Thank You for the great experience!,5.0
13,"September 06, 2018",Thank you for your Personal attention with assisting with the Purchase of the F-150. Have recommended to others. Thank you for the positive experience. ,4.2
14,"September 06, 2018","Our Sales lady Becky is so sweet, she listens and helped us without making us feel pressured.  Lalo, worked well with Becky to meet our needs to deal the deal.  Overall great experience.",4.8
15,"September 06, 2018",Neessen always puts customer first and they always listen to what you are looking for.  They explain everything throughly.  Neessen first!! Great customer service and always make you feel right at home.,5.0
16,"September 06, 2018","When I got there Enrique alias Kike helped real quick.
I had a mission to get this 2018 GMC Sierra Denali Diesel truck and I did, with the help of Kike and ofcourse his supervisor as well!!",5.0
17,"September 01, 2018",Great place with great people that are willing to help you!  Enjoyed my experience at Neessen and will definitely be back for my next vehicle.,5.0
18,"August 31, 2018",Everything went smoothly but purchasing a vehicle always takes so long. Mark was very articulate in all his explanations. We were told they could get the vehicle we wanted and they did just that!,4.8
19,"August 30, 2018",It’s always a pleasure doing business with Neesen Chevrolet in Kingsville. All of the personnel are professional and work quickly to get the job done.,5.0
20,"August 29, 2018",The salesman worked very hard to make me happy with the deal. They were fair with the value on my trade.  I will look to the when I need to make my next purchase.,3.8
21,"August 28, 2018","Staff was nice and accommodating. Vehicle was just as advertised, and  was spotless when delivered. Scheduled an appointment and I was a bit early, but salesman greeted me and was ready to show vehicle, which was already pulled up front.",5.0
22,"August 28, 2018","My battery in my truck was dead and the service department was able to take me without an appointment. The service was prompt, and Joe Bueno was very friendly.",4.8
23,"August 26, 2018",Great people helped me with the exact car I wanted! I would for sure recommend my friends and family to come to this dealership 10 out 10! ,5.0
24,"August 26, 2018",Sales Rep had the patience to help us out while we tried to figure out which kind of car we wanted to get. Already looking foward to my next purchase at this dealership,5.0
25,"August 25, 2018", They rip people off when you go to pay. It’s always one thing or another. Once you in there they deliver and charge  something else. False Advertising!!! Bait and switch!!!,1.8
26,"August 24, 2018","We went back to the dealership to buy a new truck, and we handled very nice , love 💕 the Neessen service very much. We love the how  Manny took care of us. 
And Danny was courteous, to us so we will the trip back to Kingsville for all needs ...
I love doing Bussiness with people that treat us with respect ? 
Thank , u so much, we very happy..😃😃😃",5.0
27,"August 23, 2018","Thank you Sarah for helping us and making us feel like family at the Neessen Chevrolet dealership in Kingsville, tx. Very professional and a pleasure to work with. She definitely went above and beyond.  We asked her to walk us thru setting up the On Star and without hesitation, that’s exactly what she did. She sat in our vehicle with us talked to the On Star operator and helped with all the set up. Having three kids with us that’s definitely meant a lot to us to be able to just drive off and have it all set and done! She help put us in a car that fits all our needs and extremely happy with my Acadia Denali purchase. We will be returning to her and I will send friends and family for all their vehicle needs. One thing I will note is the atmosphere in the dealership towards us was very pleasant greeted by many and many even said congrats. Like who does that Neessen Chevrolet does thank you they treat their customers right the first time. Thank you de Leon family of 5 from Bishop. ",5.0
28,"August 23, 2018",I was so satisfied with the job they did and they were so fast and friendly.i would recommendmend them to other people and so helpful ,5.0
29,"August 22, 2018",I went in to buy my oldest daughter a car and had the best experience I’ve ever had purchasing a vehicle. I told them what I was looking for and where I needed my payments and they worked an awesome deal for me in a very short time. They found the perfect vehicle for my daughter at a great price. I highly recommend Neessen Chevrolet for your next vehicle purchase.,5.0
30,"August 22, 2018",Dealership offered us several incentatives towards our purchase. Everyone was very courteous and polite. The dealership had a wide selection of vehicles to choose from. ,4.8
31,"August 22, 2018","1st time Neessen buyer. I  Usually shop local as I live in Corpus Christi, TX. But the way Sarah and her Management treated me and my wife,  starting from listening to exactly what I wanted and actually having the exact vehicle in stock,  respecting  what I wanted from the deal,  to showing me the entire service department and promise,  I Gotta say I’ll  be buying from here from now on. These people showed me a laid back  atmosphere but at the same time a high level of professionalism.  The vehicle was super clean but Sarah still promised me a full detail.  Went back about a week later and within 2 hours they sure did make it super shiny and even gassed it up for me. My wife, my Dog 🐕 (Rottweiler) and I are very happy with the new compact SUV 🚙 (2018 Chevy Equinox) and are looking forward to riding in it on many road trips together.  Very happy to have taken the short drive to Kingsville.  I will definitely be recommending  this dealership to all my friends and family when they are looking for something new. ",5.0
32,"August 22, 2018","The most professional, and knowledgeable staff! Mr. Joey Alaniz was extremely helpful! I’m keeping my business there! the purchase process was the smoothest I’ve ever experienced ",5.0
33,"August 19, 2018",I had a great experience buying my new truck. The staff is very helpful and friendly. I would definitely recommend going out and purchasing your next vehicle there.,5.0
34,"August 18, 2018",Always pleasant greetings. Really pretty quick at there job. Thanks for your help and friendliness. I appreciate how you always ask if I'd like coffee.,4.8
35,"August 18, 2018",By far exceeded my expectations. I would definitely do business here again and I recommend this dealership to anyone looking for a new or used vehicle.,5.0
36,"August 17, 2018",Everyone was very nice and helpful Sarah went out of her way she worked harder than anyone I've seen to get somebody in a car in a very long time it was so refreshing,5.0
37,"August 14, 2018",Arriving at the dealership I was greeted by friendly staff. Rick was a great salesperson to deal with. No pressure and they really try to help out the customer. I’d recommend this dealership to anybody.,4.8
38,"August 14, 2018",I was very pleased to have gone in and got what I needed from this dealership. Sales lady was very precise in what I was needing to get myself into. ,5.0
39,"August 14, 2018","Rick Lopez is awesome guy, very friendly and helpful!! He did he’s best in getting me into my new vehicle!!! I will definitely recommend other to go by to visit ",5.0
40,"August 14, 2018",Love doing business with Neesen was treated Great!! I would recommend it to anyone.I was amazed with everyone there very  friendly. Thank you Elda López!!!!,5.0
41,"August 13, 2018",My experience with neesen was excellent and I appreciated them very much because they went out of the way to help me. I would highly recommend neesen to anyone I meet. ,5.0
42,"August 12, 2018",Mr rick lopez was very helpful and helpful in explaining all the features of the pick up we chose. When i get ready for another vehicle i will be back to see him,5.0
43,"August 11, 2018",Everyone was nice and accommodating to our needs. Enrique(keke) was professional and courteous. I would recommend this dealership to others. Thanks to everyone who helped us.,5.0
44,"August 11, 2018",These guys are the best. I took suburban in for new door handles and it was ready next day also bought a vehicle while I was there,4.6
45,"August 11, 2018","I went in to purchase a pick up truck. I was treated with the upmost respect, which means a lot to me. I was not pressured into buying. I told salesman Joey Alanis what I was looking for and immediately he and salesman Victor Moreno proceeded to show me some of of the inventory. I found the vehicle that I wanted and in approximately 30 minutes I was driving away in my 2016 Chevrolet Silverado 4x4. I want to say Thank you Joey and Victor for a great experience in purchasing my truck. ",5.0
46,"August 09, 2018",Faustino Garcia was very helpful and not too aggressive to sell us a truck. We found the perfect truck for us.  Mr Garcia helped us through everything. We are very pleased with the whole proccess.,5.0
47,"August 07, 2018","Walked in was welcomed into the dealership and was greeted with a sales man who went above and beyond to get the best deal not only did he do his part but he treated me like family instead of a person who's buying a car or truck so he could get the money he made sure what I wanted an if it was the best idea for payment wise and down the road I was really satisfied with the experience I had at Neessen Chevrolet Buick GNC Truck
",4.8
48,"August 07, 2018","My car (previous to the new one) had broken down and I was in desperate need of a new car. I had to make an unexpected budget to afford a new car. With that being said, Enrique Espinosa worked with me to the best of his abilities. He worked his magic and got me a great deal! I was able to leave the dealership in some brand new wheels!! I couldn’t be happier!!!",5.0
49,"August 07, 2018",The staff was amazing.  Sarah Delgado is an amazing worker. She made everything so easy. The workers were nice and respectful. They have great deals. I definitely recommend people going to get a vehicle from Nessen ,5.0
50,"August 05, 2018","We went to just look at trucks and found the ONE,  our salesman Rick Lopez made it happen and we just signed and we're on our way with our new truck. The experience was great and very professional, we're very happy and grateful.",5.0
51,"August 04, 2018",Thank you for helping out our family get into a suv. I definitely appreciate they took into consideration all the pros and cons of what was expected. ,5.0
52,"August 04, 2018","Sarah is your go to person when you purchase a new vehicle. She is very knowledgeable and efficient. She made our experience  pleasant and was prompt in getting us what we needed. 

We really appreciate her hard work! ",5.0
53,"August 03, 2018","Service was great no question was unanswered, my saleswoman was very knowledgeable about my vehicle and all of its features. Was given a full walk around and test drive to get the feel of my purchase.",5.0
54,"August 01, 2018","Took longer than I expected.  But, I did get a chance to look at some new pick-ups.  What can one say? My vehicle was inspected, and returned to me.",4.6
55,"August 01, 2018","My experience was hassle free, fast and overall above expectations. Victor made the process enjoyable and I would highly recommend him to anyone in need. ",5.0
56,"August 01, 2018","The work performed on my car is always done correctly. If anything else is found that I am not aware of, they will inform you and you decide what your options are.  ",4.8
57,"July 31, 2018",This Guy is a BEAST of a car salesman!! Hands down best experience ever as far as buying a vehicle! I’m all TEAM NEESSEN and I owe it all to my Boy Joey!! I highly recommend him if you’re looking for a new ride! This guys is the real deal... ,5.0
58,"July 29, 2018",Everything was great except my vehicle was not ready when I arrived at the dealership after being called to pick it up because ready. Waited almost an hour. Other than that it would have been a 5. ,4.8
59,"July 28, 2018",I'm sure this happens at most dealerships but this one seemed to not have the vehicles displayed on the internet in stock.  Hope that the bait and switch game wasn't being played.  Was told that the vehicles had been sold and take a while to drop off website but the one I bought dropped off in less than 24 hrs.  Was also told that the price couldn't be budged from due to the parts and labor put into vehicle but the service history showed nothing had actually been replaced or fixed.  Overall it wasn't an unpleasant experience but could have been better.,3.6
60,"July 28, 2018",Very professional and courteous. Service was done in a timely manner.  Disappointed that my new car of 1 yr needs an alignment. Chevrolet must not make quality products. ,5.0
61,"July 27, 2018",Joey Alaniz claims to know magic well let me tell you what this guy is definitely a magician! He truly takes pride in helping! Amazing ,5.0
62,"July 27, 2018",Mr. David Rodriguez was very professional and courteous. He was able to assist us on what we were looking for. I would recommend Mr. Rodriguez to family members and friends.,4.6
63,"July 27, 2018","I couldn’t have asked for a better salesman , Joey Alaniz made this a very comfortable experience from the beginning. I am very grateful and blessed . I recommend everyone to ask for Mr Alaniz . With his expertise and diligence he made today happen",5.0
64,"July 26, 2018","We saw some vehicles online that we were interested in so we went to Neesen to look at them. The first truck we wanted to test drive had been sold before we got there. Our salesman, David Castro, showed my husband a truck that had come in for a trade that day. We bought that one and came back the next day to trade in my car for an suv. The whole process was seamless. We would definitely recommend shopping here. ",5.0
65,"July 25, 2018",It just was a pleasant experience. Joey Alaniz showed respect and explained everything. i definitely would recommend Joey if your out looking for a car. It feels good to be apart of Team Neessen ,5.0
66,"July 24, 2018",Everything was well organized all the way through staff was very helpful and honest purchase of our car was very smooth we definitely will return for any future auto purchases in the future,5.0
67,"July 21, 2018","The best service department, they always take care of our 3 cars, and also great car buying experience, Manny helped us a lot this last car purchase",5.0
68,"July 21, 2018",Customer service was great. Autobutler service can use some help. They missed the entire top (roof) of the vehicle. Didn’t realize til I got home,3.8
69,"July 21, 2018",Every thing was fine but very time consuming since the wait was lengthy. 2 hr wait for oil change after having an appointment set up ,4.2
70,"July 21, 2018",Neesen Chevrolet Kingsville went above and beyond helping my husband & I buy exactly what we wanted. With all the specifics we were hoping for in our new vehicle they decided to help build us a brand new one with all the amenities:) It only took about 6-8 weeks to build & we couldn’t be happier!!! There customer service is Great & our Sales Rep. Sarah Delgado was Absolutely Amazing!!! We got exactly what we wanted at the price we wanted & feel truly Blessed for everything Neesen Chevrolet Kingsville did for us:)) I highly recommend this dealership...if you’re in the market for a new vehicle drop by & talk to Sarah...she’s the best!!! ,5.0
71,"July 18, 2018","Top to botttom, everyone involved, took care of me. We didn't call it a day until we got something done that fit everything I was looking for. ",4.8
72,"July 17, 2018","Most awesome salesman ever. Thank you again Joey, for putting me into a 2018 GMC Acadia!!! Recommend him to anyone, keep up the great work!",5.0
