,Date,Reviews,Ratings
0,"May 21, 2020","I’ve been blessed over the last few years and have been able to buy a new vehicle about every two years either for me or my wife. I have had a lot of good and bad experiences. After dealing with Ms. Frost and her team, I am sold on the quality of this company. I have never been treated as good as I was from these people. The inventory at this lot is amazing. I am definitely working solely with Peters going forward. ",5.0
1,"March 11, 2020","DAVID R. WAS GREAT, HE HELPED ME ALL THE WAY! HE WAS ALSO VERY NICE AND INFORMATIVE! DAVID IS TRULY A GREAT ASSET TO PETERS CHEVROLET! GREAT JOB!",5.0
2,"January 27, 2020",The people were great in the  service provided. The service writer Sean was extremely helpful in answering my question and did a great job in providing assistance. I would recommend their service department to everyone.  ,5.0
3,"January 05, 2020",I was very pleased with my salesman.  He addressed every concern I had.  The vehicle selection was outstanding and the price was very fair!  I would recommend this dealership to anyone.,5.0
4,"January 03, 2020","I have purchased many vehicles from Peters Chevrolet. Quite honestly, the inventory the keep on hand is unmatched in East Tx. There is always something for everyone and if they don’t have it they will get it. Besides that it comes down to the salesman/ woman who makes your sale and the service after the sale. I have never had a bad experience with Peters but I have had a few mediocre ones. My most recent purchase has led me to write this review and highly commend my salesman by name! Bruce Hofstetter will be my salesman for as long as he works at Peters! He is honest and transparent and gives it to you like it is! No typical salesman BS! He went way above and beyond to find me the best deal possible and the truck that I wanted! He is very realistic and does what he says he will do when he says he will do it! I can’t praise Bruce enough for just being real, keeping my needs in mind throughout the process and delivering when and how he said he would! No more, no less! And on a side note, my finance guy Floyd Ainsworth is the exact same way during the signing process. I’ve signed with him many times and he is thorough, clear and concise! He will take the tine to explain things in plain English and doesn’t spit a bunch of garbage at you and just shove paper after paper in your face to sign then kick you out the door! I walk out of his office with no questions and a clear concise picture of my purchase and service contract every time! These two guys are what make me go to Peters, why I will return and why I would recommend Peters! Vast inventory to shop,  no BS and real East Texas folks that will put you in a vehicle you want and can afford! I can’t speak for every salesman there of course but if they are anything like Bruce you can’t go wrong! ",5.0
5,"October 24, 2019","Let me start by saying this was my second purchase from this dealership. My first one was a great experience, hence why I went back when I was ready for a new car. The first vehicle we were interested in had some issues as soon as the salesman started it up. That should have been our first red flag to go somewhere else. He swore he had a great vehicle that would make up for the flub, so we gave him a chance. We ended up buying a different vehicle that was supposedly ""a great vehicle"". Turns out, after leaving the lot, the brakes began squeaking, there was condensation in the light, two recalls came out within a month. They claimed they fixed the issues and replaced the light, but the condensation is still there, the breaks still squeak and when I had an oil change performed, the body behind the headlight popped out. Oh, and I still cannot get a scheduling for one of the recalls. I have tried online, by text, and by phone. Still NOTHING! This is the worst experience I have ever had with a dealership in years. ",2.0
6,"October 16, 2019",I can’t say enough about Peter’s service department they go above and beyond to help you. They know what they’re doing very professional. Have had to take our Tahoe in twice both times it was fixed quickly.  I like that they use texts to update you. Sean is very helpful. ,5.0
7,"October 14, 2019",My 2005 Jeep Liberty Limited started dying after I had driven it for approximately 15 miles or so. It was a weird problem because it ran perfect for the first 15 miles of a trip. Peters was able to locate the problem and get my Jeep back to me running fine without cutting off any more.,5.0
8,"October 03, 2019","Excellent customer service, really friendly, committed to helping the customer. I’ve bought two trucks from the peters dealership and I was very satisfied with the overall experience and trucks !",5.0
9,"September 08, 2019","Thank You Peters Chevrolet for helping me find my perfect car. Rick Lambright was my salesman and was Awesome!!! He answered all of my questions and made my buying experience quick and easy. We decided to finance through Peters with Randy Dugan. The process and paperwork was handled very quickly. The service department tinted my windows and cleaned up the car and it looks so good. Everyone at this dealership is so friendly. My overall experience with this dealership is way beyond 5 Stars. Thank You Peters. I will send everyone I know looking for a vehicle your way. By far, the best car buying experience I have ever had. Thank You - Anna Blalock ",5.0
10,"June 14, 2019","I heard about a truck through word of mouth, but found the owner had already traded it in for another truck at Peters.  I was not pleased about having to go through a car dealer, thinking it was going to be an ordeal.  I couldn't have been more wrong.  Keith Bounds was great!   He quoted us such a fair price, there was no reason to quibble.  Keith had the oil changed, got it washed and cleaned out and ready to go by time we got there.  Everyone else at Peters that we dealt with were also helpful and nice.  If you need a good pre-owned vehicle, I absolutely recommend Keith Bounds at Peters!",5.0
11,"June 05, 2019",I had a great time buying my vehicle from Terry Frost.  Would recommend Terry and Peter's to all my friends.  The finance guy was great too.,5.0
12,"April 28, 2019",This is the third vehicle we have purchased from Robby and he has went above and beyond every time. The entire Peters team are so helpful. ,5.0
13,"April 22, 2019","Live in Ohio and purchased a 2016 Infiniti QX80 after seeing vehicle online.  Shawn Ware was excellent from beginning to the end!  Everything he promised, he delivered!  Excellent customer service and prompt responses!  Would highly recommend Shawn!  Also, Chassidy in the title department was a pleasure to work with!  ",5.0
14,"March 29, 2019","went with no appointment asked about how long it would take to get an oil change. Kody said about an hour or more. I said ok maybe it get sooner, They got the job done in an hour or less, Thanks Kody.  ",5.0
15,"March 24, 2019","Weston was great in all the steps leading to the selection of the the New Truck. The process was hassle free and not one of those ""Let me talk to my Manager"" line !!",5.0
16,"March 19, 2019",Big thanks to Weston Robinson and Jake Pool for making the buying experience fantastic. Very fair on trade in and pricing. Appreciate the fine work these gentleman put in.,5.0
17,"March 18, 2019","My parents recently decided to hand down their 2015 Equinox to my sister and buy a new 2019 Equinox. I volunteered to take care of negotiations to make the process easy and stress-free for them and to stand over their shoulders and make sure they didn't get taken advantage of. I initially made a deal with Patterson Chevrolet in Kilgore, but when it came time to sign the papers the price when up by $600 and they refused to stand by their quote, so we walked out. Fortunately, that was a blessing in disguise because we ended up buying the SAME vehicle at Patterson for $4,000 LESS than Patterson wanted. Peter's treated us with respect and trust. I'm a loyal Honda buyer, but I highly recommend Peter's if you're looking for a Chevrolet.",5.0
18,"February 25, 2019",Peters dodge worked hard to get me in the truck I wanted. Michael Giddings made the experience pain less and was very knowledgeable about the vehicles I was interested in.,5.0
19,"January 20, 2019",Recently the key fob failed and I was able to stop in and have it replaced quickly and I was able to make my appointment opening day of the Fort Worth Stock Show. ,4.8
20,"December 23, 2018",Weston Robinson and Chris Smith got us in an out in a couple of hours...one of the quickest purchases ever! Love our new truck!! ,5.0
21,"December 19, 2018","Jake Pool and Eric Bell have been Great to work with on my last 2 vehicle purchases and I appreciate the time and effort they put into making my buying experience a Great Experience. They have my business for years to come.

",5.0
22,"December 04, 2018",Micalah was efficient and professional. Chris in finance did a great job with the finance. Chris taught me a lot about some recent changes in manufacturer policy and I’m glad I took the necessary time to spend with him. The whole staff was great!,5.0
23,"November 29, 2018",Daughters car was towed in. No charge. Thermostat housing cracked. Under warranty. No charge. Changed oil because of heat from thermostat not working. No charge. 1st service on 2018 Silverado not purchased there. No charge. Jeremy was the best. ,5.0
24,"November 20, 2018",Service writers Andrew and Cody each visit has always been tops. Very professional in manner and explaining any and all procedures. My wife said sitting in the leather recliners while waiting means that they care about your comfort.,5.0
25,"November 18, 2018",Staff is very commuted to customer satisfaction driven by high standards and expections modeled by management. Very large inventory of high quality Preowned vehicles including most of the current market brands. ,5.0
26,"November 07, 2018",Jake was very knowledgeable about the car I bought. Explained about everything in the car! He was awesome!!! He made me feel so comfortable. It was fast and easy!!!,4.2
27,"November 04, 2018","I had an oil change, tire rotation and alignment done at my last visit and everything went as expected. It was when I arrived home later that day I noticed something dangling from under the vehicle. It was the heat shield for the spare donut housing. One screw was missing and other was loose, I’m thinking this should been noticed. I mean they found the condenser air filter dirty and changed it, shouldn’t this have been discovery during the tire rotation or the alignment.",4.0
28,"October 23, 2018",Very nice people! I really appreciated the service and being a senior on a fixed income I was grateful that it was not super expensive. I will definitely come back there every time.,5.0
