,Date,Reviews,Ratings
0,"April 17, 2020","I was extremely satisfied with my visit. Harry, Jorge, and Alex were very helpful in finding the right deal that worked for me. I definitely recommend Lone Star Cheveolet in Spring. ",5.0
1,"April 13, 2020",This was by far my best car buying experience yet. The staff in every department was very friendly and helpful. In fact I did not meet a single person that did not make me smile. The car itself was enchanting and I would recommend this dealership to everyone. Thank you Lone Star!,5.0
2,"April 02, 2020","Excellent customer service, honest people made me feel comfortable for being a first time car owner, will recommend family and friends to visit the locations ",5.0
3,"March 09, 2020",Excellent service. Good prices and inventory. Personnel were friendly and knowledgeable. Very adept at guiding us through the process. They made it a pleasant and even fun experience.,5.0
4,"December 28, 2019","Front receptionist and staff were very friendly and welcoming (ONE STAR). We received the car we wanted (ANOTHER STAR).

Reason for lack of 3-STARS experience (time, salesmanship, and  overall experience).

We are pleased with the car; however, the process was not pleasant.",1.6
5,"November 29, 2019","Worst service department ever! We bought a certified pre owned truck. The roof started leaking immediately. Brought it back to service department, we were told it would be priority to get it fixed. At this time the truck has been there for 1 week at they haven’t touched it yet. I am making payments on a truck that I don’t even have possession of.",1.0
6,"September 09, 2019","This review is for Robert Jones thank you for making my trip from Cali to Texas buying experience a great one!
I don't like going into dealerships because of the games that are generally played by the dealerships. I worked with Robert Jones, told him what type of truck I was searching for and he made it happen. When I was ready to find out my options Robert, provided the necessary comparable information I was searching. No hassle, no playing of games but straight business and we closed the deal in less than 45 minutes.  ",5.0
7,"August 15, 2019","Traded in a Subaru to this dealership and instead of taking the value of it off the price of the car I bought from them, they added it to the price somehow. They sold a warranty that the car wasn't eligible for. The car broke down the next day. Had to beg for them to take it back. Mix Coco, the GM, is a nut case maniac.",1.0
8,"August 01, 2019",Do not go to Lone Star service department!  Took my ‘15 Silverado in for a noise in the front end. I was told they knew exactly want it was (shaft just needed to be greased...140.00). Then I get a call saying it too late for the shaft the whole gearbox needs to be replaced (2400.00). Thinking that was the problem I tell them to go ahead.  I pick the truck up and it’s still making the same noise. So looks like I was shafted out of 2400.00.  I take it back and the they say they fixed it by tightening a bolt.?.  I pick it up and It’s still making the noise so I take it back again.  I have been there 5! times and it’s still making the same noise.  The last time they said both front struts were loose and that was the problem. It’s still making the noise so were they really loose??? Or did they just tell me that.  I will say they are saying they will fix it at no charge because I’ve already paid 2400.00 for NO REASON but it’s still very aggravating.  I would like to take it to a different dealer but then I will have to pay all over again.  I would be willing to just call it a loss if they would reimburse me SOMETHING. ,1.4
9,"July 11, 2019","Purchasing a used car.  Our bank will give us a much better interest rate so we were going with them. They had already run our credit which 800+.  Our bank called them and told them we were pre-approved also, but would take a couple of days for the check to get to them. We we putting $6k down.  They would not hold the truck with our $6k and pre'approval from our bank.  They INSISTED we finance through them!!  This is a bad way treat customers.  Rest assured if I was buying a new car I would be going somewhere else!  ",1.3
10,"June 20, 2019","Mark makes life so much easier and is so knowledgeable about my vehicle.  I feel very comfortable bringing my truck to him.   I don’t trust a lot of dealerships especially the service departments, but this one is by far the best!  ",5.0
11,"April 09, 2019","I called ahead of time to make sure the wait wasn’t long. I showed up and there was only one person in front of me In line but they had already been helped. I had my dad come and pick me up and we had to wait about 20 to 30 minutes just to be checked in. There were eight people standing there (including service reps) just standing there talking and no one would help me.  A service rep, I believe his name is James,  checked me in and asked me why I was there that day and I told him that I needed an oil change I wanted to possibly get new windshield wipers, get some air in my tires and to take a look at my coolant levels because they were a little low.  I noticed a couple of days later that my car was still low on coolant and I had to go to the gas station before work at six in the morning to get coolant. I paid $75 for an oil Change and new windshield wipers, When I could’ve done the job myself for half the price. Not to mention that I had to pay $15 at a gas station for coolant which made me late to work. I paid a higher price for better customer service and I was extremely disappointed. I get better service at Firestone or autozone. I have purchased two cars at your location and I have never been serviced so poorly before. Perhaps it was all done  no rush since I dropped my car off at noon,  but I called before hand to make sure it was OK.  I called and spoke to James today and he stated he will ask around and see what happened. I drove about an hour to come drop off my car for service last time. How about you refund me for the crappy service? I’ve been a loyal customer for 8 years now and your service has unimproved. ",1.2
12,"February 12, 2019","I bought a new Chevy equinox and had a beyond horrible experience.  He didn’t give me the trade value I was promised, didn’t give me the warranty I asked for, and didn’t give me the price on the car we agreed on.   What we agreed to verbally was not what was printed on the invoice/paperwork.   It took him over 5 hours to do the paperwork and financing because he did it for the wrong car then had to redo it.  After getting home  and realizing what happened he turned disrespectful and rude.  Making comments like “you can’t have your cake and eat it too”. “ it’s not my fault you didn’t read the fine print”.  Refusing to take the car back after I had driven it maybe 10 miles.  I tried contacting the sales manager, general manager and other sales men to help me and NONE of them returned my emails or calls.  I would not recommend this dealership to my worst enemy they are con artists.  Just check their yelp reviews they have 1-2 stars out of 5.  Worst dealership I have ever seen.",1.0
13,"January 29, 2019",Thank you so much for the wonderful welcome and for the wonderful service.  We could not of ask for any better then the service we got from RPM. He went way out of his way .this was the four vechile we have bought from lone star Chevy and will not go anywhere else.   We are loving are new Chevy traverse ,5.0
14,"January 23, 2019","Johnny and Ian gave me a great deal on a 2019 High Country.  Very easy to work with and absolutely no high sales pressure.  My trade in was only 8 months old, but the 2019 had enough changes that I had to have it.  Now I’m thinking about the next having a 6.2, hope I can wait longer this time.",5.0
15,"December 21, 2018","
I recently bought my first new vehicle- a diesel chevrolet colorado, and mike thomason was the best salesman I could have hoped for. he was honest, upfront, and made sure I understood how to use all the electronic stuff that my truck came with. At no point did I feel like I was getting jerked around for a few extra bucks which is not something I can say for some of the other houston dealerships I spoke to.  Thanks Mike.",4.8
16,"December 12, 2018","Technician located a bulletin, changed the transmission oil, and the symptom has gone away. Excellent job of recognizing the bulletin and assosiating it with the symptom.",5.0
