,Date,Reviews,Ratings
0,"June 16, 2020","Javier, knocked it out of the park. It was very nice working with Javier and he was super attentive and understanding. He got us set up with our new Chevy Blazer RS and we couldn’t be happier. Roger, in finance made the (usual) dreaded paperwork a BREEZE! We were in and out quick and Roger made sure we had a smooth transaction.",5.0
1,"April 08, 2020","NOTHING BUT LIES AND DECEIT FROM THE VERY FIRST CONVERSATION TO CONVERSATIONS ONE YEAR LATER.  THESE BUFFOONS SCREWED UP MY ORDER ON 2020 CORVETTE I'D WAITED ON FOR THREE YEARS.  STAY AWAY FROM THESE CLASSLESS BUFFOONS.  YOU'VE BEEN WARNED.  SALESMAN STEVE THOMAS, RETIRED, IS ONE OF THE MOST DISHONEST INDIVIDUALS  I HAVE HAD THE DISPLEASURE MEETING.  UNBELIEVABLE EXPERIENCE. ",2.0
2,"December 23, 2019","First and last time I'll come here for service! I made an appointment for my vehicles first oil change. The wait was over 2 hours. I was told the reason for the long wait was because people ahead of me didnt have appointments, and my vehicle would just be put in line. Total dissatisfaction with classic chevrolet from purchase to service. ",1.0
3,"December 23, 2019","First experience and last experience I will have with classic chevrolet! It took me 7 hours to purchase a new on the lot vehicle. 2 sales people and 2 sales managers, that's how long we were in the dealership to pay cash for a vehicle.",1.0
4,"December 23, 2019",Bought a new truck and they sold me a warranty to cover the tires. Had 2 tires coming apart and they said that it was normal wear.  They will NOT stand behind the warranty they sell.,1.0
5,"November 01, 2019",I’ve purchased two vehicles from Joni Aviles and I can honestly say it’s the most seamless process. From the very beginning all the way until the delivery he was upfront and thorough. I will continue to do all my business with him and refer my friends and family. ,5.0
6,"October 22, 2019",My experience was excellent. Joni was very helpful and answered every question that I had with buying a new vehicle. The buying process was ideal and I would recommend any new customers to this dealership.,5.0
7,"October 04, 2019","What's classic in Classic Chevy is nothing except Lemon Cars and poor quality of service. I would like to highly warn y’all before you will make mistake like I did. I bought pre-owned car from classic chevy which from very beginning had some hidden issues. First one was my mistake because during the test drive due to bad light I didn't notice damaged (cracking) cover by some cheap nail polish on back bumper. Of course, sales didn't say anything about it and later they looked so surprised about it. I'm not surprised about this behave but just after first turn I get starting hearing strange noise coming from steering column. My fun with them has been started. Just after checked it at Hyundai and Firestone I go back to them and complained. They promised to check it and fix it based on what I had from Hyundai inspection. In short, I had a luck to meet with them every week for two months. During first two visit I got that's nothing wrong with my car except fact that while you driving some crazy Thore is knocking by the Hamer to your steering column, but this was ok according their service. Every car on the glob does this.  I didn't give up and after 4th meeting they finally took care about it by sending my car from their best ever service to Christian brothers workshop. Wow, that was never happen that authorized service don't know how to fix car... Ok when car got back from Chris bro guess what happened - during handover I noted that my windshield is damaged. Of course Chevy service started that for sure it didn't happen here and it's not a safety concern that over a half of windshield it’s cracked etc etp.. I sent claim to service manager and they took care about it. In meanwhile, again, root causes of whole story about start knocking at every turn over and over. So, after next couple of service visits finally they passed car over to Hyundai. You know what's happened? They told Hyundai that customer is complaining about some clicking and for a week Chevy was unable to get from Hyundai what's happen to my car. This comes to point that I picked up a phone and call to Hyundai where I got information that basis on problem description from classic chevy they are unable to diagnose it. So again I'd to go there and present what classic chevy was unable to re-create.. To make story short: Hyundai found root causes but because this was not a safety concern classic chevy refused to take care about it, beside the fact that their pre-owned cars manager promised to fix this. Never ever again classic chevy and their quality! Classic Chevy, please safe my time and your time with comments like: If you are unsatisfied from our service please contact with Adam/John whoever works to raise your problem. Sorry, your management tricked me once time and that was their last time.",1.6
8,"September 11, 2019","I scheduled my truck for oil change one week ahead (no remainders no courtesy calls) they're friendly and fast service BUT they forgot to reset the oil life monitor which is crucial to keep tracking your truck oil performance also there was no paper floormats, dryed dusty white foot prints visible making my truck looked dirtier than what it was.",2.4
9,"August 04, 2019","BUYER BEWARE!! Deal cautiously with the Internet Sales Department and with Internet Sales Director Eric Hall. After confronting Eric Hall with several documented lies made by his staff during the negotiation of a sale, Eric Hall took no interest or action to correct. The customer service and treatment by this team before and after their dishonesty was exposed caused me to terminate negotiations and purchase my vehicle elsewhere. Based on this experience, I acquired a complete lack of trust in this dealership and in the Chevrolet name. Three years ago, I purchased a new vehicle from this dealership and the experience was good. However, over the past year, as I have inquired about trading into a new vehicle, I have sensed an obvious change in customer treatment and a lowering of ethical standards. This was confirmed when I recently engaged in serious negotiations for the purchase of a new vehicle. I was absolutely amazed at the lack of integrity on the part of the Internet Sales staff and Director Eric Hall. I ultimately purchased a BMW from Autobahn in Fort Worth. The professionalism and quality of service that I received from Autobahn BMW was night and day in comparison to Classic Chevrolet’s Internet Sales Department. PLEASE before you purchase a vehicle from this dealership, especially the Internet Sales Department, make certain that you are not being lied to by Eric Hall and his team. If at all possible, visit another dealership (or maker) and compare the treatment. I assure you, if you take the time to do this, you will see that there claim of being the “best dealership in Texas” is just another swindle.",1.0
10,"June 10, 2019","I just had the best car-buying experience of my life!  My husband and I worked with Joni Aviles.  He was fantastic to work with.  We weren't planning to buy a Chevrolet - just went in to compare with what we WERE planning to buy.  Joni was well versed on his products, as well as the other products we were looking at.  He was very professional, no pressure at all.  We got a great car at a great price and the experience was actually positive - unlike other car-buying experiences in the past.

Thanks Joni!!!",5.0
11,"May 29, 2019","*Parody Review*

Yes Ladies and Gentlemen, You too can be the  Winner of Classic Chevrolet's 2019 Customer retaliation event with the Grand Prize including never again being allowed to have your vehicle serviced at this location. 


To Enter,  you must schedule your Non-Employee Customer Evaluation with Joe Laubhan - Service Director.

*Contest rules*
1. Do not complain about the service done to your vehicle, even if there is an actual issue with your car/truck that has not yet been properly diagnosed after repeated attempts. That's what DTP is for after all. Warranties are just a formality and TSBs only apply to Fords right? 

2. Do not complain if your vehicle has been sitting at the dealership for 3-4 days without status update or get upset if you're informed after 3-4 days that the person you're going to pay to perform ""Non-Warranty"" work won't be available for 3 weeks.  You should rejoice anyone noticed your vehicle to begin with. 

3. Do not expect to get your vehicle ""Serviced"" at a service department nor expect service from a ""Service"" dept. It's 2019. Customers are annoying  and this will deduct points. 

4. Having an issue with your vehicle enters you into an agreement with Classic Chevrolet that you will be subject to Slanderous accusations by Classic Mgmt and invented content to be typed into a computer secretly at an undisclosed location. 

5. For official inquiry into these rules and a complimentary Non-Employee Customer performance evaluation, please contact Joe Laubhan - Service Director, if you're unable to reach him after repeated calls/attempts as this is just business as usual. 

6. Attempting to obtain status on your vehicle after 3-4 days will result in disqualification from the contest and a Ban from the dealership. *Pause Parody*  You will also get your rear view mirror cocked sideways signaling that you've been 86'd.  

**Resume Parody**

7. Speaking to Adam Kimber is a no no and Joe will perceive this as ""Going over his head"" or ""Getting someone involved"" even though you're just trying to get a hold of the chain of command. 

=====================*Disclaimer*=====================================

Classic Chevrolet reserves the right no matter the situation to inform their customers that ""No one wants to work with them"" and Managers will selectively filter Appointments and reject them without prior notice or explanation. In the absence of a Professional Letter/Email informing customer of said event, a verbal altercation initiated over the phone by a Classic Employee will be an alternative form of communication. 





",1.0
