,Date,Reviews,Ratings
0,"May 15, 2020","I called the day before to confirm prices, and they never mentioned there would be other separate charges like labor. 
I agreed to have the cabin filter changed, when I got my car back, I couldn't open the glove compartment. So I went back to them and they immediately denied ever touching the glovebox, saying they would never open it. Then I responded, “how were you able to change the cabin filter then?”. Then that’s where they realized they were wrong, and said “you’re right”. This causes us great dissatisfaction. What if I didn't need To open the glovebox before leaving the dealership? That would've meant going back, more time, money wasted. Not to mention safety in this pandemic time! Plus, you would think, charging 3x more would be better service! Why did they change the cabin filter carelessly causing the glovebox not to open! Poor experience. Never coming back and spreading the word. This isn't the first time, Northside Chevrolet. We got screwed here back to when we got the car, from the agent Sergio who also didn’t give us the promised referral fee. All the time we are displeased with everything. Also explains why the good people there like Too Tall and Josh left! Crooked management and agents like Sergio. Will never come back after the last cabin filter experience. Hope this reached the right people and fix that awful dealership!! ",1.0
1,"January 14, 2020",Traded my 18 camaro for a 2020 truck. Thanks to my salesman Fred. Helped me pick just what I needed. Thank you north side Chevy! ,5.0
2,"February 08, 2019","I have had my 2012 Cheverolet Silverado in this service shop 3 times for preventative maintenance and I had such a GREAT experience each time~
I highly recommend this dealership the staff is efficient, friendly, organized and I find that is so rare today~ JR is amazing and David Rice took such great care of me answering all of my questions and concerns about what my vehicle truly needed. The staff at the desk are friendly and efficient and check in and check out was flawless~It felt to me each staff member knew what they were supposed to do and they did it with a smile on their face~
I highly recommend this dealership for any of your service needs~ ",5.0
3,"November 08, 2018","Thank you for making my latest car purchase an exceptional experience.

  I have purchased many new and pre owned vehicles since I purchased my first car in 1977. My recent car purchase experience at Alamo City Chevrolet was by far the most exceptional in all aspects.
   My sales associate Mike Gutierrez was exceptional. He was very well versed on the vehicle specifications and operation. He was very familiar with what vehicles were available for sale, helping me find the one that best met my search criterion, without any sales pressure. After I purchased the pre-owned vehicle as is with no warranty, he pointed out that there was a rip on the passenger seat leather which they were going to fix at no charge to me. When I brought the car in the following week to have the seat tear repaired they determined it could not be repaired and they proceeded to replace the lower seat leather at no cost to me. Incredible. 
   My sales manager, Mike Flores, also was exceptional. My usual experience with sales managers required me to do extensive online research to be used for lengthy purchase price and trade in price negotiations. Mike Flores actually provided much of the online research which clearly showed the purchase price he posted up front was a very good value. We also quickly arrived at a trade in price that was in line with online research he also assisted with.
  My finance manager JJ Rodriguez also was exceptional. Even with a cash purchase like this, I usually have to wait a long time to start the closing and then I am subjected to hard sell theatrics. He quickly prepared the paperwork and met with me after a very short wait. He explained options such as warranties quickly and did not try to hard sell when I told him I was not interested in the warranties.
   I will definitely recommend Alamo City Chevrolet to others and most definitely will go to Alamo City Chevrolet first when I am ready to buy my next new or pre-owned vehicle.",5.0
4,"July 23, 2018","was looking to buy my wife a new car for mothers day 2018, walked into ACC and met Jennifer Schultz, at first was skeptical of a female car salesperson,  but Jennifer was very knowledgeable of her inventory,  and I feel that she truly listened to our situation,  in the end , we drove out with a brand new 2018 Chevy Malibu LT. Jennifer Schultz has not forgotten about us, as I recently called on her for a favor and she promptly delivered. thank you ACC and thank you Jennifer, hope to do business again in the near future.",4.0
5,"June 07, 2018","painless transaction thanks to MATT LOPEZ, dealership  was clean and comfortable i am very happy with my 2017 2 ss 6.2L Di  8 speed automatic transmission. Thank you Jack Adams ema il jjadamstx@gmail.com",5.0
6,"May 15, 2018","Online registration is a great tool, quick response from sales department Matt Lopez. He verified what I wanted came in without appointment but he still made time to met me as he currently working with customer he had me talk to James Gillean two very good people and both professional very helpful.  ",5.0
7,"April 29, 2018",Sales Advisor T.C. was awesome !! He was great did not give us the run around on our car he was straight forward on getting us in a new truck. Thank you T. C.  I will see in about 2yrs again😊,5.0
8,"April 20, 2018",Very good service. I was in and out quickly. Matt Lopez is a talented salesman who listened to my every request. The dealership was willing to work with my situation and I walked away with a great deal.,5.0
9,"March 26, 2018","I started my buying process online with James Gillean. Once he found the car I wanted, we worked over the phone and through emails to finalize the deal. Working with Gary and JJ was a pleasure.  My time in the dealership was minimal by my choice but was treated wonderfully by everyone I came in contact with. 
Don't waste your time, go to Alamo 1st!",5.0
10,"January 12, 2018","I just want to let you know that you have a awesome staff.  I meet with Niem Harris.  He did a outstanding job.  He was very friendly.  I had a great experience with him.  He was very laid back which I liked.  He did not put pressure on you to buy a car which I liked.  I went to other dealerships where they put pressure on you which I do not like at all.  I do not like high pressured sales people.  That does turn me away.  

",5.0
